ingredient	t_statistic	p_value	significant
beans			False
sugar	4.3796972999720225	3.233181933056434e-05	False
sweetener	-4.022635686064861	0.000128759668365608	False
cocoa butter	-0.6374607915306862	0.5239097886340132	True
vanilla	-6.798867546399961	3.49792832660845e-11	False
lecithin	-2.425326843664293	0.015549694407710198	True
salt	-2.2171626272592007	0.032856777563764455	True
