Clone Name,Accession,Donor Collection,Donor Name,NA Code
GDL 7,RUQ 554,"Barbados Quarantine Station, Barbados",,14714
GEBP 15 /A-F [ADI],RUQ 1641,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31707
GEBP 35 /A-F [ADI],RUQ 1647,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31699
GEBP 37 /A-F [ADI],RUQ 1626,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31700
GEBP 123 /A-M [ADI],RUQ 1648,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31706
GEBP 165 /A-M [ADI],RUQ 1616,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31701
GEBP 211 /A-F [ADI],RUQ 1644,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31708
GEBP 303 /B-M [ADI],RUQ 1645,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31703
GEBP 346 /B-F [ADI],RUQ 1646,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31710
GEBP 403 /A-F [ADI],RUQ 1653,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31711
GEBP 426 /A-F [ADI],RUQ 1658,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31712
GEBP 428 /A-F [ADI],RUQ 1654,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31713
GEBP 450 /A-F [ADI],RUQ 1651,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31714
GEBP 463 /A-F [ADI],RUQ 1668,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31715
GEBP 565 /A-F [ADI],RUQ 1625,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31718
GEBP 571 /A-F [ADI],RUQ 1670,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31719
GEBP 585 /A-F [ADI],RUQ 1659,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31721
GEBP 589 /A-F [ADI],RUQ 1657,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31722
GEBP 617 /A-F [ADI],RUQ 1662,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31704
GEBP 914 /A-F [ADI],RUQ 1650,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31705
GF 32,RUQ 648,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), French Guiana",,14992
GHANA RED,RUQ 1229,Cadbury Ghana,,30609
GU 123 /V,RUQ 187,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30371
GU 123 /V,RUQ 1068,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30371
GU 125 /C,RUQ 188,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4331
GU 133 /C,RUQ 190,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4346
GU 136 /H,RUQ 221,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4353
GU 147 /H,RUQ 222,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4370
GU 168 /H,RUQ 223,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4405
GU 183 /G,RUQ 1543,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,14281
GU 195 /V,RUQ 1069,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30380
GU 207 /H,RUQ 225,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4475
GU 221 /C,RUQ 200,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4498
GU 226 /V,RUQ 1070,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30401
GU 241 /P,RUQ 1431,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15759
GU 243 /H,RUQ 814,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,4532
GU 249 /H,RUQ 228,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4542
GU 255 /V,RUQ 1549,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30388
GU 259 /C,RUQ 203,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4565
GU 261 /P,RUQ 1370,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15761
GU 263 /V,RUQ 1545,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30390
GU 277 /G,RUQ 771,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,14332
GU 296 /H,RUQ 230,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,4629
GU 322 /P,RUQ 816,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15768
ICS 1,RUQ 847,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,5186
ICS 5,RUQ 817,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5190
ICS 6,RUQ 721,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5191
ICS 10,RUQ 827,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10408
ICS 12,RUQ 1688,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5195
ICS 15,RUQ 1052,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,14146
ICS 29,RUQ 937,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5204
