Clone Name,Accession,Donor Collection,Donor Name,NA Code
SPEC 41 /6-18,RUQ 1325,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,9029
SPEC 54 /1,RUQ 50,RBG Kew,,9042
SPEC 194 /15,RUQ 1439,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,9104
T 85 /799 [POS],RUQ 855,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,9268
TAP 12 [CHA],RUQ 1725,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,9320
TARS 1,RUQ 1387,"USDA-TARS, United States of America",,30628
TARS 23,RUQ 1446,"USDA-TARS, United States of America",,30630
TARS 31,RUQ 1394,"USDA-TARS, United States of America",,30631
TARS 34,RUQ 1513,"USDA-TARS, United States of America",,30632
TRD 32,RUQ 1534,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,30333
TRD 44,RUQ 1235,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,30338
TRD 85,RUQ 1442,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,30353
TRD 109,RUQ 1234,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,30363
TSA 654,RUQ 1029,"Comissão Executiva do Plano da Lavoura Cacaueira/Centro de Pesquisas do Cacau (CEPLAC/CEPEC), Brazil",,9457
TSAN 792,RUQ 1031,"Comissão Executiva do Plano da Lavoura Cacaueira/Centro de Pesquisas do Cacau (CEPLAC/CEPEC), Brazil",TSA 792,9459
TSH 516,RUQ 1018,"Comissão Executiva do Plano da Lavoura Cacaueira/Centro de Pesquisas do Cacau (CEPLAC/CEPEC), Brazil",,9463
TSH 565,RUQ 1741,"Nestle, France",,9465
TSH 774,RUQ 1020,"Comissão Executiva do Plano da Lavoura Cacaueira/Centro de Pesquisas do Cacau (CEPLAC/CEPEC), Brazil",,9471
T SPECIOSUM,RUQ 1182,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,9506
U 45 [PER],RUQ 1495,Peru,,29924
U 70 [PER],RUQ 1488,Peru,,29922
UF 168,RUQ 1677,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,9551
UF 613,RUQ 1573,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,9560
UF 667,RUQ 55,RBG Kew,,9565
UF 676,RUQ 56,RBG Kew,,9568
UF 712,RUQ 1683,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,9581
UNAP 2 [CHA],RUQ 1604,"Estation Experimental Tropical Pichilingue, Ecuador",,9593
VB 547,RUQ 1035,"Comissão Executiva do Plano da Lavoura Cacaueira/Centro de Pesquisas do Cacau (CEPLAC/CEPEC), Brazil",,30080
GU 286 /P,RUQ 1764,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15764
POUND 15 /A,RUQ 1765,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7646
SPEC 194 /109,RUQ 1766,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,9103
