Clone name,Colour dark purple,Colour light purple,Colour white,Colour mottled,Number,Length,Width,Thickness,Wet weight,Cotyledon wet weight,Info,Notes,Refcode,Dry weight,Colour,Colour purple,Shape,Size,Cotyledon dry weight,Cotyledon length,Cotyledon width,Cotyledon thickness,Total wet weight,Total dry weight,Colour grey,Number (max),Accession
COCA 3370 /5 [CHA],,,,,37.0,,,,,,,,BEKAD1,,purple,,oblong,,1.05,22.4,10.7,,57.7,,,,
CRIOLLO 54 [CRI],,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.38,23.2,13.9,,74.5,,,,
CRU C6 /23,,,,,34.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.25,26.4,13.3,,62.0,,,,
CRU 100,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.74,19.3,11.7,,46.5,,,,
CRU 101,,,,,43.0,,,,,,,,BEKAD1,,purple,,ovate,,0.48,17.8,10.1,,36.8,,,,
CRU 102,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.95,21.5,12.1,,64.7,,,,
CRU 103,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.8,19.3,11.5,,45.6,,,,
CRU 104,,,,,39.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.46,25.1,14.7,,88.5,,,,
CRU 105,,,,,39.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.5,25.7,14.8,,92.8,,,,
CRU 106,,,,,37.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.32,25.4,14.2,,84.5,,,,
CRU 107,,,,,41.0,,,,,,,,BEKAD1,,purple,,oblong,,0.97,24.2,11.3,,60.7,,,,
CRU 11,,,,,48.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.04,23.3,12.2,,69.7,,,,
CRU 111,,,,,35.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.64,25.0,15.4,,83.4,,,,
CRU 112,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.49,24.5,14.7,,92.3,,,,
CRU 113,,,,,46.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.88,22.9,12.7,,66.0,,,,
CRU 116,,,,,43.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.54,26.3,14.8,,102.7,,,,
CRU 119,,,,,35.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.0,19.7,12.9,,46.7,,,,
CRU 12,,,,,34.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.05,19.9,12.1,,51.4,,,,
CRU 120,,,,,35.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.88,18.9,12.2,,50.4,,,,
CRU 122,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.47,24.6,14.9,,96.4,,,,
CRU 123,,,,,42.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.05,22.9,12.2,,64.6,,,,
CRU 124,,,,,36.0,,,,,,,,BEKAD1,,purple,,oblong,,1.01,23.4,11.1,,53.1,,,,
CRU 126,,,,,46.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.27,24.1,14.8,,93.7,,,,
CRU 127,,,,,44.0,,,,,,,,BEKAD1,,purple,,ovate,,0.65,19.4,10.5,,42.3,,,,
CRU 128,,,,,45.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.96,21.0,10.8,,64.8,,,,
CRU 129,,,,,42.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.27,24.2,14.0,,77.9,,,,
CRU 13,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.97,22.2,12.3,,58.7,,,,
CRU 131,,,,,26.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.78,19.0,12.5,,32.1,,,,
CRU 132,,,,,42.0,,,,,,,,BEKAD1,,purple,,oblong,,0.94,22.0,11.1,,57.9,,,,
CRU 133,,,,,39.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.35,25.1,12.0,,71.7,,,,
CRU 135,,,,,50.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.91,22.6,11.2,,65.3,,,,
CRU 136,,,,,37.0,,,,,,,,BEKAD1,,purple,,ovate,,1.29,25.6,12.7,,82.0,,,,
CRU 137,,,,,40.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.27,24.9,12.8,,73.5,,,,
CRU 138,,,,,47.0,,,,,,,,BEKAD1,,purple,,ovate,,1.35,27.0,13.8,,95.6,,,,
CRU 142,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.08,22.7,12.1,,68.0,,,,
CRU 147,,,,,46.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.43,23.9,14.7,,92.7,,,,
CRU 153,,,,,41.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.6,25.9,15.2,,102.4,,,,
CRU 154,,,,,40.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.54,25.0,15.5,,95.5,,,,
CRU 19,,,,,45.0,,,,,,,,BEKAD1,,purple,,ovate,,0.75,19.2,10.4,,51.4,,,,
CRU 21,,,,,47.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.03,23.0,12.0,,71.2,,,,
CRU 263,,,,,35.0,,,,,,,,BEKAD1,,light purple,,elliptical,,0.96,21.5,13.5,,51.2,,,,
CRU 27,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.77,19.4,12.3,,52.7,,,,
CRU 271 (MIS_TTO005_ICS 55),,,,,44.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.77,20.1,12.8,,52.9,,,,
CRU 28,,,,,42.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.19,23.7,12.4,,74.7,,,,
CRU 34,,,,,47.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.37,24.8,15.3,,91.8,,,,
CRU 35,,,,,43.0,,,,,,,,BEKAD1,,light purple,,elliptical,,1.43,25.5,13.9,,91.3,,,,
CRU 37,,,,,37.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.13,24.8,12.5,,69.1,,,,
CRU 38,,,,,49.0,,,,,,,,BEKAD1,,purple,,ovate,,1.26,26.8,13.5,,89.9,,,,
CRU 40,,,,,43.0,,,,,,,,BEKAD1,,purple,,ovate,,0.99,21.9,11.3,,58.1,,,,
CRU 47,,,,,37.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.23,23.6,12.6,,67.5,,,,
CRU 4A /1,,,,,22.0,,,,,,,,BEKAD1,,purple,,oblong,,1.0,21.8,12.7,,34.4,,,,
CRU 4A/11,,,,,42.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.51,25.7,15.6,,93.0,,,,
CRU 4A/4,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.48,26.1,15.2,,93.9,,,,
CRU 4A/8,,,,,37.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.32,24.2,13.4,,69.4,,,,
CRU 4A/9,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.81,20.4,11.7,,42.7,,,,
CRU 5,,,,,38.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.95,21.4,12.4,,55.3,,,,
CRU 51,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.41,27.1,14.1,,84.6,,,,
CRU 56,,,,,42.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.18,24.7,12.7,,70.1,,,,
CRU 57,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.26,24.2,12.1,,65.1,,,,
CRU 59,,,,,53.0,,,,,,,,BEKAD1,,purple,,ovate,,0.76,19.2,10.3,,57.7,,,,
CRU 5A /1,,,,,39.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.36,25.3,15.1,,85.1,,,,
CRU 5A /2,,,,,39.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.97,22.8,12.5,,59.2,,,,
CRU 5A /3,,,,,32.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.15,23.7,14.2,,60.0,,,,
CRU 5A /4,,,,,39.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.74,21.4,9.3,,42.0,,,,
CRU 5A /5,,,,,27.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.92,18.9,12.5,,33.3,,,,
CRU 5A /6,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.16,23.2,13.7,,60.1,,,,
CRU 5B /10,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.31,23.7,12.7,,81.1,,,,
CRU 5B /12,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.92,22.3,11.0,,52.4,,,,
CRU 5B /14,,,,,26.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.01,23.7,14.2,,44.5,,,,
CRU 5B /16,,,,,34.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.19,23.3,13.6,,60.5,,,,
CRU 5B /17,,,,,23.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.21,22.2,13.3,,44.4,,,,
CRU 5B /18,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.69,17.8,11.2,,43.8,,,,
CRU 5B /19,,,,,35.0,,,,,,,,BEKAD1,,purple,,oblong,,1.44,25.7,16.0,,78.5,,,,
CRU 5B /2,,,,,43.0,,,,,,,,BEKAD1,,purple,,ovate,,1.07,22.9,12.3,,77.7,,,,
CRU 5B /21,,,,,39.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.15,23.5,12.2,,63.3,,,,
CRU 5B /22,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.02,21.1,13.0,,57.0,,,,
CRU 5B /23,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.46,25.3,15.2,,88.8,,,,
CRU 5B /24,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.15,23.1,13.8,,57.9,,,,
CRU 5B /25,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.51,25.9,15.1,,97.0,,,,
CRU 5B /3,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.02,21.3,12.2,,61.3,,,,
CRU 5B /4,,,,,35.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.16,24.6,13.0,,62.1,,,,
CRU 5B /5,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.02,21.6,13.0,,60.4,,,,
CRU 5B /7,,,,,33.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.44,23.6,13.4,,65.9,,,,
CRU 5B /8,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.42,24.8,15.1,,82.1,,,,
CRU 5B /9,,,,,30.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.21,21.9,11.9,,53.2,,,,
CRU 63,,,,,45.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.94,20.5,10.9,,58.4,,,,
CRU 64,,,,,40.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.89,19.6,11.0,,48.3,,,,
CRU 69,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.83,22.3,10.5,,44.9,,,,
CRU 6 /B-2,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.06,23.4,12.8,,56.9,,,,
CRU 7,,,,,42.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.76,20.0,11.8,,44.8,,,,
CRU 70,,,,,32.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.89,18.9,12.9,,39.9,,,,
CRU 72,,,,,49.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.77,19.5,10.4,,58.6,,,,
CRU 73,,,,,50.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.23,25.1,13.0,,82.6,,,,
CRU 74,,,,,35.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.14,23.0,12.9,,56.8,,,,
CRU 77,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.97,23.2,10.8,,60.2,,,,
CRU 78,,,,,46.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.95,20.5,11.9,,61.1,,,,
CRU 80,,,,,37.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.87,19.8,12.1,,45.9,,,,
CRU 81,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.73,19.3,11.7,,56.3,,,,
CRU 83,,,,,48.0,,,,,,,,BEKAD1,,purple,,ovate,,0.68,20.1,11.5,,52.0,,,,
CRU 86,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.93,22.8,10.8,,63.8,,,,
CRU 87,,,,,48.0,,,,,,,,BEKAD1,,purple,,oblong,,0.77,20.5,10.4,,53.5,,,,
CRU 89,,,,,34.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.44,24.8,15.3,,65.6,,,,
CRU 90,,,,,42.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.85,21.2,11.8,,50.4,,,,
CRU 91,,,,,42.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.94,19.8,12.0,,54.9,,,,
CRU 95,,,,,50.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.87,20.3,11.7,,66.1,,,,
CRU 96,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.95,22.7,12.1,,54.9,,,,
CRU 97,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.03,22.3,12.0,,67.7,,,,
CRU 98,,,,,45.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.08,23.4,12.2,,64.5,,,,
CRU 99,,,,,29.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.74,17.4,12.3,,29.5,,,,
CRU C11 /2,,,,,39.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.96,18.9,13.8,,53.9,,,,
CRU C11 /3,,,,,39.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.8,19.7,11.3,,43.9,,,,
CRU C12 /1,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.83,21.5,12.0,,53.7,,,,
CRU C12 /2,,,,,45.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.75,20.4,12.0,,52.3,,,,
CRU C12 /3,,,,,46.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.8,20.5,12.2,,58.3,,,,
CRU C12 /4,,,,,42.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.7,19.8,11.8,,46.9,,,,
CRU C12 /6,,,,,37.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.49,26.2,15.5,,89.7,,,,
CRU C12 /7,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.23,24.0,14.4,,67.9,,,,
CRU C3 /4,,,,,46.0,,,,,,,,BEKAD1,,purple,,oblong,,0.94,23.0,13.1,,65.4,,,,
CRU C3 /5,,,,,45.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.13,24.2,13.0,,78.8,,,,
CRU C4 /12,,,,,30.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.39,24.9,14.5,,60.5,,,,
CRU C4 /13,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.22,27.1,13.7,,72.7,,,,
CRU C4 /3,,,,,48.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.84,21.9,11.8,,60.3,,,,
CRU C4 /4,,,,,22.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.95,21.9,11.8,,29.4,,,,
CRU C4 /5,,,,,48.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.78,20.4,10.3,,54.5,,,,
CRU C4 /6,,,,,27.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.93,22.8,11.1,,36.4,,,,
CRU C4 /7,,,,,19.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.41,25.1,13.1,,40.2,,,,
CRU C4 /8,,,,,21.0,,,,,,,,BEKAD1,,purple,,oblong,,0.99,22.9,11.8,,34.1,,,,
CRU C5 /2,,,,,31.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.17,23.1,13.8,,53.2,,,,
CRU C5 /4,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.78,20.9,12.6,,48.0,,,,
CRU C5 /5,,,,,47.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.77,21.7,10.5,,52.2,,,,
CRU C5 /7,,,,,42.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.74,19.9,10.3,,41.9,,,,
CRU C5 /8,,,,,37.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.21,24.6,15.5,,65.7,,,,
CRU C6 /14,,,,,57.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.78,21.9,11.4,,71.3,,,,
CRU C6 /19,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.98,22.4,12.1,,67.0,,,,
CRU C6 /22,,,,,47.0,,,,,,,,BEKAD1,,purple,,oblong,,0.95,22.7,12.8,,64.3,,,,
CRU C6 /5,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.74,19.3,10.0,,34.8,,,,
CRUZ 7 /11,,,,,40.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.56,19.2,9.7,,33.3,,,,
CRUZ 7 /14,,,,,40.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.07,22.0,10.9,,57.4,,,,
CRUZ 7 /8,,,,,47.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.54,17.8,10.6,,34.9,,,,
DE 33 /B,,,,,33.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.28,23.8,12.9,,57.6,,,,
DE 36 /A,,,,,35.0,,,,,,,,BEKAD1,,light purple,,elliptical,,1.29,24.7,14.0,,75.6,,,,
DE 52 /B,,,,,49.0,,,,,,,,BEKAD1,,purple,,ovate,,0.65,20.2,12.2,,49.3,,,,
DE 53 /B,,,,,28.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.58,18.1,10.5,,30.3,,,,
DE 64 /A,,,,,45.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.77,19.7,10.5,,51.6,,,,
DE 64 /B,,,,,36.0,,,,,,,,BEKAD1,,purple,,ovate,,0.83,21.9,10.9,,42.7,,,,
DE 65 /A,,,,,39.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.05,23.0,12.8,,61.1,,,,
DE 73 /A,,,,,40.0,,,,,,,,BEKAD1,,white,,oblong,,0.87,21.5,11.3,,57.0,,,,
DOM 1,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.11,23.7,13.0,,71.9,,,,
DOM 10,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.93,22.9,12.8,,65.9,,,,
DOM 11,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.06,23.1,13.3,,64.2,,,,
DOM 13,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.18,24.6,12.6,,65.8,,,,
DOM 14,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.05,22.8,11.6,,64.8,,,,
DOM 15,,,,,35.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.87,22.2,11.2,,47.5,,,,
DOM 16,,,,,37.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.16,23.6,12.6,,64.2,,,,
DOM 18,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.87,21.7,12.1,,52.6,,,,
DOM 2,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.79,20.3,12.1,,52.2,,,,
DOM 20,,,,,43.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.98,23.0,12.8,,67.8,,,,
DOM 23,,,,,42.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.91,21.3,12.2,,60.4,,,,
DOM 24,,,,,35.0,,,,,,,,BEKAD1,,purple,,ovate,,0.79,21.7,12.4,,48.9,,,,
DOM 25,,,,,36.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.71,19.2,11.7,,43.5,,,,
DOM 27,,,,,36.0,,,,,,,,BEKAD1,,light purple,,ovate,,0.82,20.2,13.2,,46.3,,,,
DOM 3,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.17,23.4,13.4,,70.0,,,,
DOM 30,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.0,22.2,12.6,,67.1,,,,
DOM 31,,,,,40.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.94,22.2,12.4,,58.3,,,,
DOM 33,,,,,37.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.92,21.4,12.0,,51.0,,,,
DOM 35,,,,,34.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.87,22.3,11.9,,44.7,,,,
DOM 4,,,,,40.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.03,22.9,12.7,,68.9,,,,
DOM 7,,,,,41.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.99,21.8,12.8,,65.9,,,,
DOM 8,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.96,20.5,12.9,,60.0,,,,
DOM 9,,,,,35.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.99,21.9,12.7,,52.9,,,,
DOPOL 2 /1-4,,,,,37.0,,,,,,,,BEKAD1,,dark purple,,oblong,,0.95,22.9,12.7,,55.5,,,,
DOPOL 2 /1-5,,,,,45.0,,,,,,,,BEKAD1,,purple,,oblong,,0.79,22.0,10.5,,52.4,,,,
DOPOL 3 /2-5,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.97,19.9,12.2,,49.2,,,,
DOPOL 3 /2-6,,,,,29.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.94,21.3,13.1,,44.4,,,,
DOPOL 4 /4-7,,,,,28.0,,,,,,,,BEKAD1,,purple,,oblong,,1.07,22.4,12.8,,48.1,,,,
DOPOL 6 /15-10,,,,,45.0,,,,,,,,BEKAD1,,purple,,ovate,,0.79,21.5,12.0,,54.1,,,,
DOPOL 6 /15-5,,,,,45.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.81,22.4,10.9,,59.1,,,,
DOPOL 6 /15-9,,,,,44.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.89,20.1,11.6,,57.4,,,,
DOPOL 7 /2-3,,,,,37.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.92,20.4,11.7,,56.2,,,,
DOS HERMANOS,,,,,42.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.85,21.3,10.8,,49.7,,,,
DOS HERMANOS 1,,,,,31.0,,,,,,,,BEKAD1,,purple,,oblong,,0.95,22.7,12.4,,47.1,,,,
DOS HERMANOS 2,,,,,36.0,,,,,,,,BEKAD1,,purple,,ovate,,0.93,21.7,11.2,,48.6,,,,
DR 2,,,,,34.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.41,25.2,13.4,,84.6,,,,
E 34 [ECU],,,,,28.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.06,22.6,13.8,,45.1,,,,
E 41 [ECU],,,,,44.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.1,22.8,13.1,,70.4,,,,
E 575 [ICT],,,,,36.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.19,24.1,14.3,,65.2,,,,
EBC 148 /S-301,,,,,48.0,,,,,,,,BEKAD1,,dark purple,,ovate,,0.66,20.2,10.0,,45.8,,,,
ECNR,,,,,43.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.77,19.9,10.3,,46.0,,,,
EEG 8,,,,,36.0,,,,,,,,BEKAD1,,purple,,ovate,,0.8,21.9,11.4,,41.7,,,,
EET 162 [ECU],,,,,35.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,1.19,21.7,13.2,,55.6,,,,
EET 19 [ECU],,,,,38.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.21,24.2,12.8,,64.9,,,,
EET 272 [ECU],,,,,47.0,,,,,,,,BEKAD1,,purple,,oblong,,0.85,22.2,13.1,,55.9,,,,
EET 28 [ECU],,,,,38.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.05,24.5,12.0,,59.7,,,,
EET 338 [ECU],,,,,37.0,,,,,,,,BEKAD1,,purple,,ovate,,0.77,20.6,12.2,,44.6,,,,
EET 338 /9577 [ECU],,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.81,20.6,12.2,,39.7,,,,
EET 397 [ECU],,,,,41.0,,,,,,,,BEKAD1,,purple,,elliptical,,1.28,23.7,13.6,,75.0,,,,
EET 399 [ECU],,,,,36.0,,,,,,,,BEKAD1,,purple,,oblong,,1.14,24.1,12.1,,62.1,,,,
EET 400 [ECU],,,,,42.0,,,,,,,,BEKAD1,,dark purple,,oblong,,1.2,24.7,12.3,,64.9,,,,
EET 48 [ECU],,,,,43.0,,,,,,,,BEKAD1,,purple,,elliptical,,0.92,20.9,11.6,,58.2,,,,
EET 58 [ECU],,,,,34.0,,,,,,,,BEKAD1,,dark purple,,ovate,,1.61,25.8,14.9,,74.0,,,,
EET 59 [ECU],,,,,41.0,,,,,,,,BEKAD1,,purple,,ovate,,1.04,25.5,15.2,,97.9,,,,
EET 95 [ECU],,,,,46.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.8,24.5,13.0,,88.1,,,,
ELP 1 A,,,,,34.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.89,20.6,11.9,,45.5,,,,
ELP 1 /S4,,,,,33.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.87,21.5,12.1,,51.5,,,,
ELP 10 /S6,,,,,39.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.83,21.9,12.5,,51.3,,,,
ELP 10 /T,,,,,37.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.85,22.6,12.6,,51.3,,,,
ELP 11 /S1,,,,,38.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.78,22.0,12.2,,46.2,,,,
ELP 11 /S3,,,,,31.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.79,20.9,11.9,,36.4,,,,
ELP 13 /8,,,,,35.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.74,20.1,11.6,,39.2,,,,
ELP 16 /S7,,,,,35.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.81,20.9,11.7,,44.9,,,,
ELP 18 /S12,,,,,36.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.85,21.6,12.2,,49.1,,,,
ELP 2 /S4,,,,,32.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.87,20.5,11.5,,42.9,,,,
ELP 20 A,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.76,21.0,11.7,,47.9,,,,
ELP 20 /S3,,,,,33.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.73,20.9,11.9,,43.3,,,,
ELP 22 /S10,,,,,41.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.84,21.4,12.2,,55.5,,,,
ELP 28 /S4,,,,,30.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.87,21.3,13.3,,36.6,,,,
ELP 28 /S6,,,,,30.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.89,21.4,13.2,,37.0,,,,
ELP 30 /S5,,,,,26.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.71,19.9,10.8,,29.6,,,,
ELP 32 /S3,,,,,34.0,,,,,,,,BEKAD1,,dark purple,,elliptical,,0.71,20.8,11.9,,36.7,,,,
