Clone name,Pod index,Yield ha,Yield tree,Info,Notes,Refcode,Seed index,Productivity,Dry yield tree,Wet weight beans per tree,Yield efficiency
CRU 51,16.1,,,,,BEKAD1,,,,,
CRU 56,20.2,,,,,BEKAD1,,,,,
CRU 57,19.4,,,,,BEKAD1,,,,,
CRU 59,24.8,,,,,BEKAD1,,,,,
CRU 5A /1,18.9,,,,,BEKAD1,,,,,
CRU 5A /2,26.4,,,,,BEKAD1,,,,,
CRU 5A /3,27.2,,,,,BEKAD1,,,,,
CRU 5A /4,34.7,,,,,BEKAD1,,,,,
CRU 5A /5,40.3,,,,,BEKAD1,,,,,
CRU 5A /6,23.9,,,,,BEKAD1,,,,,
CRU 5B /10,17.3,,,,,BEKAD1,,,,,
CRU 5B /12,26.5,,,,,BEKAD1,,,,,
CRU 5B /14,38.1,,,,,BEKAD1,,,,,
CRU 5B /16,24.7,,,,,BEKAD1,,,,,
CRU 5B /17,35.9,,,,,BEKAD1,,,,,
CRU 5B /18,32.9,,,,,BEKAD1,,,,,
CRU 5B /19,19.8,,,,,BEKAD1,,,,,
CRU 5B /2,21.7,,,,,BEKAD1,,,,,
CRU 5B /21,22.3,,,,,BEKAD1,,,,,
CRU 5B /22,27.2,,,,,BEKAD1,,,,,
CRU 5B /23,15.9,,,,,BEKAD1,,,,,
CRU 5B /24,24.2,,,,,BEKAD1,,,,,
CRU 5B /25,16.2,,,,,BEKAD1,,,,,
CRU 5B /3,22.3,,,,,BEKAD1,,,,,
CRU 5B /4,24.6,,,,,BEKAD1,,,,,
CRU 5B /5,23.9,,,,,BEKAD1,,,,,
CRU 5B /7,21.0,,,,,BEKAD1,,,,,
CRU 5B /8,18.5,,,,,BEKAD1,,,,,
CRU 5B /9,27.5,,,,,BEKAD1,,,,,
CRU 63,23.6,,,,,BEKAD1,,,,,
CRU 64,28.1,,,,,BEKAD1,,,,,
CRU 69,31.7,,,,,BEKAD1,,,,,
CRU 6 /B-2,24.8,,,,,BEKAD1,,,,,
CRU 7,31.3,,,,,BEKAD1,,,,,
CRU 70,35.1,,,,,BEKAD1,,,,,
CRU 72,26.5,,,,,BEKAD1,,,,,
CRU 73,16.3,,,,,BEKAD1,,,,,
CRU 74,25.1,,,,,BEKAD1,,,,,
CRU 77,25.1,,,,,BEKAD1,,,,,
CRU 78,22.9,,,,,BEKAD1,,,,,
CRU 80,31.1,,,,,BEKAD1,,,,,
CRU 81,31.9,,,,,BEKAD1,,,,,
CRU 83,30.6,,,,,BEKAD1,,,,,
CRU 86,24.4,,,,,BEKAD1,,,,,
CRU 87,27.1,,,,,BEKAD1,,,,,
CRU 89,20.4,,,,,BEKAD1,,,,,
CRU 90,28.0,,,,,BEKAD1,,,,,
CRU 91,25.3,,,,,BEKAD1,,,,,
CRU 95,23.0,,,,,BEKAD1,,,,,
CRU 96,24.5,,,,,BEKAD1,,,,,
CRU 97,22.6,,,,,BEKAD1,,,,,
CRU 98,20.6,,,,,BEKAD1,,,,,
CRU 99,46.6,,,,,BEKAD1,,,,,
CRU C11 /2,26.7,,,,,BEKAD1,,,,,
CRU C11 /3,32.1,,,,,BEKAD1,,,,,
CRU C12 /1,27.4,,,,,BEKAD1,,,,,
CRU C12 /2,29.6,,,,,BEKAD1,,,,,
CRU C12 /3,27.2,,,,,BEKAD1,,,,,
CRU C12 /4,34.0,,,,,BEKAD1,,,,,
CRU C12 /6,18.1,,,,,BEKAD1,,,,,
CRU C12 /7,22.6,,,,,BEKAD1,,,,,
CRU C3 /4,23.1,,,,,BEKAD1,,,,,
CRU C3 /5,19.7,,,,,BEKAD1,,,,,
CRU C4 /12,24.0,,,,,BEKAD1,,,,,
CRU C4 /13,21.6,,,,,BEKAD1,,,,,
CRU C4 /3,24.8,,,,,BEKAD1,,,,,
CRU C4 /4,47.8,,,,,BEKAD1,,,,,
CRU C4 /5,26.7,,,,,BEKAD1,,,,,
CRU C4 /6,39.8,,,,,BEKAD1,,,,,
CRU C4 /7,37.3,,,,,BEKAD1,,,,,
CRU C4 /8,48.1,,,,,BEKAD1,,,,,
CRU C5 /2,27.6,,,,,BEKAD1,,,,,
CRU C5 /4,35.6,,,,,BEKAD1,,,,,
CRU C5 /5,27.6,,,,,BEKAD1,,,,,
CRU C5 /7,32.2,,,,,BEKAD1,,,,,
CRU C5 /8,22.3,,,,,BEKAD1,,,,,
CRU C6 /14,22.5,,,,,BEKAD1,,,,,
CRU C6 /19,23.7,,,,,BEKAD1,,,,,
CRU C6 /22,22.4,,,,,BEKAD1,,,,,
CRU C6 /5,37.5,,,,,BEKAD1,,,,,
CRUZ 7 /11,44.6,,,,,BEKAD1,,,,,
CRUZ 7 /14,23.4,,,,,BEKAD1,,,,,
CRUZ 7 /8,39.4,,,,,BEKAD1,,,,,
DE 33 /B,23.7,,,,,BEKAD1,,,,,
DE 36 /A,22.1,,,,,BEKAD1,,,,,
DE 52 /B,31.4,,,,,BEKAD1,,,,,
DE 53 /B,61.6,,,,,BEKAD1,,,,,
DE 64 /A,28.9,,,,,BEKAD1,,,,,
DE 64 /B,33.5,,,,,BEKAD1,,,,,
DE 65 /A,24.4,,,,,BEKAD1,,,,,
DE 73 /A,28.7,,,,,BEKAD1,,,,,
DOM 1,22.0,,,,,BEKAD1,,,,,
DOM 10,24.4,,,,,BEKAD1,,,,,
DOM 11,23.0,,,,,BEKAD1,,,,,
DOM 13,23.5,,,,,BEKAD1,,,,,
DOM 14,23.2,,,,,BEKAD1,,,,,
DOM 15,32.8,,,,,BEKAD1,,,,,
DOM 16,23.3,,,,,BEKAD1,,,,,
DOM 18,30.2,,,,,BEKAD1,,,,,
DOM 2,29.4,,,,,BEKAD1,,,,,
DOM 20,23.7,,,,,BEKAD1,,,,,
DOM 23,26.2,,,,,BEKAD1,,,,,
DOM 24,36.2,,,,,BEKAD1,,,,,
DOM 25,39.1,,,,,BEKAD1,,,,,
DOM 27,33.9,,,,,BEKAD1,,,,,
DOM 3,22.5,,,,,BEKAD1,,,,,
DOM 30,22.7,,,,,BEKAD1,,,,,
DOM 31,26.6,,,,,BEKAD1,,,,,
DOM 33,29.4,,,,,BEKAD1,,,,,
DOM 35,33.8,,,,,BEKAD1,,,,,
DOM 4,24.3,,,,,BEKAD1,,,,,
DOM 7,24.6,,,,,BEKAD1,,,,,
DOM 8,27.4,,,,,BEKAD1,,,,,
DOM 9,28.9,,,,,BEKAD1,,,,,
DOPOL 2 /1-4,28.4,,,,,BEKAD1,,,,,
DOPOL 2 /1-5,28.1,,,,,BEKAD1,,,,,
DOPOL 3 /2-5,28.6,,,,,BEKAD1,,,,,
DOPOL 3 /2-6,36.7,,,,,BEKAD1,,,,,
DOPOL 4 /4-7,33.4,,,,,BEKAD1,,,,,
DOPOL 6 /15-10,28.1,,,,,BEKAD1,,,,,
DOPOL 6 /15-5,27.4,,,,,BEKAD1,,,,,
DOPOL 6 /15-9,25.5,,,,,BEKAD1,,,,,
DOPOL 7 /2-3,29.4,,,,,BEKAD1,,,,,
DOS HERMANOS,28.0,,,,,BEKAD1,,,,,
DOS HERMANOS 1,34.0,,,,,BEKAD1,,,,,
DOS HERMANOS 2,29.9,,,,,BEKAD1,,,,,
DR 2,20.9,,,,,BEKAD1,,,,,
E 34 [ECU],33.7,,,,,BEKAD1,,,,,
E 41 [ECU],20.7,,,,,BEKAD1,,,,,
E 575 [ICT],23.3,,,,,BEKAD1,,,,,
EBC 148 /S-301,31.6,,,,,BEKAD1,,,,,
ECNR,30.2,,,,,BEKAD1,,,,,
EEG 8,34.7,,,,,BEKAD1,,,,,
EET 162 [ECU],24.0,,,,,BEKAD1,,,,,
EET 19 [ECU],21.7,,,,,BEKAD1,,,,,
EET 272 [ECU],25.0,,,,,BEKAD1,,,,,
EET 28 [ECU],25.1,,,,,BEKAD1,,,,,
EET 338 [ECU],35.1,,,,,BEKAD1,,,,,
EET 338 /9577 [ECU],34.3,,,,,BEKAD1,,,,,
EET 397 [ECU],19.1,,,,,BEKAD1,,,,,
EET 399 [ECU],24.4,,,,,BEKAD1,,,,,
EET 400 [ECU],19.8,,,,,BEKAD1,,,,,
EET 48 [ECU],25.3,,,,,BEKAD1,,,,,
EET 58 [ECU],18.3,,,,,BEKAD1,,,,,
EET 59 [ECU],23.5,,,,,BEKAD1,,,,,
EET 95 [ECU],27.2,,,,,BEKAD1,,,,,
ELP 1 A,33.0,,,,,BEKAD1,,,,,
ELP 1 /S4,34.8,,,,,BEKAD1,,,,,
ELP 10 /S6,30.9,,,,,BEKAD1,,,,,
ELP 10 /T,31.8,,,,,BEKAD1,,,,,
ELP 11 /S1,33.7,,,,,BEKAD1,,,,,
ELP 11 /S3,40.8,,,,,BEKAD1,,,,,
ELP 13 /8,38.6,,,,,BEKAD1,,,,,
ELP 16 /S7,35.3,,,,,BEKAD1,,,,,
ELP 18 /S12,32.7,,,,,BEKAD1,,,,,
ELP 2 /S4,35.9,,,,,BEKAD1,,,,,
ELP 20 A,32.1,,,,,BEKAD1,,,,,
ELP 20 /S3,41.5,,,,,BEKAD1,,,,,
ELP 22 /S10,29.0,,,,,BEKAD1,,,,,
ELP 28 /S4,38.3,,,,,BEKAD1,,,,,
ELP 28 /S6,37.5,,,,,BEKAD1,,,,,
ELP 30 /S5,54.2,,,,,BEKAD1,,,,,
ELP 32 /S3,41.4,,,,,BEKAD1,,,,,
ELP 32 /S4,48.8,,,,,BEKAD1,,,,,
ELP 34 /S13,44.1,,,,,BEKAD1,,,,,
ELP 34 /S7,34.8,,,,,BEKAD1,,,,,
ELP 35 B,37.0,,,,,BEKAD1,,,,,
ELP 35 /S4,42.7,,,,,BEKAD1,,,,,
ELP 40 B,36.1,,,,,BEKAD1,,,,,
ELP 40 /S9,32.2,,,,,BEKAD1,,,,,
ELP 41 /S5,36.1,,,,,BEKAD1,,,,,
ELP 7 /S2,34.4,,,,,BEKAD1,,,,,
ELP 7 /S7,41.1,,,,,BEKAD1,,,,,
ELP 8 A,35.6,,,,,BEKAD1,,,,,
ELP 8 /S3,30.1,,,,,BEKAD1,,,,,
ELP 9 /S2,27.9,,,,,BEKAD1,,,,,
ELP 9 /S4,27.9,,,,,BEKAD1,,,,,
EQX /J [CHA],27.0,,,,,BEKAD1,,,,,
EQX /Z [CHA],22.4,,,,,BEKAD1,,,,,
EQX 3164 [CHA],23.3,,,,,BEKAD1,,,,,
EQX 69 [EQX],30.9,,,,,BEKAD1,,,,,
FSC 13,19.9,,,,,BEKAD1,,,,,
G 8 [GET],23.6,,,,,BEKAD1,,,,,
GA 11 [HAI],20.4,,,,,BEKAD1,,,,,
GC T 998 /2,23.6,,,,,BEKAD1,,,,,
GC T 998 /59,23.1,,,,,BEKAD1,,,,,
GC T 998 /60,25.6,,,,,BEKAD1,,,,,
GC T 998 /66,35.8,,,,,BEKAD1,,,,,
GC T 998 /76,42.5,,,,,BEKAD1,,,,,
GC T 998 /96,32.7,,,,,BEKAD1,,,,,
GC T 999 /59,23.6,,,,,BEKAD1,,,,,
GDL 1,19.8,,,,,BEKAD1,,,,,
GDL 11,23.1,,,,,BEKAD1,,,,,
GDL 2,28.8,,,,,BEKAD1,,,,,
GDL 3,27.7,,,,,BEKAD1,,,,,
GDL 7,24.6,,,,,BEKAD1,,,,,
GNV 22,25.6,,,,,BEKAD1,,,,,
GS 1,21.3,,,,,BEKAD1,,,,,
GS 10,17.2,,,,,BEKAD1,,,,,
GS 12,23.8,,,,,BEKAD1,,,,,
GS 13,23.1,,,,,BEKAD1,,,,,
GS 15,23.1,,,,,BEKAD1,,,,,
GS 16,26.8,,,,,BEKAD1,,,,,
GS 26,21.4,,,,,BEKAD1,,,,,
GS 29,17.6,,,,,BEKAD1,,,,,
GS 32,31.9,,,,,BEKAD1,,,,,
GS 36,23.2,,,,,BEKAD1,,,,,
GS 37,25.1,,,,,BEKAD1,,,,,
GS 39,31.1,,,,,BEKAD1,,,,,
GS 4,18.1,,,,,BEKAD1,,,,,
GS 45,27.5,,,,,BEKAD1,,,,,
GS 48,24.1,,,,,BEKAD1,,,,,
GS 50,27.6,,,,,BEKAD1,,,,,
GS 53,21.1,,,,,BEKAD1,,,,,
GS 55,26.6,,,,,BEKAD1,,,,,
GS 58,25.0,,,,,BEKAD1,,,,,
GS 59,22.6,,,,,BEKAD1,,,,,
GS 6,22.7,,,,,BEKAD1,,,,,
GS 60,27.2,,,,,BEKAD1,,,,,
GS 61,23.4,,,,,BEKAD1,,,,,
GS 62,25.3,,,,,BEKAD1,,,,,
GS 66,18.8,,,,,BEKAD1,,,,,
GS 67,22.9,,,,,BEKAD1,,,,,
GS 70,29.1,,,,,BEKAD1,,,,,
GS 74,27.0,,,,,BEKAD1,,,,,
GS 76,21.7,,,,,BEKAD1,,,,,
GS 77,26.4,,,,,BEKAD1,,,,,
GS 78,20.8,,,,,BEKAD1,,,,,
GS 79,21.0,,,,,BEKAD1,,,,,
GU 114 /P,30.2,,,,,BEKAD1,,,,,
GU 133 /C,32.2,,,,,BEKAD1,,,,,
GU 144 /C,32.9,,,,,BEKAD1,,,,,
GU 151 /F,42.7,,,,,BEKAD1,,,,,
GU 154 /C,34.7,,,,,BEKAD1,,,,,
GU 168 /H,31.6,,,,,BEKAD1,,,,,
GU 169,33.2,,,,,BEKAD1,,,,,
GU 175 /P,29.9,,,,,BEKAD1,,,,,
GU 192,42.6,,,,,BEKAD1,,,,,
GU 195 /P,37.7,,,,,BEKAD1,,,,,
GU 202 /A,26.5,,,,,BEKAD1,,,,,
GU 207 /H,43.3,,,,,BEKAD1,,,,,
GU 215 /A,34.0,,,,,BEKAD1,,,,,
GU 219 /F,62.0,,,,,BEKAD1,,,,,
GU 222,27.0,,,,,BEKAD1,,,,,
GU 241 /P,41.0,,,,,BEKAD1,,,,,
GU 243 /H,32.7,,,,,BEKAD1,,,,,
GU 255 /P,35.6,,,,,BEKAD1,,,,,
GU 255 /V,37.1,,,,,BEKAD1,,,,,
GU 259 /C,35.1,,,,,BEKAD1,,,,,
GU 261 /P,38.1,,,,,BEKAD1,,,,,
GU 265 /P,33.9,,,,,BEKAD1,,,,,
GU 271 /P,42.6,,,,,BEKAD1,,,,,
GU 277 /G,32.5,,,,,BEKAD1,,,,,
GU 286 /P,28.4,,,,,BEKAD1,,,,,
GU 300 /P,41.9,,,,,BEKAD1,,,,,
GU 305 /P,30.4,,,,,BEKAD1,,,,,
GU 307 /F,33.1,,,,,BEKAD1,,,,,
GU 310 /P,39.8,,,,,BEKAD1,,,,,
GU 322 /P,38.3,,,,,BEKAD1,,,,,
GU 335 /P,40.1,,,,,BEKAD1,,,,,
GU 339 /M,71.3,,,,,BEKAD1,,,,,
GU 341 /H,36.2,,,,,BEKAD1,,,,,
GU 351 /P,33.2,,,,,BEKAD1,,,,,
GU 353 /L,36.8,,,,,BEKAD1,,,,,
ICA 70 [COL],19.9,,,,,BEKAD1,,,,,
ICS 1,19.9,,,,,BEKAD1,,,,,
ICS 10,22.2,,,,,BEKAD1,,,,,
ICS 100,25.2,,,,,BEKAD1,,,,,
ICS 111,19.0,,,,,BEKAD1,,,,,
ICS 12,27.1,,,,,BEKAD1,,,,,
ICS 14,26.3,,,,,BEKAD1,,,,,
ICS 15,20.4,,,,,BEKAD1,,,,,
ICS 16,17.3,,,,,BEKAD1,,,,,
ICS 17,20.6,,,,,BEKAD1,,,,,
ICS 18,18.2,,,,,BEKAD1,,,,,
ICS 2,20.7,,,,,BEKAD1,,,,,
ICS 20,24.6,,,,,BEKAD1,,,,,
ICS 22,27.1,,,,,BEKAD1,,,,,
ICS 24,29.4,,,,,BEKAD1,,,,,
ICS 25,28.3,,,,,BEKAD1,,,,,
ICS 26,26.1,,,,,BEKAD1,,,,,
ICS 27,20.0,,,,,BEKAD1,,,,,
ICS 3,24.5,,,,,BEKAD1,,,,,
ICS 30,28.3,,,,,BEKAD1,,,,,
ICS 35,33.7,,,,,BEKAD1,,,,,
ICS 36,20.5,,,,,BEKAD1,,,,,
ICS 39,22.1,,,,,BEKAD1,,,,,
ICS 4,26.4,,,,,BEKAD1,,,,,
ICS 40,20.8,,,,,BEKAD1,,,,,
ICS 41,33.2,,,,,BEKAD1,,,,,
ICS 42,22.3,,,,,BEKAD1,,,,,
ICS 43,16.0,,,,,BEKAD1,,,,,
ICS 45,21.3,,,,,BEKAD1,,,,,
ICS 46,22.6,,,,,BEKAD1,,,,,
ICS 47,20.7,,,,,BEKAD1,,,,,
ICS 48,20.1,,,,,BEKAD1,,,,,
ICS 49,26.2,,,,,BEKAD1,,,,,
ICS 5,17.0,,,,,BEKAD1,,,,,
ICS 53,24.7,,,,,BEKAD1,,,,,
ICS 57,23.7,,,,,BEKAD1,,,,,
ICS 58,21.5,,,,,BEKAD1,,,,,
ICS 59,21.7,,,,,BEKAD1,,,,,
ICS 6,17.5,,,,,BEKAD1,,,,,
ICS 60,15.6,,,,,BEKAD1,,,,,
ICS 61,26.2,,,,,BEKAD1,,,,,
ICS 62,17.0,,,,,BEKAD1,,,,,
ICS 63,19.6,,,,,BEKAD1,,,,,
ICS 65,32.6,,,,,BEKAD1,,,,,
ICS 66,38.9,,,,,BEKAD1,,,,,
ICS 67,24.7,,,,,BEKAD1,,,,,
ICS 68,15.9,,,,,BEKAD1,,,,,
ICS 69,23.6,,,,,BEKAD1,,,,,
ICS 7,17.1,,,,,BEKAD1,,,,,
ICS 70,26.4,,,,,BEKAD1,,,,,
ICS 72,25.3,,,,,BEKAD1,,,,,
ICS 73,23.6,,,,,BEKAD1,,,,,
ICS 75,18.7,,,,,BEKAD1,,,,,
ICS 76,31.6,,,,,BEKAD1,,,,,
ICS 77,32.2,,,,,BEKAD1,,,,,
ICS 8,19.8,,,,,BEKAD1,,,,,
ICS 80,23.3,,,,,BEKAD1,,,,,
ICS 82,21.9,,,,,BEKAD1,,,,,
ICS 83,20.5,,,,,BEKAD1,,,,,
ICS 84,28.3,,,,,BEKAD1,,,,,
ICS 85,19.7,,,,,BEKAD1,,,,,
ICS 86,32.3,,,,,BEKAD1,,,,,
ICS 87,26.0,,,,,BEKAD1,,,,,
ICS 88,18.3,,,,,BEKAD1,,,,,
ICS 89,28.3,,,,,BEKAD1,,,,,
ICS 90,21.4,,,,,BEKAD1,,,,,
ICS 92,20.7,,,,,BEKAD1,,,,,
ICS 93,19.4,,,,,BEKAD1,,,,,
ICS 94,26.7,,,,,BEKAD1,,,,,
ICS 95,22.1,,,,,BEKAD1,,,,,
ICS 96,23.9,,,,,BEKAD1,,,,,
ICS 97,23.8,,,,,BEKAD1,,,,,
ICS 98,30.5,,,,,BEKAD1,,,,,
ICS 99,23.4,,,,,BEKAD1,,,,,
IMC 10,16.9,,,,,BEKAD1,,,,,
IMC 103,25.3,,,,,BEKAD1,,,,,
IMC 104,31.3,,,,,BEKAD1,,,,,
IMC 105,22.6,,,,,BEKAD1,,,,,
IMC 107,23.0,,,,,BEKAD1,,,,,
IMC 11,27.8,,,,,BEKAD1,,,,,
IMC 12,27.2,,,,,BEKAD1,,,,,
IMC 13,24.2,,,,,BEKAD1,,,,,
IMC 14,25.2,,,,,BEKAD1,,,,,
IMC 16,25.3,,,,,BEKAD1,,,,,
IMC 18,27.0,,,,,BEKAD1,,,,,
IMC 2,22.1,,,,,BEKAD1,,,,,
IMC 20,23.1,,,,,BEKAD1,,,,,
IMC 22,28.2,,,,,BEKAD1,,,,,
IMC 23,26.1,,,,,BEKAD1,,,,,
IMC 27,19.7,,,,,BEKAD1,,,,,
IMC 3,18.7,,,,,BEKAD1,,,,,
IMC 30,25.5,,,,,BEKAD1,,,,,
IMC 31,23.1,,,,,BEKAD1,,,,,
IMC 33,18.9,,,,,BEKAD1,,,,,
IMC 36,22.8,,,,,BEKAD1,,,,,
IMC 38,25.3,,,,,BEKAD1,,,,,
IMC 39,20.7,,,,,BEKAD1,,,,,
IMC 41,25.8,,,,,BEKAD1,,,,,
IMC 42,25.0,,,,,BEKAD1,,,,,
IMC 44,22.6,,,,,BEKAD1,,,,,
IMC 45,22.6,,,,,BEKAD1,,,,,
IMC 47,27.4,,,,,BEKAD1,,,,,
IMC 48,21.8,,,,,BEKAD1,,,,,
IMC 49,25.7,,,,,BEKAD1,,,,,
IMC 5,30.4,,,,,BEKAD1,,,,,
IMC 50,29.3,,,,,BEKAD1,,,,,
IMC 51,33.5,,,,,BEKAD1,,,,,
IMC 53,25.0,,,,,BEKAD1,,,,,
IMC 54,25.0,,,,,BEKAD1,,,,,
IMC 55,23.2,,,,,BEKAD1,,,,,
IMC 57,22.9,,,,,BEKAD1,,,,,
IMC 58,24.4,,,,,BEKAD1,,,,,
IMC 59,24.4,,,,,BEKAD1,,,,,
IMC 6,23.9,,,,,BEKAD1,,,,,
IMC 60,21.3,,,,,BEKAD1,,,,,
IMC 61,19.9,,,,,BEKAD1,,,,,
IMC 63,20.7,,,,,BEKAD1,,,,,
IMC 65,18.9,,,,,BEKAD1,,,,,
IMC 66,24.2,,,,,BEKAD1,,,,,
IMC 67,20.0,,,,,BEKAD1,,,,,
IMC 68,20.0,,,,,BEKAD1,,,,,
IMC 71,19.4,,,,,BEKAD1,,,,,
IMC 73,22.4,,,,,BEKAD1,,,,,
IMC 76,23.9,,,,,BEKAD1,,,,,
IMC 77,20.4,,,,,BEKAD1,,,,,
IMC 78,23.3,,,,,BEKAD1,,,,,
IMC 81,26.1,,,,,BEKAD1,,,,,
IMC 83,21.7,,,,,BEKAD1,,,,,
IMC 85,29.1,,,,,BEKAD1,,,,,
IMC 9,24.7,,,,,BEKAD1,,,,,
IMC 94,21.1,,,,,BEKAD1,,,,,
IMC 96,24.5,,,,,BEKAD1,,,,,
IMC 97,16.0,,,,,BEKAD1,,,,,
IMC 98,29.3,,,,,BEKAD1,,,,,
JA 1 /10 [POU],19.1,,,,,BEKAD1,,,,,
JA 1 /11 [POU],18.9,,,,,BEKAD1,,,,,
JA 1 /12 [POU],21.4,,,,,BEKAD1,,,,,
JA 1 /13 [POU],23.2,,,,,BEKAD1,,,,,
JA 1 /14 [POU],25.3,,,,,BEKAD1,,,,,
JA 1 /15 [POU],30.2,,,,,BEKAD1,,,,,
JA 1 /17 [POU],18.3,,,,,BEKAD1,,,,,
JA 1 /18 [POU],18.9,,,,,BEKAD1,,,,,
JA 1 /19 [POU],23.1,,,,,BEKAD1,,,,,
JA 1 /2 [POU],21.2,,,,,BEKAD1,,,,,
JA 1 /20 [POU],25.7,,,,,BEKAD1,,,,,
JA 1 /21 [POU],26.7,,,,,BEKAD1,,,,,
JA 1 /23 [POU],28.9,,,,,BEKAD1,,,,,
JA 1 /25 [POU],23.3,,,,,BEKAD1,,,,,
JA 1 /29 [POU],21.6,,,,,BEKAD1,,,,,
JA 1 /3 [POU],22.1,,,,,BEKAD1,,,,,
JA 1 /4 [POU],23.5,,,,,BEKAD1,,,,,
JA 1 /5 [POU],22.4,,,,,BEKAD1,,,,,
JA 1 /6 [POU],19.7,,,,,BEKAD1,,,,,
JA 1 /9 [POU],20.0,,,,,BEKAD1,,,,,
JA 10 /11 [POU],20.3,,,,,BEKAD1,,,,,
JA 10 /12 [POU],37.5,,,,,BEKAD1,,,,,
JA 10 /16 [POU],19.5,,,,,BEKAD1,,,,,
JA 10 /31 [POU],27.7,,,,,BEKAD1,,,,,
JA 10 /32 [POU],25.7,,,,,BEKAD1,,,,,
JA 10 /33 [POU],24.3,,,,,BEKAD1,,,,,
JA 10 /34 [POU],28.6,,,,,BEKAD1,,,,,
JA 10 /35 [POU],24.5,,,,,BEKAD1,,,,,
JA 10 /38 [POU],30.0,,,,,BEKAD1,,,,,
JA 10 /4 [POU],19.7,,,,,BEKAD1,,,,,
JA 10 /40 [POU],24.9,,,,,BEKAD1,,,,,
JA 10 /41 [POU],21.1,,,,,BEKAD1,,,,,
JA 10 /42 [POU],22.8,,,,,BEKAD1,,,,,
JA 10 /46 [POU],26.2,,,,,BEKAD1,,,,,
JA 10 /5 [POU],26.5,,,,,BEKAD1,,,,,
JA 10 /51 [POU],26.7,,,,,BEKAD1,,,,,
JA 10 /52 [POU],20.7,,,,,BEKAD1,,,,,
JA 10 /54 [POU],19.1,,,,,BEKAD1,,,,,
JA 10 /55 [POU],22.9,,,,,BEKAD1,,,,,
JA 10 /6 [POU],30.9,,,,,BEKAD1,,,,,
JA 2 /11 [POU],24.8,,,,,BEKAD1,,,,,
JA 2 /12 [POU],21.8,,,,,BEKAD1,,,,,
JA 2 /18 [POU],24.7,,,,,BEKAD1,,,,,
JA 2 /2 [POU],18.1,,,,,BEKAD1,,,,,
JA 2 /21 [POU],17.1,,,,,BEKAD1,,,,,
JA 2 /26 [POU],27.2,,,,,BEKAD1,,,,,
JA 2 /4 [POU],27.8,,,,,BEKAD1,,,,,
JA 2 /6 [POU],23.5,,,,,BEKAD1,,,,,
JA 2 /8 [POU],32.8,,,,,BEKAD1,,,,,
JA 3 /11 [POU],22.8,,,,,BEKAD1,,,,,
JA 3 /14 [POU],26.5,,,,,BEKAD1,,,,,
JA 3 /16 [POU],20.3,,,,,BEKAD1,,,,,
JA 3 /18 [POU],22.4,,,,,BEKAD1,,,,,
JA 3 /2 [POU],27.1,,,,,BEKAD1,,,,,
JA 3 /20 [POU],20.8,,,,,BEKAD1,,,,,
JA 3 /22 [POU],28.2,,,,,BEKAD1,,,,,
JA 3 /27 [POU],25.0,,,,,BEKAD1,,,,,
JA 3 /28 [POU],27.2,,,,,BEKAD1,,,,,
JA 3 /29 [POU],20.9,,,,,BEKAD1,,,,,
JA 3 /30 [POU],25.9,,,,,BEKAD1,,,,,
JA 3 /32 [POU],23.1,,,,,BEKAD1,,,,,
JA 3 /35 [POU],18.5,,,,,BEKAD1,,,,,
JA 3 /38 [POU],33.0,,,,,BEKAD1,,,,,
JA 3 /39 [POU],23.0,,,,,BEKAD1,,,,,
JA 3 /4 [POU],19.4,,,,,BEKAD1,,,,,
JA 3 /5 ]POU[,23.9,,,,,BEKAD1,,,,,
JA 3 /9 [POU],42.0,,,,,BEKAD1,,,,,
JA 4 /14 [POU],21.5,,,,,BEKAD1,,,,,
JA 4 /17 [POU],27.0,,,,,BEKAD1,,,,,
JA 4 /21 [POU],24.5,,,,,BEKAD1,,,,,
JA 4 /28 [POU],25.5,,,,,BEKAD1,,,,,
JA 4 /7 [POU],17.9,,,,,BEKAD1,,,,,
JA 4 /9 [POU],41.1,,,,,BEKAD1,,,,,
JA 5 /10 [POU],22.4,,,,,BEKAD1,,,,,
JA 5 /11 [POU],23.7,,,,,BEKAD1,,,,,
JA 5 /18 [POU],29.2,,,,,BEKAD1,,,,,
JA 5 /19 [POU],27.8,,,,,BEKAD1,,,,,
JA 5 /2 [POU],21.5,,,,,BEKAD1,,,,,
JA 5 /21 [POU],17.5,,,,,BEKAD1,,,,,
JA 5 /23 [POU],31.3,,,,,BEKAD1,,,,,
JA 5 /24 [POU],18.5,,,,,BEKAD1,,,,,
JA 5 /25 [POU],19.1,,,,,BEKAD1,,,,,
JA 5 /26 [POU],21.6,,,,,BEKAD1,,,,,
JA 5 /27 [POU],30.1,,,,,BEKAD1,,,,,
JA 5 /28 [POU],22.6,,,,,BEKAD1,,,,,
JA 5 /31 [POU],17.2,,,,,BEKAD1,,,,,
JA 5 /34 [POU],25.5,,,,,BEKAD1,,,,,
JA 5 /35 [POU],17.0,,,,,BEKAD1,,,,,
JA 5 /36 [POU],15.5,,,,,BEKAD1,,,,,
JA 5 /37 [POU],21.8,,,,,BEKAD1,,,,,
JA 5 /38 [POU],17.9,,,,,BEKAD1,,,,,
JA 5 /39 [POU],22.9,,,,,BEKAD1,,,,,
JA 5 /4 [POU],23.5,,,,,BEKAD1,,,,,
JA 5 /40 [POU],23.4,,,,,BEKAD1,,,,,
JA 5 /41 [POU],18.6,,,,,BEKAD1,,,,,
