Clone name,Colour,Refcode,Notes,Info
AM 1 /4 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /40 [POU],intense anthocyanin,BEKAD1,,
AM 1 /42 [POU],slight anthocyanin,BEKAD1,,
AM 1 /48 [POU],slight anthocyanin,BEKAD1,,
AM 1 /49 [POU],slight anthocyanin,BEKAD1,,
AM 1 /5 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /53 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /54 [POU],slight anthocyanin,BEKAD1,,
AM 1 /55 [POU],slight anthocyanin,BEKAD1,,
AM 1 /56 [POU],intense anthocyanin,BEKAD1,,
AM 1 /57 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /60 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /63 [POU],slight anthocyanin,BEKAD1,,
AM 1 /67 [POU],slight anthocyanin,BEKAD1,,
AM 1 /68 [POU],intense anthocyanin,BEKAD1,,
AM 1 /7 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /70 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /72 [POU],slight anthocyanin,BEKAD1,,
AM 1 /73 [POU],intense anthocyanin,BEKAD1,,
AM 1 /75 [POU],slight anthocyanin,BEKAD1,,
AM 1 /8 [POU],slight anthocyanin,BEKAD1,,
AM 1 /85 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /87 [POU],slight anthocyanin,BEKAD1,,
AM 1 /88 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /96 [POU],intense anthocyanin,BEKAD1,,
AM 1 /97 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /1 [POU],intense anthocyanin,BEKAD1,,
AM 2 /11 [POU],anthocyanin absent,BEKAD1,,
AM 2 /12 [POU],slight anthocyanin,BEKAD1,,
AM 2 /13 [POU],slight anthocyanin,BEKAD1,,
AM 2 /14 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /17 [POU],slight anthocyanin,BEKAD1,,
AM 2 /18 [POU],slight anthocyanin,BEKAD1,,
AM 2 /19 [POU],intense anthocyanin,BEKAD1,,
AM 2 /21 [POU],intense anthocyanin,BEKAD1,,
AM 2 /28 [POU],intense anthocyanin,BEKAD1,,
AM 2 /31 [POU],intense anthocyanin,BEKAD1,,
AM 2 /32 [POU],slight anthocyanin,BEKAD1,,
AM 2 /36 [POU],slight anthocyanin,BEKAD1,,
AM 2 /38 [POU],slight anthocyanin,BEKAD1,,
AM 2 /39 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /4 [POU],slight anthocyanin,BEKAD1,,
AM 2 /41 [POU],anthocyanin absent,BEKAD1,,
AM 2 /42 [POU],moderate anthocyanin,BEKAD1,,
