Clone name,Colour,Refcode,Notes,Info
CL 9 /33,slight anthocyanin,BEKAD1,,
CL 9 /4,slight anthocyanin,BEKAD1,,
CL 9 /51,anthocyanin absent,BEKAD1,,
CL 9 /53,moderate anthocyanin,BEKAD1,,
CL 9 /56,slight anthocyanin,BEKAD1,,
CL 9 /6,slight anthocyanin,BEKAD1,,
CL 9 /7,moderate anthocyanin,BEKAD1,,
CL 9 /9,moderate anthocyanin,BEKAD1,,
CL 91 /1,slight anthocyanin,BEKAD1,,
CL 91 /5,slight anthocyanin,BEKAD1,,
CL 91 /6,intense anthocyanin,BEKAD1,,
CL 91 /7,intense anthocyanin,BEKAD1,,
CLEM 5 /62,moderate anthocyanin,BEKAD1,,
CLEM /S-62-1,moderate anthocyanin,BEKAD1,,
CLM 100,intense anthocyanin,BEKAD1,,
CLM 101,moderate anthocyanin,BEKAD1,,
CLM 107,intense anthocyanin,BEKAD1,,
CLM 11,slight anthocyanin,BEKAD1,,
CLM 111,moderate anthocyanin,BEKAD1,,
CLM 114,slight anthocyanin,BEKAD1,,
CLM 116,intense anthocyanin,BEKAD1,,
CLM 122,moderate anthocyanin,BEKAD1,,
CLM 19,slight anthocyanin,BEKAD1,,
CLM 3,intense anthocyanin,BEKAD1,,
CLM 35,slight anthocyanin,BEKAD1,,
CLM 41,intense anthocyanin,BEKAD1,,
CLM 43,moderate anthocyanin,BEKAD1,,
CLM 49,slight anthocyanin,BEKAD1,,
CLM 56,slight anthocyanin,BEKAD1,,
CLM 59,intense anthocyanin,BEKAD1,,
CLM 6,slight anthocyanin,BEKAD1,,
CLM 60,intense anthocyanin,BEKAD1,,
CLM 61,slight anthocyanin,BEKAD1,,
CLM 64,intense anthocyanin,BEKAD1,,
CLM 70,slight anthocyanin,BEKAD1,,
CLM 78,moderate anthocyanin,BEKAD1,,
CLM 82,intense anthocyanin,BEKAD1,,
CLM 83,anthocyanin absent,BEKAD1,,
CLM 85,anthocyanin absent,BEKAD1,,
CLM 86,slight anthocyanin,BEKAD1,,
CLM 88,slight anthocyanin,BEKAD1,,
CLM 90,moderate anthocyanin,BEKAD1,,
CLM 91,moderate anthocyanin,BEKAD1,,
CLM 96,slight anthocyanin,BEKAD1,,
CLM 97,slight anthocyanin,BEKAD1,,
CLM 99,intense anthocyanin,BEKAD1,,
COCA 3310 /3 [CHA],slight anthocyanin,BEKAD1,,
COCA 3318 /15 [CHA],anthocyanin absent,BEKAD1,,
COCA 3343 /2 [CHA],anthocyanin absent,BEKAD1,,
COCA 3343 /7 [CHA],anthocyanin absent,BEKAD1,,
COCA 3345 /23 [CHA],slight anthocyanin,BEKAD1,,
COCA 3348 /44 [CHA],slight anthocyanin,BEKAD1,,
COCA 3348 /52 [CHA],intense anthocyanin,BEKAD1,,
COCA 3370 /5 [CHA],slight anthocyanin,BEKAD1,,
CRIOLLO 54 [CRI],intense anthocyanin,BEKAD1,,
CRU 100,slight anthocyanin,BEKAD1,,
CRU 101,slight anthocyanin,BEKAD1,,
CRU 102,moderate anthocyanin,BEKAD1,,
CRU 103,intense anthocyanin,BEKAD1,,
CRU 104,slight anthocyanin,BEKAD1,,
CRU 105,moderate anthocyanin,BEKAD1,,
CRU 106,intense anthocyanin,BEKAD1,,
CRU 107,slight anthocyanin,BEKAD1,,
CRU 11,slight anthocyanin,BEKAD1,,
CRU 111,moderate anthocyanin,BEKAD1,,
CRU 112,slight anthocyanin,BEKAD1,,
CRU 113,moderate anthocyanin,BEKAD1,,
CRU 114,intense anthocyanin,BEKAD1,,
CRU 116,moderate anthocyanin,BEKAD1,,
CRU 119,slight anthocyanin,BEKAD1,,
CRU 12,slight anthocyanin,BEKAD1,,
CRU 120,slight anthocyanin,BEKAD1,,
CRU 121,moderate anthocyanin,BEKAD1,,
CRU 122,moderate anthocyanin,BEKAD1,,
CRU 123,slight anthocyanin,BEKAD1,,
CRU 124,intense anthocyanin,BEKAD1,,
CRU 126,moderate anthocyanin,BEKAD1,,
CRU 127,slight anthocyanin,BEKAD1,,
CRU 128,moderate anthocyanin,BEKAD1,,
CRU 129,moderate anthocyanin,BEKAD1,,
CRU 13,moderate anthocyanin,BEKAD1,,
CRU 130,moderate anthocyanin,BEKAD1,,
CRU 131,intense anthocyanin,BEKAD1,,
CRU 132,slight anthocyanin,BEKAD1,,
CRU 133,anthocyanin absent,BEKAD1,,
CRU 134,intense anthocyanin,BEKAD1,,
CRU 135,moderate anthocyanin,BEKAD1,,
CRU 136,moderate anthocyanin,BEKAD1,,
CRU 137,moderate anthocyanin,BEKAD1,,
CRU 138,slight anthocyanin,BEKAD1,,
CRU 142,moderate anthocyanin,BEKAD1,,
CRU 146,moderate anthocyanin,BEKAD1,,
CRU 147,slight anthocyanin,BEKAD1,,
CRU 153,slight anthocyanin,BEKAD1,,
CRU 154,slight anthocyanin,BEKAD1,,
CRU 156 (MIS_TTOICGT_GU 175 /P),intense anthocyanin,BEKAD1,,
CRU 19,moderate anthocyanin,BEKAD1,,
CRU 21,slight anthocyanin,BEKAD1,,
CRU 255,moderate anthocyanin,BEKAD1,,
CRU 263,moderate anthocyanin,BEKAD1,,
CRU 27,slight anthocyanin,BEKAD1,,
CRU 270,slight anthocyanin,BEKAD1,,
CRU 271 (MIS_TTO005_ICS 55),moderate anthocyanin,BEKAD1,,
CRU 28,slight anthocyanin,BEKAD1,,
CRU 32,intense anthocyanin,BEKAD1,,
CRU 34,slight anthocyanin,BEKAD1,,
CRU 35,moderate anthocyanin,BEKAD1,,
CRU 37,moderate anthocyanin,BEKAD1,,
CRU 38,slight anthocyanin,BEKAD1,,
CRU 40,slight anthocyanin,BEKAD1,,
CRU 47,slight anthocyanin,BEKAD1,,
CRU 4A /1,slight anthocyanin,BEKAD1,,
CRU 4A /10,intense anthocyanin,BEKAD1,,
CRU 4A/11,moderate anthocyanin,BEKAD1,,
CRU 4 A /2,moderate anthocyanin,BEKAD1,,
CRU 4A /3,slight anthocyanin,BEKAD1,,
CRU 4A/4,slight anthocyanin,BEKAD1,,
CRU 4A /5,slight anthocyanin,BEKAD1,,
CRU 4A /6,slight anthocyanin,BEKAD1,,
CRU 4A /7,moderate anthocyanin,BEKAD1,,
CRU 4A/8,slight anthocyanin,BEKAD1,,
CRU 4A/9,moderate anthocyanin,BEKAD1,,
CRU 5,moderate anthocyanin,BEKAD1,,
CRU 51,slight anthocyanin,BEKAD1,,
CRU 54,slight anthocyanin,BEKAD1,,
CRU 56,slight anthocyanin,BEKAD1,,
CRU 57,moderate anthocyanin,BEKAD1,,
CRU 59,slight anthocyanin,BEKAD1,,
CRU 5A /1,moderate anthocyanin,BEKAD1,,
CRU 5A /2,slight anthocyanin,BEKAD1,,
CRU 5A /3,intense anthocyanin,BEKAD1,,
CRU 5A /4,intense anthocyanin,BEKAD1,,
CRU 5A /5,intense anthocyanin,BEKAD1,,
CRU 5A /6,slight anthocyanin,BEKAD1,,
CRU 5B /10,intense anthocyanin,BEKAD1,,
CRU 5B /12,moderate anthocyanin,BEKAD1,,
CRU 5B /13,intense anthocyanin,BEKAD1,,
CRU 5B /14,intense anthocyanin,BEKAD1,,
CRU 5B /16,slight anthocyanin,BEKAD1,,
CRU 5B /17,slight anthocyanin,BEKAD1,,
CRU 5B /18,moderate anthocyanin,BEKAD1,,
CRU 5B /19,slight anthocyanin,BEKAD1,,
CRU 5B /2,slight anthocyanin,BEKAD1,,
CRU 5B /20,slight anthocyanin,BEKAD1,,
CRU 5B /21,intense anthocyanin,BEKAD1,,
CRU 5B /22,slight anthocyanin,BEKAD1,,
CRU 5B /23,moderate anthocyanin,BEKAD1,,
CRU 5B /24,moderate anthocyanin,BEKAD1,,
CRU 5B /25,moderate anthocyanin,BEKAD1,,
CRU 5B /27,moderate anthocyanin,BEKAD1,,
CRU 5B /3,slight anthocyanin,BEKAD1,,
CRU 5B /4,intense anthocyanin,BEKAD1,,
CRU 5B /9,slight anthocyanin,BEKAD1,,
CRU 6 /B-1,anthocyanin absent,BEKAD1,,
CRU 6 /B-2,anthocyanin absent,BEKAD1,,
CRU 6 /B-3,anthocyanin absent,BEKAD1,,
CRU 63,moderate anthocyanin,BEKAD1,,
CRU 64,moderate anthocyanin,BEKAD1,,
CRU 69,slight anthocyanin,BEKAD1,,
CRU 7,intense anthocyanin,BEKAD1,,
CRU 70,slight anthocyanin,BEKAD1,,
CRU 72,moderate anthocyanin,BEKAD1,,
CRU 73,slight anthocyanin,BEKAD1,,
CRU 74,slight anthocyanin,BEKAD1,,
CRU 77,slight anthocyanin,BEKAD1,,
CRU 78,slight anthocyanin,BEKAD1,,
CRU 8,slight anthocyanin,BEKAD1,,
CRU 80,moderate anthocyanin,BEKAD1,,
CRU 81,moderate anthocyanin,BEKAD1,,
CRU 83,moderate anthocyanin,BEKAD1,,
CRU 85,slight anthocyanin,BEKAD1,,
CRU 86,slight anthocyanin,BEKAD1,,
CRU 87,moderate anthocyanin,BEKAD1,,
CRU 89,slight anthocyanin,BEKAD1,,
CRU 90,slight anthocyanin,BEKAD1,,
CRU 91,moderate anthocyanin,BEKAD1,,
CRU 95,moderate anthocyanin,BEKAD1,,
CRU 96,slight anthocyanin,BEKAD1,,
CRU 97,slight anthocyanin,BEKAD1,,
CRU 98,slight anthocyanin,BEKAD1,,
CRU 99,moderate anthocyanin,BEKAD1,,
CRU C11 /1,slight anthocyanin,BEKAD1,,
CRU C11 /3,intense anthocyanin,BEKAD1,,
CRU C12 /1,intense anthocyanin,BEKAD1,,
CRU C12 /2,intense anthocyanin,BEKAD1,,
CRU C12 /3,moderate anthocyanin,BEKAD1,,
CRU C12 /4,intense anthocyanin,BEKAD1,,
CRU C12 /5,moderate anthocyanin,BEKAD1,,
CRU C12 /6,slight anthocyanin,BEKAD1,,
CRU C12 /7,moderate anthocyanin,BEKAD1,,
CRU C2 /1,moderate anthocyanin,BEKAD1,,
CRU C3 /4,moderate anthocyanin,BEKAD1,,
CRU C3 /5,moderate anthocyanin,BEKAD1,,
CRU C4 /10,slight anthocyanin,BEKAD1,,
CRU C4 /11,slight anthocyanin,BEKAD1,,
CRU C4 /12,moderate anthocyanin,BEKAD1,,
CRU C4 /13,moderate anthocyanin,BEKAD1,,
CRU C4 /3,slight anthocyanin,BEKAD1,,
CRU C4 /4,moderate anthocyanin,BEKAD1,,
CRU C4 /5,anthocyanin absent,BEKAD1,,
CRU C4 /6,moderate anthocyanin,BEKAD1,,
CRU C4 /7,moderate anthocyanin,BEKAD1,,
CRU C4 /9,slight anthocyanin,BEKAD1,,
CRU C5 /2,intense anthocyanin,BEKAD1,,
CRU C5 /3,moderate anthocyanin,BEKAD1,,
CRU C5 /4,moderate anthocyanin,BEKAD1,,
CRU C5 /5,slight anthocyanin,BEKAD1,,
CRU C5 /5,moderate anthocyanin,BEKAD1,,
CRU C5 /6,slight anthocyanin,BEKAD1,,
CRU C5 /7,moderate anthocyanin,BEKAD1,,
CRU C5 /8,intense anthocyanin,BEKAD1,,
CRU C6 /1,slight anthocyanin,BEKAD1,,
CRU C6 /13,moderate anthocyanin,BEKAD1,,
CRU C6 /14,moderate anthocyanin,BEKAD1,,
CRU C6 /16,moderate anthocyanin,BEKAD1,,
CRU C6 /19,moderate anthocyanin,BEKAD1,,
CRU C6 /20,moderate anthocyanin,BEKAD1,,
CRU C6 /22,moderate anthocyanin,BEKAD1,,
CRU C6 /23,intense anthocyanin,BEKAD1,,
CRU C6 /3,moderate anthocyanin,BEKAD1,,
CRU C6 /4,moderate anthocyanin,BEKAD1,,
CRU C6 /5,moderate anthocyanin,BEKAD1,,
CRU C6 /8,moderate anthocyanin,BEKAD1,,
CRU C7 /1,moderate anthocyanin,BEKAD1,,
CRU C7 /3,moderate anthocyanin,BEKAD1,,
CRU C7 /4,intense anthocyanin,BEKAD1,,
CRU C7 /5,intense anthocyanin,BEKAD1,,
CRU C7 /6,slight anthocyanin,BEKAD1,,
CRU C7 /7,moderate anthocyanin,BEKAD1,,
CRU C7 /9,moderate anthocyanin,BEKAD1,,
CRUZ 7 /11,moderate anthocyanin,BEKAD1,,
CRUZ 7 /14,moderate anthocyanin,BEKAD1,,
CRUZ 7 /8,slight anthocyanin,BEKAD1,,
CRUZ 8 /9,anthocyanin absent,BEKAD1,,
DE 33 /B,slight anthocyanin,BEKAD1,,
DE 36 /A,moderate anthocyanin,BEKAD1,,
DE 52 /B,slight anthocyanin,BEKAD1,,
DE 53 /B,intense anthocyanin,BEKAD1,,
DE 64 /A,moderate anthocyanin,BEKAD1,,
DE 64 /B,moderate anthocyanin,BEKAD1,,
DE 65 /A,anthocyanin absent,BEKAD1,,
DE 73 /A,anthocyanin absent,BEKAD1,,
DOM 1,intense anthocyanin,BEKAD1,,
DOM 10,moderate anthocyanin,BEKAD1,,
DOM 11,slight anthocyanin,BEKAD1,,
DOM 13,moderate anthocyanin,BEKAD1,,
DOM 14,intense anthocyanin,BEKAD1,,
DOM 15,slight anthocyanin,BEKAD1,,
DOM 16,intense anthocyanin,BEKAD1,,
DOM 18,moderate anthocyanin,BEKAD1,,
DOM 2,intense anthocyanin,BEKAD1,,
DOM 20,intense anthocyanin,BEKAD1,,
DOM 21,moderate anthocyanin,BEKAD1,,
DOM 23,moderate anthocyanin,BEKAD1,,
DOM 24,slight anthocyanin,BEKAD1,,
DOM 25,moderate anthocyanin,BEKAD1,,
DOM 27,slight anthocyanin,BEKAD1,,
DOM 3,moderate anthocyanin,BEKAD1,,
DOM 30,moderate anthocyanin,BEKAD1,,
DOM 31,slight anthocyanin,BEKAD1,,
DOM 33,intense anthocyanin,BEKAD1,,
DOM 34,slight anthocyanin,BEKAD1,,
DOM 35,moderate anthocyanin,BEKAD1,,
DOM 4,moderate anthocyanin,BEKAD1,,
DOM 5,intense anthocyanin,BEKAD1,,
DOM 7,intense anthocyanin,BEKAD1,,
DOM 8,slight anthocyanin,BEKAD1,,
DOM 9,moderate anthocyanin,BEKAD1,,
DOPOL 2 /1-4,intense anthocyanin,BEKAD1,,
DOPOL 2 /1-5,slight anthocyanin,BEKAD1,,
DOPOL 3 /2-5,moderate anthocyanin,BEKAD1,,
DOPOL 3 /2-6,moderate anthocyanin,BEKAD1,,
DOPOL 4 /4-7,moderate anthocyanin,BEKAD1,,
DOPOL 6 /15-10,moderate anthocyanin,BEKAD1,,
DOPOL 6 /15-5,slight anthocyanin,BEKAD1,,
DOPOL 6 /15-9,slight anthocyanin,BEKAD1,,
DOPOL 7 /2-3,moderate anthocyanin,BEKAD1,,
DOS HERMANOS,intense anthocyanin,BEKAD1,,
DOS HERMANOS 1,slight anthocyanin,BEKAD1,,
DOS HERMANOS 2,slight anthocyanin,BEKAD1,,
DR 1,slight anthocyanin,BEKAD1,,
DR 2,slight anthocyanin,BEKAD1,,
DR 38,moderate anthocyanin,BEKAD1,,
E 34 [ECU],slight anthocyanin,BEKAD1,,
E 41 [ECU],moderate anthocyanin,BEKAD1,,
E 575 [ICT],slight anthocyanin,BEKAD1,,
EBC 135,slight anthocyanin,BEKAD1,,
EBC 148 /S-301,moderate anthocyanin,BEKAD1,,
ECNR,anthocyanin absent,BEKAD1,,
EEG 8,intense anthocyanin,BEKAD1,,
EET 162 [ECU],slight anthocyanin,BEKAD1,,
EET 183 [ECU],slight anthocyanin,BEKAD1,,
EET 19 [ECU],slight anthocyanin,BEKAD1,,
EET 272 [ECU],slight anthocyanin,BEKAD1,,
EET 28 [ECU],anthocyanin absent,BEKAD1,,
EET 338 [ECU],intense anthocyanin,BEKAD1,,
EET 338 /3578 [ECU],intense anthocyanin,BEKAD1,,
EET 338 /9577 [ECU],moderate anthocyanin,BEKAD1,,
EET 397 [ECU],slight anthocyanin,BEKAD1,,
EET 399 [ECU],anthocyanin absent,BEKAD1,,
EET 400 [ECU],slight anthocyanin,BEKAD1,,
EET 401 [ECU],slight anthocyanin,BEKAD1,,
EET 48 [ECU],moderate anthocyanin,BEKAD1,,
EET 58 [ECU],slight anthocyanin,BEKAD1,,
EET 59 [ECU],slight anthocyanin,BEKAD1,,
EET 95 [ECU],moderate anthocyanin,BEKAD1,,
ELP 1 A,moderate anthocyanin,BEKAD1,,
ELP 1 /S4,moderate anthocyanin,BEKAD1,,
ELP 10 /S6,moderate anthocyanin,BEKAD1,,
ELP 10 /T,moderate anthocyanin,BEKAD1,,
ELP 11 /S1,moderate anthocyanin,BEKAD1,,
ELP 11 /S3,moderate anthocyanin,BEKAD1,,
ELP 13 /8,intense anthocyanin,BEKAD1,,
ELP 16 /S3,moderate anthocyanin,BEKAD1,,
ELP 16 /S7,moderate anthocyanin,BEKAD1,,
ELP 18 /S12,intense anthocyanin,BEKAD1,,
ELP 2 /S4,moderate anthocyanin,BEKAD1,,
ELP 20 A,intense anthocyanin,BEKAD1,,
ELP 20 /S3,moderate anthocyanin,BEKAD1,,
ELP 21 /1,moderate anthocyanin,BEKAD1,,
ELP 21 /10,moderate anthocyanin,BEKAD1,,
ELP 21 /20,moderate anthocyanin,BEKAD1,,
ELP 22 /S10,moderate anthocyanin,BEKAD1,,
ELP 22 /S6,intense anthocyanin,BEKAD1,,
ELP 26 /14,intense anthocyanin,BEKAD1,,
ELP 26 /19,intense anthocyanin,BEKAD1,,
ELP 26 /3,moderate anthocyanin,BEKAD1,,
ELP 28 /S4,intense anthocyanin,BEKAD1,,
ELP 28 /S6,moderate anthocyanin,BEKAD1,,
ELP 30 /S5,intense anthocyanin,BEKAD1,,
ELP 32 /S3,intense anthocyanin,BEKAD1,,
ELP 32 /S4,intense anthocyanin,BEKAD1,,
ELP 34 /S13,intense anthocyanin,BEKAD1,,
ELP 34 /S7,moderate anthocyanin,BEKAD1,,
ELP 35 B,intense anthocyanin,BEKAD1,,
ELP 35 /S4,moderate anthocyanin,BEKAD1,,
ELP 38 /11,moderate anthocyanin,BEKAD1,,
ELP 38 /15,intense anthocyanin,BEKAD1,,
ELP 38 /2,moderate anthocyanin,BEKAD1,,
ELP 40 B,moderate anthocyanin,BEKAD1,,
ELP 40 /S9,intense anthocyanin,BEKAD1,,
ELP 41 /S5,moderate anthocyanin,BEKAD1,,
ELP 7 /S2,moderate anthocyanin,BEKAD1,,
ELP 7 /S7,intense anthocyanin,BEKAD1,,
ELP 8 A,moderate anthocyanin,BEKAD1,,
ELP 8 /S3,intense anthocyanin,BEKAD1,,
ELP 9 /S2,moderate anthocyanin,BEKAD1,,
ELP 9 /S4,moderate anthocyanin,BEKAD1,,
EQX /J [CHA],anthocyanin absent,BEKAD1,,
EQX 27 [EQX],moderate anthocyanin,BEKAD1,,
EQX 3164 [CHA],moderate anthocyanin,BEKAD1,,
EQX 39 [EQX],anthocyanin absent,BEKAD1,,
EQX 4 [EQX],intense anthocyanin,BEKAD1,,
EQX 69 [EQX],moderate anthocyanin,BEKAD1,,
FSC 13,moderate anthocyanin,BEKAD1,,
G 8 [GET],slight anthocyanin,BEKAD1,,
GC T 998 /38,moderate anthocyanin,BEKAD1,,
GA 11 [HAI],intense anthocyanin,BEKAD1,,
GC T 998 /2,anthocyanin absent,BEKAD1,,
GC T 998 /55,anthocyanin absent,BEKAD1,,
GC T 998 /59,intense anthocyanin,BEKAD1,,
GC T 998 /60,slight anthocyanin,BEKAD1,,
GC T 998 /66,moderate anthocyanin,BEKAD1,,
GC T 998 /76,slight anthocyanin,BEKAD1,,
GC T 998 /96,moderate anthocyanin,BEKAD1,,
GC T 999 /59,moderate anthocyanin,BEKAD1,,
GDL 1,intense anthocyanin,BEKAD1,,
GDL 11,intense anthocyanin,BEKAD1,,
GDL 2,moderate anthocyanin,BEKAD1,,
GDL 3,intense anthocyanin,BEKAD1,,
GDL 7,moderate anthocyanin,BEKAD1,,
GEBP 1 /M [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1001 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1004 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1005 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1009 /T [ADI],slight anthocyanin,BEKAD1,,
GEBP 1010 /R [ADI],slight anthocyanin,BEKAD1,,
GEBP 1015 /R [ADI],slight anthocyanin,BEKAD1,,
GEBP 1016 /R [ADI],slight anthocyanin,BEKAD1,,
GEBP 1016 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1018 /R [ADI],anthocyanin absent,BEKAD1,,
GEBP 1020 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1021 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1026 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1028 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1030 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1034 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1037 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1038 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1042 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1043 /T [ADI],slight anthocyanin,BEKAD1,,
GEBP 1046 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1048 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1050 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1055 /F [ADI],slight anthocyanin,BEKAD1,,
GEBP 106 /M [ADI],slight anthocyanin,BEKAD1,,
GEBP 107 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1079 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 108 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1081 /T [ADI],slight anthocyanin,BEKAD1,,
GEBP 1082 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1084 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 1085 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1086 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 1087 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1088 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 109 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1092 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1093 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1094 /T [ADI],slight anthocyanin,BEKAD1,,
GEBP 1095 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1096 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1097 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1098 /T [ADI],slight anthocyanin,BEKAD1,,
GEBP 11 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 110 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1101 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1102 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1104 /T [ADI],slight anthocyanin,BEKAD1,,
GEBP 1105 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 1106 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 111 /F [ADI],intense anthocyanin,BEKAD1,,
GEBP 1110 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1113 /T [ADI],slight anthocyanin,BEKAD1,,
GEBP 1115 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1116 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1119 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 112 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1124 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1127 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 113 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1130 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 1131 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 1132 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 1135 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1136 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1137 /T [ADI],moderate anthocyanin,BEKAD1,,
GEBP 114 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1140 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1141 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1143 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1144 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1147 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1148 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1149 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 115 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1152 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1154 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1155 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1156 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1157 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1158 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 116 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1160 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1161 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1164 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1165 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 1167 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 117 /M [ADI],slight anthocyanin,BEKAD1,,
GEBP 1170 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1172 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1173 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1174 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1176 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1179 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 118 /M [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1182 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1184 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1186 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1189 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 119 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1190 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1191 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1193 /R [ADI],intense anthocyanin,BEKAD1,,
GEBP 1194 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1194 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1195 /R [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1196 /F [ADI],intense anthocyanin,BEKAD1,,
GEBP 1197 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 12 /T [ADI],intense anthocyanin,BEKAD1,,
GEBP 1203 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1205 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1205 /F [ADI],intense anthocyanin,BEKAD1,,
GEBP 1206 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1207 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1209 /M [ADI],moderate anthocyanin,BEKAD1,,
GEBP 121 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1212 /M [ADI],intense anthocyanin,BEKAD1,,
GEBP 1215 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1216 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1218 /F [ADI],moderate anthocyanin,BEKAD1,,
GEBP 1219 /F [ADI],slight anthocyanin,BEKAD1,,
GEBP 122 /M [ADI],moderate anthocyanin,BEKAD1,,
