Clone name,Fat,Info,Refcode,Fat (max),Fat min,Testa
IMC 16,51.79,,CRU98A,,,5.66
IMC 2,52.9,,CRU98A,,,5.90
IMC 20,55.83,,CRU98A,,,4.85
IMC 38,53.7,,CRU98A,,,6.50
IMC 47,53.5,,CRU98A,,,6.10
IMC 51,54.84,,CRU98A,,,9.82
IMC 53,55.0,,CRU98A,,,6.28
IMC 54,54.01,,CRU98A,,,6.27
IMC 55,54.6,,CRU98A,,,6.90
IMC 57,53.2,,CRU98A,,,5.80
IMC 57,51.78,,CRU98A,,,5.25
IMC 58,54.65,,CRU98A,,,5.76
IMC 59,53.5,,CRU98A,,,8.70
IMC 6,55.0,,CRU98A,,,6.40
IMC 60,55.84,,CRU98A,,,4.81
IMC 65,53.8,,CRU98A,,,5.20
IMC 67,54.3,,CRU98A,,,6.80
IMC 68,55.03,,CRU98A,,,6.01
IMC 71,53.5,,CRU98A,,,4.90
IMC 73,53.9,,CRU98A,,,6.20
IMC 77,54.0,,CRU98A,,,6.50
IMC 78,53.35,,CRU98A,,,6.30
IMC 85,54.75,,CRU98A,,,7.99
IMC 94,54.77,,CRU98A,,,5.32
JA 10 /11 [POU],53.5,,CRU98A,,,8.10
JA 10 /12 [POU],55.9,,CRU98A,,,4.60
JA 10 /16 [POU],55.06,,CRU98A,,,5.42
JA 10 /33 [POU],54.42,,CRU98A,,,7.00
JA 10 /38 [POU],51.7,,CRU98A,,,8.10
JA 10 /41 [POU],54.1,,CRU98A,,,6.20
JA 10 /42 [POU],54.2,,CRU98A,,,5.90
JA 10 /4 [POU],53.62,,CRU98A,,,6.81
JA 10 /5 [POU],54.72,,CRU98A,,,6.72
JA 1 /11 [POU],53.92,,CRU98A,,,6.08
JA 1 /10 [POU],54.38,,CRU98A,,,6.14
JA 1 /11 [POU],52.8,,CRU98A,,,7.30
JA 1 /12 [POU],51.77,,CRU98A,,,6.60
JA 1 /17 [POU],52.79,,CRU98A,,,5.23
JA 1 /19 [POU],54.69,,CRU98A,,,6.73
JA 1 /2 [POU],53.6,,CRU98A,,,6.30
JA 1 /9 [POU],50.92,,CRU98A,,,5.52
JA 3 /28 [POU],54.0,,CRU98A,,,7.10
JA 3 /39 [POU],51.78,,CRU98A,,,8.33
JA 4 /17 [POU],51.53,,CRU98A,,,10.19
JA 5 /24 [POU],52.2,,CRU98A,,,6.10
JA 5 /27 [POU],51.2,,CRU98A,,,6.30
JA 5 /4 [POU],51.5,,CRU98A,,,5.50
JA 5 /18 [POU],51.8,,CRU98A,,,5.90
JA 5 /19 [POU],51.9,,CRU98A,,,5.50
JA 5 /19 [POU],53.94,,CRU98A,,,5.12
JA 5 /25 [POU],53.4,,CRU98A,,,5.40
JA 5 /31 [POU],51.92,,CRU98A,,,6.24
JA 5 /34 [POU],54.2,,CRU98A,,,6.00
JA 5 /35 [POU],52.3,,CRU98A,,,6.30
JA 5 /36 [POU],53.1,,CRU98A,,,5.50
JA 5 /37 [POU],52.89,,CRU98A,,,5.43
JA 5 /39 [POU],51.5,,CRU98A,,,6.35
JA 5 /4 [POU],57.15,,CRU98A,,,5.84
JA 5 /47 [POU],51.01,,CRU98A,,,8.09
JA 5 /5 [POU],52.4,,CRU98A,,,5.70
JA 5 /9 [POU],52.3,,CRU98A,,,5.80
JA 5 /9 [POU],50.32,,CRU98A,,,6.47
JA 6 /1 [POU],55.71,,CRU98A,,,11.01
JA 6 /2 [POU],53.0,,CRU98A,,,7.70
JA 6 /4 [POU],54.66,,CRU98A,,,6.20
JA 8 /20 [POU],54.34,,CRU98A,,,6.14
JA 8 /26 [POU],54.13,,CRU98A,,,5.90
JA 8 /33 [POU],50.34,,CRU98A,,,4.89
JA 9 /16 [POU],54.2,,CRU98A,,,8.60
JA 9 /29 [POU],52.88,,CRU98A,,,10.28
JA 9 /34 [POU],55.0,,CRU98A,,,5.40
JA 9 /37 [POU],53.42,,CRU98A,,,11.50
LCT EEN 31,54.3,,CRU98A,,,6.40
LCT EEN 73 /A,53.2,,CRU98A,,,5.00
LCT EEN 246,53.75,,CRU98A,,,7.33
LCT EEN 326,52.84,,CRU98A,,,7.81
LCT EEN 37 /D,54.08,,CRU98A,,,6.26
LCT EEN 68,55.23,,CRU98A,,,11.44
LCT EEN 83 /S-8,52.92,,CRU98A,,,5.83
LP 1 /21 [POU],49.6,,CRU98A,,,6.15
LP 1 /45 [POU],54.48,,CRU98A,,,5.05
LP 3 /29 [POU],52.2,,CRU98A,,,5.10
LP 3 /4 [POU],50.86,,CRU98A,,,9.00
LP 3 /48 [POU],50.35,,CRU98A,,,7.71
LP 3 /15 [POU],53.38,,CRU98A,,,10.73
LP 3 /40 [POU],51.7,,CRU98A,,,4.40
LP 3 /45 [POU],54.45,,CRU98A,,,7.95
LP 4 /7 [POU],53.62,,CRU98A,,,6.85
LP 4 /12 [POU],55.6,,CRU98A,,,4.80
LP 4 /20 [POU],53.73,,CRU98A,,,6.47
LP 4 /24 [POU],53.8,,CRU98A,,,6.90
LP 4 /32 [POU],51.66,,CRU98A,,,6.26
LP 4 /48 [POU],48.95,,CRU98A,,,5.15
LP 4 /5 [POU],51.1,,CRU98A,,,6.40
LP 5 /1 [POU],53.39,,CRU98A,,,6.85
LP 5 /19 [POU],48.7,,CRU98A,,,7.10
LV 28 [POU],52.23,,CRU98A,,,11.80
LX 28,54.2,,CRU98A,,,6.80
LX 38,50.3,,CRU98A,,,8.80
LX 39,53.6,,CRU98A,,,4.80
LX 43,51.2,,CRU98A,,,6.40
LX 53,54.5,,CRU98A,,,6.90
LZ 13,51.97,,CRU98A,,,9.32
LZ 2,51.08,,CRU98A,,,6.97
LZ 33,51.6,,CRU98A,,,7.00
M 33 [ICT],50.5,,CRU98A,,,6.30
MAR 17,52.17,,CRU98A,,,6.60
MATINA 1 /7,54.9,,CRU98A,,,5.70
MO 14,52.66,,CRU98A,,,6.80
MO 81,51.17,,CRU98A,,,12.73
MO 9,54.16,,CRU98A,,,7.00
MOQ 5 /5,52.3,,CRU98A,,,7.00
MOQ 6 /102,51.7,,CRU98A,,,7.40
MOQ 6 /10,54.34,,CRU98A,,,6.96
MOQ 6 /109,52.89,,CRU98A,,,7.64
MOQ 6 /95,56.46,,CRU98A,,,6.71
MOQ 6 /99,52.6,,CRU98A,,,6.70
NA 110,52.9,,CRU98A,,,6.00
NA 111,51.63,,CRU98A,,,5.92
NA 12,53.6,,CRU98A,,,4.90
NA 127,53.77,,CRU98A,,,5.45
NA 137,52.51,,CRU98A,,,6.14
NA 14,54.86,,CRU98A,,,8.85
NA 141,53.59,,CRU98A,,,7.82
NA 142,51.74,,CRU98A,,,8.48
NA 144,55.72,,CRU98A,,,4.09
NA 149,55.91,,CRU98A,,,7.86
NA 154,53.4,,CRU98A,,,7.90
NA 155,51.8,,CRU98A,,,4.80
NA 157,54.95,,CRU98A,,,6.32
NA 16,53.1,,CRU98A,,,5.20
NA 168,53.5,,CRU98A,,,4.30
NA 170,55.4,,CRU98A,,,6.80
NA 178,54.2,,CRU98A,,,5.00
NA 179,54.92,,CRU98A,,,8.20
NA 181,52.17,,CRU98A,,,8.27
NA 186,54.68,,CRU98A,,,5.75
NA 187,55.1,,CRU98A,,,4.46
NA 189,51.04,,CRU98A,,,5.33
NA 191,55.5,,CRU98A,,,4.80
NA 194,54.6,,CRU98A,,,8.58
NA 21,50.9,,CRU98A,,,6.40
NA 217,54.1,,CRU98A,,,6.60
NA 230,51.27,,CRU98A,,,8.42
NA 235,52.23,,CRU98A,,,5.29
NA 244,54.27,,CRU98A,,,6.57
NA 258,53.0,,CRU98A,,,5.10
NA 283,54.0,,CRU98A,,,5.80
NA 286,53.5,,CRU98A,,,5.50
NA 289,55.9,,CRU98A,,,6.40
NA 3,52.0,,CRU98A,,,6.50
NA 312,57.18,,CRU98A,,,9.71
NA 326,56.01,,CRU98A,,,8.90
NA 329,53.2,,CRU98A,,,5.40
NA 335,53.2,,CRU98A,,,4.90
NA 337,54.9,,CRU98A,,,5.90
NA 342,53.97,,CRU98A,,,7.50
NA 359,54.9,,CRU98A,,,4.70
NA 370,54.2,,CRU98A,,,4.40
NA 399,53.9,,CRU98A,,,4.60
NA 406,53.5,,CRU98A,,,5.50
NA 435,55.0,,CRU98A,,,4.70
NA 45,55.2,,CRU98A,,,3.70
NA 471,55.86,,CRU98A,,,10.34
NA 475,56.27,,CRU98A,,,4.82
NA 507,51.91,,CRU98A,,,4.66
NA 519,53.8,,CRU98A,,,4.50
NA 534,55.0,,CRU98A,,,5.20
NA 58,55.9,,CRU98A,,,5.00
NA 62,55.1,,CRU98A,,,7.80
NA 672,53.4,,CRU98A,,,5.20
NA 68,52.5,,CRU98A,,,7.50
NA 685,54.9,,CRU98A,,,5.70
NA 689,54.9,,CRU98A,,,5.30
NA 7 /10,54.8,,CRU98A,,,7.00
NA 702,57.22,,CRU98A,,,4.40
NA 708,54.7,,CRU98A,,,5.60
NA 717,54.9,,CRU98A,,,5.90
NA 718,54.1,,CRU98A,,,5.90
NA 719,54.0,,CRU98A,,,5.10
NA 753,56.06,,CRU98A,,,6.30
NA 756,53.71,,CRU98A,,,4.69
NA 763,54.4,,CRU98A,,,3.40
NA 770,55.0,,CRU98A,,,5.40
NA 771,54.9,,CRU98A,,,3.50
NA 780,54.94,,CRU98A,,,8.20
NA 796,55.0,,CRU98A,,,6.10
NA 807,54.49,,CRU98A,,,5.74
NA 831,53.9,,CRU98A,,,6.00
NA 833,53.75,,CRU98A,,,5.89
NA 847,54.2,,CRU98A,,,7.46
NA 851,55.8,,CRU98A,,,7.41
NA 860,53.2,,CRU98A,,,5.10
NA 90,51.62,,CRU98A,,,7.92
NA 90,55.0,,CRU98A,,,3.90
NA 916,54.72,,CRU98A,,,7.67
NA 92,51.36,,CRU98A,,,8.40
POUND 16 /B,55.6,,CRU98A,,,6.50
POUND 25 /A,54.5,,CRU98A,,,6.80
POUND 26 /C,55.8,,CRU98A,,,7.70
POUND 31 /C,54.0,,CRU98A,,,7.30
POUND 32 /A,54.7,,CRU98A,,,7.30
POUND 7 /A,55.57,,CRU98A,,,7.98
PA 115 [PER],54.12,,CRU98A,,,9.13
PA 118 [PER],53.86,,CRU98A,,,6.32
PA 128 [PER],55.8,,CRU98A,,,5.50
PA 137 [PER],55.5,,CRU98A,,,5.10
PA 140 [PER],53.8,,CRU98A,,,7.50
PA 149 [PER],53.7,,CRU98A,,,6.70
PA 151 [PER],55.9,,CRU98A,,,7.30
PA 152 [PER],55.3,,CRU98A,,,6.60
PA 153 [PER],55.17,,CRU98A,,,9.66
PA 173 [PER],56.34,,CRU98A,,,6.20
PA 175 [PER],55.6,,CRU98A,,,6.00
PA 184 [PER],55.7,,CRU98A,,,7.10
PA 187 [PER],53.2,,CRU98A,,,8.10
PA 188 [PER],54.3,,CRU98A,,,5.60
PA 189 [PER],54.5,,CRU98A,,,6.62
PA 194 [PER],53.9,,CRU98A,,,6.50
PA 196 [PER],54.9,,CRU98A,,,4.90
PA 200 [PER],54.9,,CRU98A,,,3.80
PA 200 [PER],54.04,,CRU98A,,,6.15
PA 211 [PER],55.4,,CRU98A,,,5.80
PA 289 [PER],54.4,,CRU98A,,,5.90
PA 29 [PER],54.3,,CRU98A,,,7.30
PA 294 [PER],54.77,,CRU98A,,,9.85
PA 299 [PER],56.01,,CRU98A,,,10.13
PA 300 [PER],50.49,,CRU98A,,,5.37
PA 301 [PER],55.3,,CRU98A,,,6.90
PA 32 [PER],55.3,,CRU98A,,,5.40
PA 34 [PER],51.6,,CRU98A,,,6.50
PA 4 [PER],53.3,,CRU98A,,,5.60
PA 56 [PER],52.5,,CRU98A,,,6.40
PA 66 [PER],53.93,,CRU98A,,,5.61
PA 67 [PER],55.6,,CRU98A,,,6.70
PA 68 [PER],51.25,,CRU98A,,,7.54
PA 70 [PER],55.8,,CRU98A,,,3.90
PA 72 [PER],54.59,,CRU98A,,,8.10
PA 73 [PER],52.3,,CRU98A,,,5.70
PA 82 [PER],53.2,,CRU98A,,,7.00
PA 84 [PER],56.08,,CRU98A,,,9.17
PA 88 [PER],54.1,,CRU98A,,,5.40
PA 90 [PER],54.0,,CRU98A,,,7.70
PA 95 [PER],54.5,,CRU98A,,,5.10
PLAYA ALTA 2 [VEN],53.0,,CRU98A,,,5.40
SC 5 [COL],50.36,,CRU98A,,,8.74
SCA 3,53.62,,CRU98A,,,7.89
SCA 5,52.4,,CRU98A,,,7.00
SCA 6,53.38,,CRU98A,,,7.11
SJ 1 /19 [POU],51.6,,CRU98A,,,11.72
SJ 2 /12 [POU],53.57,,CRU98A,,,5.89
SJ 2 /2 [POU],52.0,,CRU98A,,,7.40
SJ 2 /22 [POU],53.91,,CRU98A,,,7.37
SJ 2 /25 [POU],54.3,,CRU98A,,,6.89
SLA 16,55.8,,CRU98A,,,6.70
SLA 20,53.46,,CRU98A,,,4.83
SLA 5,55.59,,CRU98A,,,6.58
SLA 77,52.88,,CRU98A,,,9.81
SLC 18,48.4,,CRU98A,,,6.10
SLC 19,49.8,,CRU98A,,,7.20
SLC 19,48.33,,CRU98A,,,5.03
SLC 4,48.8,,CRU98A,,,7.00
SLC 8,46.1,,CRU98A,,,6.20
SP 1 [VEN],51.94,,CRU98A,,,6.14
SPA 18 [COL],52.7,,CRU98A,,,9.48
SPA 20 [COL],53.51,,CRU98A,,,8.15
SPEC 137 /6,54.6,,CRU98A,,,7.10
SPEC 138 /11,55.5,,CRU98A,,,6.40
SPEC 138 /15,51.76,,CRU98A,,,9.76
SPEC 194 /75,58.78,,CRU98A,,,7.97
TRD 111,47.7,,CRU98A,,,8.80
TRD 15,47.3,,CRU98A,,,10.32
TRD 29,52.36,,CRU98A,,,6.63
TRD 37,47.95,,CRU98A,,,7.73
TRD 86,52.86,,CRU98A,,,6.01
UF 11,54.9,,CRU98A,,,5.30
UF 12,54.1,,CRU98A,,,4.80
UF 12,53.61,,CRU98A,,,5.05
UF 168,53.7,,CRU98A,,,4.40
UF 29,52.2,,CRU98A,,,5.90
UF 668,53.3,,CRU98A,,,5.50
UF 677,52.2,,CRU98A,,,4.70
PBC 113,55.6,,GHP1UA,,,
PBC 123,54.5,,GHP1UA,,,
PBC 130,56.6,,GHP1UA,,,
PBC 140,57.6,,GHP1UA,,,
PBC 159,60.0,,GHP1UA,,,
PBC 179,55.2,,GHP1UA,,,
PBC 207,56.3,,GHP1UA,,,
PBC 208,56.5,,GHP1UA,,,
PBC 211,56.7,,GHP1UA,,,
PBC 221,57.4,,GHP1UA,,,
PBC 223,57.0,,GHP1UA,,,
PBC 230,56.5,,GHP1UA,,,
PBC 236,56.7,,GHP1UA,,,
PBC 247,56.9,,GHP1UA,,,
ICCRI 06H,52.35,Fat content range: 50.4-54.3,ICCUD1,,,
ICCRI 08H,54.45,Fat content range: 54.1-54.8,ICCUD1,,,
BACAO,,,ICA86A,,,24.24
RIO GUAPI,,,ICA86A,,,9.12
SC 1 [COL],,,ICA86A,,,10.52
SC 10 [COL],,,ICA86A,,,6.16
SC 11 [COL],,,ICA86A,,,6.22
SC 12 [COL],,,ICA86A,,,6.67
SC 13 [COL],,,ICA86A,,,9.66
SC 14 [COL],,,ICA86A,,,7.57
SC 15 [COL],,,ICA86A,,,7.13
SC 16 [COL],,,ICA86A,,,7.63
SC 17 [COL],,,ICA86A,,,5.37
SC 18 [COL],,,ICA86A,,,11.65
SC 19 [COL],,,ICA86A,,,6.33
SC 2 [COL],,,ICA86A,,,4.96
SC 20 [COL],,,ICA86A,,,8.87
SC 21 [COL],,,ICA86A,,,6.39
SC 22 [COL],,,ICA86A,,,7.03
SC 23 [COL],,,ICA86A,,,4.71
SC 28 [COL],,,ICA86A,,,5.61
SC 29 [COL],,,ICA86A,,,5.73
SC 3 [COL],,,ICA86A,,,5.69
SC 30 [COL],,,ICA86A,,,5.5
SC 31 [COL],,,ICA86A,,,6.18
SC 33 [COL],,,ICA86A,,,7.11
SC 35 [COL],,,ICA86A,,,7.82
SC 37 [COL],,,ICA86A,,,7.18
SC 38 [COL],,,ICA86A,,,6.73
SC 40 [COL],,,ICA86A,,,6.97
SC 41 [COL],,,ICA86A,,,5.89
SC 42 [COL],,,ICA86A,,,6.04
SC 45 [COL],,,ICA86A,,,5.06
SC 47 [COL],,,ICA86A,,,7.58
SC 48 [COL],,,ICA86A,,,4.92
SC 49 [COL],,,ICA86A,,,1.86
SC 5 [COL],,,ICA86A,,,5.01
SC 50 [COL],,,ICA86A,,,5.89
SC 51 [COL],,,ICA86A,,,8.9
SC 55 [COL],,,ICA86A,,,7.64
SC 56 [COL],,,ICA86A,,,3.29
SC 6 [COL],,,ICA86A,,,5.72
SC 8 [COL],,,ICA86A,,,3.04
SC 9 [COL],,,ICA86A,,,7.6
SPA 10 [COL],,,ICA86A,,,10.56
SPA 11 [COL],,,ICA86A,,,7.34
SPA 12 [COL],,,ICA86A,,,12.65
SPA 13 [COL],,,ICA86A,,,7.17
SPA 14 [COL],,,ICA86A,,,8.14
SPA 15 [COL],,,ICA86A,,,8.32
SPA 16 [COL],,,ICA86A,,,6.13
SPA 17 [COL],,,ICA86A,,,7.53
SPA 18 [COL],,,ICA86A,,,10.0
SPA 2 [COL],,,ICA86A,,,7.7
SPA 20 [COL],,,ICA86A,,,8.22
SPA 22 [COL],,,ICA86A,,,6.81
SPA 3 [COL],,,ICA86A,,,4.35
SPA 3 [COL],,,ICA86A,,,10.2
SPA 6 [COL],,,ICA86A,,,8.45
SPA 7 [COL],,,ICA86A,,,9.6
SPA 8 [COL],,,ICA86A,,,6.14
SPA 9 [COL],,,ICA86A,,,7.57
BR 25,45.0,,APW12A,,,
KKM 22,57.0,,APW12A,,,
KKM 25,52.0,,APW12A,,,
PBC 123,53.0,,APW12A,,,
PBC 130,57.0,,APW12A,,,
PBC 131,57.0,,APW12A,,,
PBC 139,57.0,,APW12A,,,
PBC 140,57.0,,APW12A,,,
PBC 159,60.0,,APW12A,,,
QH 1003,53.0,,APW12A,,,
QH 22,55.0,,APW12A,,,
EET 103 [ECU],46.0,,INI20A,,,
ICS 95,48.0,,INI20A,,,
EET 19 [ECU],54.0,,INI20A,,,
EET 95 [ECU],50.0,,INI20A,,,
EET 96 [ECU],47.0,,INI20A,,,
AC T 1 /1 [TTO],,,BEKAD1,,,5.6
AC T 3 /2 [TTO],,,BEKAD1,,,6.5
AC T 6 /1 [TTO],,,BEKAD1,,,5.6
AC T 7 /2 [TTO],,,BEKAD1,,,4.4
AC T 8 /1 [TTO],,,BEKAD1,,,7.1
AC T 8 /2 [TTO],,,BEKAD1,,,4.5
AGU 2 [CHA],,,BEKAD1,,,6.3
AGU 3339 [CHA],,,BEKAD1,,,5.1
AGU 3339 /12 [CHA],,,BEKAD1,,,4.4
AGU 3339 /8 [CHA],,,BEKAD1,,,5.0
ALMEIDA,,,BEKAD1,,,7.9
AM 1 /1 [POU],,,BEKAD1,,,6.0
AM 1 /107 [POU],,,BEKAD1,,,4.5
AM 1 /12 [POU],,,BEKAD1,,,4.4
AM 1 /13 [POU],,,BEKAD1,,,6.4
AM 1 /19 [POU],,,BEKAD1,,,3.2
AM 1 /28 [POU],,,BEKAD1,,,7.3
AM 1 /3 [POU],,,BEKAD1,,,6.1
AM 1 /33 [POU],,,BEKAD1,,,5.9
AM 1 /37 [POU],,,BEKAD1,,,7.7
AM 1 /38 [POU],,,BEKAD1,,,4.8
AM 1 /39 [POU],,,BEKAD1,,,6.5
AM 1 /4 [POU],,,BEKAD1,,,5.3
AM 1 /42 [POU],,,BEKAD1,,,4.7
AM 1 /48 [POU],,,BEKAD1,,,4.1
AM 1 /49 [POU],,,BEKAD1,,,5.0
AM 1 /5 [POU],,,BEKAD1,,,4.9
AM 1 /53 [POU],,,BEKAD1,,,5.9
AM 1 /54 [POU],,,BEKAD1,,,5.5
AM 1 /55 [POU],,,BEKAD1,,,4.2
AM 1 /56 [POU],,,BEKAD1,,,4.9
AM 1 /57 [POU],,,BEKAD1,,,5.2
AM 1 /60 [POU],,,BEKAD1,,,6.0
AM 1 /63 [POU],,,BEKAD1,,,5.9
AM 1 /67 [POU],,,BEKAD1,,,4.7
AM 1 /68 [POU],,,BEKAD1,,,5.6
AM 1 /7 [POU],,,BEKAD1,,,6.2
AM 1 /70 [POU],,,BEKAD1,,,6.3
AM 1 /72 [POU],,,BEKAD1,,,5.5
AM 1 /73 [POU],,,BEKAD1,,,5.4
AM 1 /75 [POU],,,BEKAD1,,,4.8
AM 1 /85 [POU],,,BEKAD1,,,4.3
AM 1 /87 [POU],,,BEKAD1,,,4.9
AM 1 /88 [POU],,,BEKAD1,,,7.0
AM 1 /96 [POU],,,BEKAD1,,,6.2
AM 1 /97 [POU],,,BEKAD1,,,5.9
AM 2 /1 [POU],,,BEKAD1,,,6.4
AM 2 /12 [POU],,,BEKAD1,,,4.7
AM 2 /13 [POU],,,BEKAD1,,,7.3
AM 2 /14 [POU],,,BEKAD1,,,5.5
AM 2 /17 [POU],,,BEKAD1,,,4.5
AM 2 /18 [POU],,,BEKAD1,,,4.4
AM 2 /19 [POU],,,BEKAD1,,,4.9
AM 2 /21 [POU],,,BEKAD1,,,5.7
AM 2 /28 [POU],,,BEKAD1,,,5.4
AM 2 /31 [POU],,,BEKAD1,,,6.3
AM 2 /32 [POU],,,BEKAD1,,,6.5
AM 2 /38 [POU],,,BEKAD1,,,8.3
AM 2 /39 [POU],,,BEKAD1,,,4.2
AM 2 /4 [POU],,,BEKAD1,,,6.3
AM 2 /41 [POU],,,BEKAD1,,,6.3
AM 2 /43 [POU],,,BEKAD1,,,5.2
AM 2 /45 [POU],,,BEKAD1,,,6.4
AM 2 /46 [POU],,,BEKAD1,,,4.9
AM 2 /53 [POU],,,BEKAD1,,,5.0
AM 2 /6 [POU],,,BEKAD1,,,5.9
AM 2 /60 [POU],,,BEKAD1,,,5.6
AM 2 /61 [POU],,,BEKAD1,,,7.0
AM 2 /62 [POU],,,BEKAD1,,,5.8
AM 2 /64 [POU],,,BEKAD1,,,5.8
AM 2 /65 [POU],,,BEKAD1,,,6.8
AM 2 /68 [POU],,,BEKAD1,,,5.3
AM 2 /70 [POU],,,BEKAD1,,,5.3
AM 2 /82 [POU],,,BEKAD1,,,5.2
AM 2 /83 [POU],,,BEKAD1,,,4.6
AM 2 /87 [POU],,,BEKAD1,,,4.3
AM 2 /88 [POU],,,BEKAD1,,,7.6
AM 2 /9 [POU],,,BEKAD1,,,7.7
AM 2 /91 [POU],,,BEKAD1,,,5.4
AM 2 /92 [POU],,,BEKAD1,,,7.2
AM 2 /94 [POU],,,BEKAD1,,,4.2
AM 2 /96 [POU],,,BEKAD1,,,7.1
AMAZ 10 /1,,,BEKAD1,,,5.7
AMAZ 12,,,BEKAD1,,,4.8
AMAZ 12 /4,,,BEKAD1,,,4.2
AMAZ 1 /5,,,BEKAD1,,,5.0
AMAZ 15 /15,,,BEKAD1,,,4.6
AMAZ 16 /4,,,BEKAD1,,,4.8
AMAZ 3 /2,,,BEKAD1,,,3.1
AMAZ 5 /2,,,BEKAD1,,,5.4
AMAZ 6,,,BEKAD1,,,4.2
AMAZ 6 /3,,,BEKAD1,,,4.8
AMELONADO [VAR],,,BEKAD1,,,6.3
AMELONADO [VAR],,,BEKAD1,,,6.0
AMELONADO 2 /0-17 [MAY],,,BEKAD1,,,5.5
AMELONADO 3 /4-06 [MAY],,,BEKAD1,,,5.5
AS 7 [ECU],,,BEKAD1,,,5.2
AX 122 /79,,,BEKAD1,,,4.9
AX 139 /53,,,BEKAD1,,,5.7
B 97C /B-3 [BLZ],,,BEKAD1,,,5.8
B 1 /2-24 [POU],,,BEKAD1,,,8.7
B 1 /2-8 [POU],,,BEKAD1,,,4.8
B 11 /3 [POU],,,BEKAD1,,,5.3
B 12 /1 [POU],,,BEKAD1,,,4.9
B 13 /1 [POU],,,BEKAD1,,,7.3
B 13 /3 [POU],,,BEKAD1,,,7.0
B 13 /5 [POU],,,BEKAD1,,,6.2
B 13 /6 [POU],,,BEKAD1,,,6.3
B 13 /7 [POU],,,BEKAD1,,,6.3
B 14 /11 [POU],,,BEKAD1,,,7.1
B 14 /13 [POU],,,BEKAD1,,,6.7
B 14 /14 [POU],,,BEKAD1,,,5.1
B 14 /8 [POU],,,BEKAD1,,,6.3
B 14 /9 [POU],,,BEKAD1,,,4.3
B 17 /1 [POU],,,BEKAD1,,,6.4
B 17 /10 [POU],,,BEKAD1,,,6.8
B 17 /15 [POU],,,BEKAD1,,,6.5
B 17 /17 [POU],,,BEKAD1,,,6.2
B 17 /20 [POU],,,BEKAD1,,,5.1
B 17 /24 [POU],,,BEKAD1,,,5.6
B 17 /33 [POU],,,BEKAD1,,,5.6
B 17 /4 [POU],,,BEKAD1,,,5.1
B 17 /5 [POU],,,BEKAD1,,,5.3
B 18 /1 [POU],,,BEKAD1,,,5.8
B 18 /4 [POU],,,BEKAD1,,,7.2
B 18 /5 [POU],,,BEKAD1,,,6.0
B 18 /8 [POU],,,BEKAD1,,,4.7
B 18 /9 [POU],,,BEKAD1,,,9.1
B 2 /8 [POU],,,BEKAD1,,,6.1
B 20 /1 [POU],,,BEKAD1,,,7.7
B 20 /2 [POU],,,BEKAD1,,,7.3
B 21 /6 [POU],,,BEKAD1,,,6.9
B 21 /7 [POU],,,BEKAD1,,,5.2
B 22 /15 [POU],,,BEKAD1,,,6.9
B 22 /16 [POU],,,BEKAD1,,,3.5
B 22 /17 [POU],,,BEKAD1,,,5.5
B 22 /3 [POU],,,BEKAD1,,,5.5
B 22 /8 [POU],,,BEKAD1,,,7.1
B 23 /1 [POU],,,BEKAD1,,,6.4
B 23 /2 [POU],,,BEKAD1,,,5.7
B 23 /4 [POU],,,BEKAD1,,,5.5
B 23 /6 [POU],,,BEKAD1,,,7.5
B 23 /9 [POU],,,BEKAD1,,,6.0
B 4 /8 [POU],,,BEKAD1,,,6.8
B 5 /10 [POU],,,BEKAD1,,,6.1
B 5 /11 [POU],,,BEKAD1,,,5.8
B 5 /2 [POU],,,BEKAD1,,,5.4
B 5 /3 [POU],,,BEKAD1,,,4.4
B 5 /5 [POU],,,BEKAD1,,,6.6
B 5 /7 [POU],,,BEKAD1,,,5.2
B 6 /2 [POU],,,BEKAD1,,,6.6
B 6 /29 [POU],,,BEKAD1,,,5.8
B 6 /3 [POU],,,BEKAD1,,,6.4
B 6 /5 [POU],,,BEKAD1,,,6.7
B 6 /8 [POU],,,BEKAD1,,,5.3
B 7 /1 [POU],,,BEKAD1,,,4.9
B 7 /14 [POU],,,BEKAD1,,,4.8
B 7 /15 [POU],,,BEKAD1,,,5.4
B 7 /16 [POU],,,BEKAD1,,,5.4
B 7 /18 [POU],,,BEKAD1,,,6.0
B 7 /21 [POU],,,BEKAD1,,,6.8
B 7 /3 [POU],,,BEKAD1,,,5.0
B 7 /4 [POU],,,BEKAD1,,,6.1
B 8 /4 [POU],,,BEKAD1,,,6.9
B 8 /5 [POU],,,BEKAD1,,,6.4
B 8 /8 [POU],,,BEKAD1,,,7.1
B 8 /9 [POU],,,BEKAD1,,,6.1
B 9 /10-12 [POU],,,BEKAD1,,,5.0
B 9 /10-18 [POU],,,BEKAD1,,,6.8
B 9 /10-23 [POU],,,BEKAD1,,,6.5
B 9 /10-25 [POU],,,BEKAD1,,,6.3
B 9 /10-28 [POU],,,BEKAD1,,,9.2
B 9 /10-30 [POU],,,BEKAD1,,,6.8
B 9 /10-32 [POU],,,BEKAD1,,,6.1
B 9 /10-33 [POU],,,BEKAD1,,,4.8
B 9 /10-34 [POU],,,BEKAD1,,,7.5
B 9 /10-35 [POU],,,BEKAD1,,,9.8
B 9 /10-43 [POU],,,BEKAD1,,,8.5
B 9 /10-46 [POU],,,BEKAD1,,,6.1
B 9 /10-8 [POU],,,BEKAD1,,,6.0
