Clone name,Female parent,Male parent,Station,Country,Year,Status,Refcode,Region,Scale,Info,Producer,Parent
UF 613,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
UF 221,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ML 22,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
IML 53,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ICS 1,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ICS 6,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
UF 296,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
UF 676,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
UF 677,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
CC 10,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
IMC 67,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
CCN 51,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ML 22,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ML 105,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ML 106,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
CEPROGPS-1C,-,-,CEPROGPLANSE,Dominican Republic,,,BAT09A,,,,,
CEPROGPS-2C,-,-,CEPROGPLANSE,Dominican Republic,,,BAT09A,,,,,
CEPROGPS-3C,-,-,CEPROGPLANSE,Dominican Republic,,,BAT09A,,,,,
CEPROGPS-4C,-,-,CEPROGPLANSE,Dominican Republic,,,BAT09A,,,,,
CEPROGPS-5C,-,-,CEPROGPLANSE,Dominican Republic,,,BAT09A,,,,,
