Clone name,Female parent,Male parent,Station,Country,Year,Status,Refcode,Region,Scale,Info,Producer,Parent
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,Lampung,,,PT Perkebunan Nusantara VII,ICS60
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,Lampung,,,PT Perkebunan Nusantara VII,IMC67
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,Lampung,,,PT Perkebunan Nusantara VII,PA150
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,Lampung,,,PT Perkebunan Nusantara VII,TSH858
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,Lampung,,,PT Perkebunan Nusantara VII,TSH908
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,Central Java,,,PT Perkebunan Nusantara IX,Amelonado
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,PT PP Jember Indonesia,ICS60
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,PT PP Jember Indonesia,ICS12
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,PT PP Jember Indonesia,ICS13
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,PT PP Jember Indonesia,DR1
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,PT PP Jember Indonesia,SCA6
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,PT PP Jember Indonesia,SCA12
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,West Sumatera,,,PT Inang Sari,GC 7
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,West Sumatera,,,PT Inang Sari,ICS60
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,West Sumatera,,,PT Inang Sari,SCA6
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,West Sumatera,,,PT Inang Sari,SCA12
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,East Java,,,PT Perkebunan Nusantara XII,ICS60
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,East Java,,,PT Perkebunan Nusantara XII,ICS13
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,East Java,,,PT Perkebunan Nusantara XII,GC7
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,East Java,,,PT Perkebunan Nusantara XII,SCA6
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,East Java,,,PT Perkebunan Nusantara XII,SCA12
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Banyuwangi, East Java",,,PT Glenmore,ICS13
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Banyuwangi, East Java",,,PT Glenmore,ICS60
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Banyuwangi, East Java",,,PT Glenmore,GC7
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Banyuwangi, East Java",,,PT Glenmore,DR 1
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Banyuwangi, East Java",,,PT Glenmore,SCA6
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Banyuwangi, East Java",,,PT Glenmore,SCA12
ICCRI 06H,TSH858,KW 162 (Sulawesi 1),"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2010,,ICCUD1,,,,,
ICCRI 08H,SUL 1,KEE 2,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2017,,ICCUD1,,,,,
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,T85/799
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,T79/501
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,T60/887
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,SCA 6
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,POR
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,PA150
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,NA32
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,IMC67
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,IFC412
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,IFC15
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,IFC1
,,,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,POK19A,,,,,ICS1
,ICS 40,UPA134,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,1980s,,SOU16A,,,,,
,SNK109,T79/501,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,1980s,,SOU16A,,,,,
,SNK13,T79/501,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,1980s,,SOU16A,,,,,
,SNK16,T60/1174,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,1980s,,SOU16A,,,,,
,ICS95,SNK10,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,1980s,,SOU16A,,,,,
,ICS95,SNK413,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,1980s,,SOU16A,,,,,
,ICS95,UPA41,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,1980s,,SOU16A,,,,,
TSH 1188,,,,Brazil,1990,,YAM10A,Bahia,,,,
TSH 516,,,,Brazil,1990,,YAM10A,Bahia,,,,
TSH 565,,,,Brazil,1990,,YAM10A,Bahia,,,,
CEPEC 42,,,,Brazil,1990,,YAM10A,Bahia,,,,
EET 397 [ECU],,,,Brazil,1990,,YAM10A,Bahia,,,,
TSH 774,,,,Brazil,1990,,YAM10A,Bahia,,,,
TSAN 792,,,,Brazil,1990,,YAM10A,Bahia,,,,
TSA 654,,,,Brazil,1990,,YAM10A,Bahia,,,,
TSA 656,,,,Brazil,1990,,YAM10A,Bahia,,,,
CRIN Tc-1,T65/7 [POS],N38 [T38],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current,CRI20A,,,,,
CRIN Tc-2,T101/15 [POS],N38 [T38],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current,CRI20A,,,,,
CRIN Tc-3,P7 [POU],PA 150,"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current,CRI20A,,,,,
CRIN Tc-4,T65/7 [POS],T57/22 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current,CRI20A,,,,,
CRIN Tc-5,T82/27 [POS],T12/11 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current,CRI20A,,,,,
CRIN Tc-6,PA150,T60/887 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current,CRI20A,,,,,
CRIN Tc-7,T82/27 [POS],T16/17 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current,CRI20A,,,,,
CRIN Tc-8,T65/7 [POS],T9/15 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current,CRI20A,,,,,
DR 1,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1948,current,IDN13A,-,,,,-
DR 2,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1948,current,IDN13A,-,,,,-
DR 38,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1948,current,IDN13A,-,,,,-
DRC 16,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1997,current,IDN13A,-,,,,-
DRC 15,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2008,current,IDN13A,-,,,,-
ICCRI 01,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2005,current,IDN13A,-,,,,-
ICCRI 02,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2009,current,IDN13A,-,,,,-
ICCRI 05,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,current,IDN13A,-,,,,-
ICS 60,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980's,current,IDN13A,-,,,,-
TSH 858,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980's,current,IDN13A,-,,,,-
UIT 1,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980's,current,IDN13A,-,,,,-
GC7 [IDN],-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1997,current,IDN13A,-,,,,-
ICS 13,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1997,current,IDN13A,-,,,,-
RCC 70,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1998,current,IDN13A,-,,,,-
RCC 71,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1998,current,IDN13A,-,,,,-
RCC 72,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1998,current,IDN13A,-,,,,-
RCC 73,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1998,current,IDN13A,-,,,,-
ICCRI 03,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2006,current,IDN13A,-,,,,-
ICCRI 04,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2006,current,IDN13A,-,,,,-
ICCRI 07,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2012,current,IDN13A,-,,,,-
SCA 6,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2009,current,IDN13A,-,,,,-
Sulawesi 01,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2008,current,IDN13A,-,,,,-
Sulawesi 02,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2008,current,IDN13A,-,,,,-
Sulawesi 03,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2012,current,IDN13A,-,,,,-
ICCRI 09,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2019,current,IDN13A,-,,,,-
MCC 01,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2014,current,IDN13A,-,,,,-
MCC 02,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,current,IDN13A,-,,,,-
ICCRI 03,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,current,IDN13A,-,,,,-
ICCRI 04,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,current,IDN13A,-,,,,-
Sulawesi 02,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,current,IDN13A,-,,,,-
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,ICS 60
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,ICS 13
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,Sca 6
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,Sca 12
-,ICS 60,TSH 858,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,-
-,ICS 60,Sca 6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,-
-,ICS 60,Sca 12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,-
-,TSH 858,Sca 6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,-
-,UIT 1,NA 33,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1980s,-,IDN13A,-,,,,-
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1990-2011,-,IDN13A,East Java,,,,ICS60
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1990-2011,-,IDN13A,East Java,,,,GC 7
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1990-2011,-,IDN13A,East Java,,,,UIT1
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1990-2011,-,IDN13A,East Java,,,,SCA6
-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,1990-2011,-,IDN13A,East Java,,,,SCA12
RB 9 [CIV],UPA 603,IFC 409,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 857 [CIV],T85/799,IFC 15,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 801 [CIV],IFC 29,IFC 303,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 800 [CIV],IFC 303,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 799 [CIV],SCA 6,LF 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 798 [CIV],PA 150,POR,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 797 [CIV],POR,T60/887,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 796 [CIV],MOQ 413,SCA 6,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 795 [CIV],T 79/501,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 720 [CIV],IFC 720,ICS 46,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 608 [CIV],T85/799,IFC 5,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 6 [CIV],SCA 6,ICS 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 490 [CIV],UPA 409,POR,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 435 [CIV],T 79/416,IFC 306,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 321 [CIV],NA 32,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 155 [CIV],PA 150,IFC 5,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 153 [CIV],UPA 608,IFC 412,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 140 [CIV],UPA 419,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 124 [CIV],UPA 409,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 117 [CIV],UPA 405,IFC 412,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H 109 [CIV],UPA 402,IFC 410,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
H [CIV],N 38,GU 133/1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire,,,SAN09A,,,,,
BR 25,,,"National Seeds Industry Council, The Philippines",Philippines,1999,Current,NSI20A,,widely planted,,,
K 1 [PHL],,,"National Seeds Industry Council, The Philippines",Philippines,2001,Current,NSI20A,,widely planted,,,
K 2 [PHL],,,"National Seeds Industry Council, The Philippines",Philippines,2001,Current,NSI20A,,widely planted,,,
UIT 1,,,"National Seeds Industry Council, The Philippines",Philippines,1999,Current,NSI20A,,widely planted,,,
ICS 40,,,"National Seeds Industry Council, The Philippines",Philippines,1999,Current,NSI20A,,-,,,
UF 18,,,"National Seeds Industry Council, The Philippines",Philippines,2008,Current,NSI20A,,-,,,
S 5 [TAF],,,"National Seeds Industry Council, The Philippines",Philippines,2008,Current,NSI20A,,-,,,
K 9 [PHL],,,"National Seeds Industry Council, The Philippines",Philippines,2008,Current,NSI20A,,widely planted,,,
PBC 123,,,"National Seeds Industry Council, The Philippines",Philippines,2014,Current,NSI20A,,widely planted,,,
P7 [PHL],,,"National Seeds Industry Council, The Philippines",Philippines,1999,Current,NSI20A,,-,,,
DR 1,,,"National Seeds Industry Council, The Philippines",Philippines,1999,Current,NSI20A,,-,,,
USM CH 1,,,"National Seeds Industry Council, The Philippines",Philippines,2014,-,NSI20A,,-,,,
USM CH 2,,,"National Seeds Industry Council, The Philippines",Philippines,2014,-,NSI20A,,-,,,
,SNK10,-,,Cameroon,pre-1980,,EFO09A,,,,,
,SNK13,-,,Cameroon,pre-1980,,EFO09A,,,,,
,SNK48,-,,Cameroon,pre-1980,,EFO09A,,,,,
,SNK64,-,,Cameroon,pre-1980,,EFO09A,,,,,
,SNK109,-,,Cameroon,pre-1980,,EFO09A,,,,,
,ICS43,-,,Cameroon,pre-1980,,EFO09A,,,,,
,ICS46,-,,Cameroon,pre-1980,,EFO09A,,,,,
,ICS60,-,,Cameroon,pre-1980,,EFO09A,,,,,
,T79/467,-,,Cameroon,pre-1980,,EFO09A,,,,,
,-,SNK12,,Cameroon,pre-1980,,EFO09A,,,,,
,-,SNK37,,Cameroon,pre-1980,,EFO09A,,,,,
,-,SNK450,,Cameroon,pre-1980,,EFO09A,,,,,
,Pound7 [POU],T85/799,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1999,current,LOC15A,,,,Cocobod-SPD,
,PA150,T85/799,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1999,current,LOC15A,,,,Cocobod-SPD,
,PA7,T85/799,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1999,current,LOC15A,,,,Cocobod-SPD,
,T60/887,T85/799,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1999,current,LOC15A,,,,Cocobod-SPD,
,T63/967,T85/799,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1970s,current,LOC15A,,,,Cocobod-SPD,
,T63/971,T85/799,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1970s,current,LOC15A,,,,Cocobod-SPD,
,T79/467,T85/799,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1970s,current,LOC15A,,,,Cocobod-SPD,
,T79/501,T85/799,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1970s,current,LOC15A,,,,Cocobod-SPD,
,T85/799,T79/501,"Ghana, Cocoa Research Institute of Ghana (CRIG)",Ghana,1970s,current,LOC15A,,,,Cocobod-SPD,
EETP-801,,,INIAP,Ecuador,2016,current,INI20A,-,,,,
ICS 95,,,INIAP,Ecuador,1970's,current,INI20A,-,,,,
EET 95 [ECU],,,INIAP,Ecuador,1970's,current,INI20A,-,,,,
EET 19 [ECU],,,INIAP,Ecuador,1970's,current,INI20A,-,,,,
EET 96 [ECU],,,INIAP,Ecuador,1970's,current,INI20A,all areas,,,,
EET 103 [ECU],,,INIAP,Ecuador,1970's,current,INI20A,Esmeraldas,,,,
KKM 22,-,-,-,Malaysia,2012,Current,APW12A,-,,-,,-
PBC 123,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
QH 1003,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
BR 25,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
KKM 25,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
PBC 139,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
QH 22,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
PBC 159,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
PBC 130,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
PBC 131,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
PBC 140,-,-,-,Malaysia,-,Current,APW12A,-,,-,,-
-,-,-,-,Vietnam,-,-,APW12A,-,,-,,NA32
-,-,-,-,Vietnam,-,-,APW12A,-,,-,,UIT1
-,-,-,-,Vietnam,-,-,APW12A,-,,-,,NA33
-,-,-,-,Vietnam,-,-,APW12A,-,,-,,SCA12
-,-,-,-,Vietnam,-,-,APW12A,-,,-,,UIT2
-,KEE5,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,1985,current,APW12A,Rabaul/Madang,,Hand pollinated.,,-
-,KEE12,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,1985,current,APW12A,Rabaul/Madang,,Hand pollinated.,,-
-,KEE23,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,1985,current,APW12A,Rabaul/Madang,,Hand pollinated.,,-
-,KEE42,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,1985,current,APW12A,Rabaul/Madang,,Hand pollinated.,,-
-,KEE43,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,1985,current,APW12A,Rabaul/Madang,,Hand pollinated.,,-
-,KEE47,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,1985,current,APW12A,Rabaul/Madang,,Hand pollinated.,,-
-,-,K82,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,1985,current,APW12A,Rabaul/Madang,,Hand pollinated.,,-
-,-,KE2-106,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,1985,current,APW12A,Rabaul/Madang,,Hand pollinated.,,-
