Clone name,Accession,Light saturated photosynthetic rate,Stomatal conductance,Transpiration rate,Intrinsic water use efficiency,Instantaneous water use efficiency,Flush size,Leaf area,Leaf dry weight,Specific leaf area,Refcode
MA 12 [BRA],RUQ 124,5.16,0.07,1.2,74.92,4.4,6,268.2,1.62,165.9,LAH17A
MAN 15 /2 [BRA],RUQ 86,4.7,0.09,1.15,59.22,4.07,3,288.6,1.49,204.5,LAH17A
MAN 15 /60 [BRA],RUQ 87,4.33,0.07,1.05,62.74,3.95,6,335.3,2.13,158.1,LAH17A
MAR 9,RUQ 557,5.56,0.1,1.5,54.89,3.64,5,364.7,2.22,170.6,LAH17A
MATINA 1 /7,RUQ 1333,5.73,0.11,1.57,54.3,3.61,4,282.9,1.65,173.2,LAH17A
MO 109,RUQ 1537,4.26,0.07,0.95,65.8,4.43,6,335.7,2.36,142.3,LAH17A
MO 20,RUQ 1566,7.23,0.09,1.47,81.85,4.9,5,317.9,2.12,149.8,LAH17A
MO 9,RUQ 1691,6.74,0.12,1.76,58.72,3.85,4,305.7,2.06,152.3,LAH17A
MOQ 6 /19,RUQ 1530,4.71,0.06,0.95,82.14,4.79,3,149.3,0.93,162.4,LAH17A
MOQ 6 /95,RUQ 1436,3.76,0.07,1.05,55.24,3.72,4,312.3,2.14,146.6,LAH17A
MXC 67,RUQ 104,4.19,0.08,0.98,65.56,4.57,3,157.6,0.72,217.7,LAH17A
N 38 [T38],RUQ 1159,4.57,0.09,1.12,61.6,4.41,6,235.1,1.62,145.6,LAH17A
NA 149,RUQ 801,5.51,0.12,1.28,54.75,4.39,5,283.0,1.66,181.3,LAH17A
NA 232,RUQ 1504,6.31,0.15,1.63,58.02,4.2,4,277.1,1.64,173.9,LAH17A
NA 26,RUQ 1230,7.59,0.14,1.93,54.33,4.06,5,189.4,1.24,156.4,LAH17A
NA 33,RUQ 1577,7.46,0.21,2.02,44.28,3.72,4,251.1,1.47,174.1,LAH17A
NA 387,RUQ 1057,4.03,0.06,0.91,75.58,4.43,5,222.4,1.53,145.6,LAH17A
NA 399,RUQ 1572,4.05,0.05,0.85,87.27,4.81,5,302.0,2.15,142.1,LAH17A
NA 70,RUQ 1649,6.64,0.14,1.72,48.7,3.79,4,270.1,1.81,151.5,LAH17A
NA 702,RUQ 1587,6.95,0.12,1.74,67.15,4.22,5,286.1,1.68,170.0,LAH17A
NA 804,RUQ 1116,5.62,0.08,1.06,78.06,5.46,6,302.5,2.22,137.7,LAH17A
NA 824,RUQ 1663,7.14,0.14,1.75,49.92,4.05,5,288.6,1.8,164.0,LAH17A
NA 916,RUQ 1334,7.62,0.23,2.12,37.71,3.66,5,287.8,1.83,160.4,LAH17A
