Clone name,Accession,Light saturated photosynthetic rate,Stomatal conductance,Transpiration rate,Intrinsic water use efficiency,Instantaneous water use efficiency,Flush size,Leaf area,Leaf dry weight,Specific leaf area,Refcode
EET 183 [ECU],RUQ 1640,4.36,0.09,1.38,60.06,4.08,5,274.9,1.85,150.0,LAH17A
EET 19 [ECU],RUQ 1630,5.14,0.1,1.48,64.81,3.66,5,251.1,1.59,158.0,LAH17A
EET 272 [ECU],RUQ 6,3.9,0.11,1.51,52.24,3.44,4,266.2,1.74,153.8,LAH17A
EET 397 [ECU],RUQ 759,3.42,0.06,0.99,49.68,3.34,4,223.9,1.42,160.0,LAH17A
EET 399 [ECU],RUQ 745,6.97,0.13,1.93,58.29,4.14,3,217.7,1.41,155.9,LAH17A
EET 58 [ECU],RUQ 383,2.56,0.05,0.97,54.11,2.76,5,216.1,1.54,142.0,LAH17A
EET 59 [ECU],RUQ 791,4.72,0.07,1.16,63.87,4.06,4,200.2,1.41,143.1,LAH17A
EET 95 [ECU],RUQ 414,3.74,0.07,0.92,62.03,4.52,5,329.8,2.01,165.1,LAH17A
EQX 27 [EQX],RUQ 857,2.58,0.07,0.91,39.27,2.85,6,255.2,1.32,198.1,LAH17A
EQX 69 [EQX],RUQ 100,2.84,0.06,0.85,60.99,3.68,4,177.3,1.06,166.8,LAH17A
EQX /J [CHA],RUQ 107,4.12,0.06,0.97,68.98,4.33,5,230.6,1.61,145.5,LAH17A
EQX /Z [CHA],RUQ 109,5.04,0.09,1.53,57.1,3.65,5,371.5,2.52,147.6,LAH17A
F 303,RUQ 1028,5.1,0.09,1.61,56.37,3.22,4,298.0,1.96,153.8,LAH17A
FSC 13,RUQ 1535,5.23,0.1,1.58,55.86,3.19,3,389.5,2.22,177.0,LAH17A
GDL 3,RUQ 553,3.94,0.06,0.9,66.86,4.44,4,233.1,1.55,152.6,LAH17A
GDL 7,RUQ 554,4.62,0.09,1.26,53.21,3.69,5,276.5,1.91,146.4,LAH17A
GEBP 180 /A-M [ADI],RUQ 1615,5.86,0.13,1.24,57.2,4.87,5,298.5,1.68,178.2,LAH17A
GEBP 303 /B-M [ADI],RUQ 1645,3.52,0.09,1.08,46.62,3.43,4,278.3,1.5,186.3,LAH17A
GEBP 346 /B-F [ADI],RUQ 1646,6.94,0.17,1.77,52.0,4.2,5,273.8,1.79,155.9,LAH17A
GEBP 35 /A-F [ADI],RUQ 1647,5.11,0.17,1.34,53.9,4.09,6,318.8,2.17,153.9,LAH17A
GEBP 37 /A-F [ADI],RUQ 1626,3.75,0.06,0.81,82.07,4.98,4,312.4,1.95,162.8,LAH17A
GEBP 428 /A-F [ADI],RUQ 1654,4.91,0.12,1.54,42.58,3.34,4,287.2,1.39,213.2,LAH17A
GEBP 450 /A-F [ADI],RUQ 1651,7.73,0.18,2.01,58.85,4.85,5,245.3,1.4,177.9,LAH17A
GEBP 463 /A-F [ADI],RUQ 1668,3.76,0.07,1.0,53.44,3.58,4,293.0,1.8,165.8,LAH17A
GEBP 509 /A-F [ADI],RUQ 1675,5.15,0.08,1.15,64.43,4.4,4,210.8,1.26,169.9,LAH17A
GEBP 565 /A-F [ADI],RUQ 1625,4.35,0.09,1.2,63.87,4.28,4,347.6,2.17,161.6,LAH17A
GEBP 571 /A-F [ADI],RUQ 1670,4.99,0.15,1.36,54.06,4.01,4,296.4,1.9,162.1,LAH17A
GEBP 584 /A-F [ADI],RUQ 1643,4.67,0.09,1.28,59.88,3.78,5,212.4,1.26,170.8,LAH17A
GEBP 585 /A-F [ADI],RUQ 1659,7.04,0.19,2.03,53.3,3.96,8,235.4,1.43,167.4,LAH17A
GEBP 589 /A-F [ADI],RUQ 1657,4.62,0.08,1.33,61.03,3.74,7,277.0,1.71,162.2,LAH17A
GEBP 617 /A-F [ADI],RUQ 1662,4.55,0.11,1.27,55.44,3.69,5,346.0,2.22,159.6,LAH17A
GEBP 914 /A-F [ADI],RUQ 1650,5.5,0.12,1.39,57.27,4.05,3,272.4,1.75,156.9,LAH17A
GF 32,RUQ 648,2.6,0.05,0.96,50.38,2.77,3,175.9,1.12,158.2,LAH17A
GHANA RED,RUQ 1229,4.11,0.1,1.11,66.92,4.0,4,192.1,1.41,138.0,LAH17A
GS 13,RUQ 683,2.85,0.06,0.8,77.24,4.21,2,167.6,1.04,163.4,LAH17A
GU 114 /P,RUQ 813,4.03,0.05,0.91,81.27,4.73,3,226.8,1.66,137.2,LAH17A
GU 123 /V,RUQ 1068/RUQ 187,3.86,0.08,1.28,56.33,3.66,5,292.1,1.95,149.9,LAH17A
GU 125 /C,RUQ 188,3.81,0.07,1.07,59.74,3.64,5,274.5,2.03,137.2,LAH17A
GU 133 /C,RUQ 190,4.8,0.09,1.22,54.08,3.97,5,307.2,1.77,174.6,LAH17A
GU 136 /H,RUQ 221,6.05,0.13,1.41,53.95,4.65,5,222.2,1.67,135.4,LAH17A
GU 144 /C,RUQ 191,4.87,0.12,1.44,49.58,3.71,5,246.1,1.6,153.1,LAH17A
GU 147 /H,RUQ 222,3.99,0.08,1.14,56.57,3.73,6,322.0,2.0,160.9,LAH17A
GU 168 /H,RUQ 223,4.88,0.13,1.36,49.53,3.79,4,295.9,1.79,167.7,LAH17A
GU 183 /G,RUQ 1543,6.35,0.15,1.43,54.54,4.59,5,261.0,1.5,176.2,LAH17A
GU 195 /V,RUQ 1069,7.18,0.16,1.76,46.69,4.09,5,246.7,1.7,157.9,LAH17A
GU 207 /H,RUQ 225,4.3,0.08,1.49,55.97,3.14,6,179.8,1.28,139.6,LAH17A
GU 219 /F,RUQ 768,4.85,0.09,1.44,62.03,3.67,3,234.3,1.61,147.7,LAH17A
GU 221 /C,RUQ 200,6.4,0.16,2.06,42.51,3.3,3,232.0,1.3,180.5,LAH17A
GU 226 /V,RUQ 1070,5.5,0.11,1.59,52.29,3.46,7,256.3,1.83,142.3,LAH17A
GU 241 /P,RUQ 1431,4.65,0.1,1.47,43.08,3.05,4,312.9,1.92,168.9,LAH17A
GU 243 /H,RUQ 814,4.76,0.08,1.17,66.67,4.27,7,277.2,2.13,131.7,LAH17A
GU 249 /H,RUQ 228,4.8,0.1,1.43,53.96,3.56,4,288.7,2.02,142.5,LAH17A
GU 255 /V,RUQ 1549,2.88,0.06,0.81,59.46,3.97,7,250.1,1.88,132.8,LAH17A
GU 263 /V,RUQ 1545,2.74,0.08,0.86,46.06,3.21,7,246.6,1.6,155.2,LAH17A
GU 265 /P,RUQ 890,4.35,0.1,1.16,48.57,3.73,5,272.0,1.81,158.2,LAH17A
GU 277 /G,RUQ 771,4.39,0.11,1.19,48.13,3.68,5,279.1,1.9,147.9,LAH17A
GU 296 /H,RUQ 230,6.46,0.15,1.47,46.0,4.4,4,251.0,1.66,155.3,LAH17A
GU 310 /P,RUQ 815,4.07,0.07,0.94,63.08,4.43,4,192.3,1.44,136.6,LAH17A
GU 322 /P,RUQ 816,5.63,0.13,1.42,46.94,3.96,3,282.4,1.84,160.1,LAH17A
GU 341 /H,RUQ 231,5.35,0.12,1.36,49.07,4.1,5,238.8,1.87,130.2,LAH17A
ICS 1,RUQ 847,6.07,0.13,1.37,54.1,4.56,4,267.0,1.88,143.9,LAH17A
ICS 10,RUQ 827,3.52,0.08,1.17,45.06,3.09,4,253.9,1.49,175.7,LAH17A
ICS 15,RUQ 1052,3.01,0.08,1.05,36.88,2.98,4,213.9,1.57,140.9,LAH17A
ICS 29,RUQ 937,6.8,0.14,1.49,56.26,4.81,4,244.2,1.46,170.6,LAH17A
ICS 35,RUQ 1448,8.69,0.16,2.01,56.8,4.6,3,231.8,1.48,158.1,LAH17A
ICS 39,RUQ 1089,8.84,0.2,1.96,46.2,4.62,6,329.8,2.14,156.7,LAH17A
ICS 40,RUQ 1432,6.13,0.12,1.4,52.61,4.45,4,378.7,2.78,137.2,LAH17A
