Clone name,Plant,NCS,Population,Coeff cl,Subcluster,Coeff scl,Refcode
VILLANO 2 [CHA],3,1.0,Curaray,0.888,Curaray R - Napo R,0.547,JCM10A
YAL 1 A,-,2.0,Amelonado,0.681,n-a,-,JCM10A
YAL 3,-,2.0,Guiana,0.583,n-a,-,JCM10A
YAL 5 A,-,2.0,Amelonado,0.498,n-a,-,JCM10A
YAL 6 A,-,2.0,Guiana,0.616,n-a,-,JCM10A
YAL 7 A,-,2.0,Amelonado,0.641,n-a,-,JCM10A
AMAZ 12,,,Iquitos,,,,GUI19A
AMAZ 15 /15,,,Iquitos,,,,GUI19A
COCA 3370 /5 [CHA],,,Iquitos,,,,GUI19A
ELP 37 A,,,Guiana,,,,GUI19A
GU 123 /V,,,Guiana,,,,GUI19A
GU 195 /V,,,Guiana,,,,GUI19A
GU 257 /E,,,Guiana,,,,GUI19A
IMC 105,,,Iquitos,,,,GUI19A
IMC 31,,,Iquitos,,,,GUI19A
IMC 57,,,Iquitos,,,,GUI19A
IMC 60,,,Iquitos,,,,GUI19A
KER 1-L,,,Guiana,,,,GUI19A
KER 6,,,Guiana,,,,GUI19A
NA 246,,,Maranon,,,,GUI19A
NA 33,,,Nanay,,,,GUI19A
NA 34,,,Nanay,,,,GUI19A
NA 70,,,Nanay,,,,GUI19A
NA 710,,,Nanay,,,,GUI19A
NA 807,,,Nanay,,,,GUI19A
NA 916,,,Nanay,,,,GUI19A
OYA 2 B,,,Guiana,,,,GUI19A
PA 107 [PER],,,Maranon,,,,GUI19A
PA 13 [PER],,,Maranon,,,,GUI19A
PA 16 [PER],,,Maranon,,,,GUI19A
PA 279 [PER],,,Maranon,,,,GUI19A
PA 299 [PER],,,Maranon,,,,GUI19A
PA 71 [PER],,,Maranon,,,,GUI19A
PA 81 [PER],,,Maranon,,,,GUI19A
PINA,,,Guiana,,,,GUI19A
POUND 7,,,Nanay,,,,GUI19A
SPEC 54 /1,,,Iquitos,,,,GUI19A
