Clone name,Self compatibility,Refcode,Bud colour,Ligule colour,Stamen colour,Guide line length,Sepal colour,Sepal width,Sepal length,Sepal length width,Ligule length,Ligule width,Ligule length width,Ribbon length,Ribbon colour,Ovary colour,Ovary width,Ovary length,Ovary length width,Ovule number,Style colour,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Horns,Pigmented spot,Notes,Stamen size,Sepal size,Ligule size,Pedicel size,Accession,Sepal orientation,Sepal shape,Ligule shape,Info,Petal length
LCT EEN 52,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,9.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 57,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,9.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 59,,ALL88A,,,-,,-,,8.50,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 6,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,7.50,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 60,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,9.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 61,,ALL88A,,,moderate anthocyanin,,anthocyanin absent,,10.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 62,,ALL88A,,,moderate anthocyanin,,slight anthocyanin,,-,,,,,,,moderate anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 65,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,9.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 74,,ALL88A,,,moderate anthocyanin,,slight anthocyanin,,7.50,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 76,,ALL88A,,,moderate anthocyanin,,anthocyanin absent,,8.00,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 77,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 78,,ALL88A,,,-,,-,,8.00,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 80,,ALL88A,,,slight anthocyanin,,slight anthocyanin,,8.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 83,,ALL88A,,,slight anthocyanin,,anthocyanin absent,,8.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 84,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,6.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 85,,ALL88A,,,slight anthocyanin,,anthocyanin absent,,7.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 86,,ALL88A,,,slight anthocyanin,,slight anthocyanin,,8.00,,,,,,,moderate anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 87,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,7.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 92,,ALL88A,,,slight anthocyanin,,anthocyanin absent,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
LCT EEN 93,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,7.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
MO 125,,ALL88A,,,moderate anthocyanin,,slight anthocyanin,,7.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
NA 173,,ALL88A,,,moderate anthocyanin,,slight anthocyanin,,8.00,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
NA 48,,ALL88A,,,slight anthocyanin,,slight anthocyanin,,7.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
NA 69,,ALL88A,,,slight anthocyanin,,slight anthocyanin,,7.50,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
NAL 1,,ALL88A,,,moderate anthocyanin,,slight anthocyanin,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 121 [PER],,ALL88A,,,anthocyanin absent,,slight anthocyanin,,7.50,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 121 [PER],,ALL88A,,,anthocyanin absent,,anthocyanin absent,,7.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 13 [PER],,ALL88A,,,anthocyanin absent,,anthocyanin absent,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 150 [PER],,ALL88A,,,anthocyanin absent,,slight anthocyanin,,7.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 16 [PER],,ALL88A,,,moderate anthocyanin,,slight anthocyanin,,7.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 167 [PER],,ALL88A,,,anthocyanin absent,,anthocyanin absent,,6.50,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 169 [PER],,ALL88A,,,anthocyanin absent,,anthocyanin absent,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 189 [PER],,ALL88A,,,-,,-,,8.00,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,
PA 285 [PER],,ALL88A,,,anthocyanin absent,,anthocyanin absent,,9.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 30 [PER],,ALL88A,,,anthocyanin absent,,slight anthocyanin,,8.50,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 35 [PER],,ALL88A,,,anthocyanin absent,,slight anthocyanin,,9.00,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 39 [PER],,ALL88A,,,anthocyanin absent,,anthocyanin absent,,8.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 46 [PER],,ALL88A,,,slight anthocyanin,,anthocyanin absent,,8.00,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
PA 81 [PER],,ALL88A,,,slight anthocyanin,,anthocyanin absent,,8.50,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 1 /B,,ALL88A,,,moderate anthocyanin,,anthocyanin absent,,7.00,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 12,,ALL88A,,,anthocyanin absent,,slight anthocyanin,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 12,,ALL88A,,,anthocyanin absent,,slight anthocyanin,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 12 /A,,ALL88A,,,slight anthocyanin,,slight anthocyanin,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 4 /A,,ALL88A,,,anthocyanin absent,,slight anthocyanin,,7.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 5 /B,,ALL88A,,,moderate anthocyanin,,anthocyanin absent,,8.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 7,,ALL88A,,,slight anthocyanin,,anthocyanin absent,,7.00,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 7,,ALL88A,,,moderate anthocyanin,,slight anthocyanin,,8.00,,,,,,,slight anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
POUND 8 /C,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,8.00,,,,,,,moderate anthocyanin (ap),,,,,,,,,,,,,,,,,,,,,,,,
SCA 12,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,8.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
SCA 6,,ALL88A,,,anthocyanin absent,,anthocyanin absent,,9.50,,,,,,,anthocyanin absent (ap),,,,,,,,,,,,,,,,,,,,,,,,
U 1 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
U 10 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,
U 11 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,
U 12 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,
U 15 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,
U 19 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,
U 2 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,
U 20 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,
U 21 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
U 22 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,
U 24 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
U 26 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
U 28 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,
U 3 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
U 30 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
U 31 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,
U 32 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,
U 35 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,
U 36 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,
U 37 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,
U 38 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,
U 39 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,
U 4 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
U 41 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,
U 43 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,
U 45 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,
U 47 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,
U 48 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,
U 49 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,
U 5 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,
U 51 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,
U 52 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,
U 53 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,
U 54 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
U 55 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,
U 56 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,
U 57 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,
U 58 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,
U 59 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,
U 6 [PER],self incompatible,ARE99A,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,
U 60 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,
U 65 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,
U 66 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,
U 68 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,
U 69 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,
U 7 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,
U 70 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,
U 9 [PER],self compatible,ARE99A,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,
GF 20,,GUY03A,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,
GF 23,,GUY03A,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,
GF 25,,GUY03A,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,
GF 26,,GUY03A,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,
GF 27,,GUY03A,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,
GF 29,,GUY03A,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,
GF 30,,GUY03A,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,
GF 31,,GUY03A,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,
GF 32,,GUY03A,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,
GF 34,,GUY03A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
GF 35,,GUY03A,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,
GS 36,,GUY03A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
GU 1,,GUY03A,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
GU 2,,GUY03A,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,
ICS 39,,GUY03A,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,
ICS 40,,GUY03A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
ICS 6,,GUY03A,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,
IMC 78,,GUY03A,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,
NA 79,,GUY03A,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,
POUND 7,,GUY03A,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,
UF 613,,GUY03A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
UF 667,,GUY03A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
UF 676,,GUY03A,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
UPA 603,,GUY03A,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
BAL 209,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 25,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKM 1,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKM 2,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKM 5,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKM 6,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC 112,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC 113,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC 123,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC 130,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC 131,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC 140,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC 159,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC 179,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 1003,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 1176,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 12,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 1213,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 186,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 22,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 240,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 37,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 441,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH 670,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 11,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 18,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 20,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 21,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 36,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 4,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 41,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 46,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 52,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 54,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 58,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 6,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 74,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 8,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS 84,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 135,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 137 /A,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 137 /B,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 148,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 157,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 240,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 266,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 446,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 78,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGC,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPC 41,self incompatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPC 50,self compatible,LEE93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARF 22,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
ARF 22 x ARF 37,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 11,,,,,
ARF 22 x ARF 6,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 12,,,,,
ARF 22 x UF 273,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 13,,,,,
ARF 37,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
ARF 6,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CATIE-R1,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CATIE-R2,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CATIE-R3,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CATIE-R4,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CATIE-R5,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CATIE-R6,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CATIE-R7,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CATIE 1000 x CC 137,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 23,,,,,
CC 137,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CC 137 x UF 273,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 20,,,,,
CC 137 x UF 273,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 30,,,,,
CC 137 x SCA 6,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 32,,,,,
CC 252,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CC 252 x SCA 6,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 27,,,,,
CC 252 x SCA 6,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 28,,,,,
CCN 51,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
CCN 51 x PA 169 [PER],self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 9,,,,,
EET 183 [ECU],self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
EET 75 [ECU] x CC 252,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 31,,,,,
EET 75 [ECU] x CC 137,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 2,,,,,
EET 75 [ECU] x CC 137,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 25,,,,,
EET 75 [ECU] x CATIE 1000,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 18,,,,,
EET 75 [ECU] x CATIE 1000,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 20,,,,,
EET 75 [ECU] x CATIE 1000,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 24,,,,,
GU 133 /N,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
ICS 43,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
ICS 95,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
ICS 95 x UF 273,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 21,,,,,
ICS 95 x UF 273,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 27,,,,,
ICS 95 x UF 712,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 29,,,,,
ICS 95 x POUND 7,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 29,,,,,
IMC 60,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
PA 169 [PER],self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
PA 169 [PER] x ARF 6,self incompatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 11,,,,,
PA 169 [PER] x ARF 22,self compatible,ARC06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree number 5,,,,,
