Clone name,Self compatibility,Refcode,Bud colour,Ligule colour,Stamen colour,Guide line length,Sepal colour,Sepal width,Sepal length,Sepal length width,Ligule length,Ligule width,Ligule length width,Ribbon length,Ribbon colour,Ovary colour,Ovary width,Ovary length,Ovary length width,Ovule number,Style colour,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Horns,Pigmented spot,Notes,Stamen size,Sepal size,Ligule size,Pedicel size,Accession,Sepal orientation,Sepal shape,Ligule shape,Info,Petal length
ICS 1,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 100,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 16,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 32,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 39,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 40,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 47,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 48,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 55,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 6,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 60,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 75,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 78,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 8,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 89,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
