Clone name,Self compatibility,Refcode,Ligule colour,Stamen colour,Sepal length,Ligule width,Ovule number,Style length
SC 41 [COL],self incompatible,ICA86A,anthocyanin absent,,8.1,3.06,37.0,2.0
SC 42 [COL],self incompatible,ICA86A,anthocyanin absent,,8.1,3.30,39.0,2.0
SC 43 [COL],self incompatible,ICA86A,anthocyanin absent,,8.65,3.46,43.0,2.0
SC 44 [COL],self incompatible,ICA86A,anthocyanin absent,,6.8,3.00,39.0,2.0
SC 45 [COL],self incompatible,ICA86A,anthocyanin absent,,8.5,3.06,43.0,2.0
SC 47 [COL],self incompatible,ICA86A,anthocyanin absent,,8.6,2.00,35.0,2.0
SC 48 [COL],self incompatible,ICA86A,anthocyanin absent,,7.8,2.40,38.0,2.0
SC 49 [COL],self incompatible,ICA86A,anthocyanin absent,,8.45,2.96,33.0,2.0
SC 5 [COL],self compatible,ICA86A,anthocyanin absent,,8.62,3.00,38.0,1.3
SC 50 [COL],self incompatible,ICA86A,anthocyanin absent,,8.35,2.90,40.0,2.0
SC 51 [COL],self compatible,ICA86A,slight anthocyanin,,7.55,2.00,38.0,2.0
SC 54 [COL],self compatible,ICA86A,moderate anthocyanin,,8.35,3.00,37.0,2.0
SC 55 [COL],self compatible,ICA86A,anthocyanin absent,,7.65,2.00,44.0,2.0
SC 56 [COL],self incompatible,ICA86A,moderate anthocyanin,,8.0,2.00,49.0,2.0
SC 6 [COL],self compatible,ICA86A,anthocyanin absent,,8.15,2.90,41.0,2.0
SC 7 [COL],self incompatible,ICA86A,anthocyanin absent,,8.0,3.00,35.0,2.1
SC 8 [COL],self incompatible,ICA86A,anthocyanin absent,,7.9,2.63,41.0,2.0
SC 9 [COL],self compatible,ICA86A,anthocyanin absent,,8.7,3.04,34.0,2.2
SPA 10 [COL],self incompatible,ICA86A,anthocyanin absent,,6.7,2.10,56.0,2.0
SPA 11 [COL],self compatible,ICA86A,anthocyanin absent,,6.35,2.00,55.0,2.0
SPA 12 [COL],self compatible,ICA86A,anthocyanin absent,,8.8,3.00,51.0,2.0
SPA 13 [COL],self compatible,ICA86A,anthocyanin absent,,7.6,2.73,53.0,2.0
SPA 14 [COL],self incompatible,ICA86A,anthocyanin absent,,6.65,2.00,53.0,2.0
SPA 15 [COL],self compatible,ICA86A,anthocyanin absent,,6.5,2.00,57.0,2.0
SPA 16 [COL],self incompatible,ICA86A,anthocyanin absent,,6.75,2.13,59.0,2.0
SPA 17 [COL],self compatible,ICA86A,anthocyanin absent,,7.2,2.86,51.0,2.0
SPA 18 [COL],self compatible,ICA86A,slight anthocyanin,,6.65,2.00,58.0,2.0
SPA 19 [COL],self compatible,ICA86A,slight anthocyanin,,8.55,2.00,42.0,2.0
SPA 2 [COL],self compatible,ICA86A,anthocyanin absent,,6.05,2.07,52.0,2.0
SPA 20 [COL],self incompatible,ICA86A,anthocyanin absent,,7.4,2.73,50.0,2.0
SPA 22 [COL],self compatible,ICA86A,moderate anthocyanin,,3.45,1.93,49.0,1.7
SPA 3 [COL],,ICA86A,anthocyanin absent,,6.8,2.36,43.0,2.0
SPA 3 [COL],,ICA86A,anthocyanin absent,,7.5,3.00,56.0,2.0
SPA 4 [COL],self incompatible,ICA86A,anthocyanin absent,,6.75,1.14,61.0,2.0
SPA 6 [COL],self compatible,ICA86A,anthocyanin absent,,9.1,3.00,49.0,2.0
SPA 7 [COL],self compatible,ICA86A,anthocyanin absent,,8.45,2.93,51.0,2.0
SPA 8 [COL],,ICA86A,anthocyanin absent,,6.6,2.00,55.0,2.0
SPA 9 [COL],self compatible,ICA86A,anthocyanin absent,,6.65,2.00,61.0,2.0
SPEC 15,self incompatible,BAK53A,,,,,,
SPEC 18,self incompatible,BAK53A,,,,,,
SPEC 41,self compatible,BAK53A,,,,,,
SPEC 52,self compatible,BAK53A,,,,,,
SPEC 54,self compatible,BAK53A,,,,,,
AC T 1 /5 [TTO],self compatible,BAR70A,,,,,,
AC T 1 /9 [TTO],self compatible,BAR70A,,,,,,
AC T 2 /11 [TTO],self compatible,BAR70A,,,,,,
AC T 2 /13 [TTO],self compatible,BAR70A,,,,,,
ALMEIDA [SEM],self compatible,BAR70A,,,,,,
AX 122 /10,self incompatible,BAR70A,,,,,,
AX 122 /13,self incompatible,BAR70A,,,,,,
AX 122 /17,self incompatible,BAR70A,,,,,,
AX 122 /173,self incompatible,BAR70A,,,,,,
AX 122 /18,self incompatible,BAR70A,,,,,,
AX 122 /180,self incompatible,BAR70A,,,,,,
AX 122 /198,self incompatible,BAR70A,,,,,,
AX 122 /2,self incompatible,BAR70A,,,,,,
AX 122 /203,self incompatible,BAR70A,,,,,,
AX 122 /207,self incompatible,BAR70A,,,,,,
AX 122 /21,self incompatible,BAR70A,,,,,,
AX 122 /210,self incompatible,BAR70A,,,,,,
AX 122 /24,self incompatible,BAR70A,,,,,,
AX 122 /28,self incompatible,BAR70A,,,,,,
AX 122 /32,self incompatible,BAR70A,,,,,,
AX 122 /41,self incompatible,BAR70A,,,,,,
AX 122 /45,self incompatible,BAR70A,,,,,,
AX 122 /53,self incompatible,BAR70A,,,,,,
AX 122 /57,self incompatible,BAR70A,,,,,,
AX 122 /59,self incompatible,BAR70A,,,,,,
AX 122 /61,self incompatible,BAR70A,,,,,,
AX 122 /72,self incompatible,BAR70A,,,,,,
AX 122 /75,self incompatible,BAR70A,,,,,,
AX 122 /78,self incompatible,BAR70A,,,,,,
AX 122 /79,self incompatible,BAR70A,,,,,,
AX 122 /80,self incompatible,BAR70A,,,,,,
AX 122 /81,self incompatible,BAR70A,,,,,,
AX 122 /84,self incompatible,BAR70A,,,,,,
AX 122 /85,self incompatible,BAR70A,,,,,,
AX 122 /90,self incompatible,BAR70A,,,,,,
AX 122 /91,self incompatible,BAR70A,,,,,,
AX 122 /97,self incompatible,BAR70A,,,,,,
AX 122 /99,self incompatible,BAR70A,,,,,,
AX 127 /21,self compatible,BAR70A,,,,,,
AX 127 /8,self compatible,BAR70A,,,,,,
AX 131 /10,self compatible,BAR70A,,,,,,
AX 131 /15,self compatible,BAR70A,,,,,,
AX 131 /26,self compatible,BAR70A,,,,,,
AX 131 /31,self compatible,BAR70A,,,,,,
AX 131 /35,self compatible,BAR70A,,,,,,
AX 132 /23,self compatible,BAR70A,,,,,,
AX 132 /5,self compatible,BAR70A,,,,,,
AX 3 /32,self compatible,BAR70A,,,,,,
AX 3 /7,self compatible,BAR70A,,,,,,
AX 37 /1,self incompatible,BAR70A,,,,,,
AX 38 /1,self incompatible,BAR70A,,,,,,
AX 38 /74,self incompatible,BAR70A,,,,,,
AX 38 /92,self incompatible,BAR70A,,,,,,
AX 40 /20,self incompatible,BAR70A,,,,,,
AX 46 /72,self incompatible,BAR70A,,,,,,
AX 48 /94,self incompatible,BAR70A,,,,,,
AX 49 /36,self incompatible,BAR70A,,,,,,
AX 49 /38,self incompatible,BAR70A,,,,,,
AX 49 /48,self compatible,BAR70A,,,,,,
AX 51 /44,self incompatible,BAR70A,,,,,,
AX 57 /63,self incompatible,BAR70A,,,,,,
AX 63 /11,self compatible,BAR70A,,,,,,
AX 63 /15,self incompatible,BAR70A,,,,,,
AX 63 /2,self compatible,BAR70A,,,,,,
B 23 /1 [POU],self compatible,BAR70A,,,,,,
C 151 /112 [TRI],self incompatible,BAR70A,,,,,,
C 151 /36 [TRI],self incompatible,BAR70A,,,,,,
C 151 /44 [TRI],self compatible,BAR70A,,,,,,
C 151 /50 [TRI],self incompatible,BAR70A,,,,,,
C 151 /60 [TRI],self incompatible,BAR70A,,,,,,
C 151 /61 [TRI],self compatible,BAR70A,,,,,,
C 151 /69 [TRI],self compatible,BAR70A,,,,,,
C 151 /78 [TRI],self compatible,BAR70A,,,,,,
C 154 /20 [TRI],self incompatible,BAR70A,,,,,,
C 24 /28 [TRI],self compatible,BAR70A,,,,,,
C 24 /93 [TRI],self compatible,BAR70A,,,,,,
C 25 /1 [TRI],self compatible,BAR70A,,,,,,
C 25 /147 [TRI],self compatible,BAR70A,,,,,,
C 25 /181 [TRI],self compatible,BAR70A,,,,,,
C 25 /197 [TRI],self compatible,BAR70A,,,,,,
C 25 /221 [TRI],self compatible,BAR70A,,,,,,
C 25 /250 [TRI],self compatible,BAR70A,,,,,,
C 3 /15 [TRI],self compatible,BAR70A,,,,,,
C 3 /23 [TRI],self compatible,BAR70A,,,,,,
C 3 /28 [TRI],self compatible,BAR70A,,,,,,
C 3 /29 [TRI],self compatible,BAR70A,,,,,,
C 3 /4 [TRI],self incompatible,BAR70A,,,,,,
C 32 /10 [TRI],self incompatible,BAR70A,,,,,,
C 32 /101 [TRI],self incompatible,BAR70A,,,,,,
C 32 /158 [TRI],self incompatible,BAR70A,,,,,,
C 32 /168 [TRI],self incompatible,BAR70A,,,,,,
C 32 /196 [TRI],self incompatible,BAR70A,,,,,,
C 32 /22 [TRI],self incompatible,BAR70A,,,,,,
C 33 /103 [TRI],self incompatible,BAR70A,,,,,,
C 33 /128 [TRI],self incompatible,BAR70A,,,,,,
C 33 /157 [TRI],self incompatible,BAR70A,,,,,,
C 33 /172 [TRI],self incompatible,BAR70A,,,,,,
C 33 /18 [TRI],self incompatible,BAR70A,,,,,,
C 33 /183 [TRI],self incompatible,BAR70A,,,,,,
C 33 /200 [TRI],self incompatible,BAR70A,,,,,,
C 33 /34 [TRI],self incompatible,BAR70A,,,,,,
C 33 /38 [TRI],self incompatible,BAR70A,,,,,,
C 33 /52 [TRI],self incompatible,BAR70A,,,,,,
C 33 /56 [TRI],self incompatible,BAR70A,,,,,,
C 33 /9 [TRI],self incompatible,BAR70A,,,,,,
C 34 /102 [TRI],self incompatible,BAR70A,,,,,,
C 34 /103 [TRI],self incompatible,BAR70A,,,,,,
C 34 /104 [TRI],self incompatible,BAR70A,,,,,,
C 34 /105 [TRI],self incompatible,BAR70A,,,,,,
C 34 /106 [TRI],self incompatible,BAR70A,,,,,,
C 34 /113 [TRI],self incompatible,BAR70A,,,,,,
C 34 /145 [TRI],self incompatible,BAR70A,,,,,,
C 34 /150 [TRI],self incompatible,BAR70A,,,,,,
C 34 /155 [TRI],self incompatible,BAR70A,,,,,,
C 34 /176 [TRI],self incompatible,BAR70A,,,,,,
C 34 /190 [TRI],self incompatible,BAR70A,,,,,,
C 34 /193 [TRI],self incompatible,BAR70A,,,,,,
C 34 /196 [TRI],self incompatible,BAR70A,,,,,,
C 34 /212 [TRI],self incompatible,BAR70A,,,,,,
C 34 /226 [TRI],self incompatible,BAR70A,,,,,,
C 34 /228 [TRI],self incompatible,BAR70A,,,,,,
C 34 /231 [TRI],self incompatible,BAR70A,,,,,,
C 34 /234 [TRI],self incompatible,BAR70A,,,,,,
C 34 /235 [TRI],self incompatible,BAR70A,,,,,,
C 34 /237 [TRI],self incompatible,BAR70A,,,,,,
C 34 /3 [TRI],self incompatible,BAR70A,,,,,,
C 34 /37 [TRI],self incompatible,BAR70A,,,,,,
C 34 /41 [TRI],self incompatible,BAR70A,,,,,,
C 34 /5 [TRI],self incompatible,BAR70A,,,,,,
C 34 /56 [TRI],self incompatible,BAR70A,,,,,,
C 34 /95 [TRI],self incompatible,BAR70A,,,,,,
C 35 /104 [TRI],self incompatible,BAR70A,,,,,,
C 35 /105 [TRI],self incompatible,BAR70A,,,,,,
C 35 /106 [TRI],self incompatible,BAR70A,,,,,,
C 35 /135 [TRI],self incompatible,BAR70A,,,,,,
C 35 /139 [TRI],self incompatible,BAR70A,,,,,,
C 35 /142 [TRI],self incompatible,BAR70A,,,,,,
C 35 /144 [TRI],self incompatible,BAR70A,,,,,,
C 35 /150 [TRI],self incompatible,BAR70A,,,,,,
C 35 /155 [TRI],self incompatible,BAR70A,,,,,,
C 35 /163 [TRI],self incompatible,BAR70A,,,,,,
C 35 /165 [TRI],self incompatible,BAR70A,,,,,,
C 35 /176 [TRI],self incompatible,BAR70A,,,,,,
C 35 /178 [TRI],self incompatible,BAR70A,,,,,,
C 35 /188 [TRI],self incompatible,BAR70A,,,,,,
C 35 /37 [TRI],self incompatible,BAR70A,,,,,,
C 35 /68 [TRI],self incompatible,BAR70A,,,,,,
C 35 /94 [TRI],self incompatible,BAR70A,,,,,,
C 37 /106 [TRI],self incompatible,BAR70A,,,,,,
C 37 /21 [TRI],self incompatible,BAR70A,,,,,,
C 4 /216 [TRI],self compatible,BAR70A,,,,,,
C 4 /258 [TRI],self compatible,BAR70A,,,,,,
C 4 /278 [TRI],self compatible,BAR70A,,,,,,
C 7 /11 [TRI],self compatible,BAR70A,,,,,,
C 7 /2 [TRI],self compatible,BAR70A,,,,,,
C 7 /27 [TRI],self compatible,BAR70A,,,,,,
C 7 /32 [TRI],self compatible,BAR70A,,,,,,
C 7 /42 [TRI],self compatible,BAR70A,,,,,,
C 83 /109 [TRI],self compatible,BAR70A,,,,,,
C 83 /28 [TRI],self compatible,BAR70A,,,,,,
C 83 /3 [TRI],self compatible,BAR70A,,,,,,
C 87 /56 [TRI],self incompatible,BAR70A,,,,,,
C 90 /10 [TRI],self compatible,BAR70A,,,,,,
C 90 /18 [TRI],self compatible,BAR70A,,,,,,
C 90 /20 [TRI],self compatible,BAR70A,,,,,,
C 90 /43 [TRI],self compatible,BAR70A,,,,,,
C 90 /50 [TRI],self compatible,BAR70A,,,,,,
C 90 /56 [TRI],self compatible,BAR70A,,,,,,
C 92 /17 [TRI],self compatible,BAR70A,,,,,,
C 92 /18 [TRI],self compatible,BAR70A,,,,,,
C 92 /26 [TRI],self compatible,BAR70A,,,,,,
C 92 /9 [TRI],self compatible,BAR70A,,,,,,
C 93 /15 [TRI],self compatible,BAR70A,,,,,,
C 93 /27 [TRI],self compatible,BAR70A,,,,,,
C 93 /30 [TRI],self compatible,BAR70A,,,,,,
C 93 /34 [TRI],self compatible,BAR70A,,,,,,
C 93 /37 [TRI],self compatible,BAR70A,,,,,,
C 93 /44 [TRI],self compatible,BAR70A,,,,,,
C 93 /46 [TRI],self compatible,BAR70A,,,,,,
C 93 /47 [TRI],self compatible,BAR70A,,,,,,
C 94 /25 [TRI],self compatible,BAR70A,,,,,,
C 94 /8 [TRI],self compatible,BAR70A,,,,,,
C 96 /63 [TRI],self compatible,BAR70A,,,,,,
C 98 /14 [TRI],self compatible,BAR70A,,,,,,
C 98 /8 [TRI],self compatible,BAR70A,,,,,,
CATONGO,self compatible,BAR70A,,,,,,
DR 1,self incompatible,BAR70A,,,,,,
DR 2,self compatible,BAR70A,,,,,,
DR 38,self compatible,BAR70A,,,,,,
E 15 [ECU],self compatible,BAR70A,,,,,,
E 34 [ECU],self compatible,BAR70A,,,,,,
E 41 [ECU],self compatible,BAR70A,,,,,,
ECNR,self incompatible,BAR70A,,,,,,
EET 162 [ECU],self incompatible,BAR70A,,,,,,
EET 19 [ECU],self compatible,BAR70A,,,,,,
EET 397 [ECU],self incompatible,BAR70A,,,,,,
EET 399 [ECU],self incompatible,BAR70A,,,,,,
EET 48 [ECU],self compatible,BAR70A,,,,,,
GS 10,self compatible,BAR70A,,,,,,
GS 17,self incompatible,BAR70A,,,,,,
GS 19,self incompatible,BAR70A,,,,,,
GS 29,self incompatible,BAR70A,,,,,,
GS 32,self incompatible,BAR70A,,,,,,
GS 36,self incompatible,BAR70A,,,,,,
GS 5,self compatible,BAR70A,,,,,,
GS 77,self incompatible,BAR70A,,,,,,
ICS 1,self compatible,BAR70A,,,,,,
ICS 10,self compatible,BAR70A,,,,,,
ICS 100,self incompatible,BAR70A,,,,,,
ICS 11,self incompatible,BAR70A,,,,,,
ICS 111,self compatible,BAR70A,,,,,,
ICS 12,self incompatible,BAR70A,,,,,,
ICS 13,self incompatible,BAR70A,,,,,,
ICS 14,self compatible,BAR70A,,,,,,
ICS 15,self incompatible,BAR70A,,,,,,
ICS 16,self incompatible,BAR70A,,,,,,
ICS 17,self incompatible,BAR70A,,,,,,
ICS 19,self incompatible,BAR70A,,,,,,
ICS 2,self incompatible,BAR70A,,,,,,
ICS 20,self incompatible,BAR70A,,,,,,
ICS 21,self incompatible,BAR70A,,,,,,
ICS 22,self incompatible,BAR70A,,,,,,
ICS 23,self compatible,BAR70A,,,,,,
ICS 24,self compatible,BAR70A,,,,,,
ICS 25,self compatible,BAR70A,,,,,,
ICS 26,self incompatible,BAR70A,,,,,,
ICS 27,self compatible,BAR70A,,,,,,
ICS 28,self compatible,BAR70A,,,,,,
ICS 29,self incompatible,BAR70A,,,,,,
ICS 3,self incompatible,BAR70A,,,,,,
ICS 30,self incompatible,BAR70A,,,,,,
ICS 31,self compatible,BAR70A,,,,,,
ICS 32,self incompatible,BAR70A,,,,,,
ICS 33,self compatible,BAR70A,,,,,,
ICS 34,self incompatible,BAR70A,,,,,,
ICS 35,self incompatible,BAR70A,,,,,,
ICS 36,self compatible,BAR70A,,,,,,
ICS 37,self incompatible,BAR70A,,,,,,
ICS 38,self incompatible,BAR70A,,,,,,
ICS 39,self incompatible,BAR70A,,,,,,
ICS 4,self incompatible,BAR70A,,,,,,
ICS 40,self incompatible,BAR70A,,,,,,
ICS 41,self incompatible,BAR70A,,,,,,
ICS 42,self incompatible,BAR70A,,,,,,
ICS 43,self incompatible,BAR70A,,,,,,
ICS 44,self compatible,BAR70A,,,,,,
ICS 45,self compatible,BAR70A,,,,,,
ICS 46,self incompatible,BAR70A,,,,,,
ICS 47,self incompatible,BAR70A,,,,,,
ICS 5,self incompatible,BAR70A,,,,,,
ICS 50,self incompatible,BAR70A,,,,,,
ICS 51,self incompatible,BAR70A,,,,,,
ICS 52,self incompatible,BAR70A,,,,,,
ICS 53,self incompatible,BAR70A,,,,,,
ICS 55,self compatible,BAR70A,,,,,,
ICS 56,self incompatible,BAR70A,,,,,,
ICS 57,self incompatible,BAR70A,,,,,,
ICS 58,self incompatible,BAR70A,,,,,,
ICS 59,self incompatible,BAR70A,,,,,,
ICS 6,self compatible,BAR70A,,,,,,
ICS 60,self incompatible,BAR70A,,,,,,
ICS 61,self incompatible,BAR70A,,,,,,
ICS 62,self compatible,BAR70A,,,,,,
ICS 63,self incompatible,BAR70A,,,,,,
ICS 64,self incompatible,BAR70A,,,,,,
ICS 65,self compatible,BAR70A,,,,,,
ICS 67,self incompatible,BAR70A,,,,,,
ICS 68,self compatible,BAR70A,,,,,,
ICS 69,self compatible,BAR70A,,,,,,
ICS 7,self compatible,BAR70A,,,,,,
ICS 71,self incompatible,BAR70A,,,,,,
ICS 72,self incompatible,BAR70A,,,,,,
ICS 73,self compatible,BAR70A,,,,,,
ICS 74,self incompatible,BAR70A,,,,,,
ICS 75,self incompatible,BAR70A,,,,,,
ICS 76,self compatible,BAR70A,,,,,,
ICS 77,self incompatible,BAR70A,,,,,,
ICS 78,self incompatible,BAR70A,,,,,,
ICS 79,self compatible,BAR70A,,,,,,
ICS 8,self compatible,BAR70A,,,,,,
ICS 81,self incompatible,BAR70A,,,,,,
ICS 83,self incompatible,BAR70A,,,,,,
ICS 84,self incompatible,BAR70A,,,,,,
ICS 85,self compatible,BAR70A,,,,,,
ICS 86,self incompatible,BAR70A,,,,,,
ICS 87,self incompatible,BAR70A,,,,,,
ICS 88,self compatible,BAR70A,,,,,,
ICS 89,self incompatible,BAR70A,,,,,,
ICS 9,self compatible,BAR70A,,,,,,
ICS 90,self incompatible,BAR70A,,,,,,
ICS 91,self compatible,BAR70A,,,,,,
ICS 92,self incompatible,BAR70A,,,,,,
ICS 95,self compatible,BAR70A,,,,,,
ICS 96,self incompatible,BAR70A,,,,,,
ICS 97,self incompatible,BAR70A,,,,,,
ICS 98,self compatible,BAR70A,,,,,,
ICS 99,self incompatible,BAR70A,,,,,,
IMC 67,self incompatible,BAR70A,,,,,,
JA 4 /22 [POU],self compatible,BAR70A,,,,,,
JA 5 /46 [POU],self compatible,BAR70A,,,,,,
LAFI 7,self incompatible,BAR70A,,,,,,
M 137 [ICT],self compatible,BAR70A,,,,,,
M 252 [ICT],self incompatible,BAR70A,,,,,,
M 253 [ICT],self incompatible,BAR70A,,,,,,
M 8 [SUR],self compatible,BAR70A,,,,,,
MATINA 2 /14,self compatible,BAR70A,,,,,,
MOQ 1 /22,self incompatible,BAR70A,,,,,,
MX 16 /18 [TTO],self compatible,BAR70A,,,,,,
MX 16 /2 [TTO],self compatible,BAR70A,,,,,,
MX 16 /41 [TTO],self compatible,BAR70A,,,,,,
MX 16 /47 [TTO],self compatible,BAR70A,,,,,,
MX 16 /48 [TTO],self compatible,BAR70A,,,,,,
MX 16 /49 [TTO],self compatible,BAR70A,,,,,,
MX 16 /52 [TTO],self compatible,BAR70A,,,,,,
MX 16 /58 [TTO],self compatible,BAR70A,,,,,,
MX 58 /35 [TTO],self incompatible,BAR70A,,,,,,
MX 70 /26 [TTO],self incompatible,BAR70A,,,,,,
MXC 67,self compatible,BAR70A,,,,,,
NA 277,self incompatible,BAR70A,,,,,,
NA 32,self incompatible,BAR70A,,,,,,
NA 33,self incompatible,BAR70A,,,,,,
NA 34,self incompatible,BAR70A,,,,,,
NA 387,self incompatible,BAR70A,,,,,,
PA 30 [PER],self incompatible,BAR70A,,,,,,
PIMENTA,self incompatible,BAR70A,,,,,,
PLAYA ALTA 1 [VEN],self incompatible,BAR70A,,,,,,
PLAYA ALTA 2 [VEN],self incompatible,BAR70A,,,,,,
PLAYA ALTA 4 [VEN],self incompatible,BAR70A,,,,,,
POUND 1,self incompatible,BAR70A,,,,,,
POUND 10,self incompatible,BAR70A,,,,,,
POUND 11,self incompatible,BAR70A,,,,,,
POUND 12,self incompatible,BAR70A,,,,,,
POUND 13,self incompatible,BAR70A,,,,,,
POUND 14,self incompatible,BAR70A,,,,,,
POUND 15,self incompatible,BAR70A,,,,,,
POUND 16,self incompatible,BAR70A,,,,,,
POUND 17,self incompatible,BAR70A,,,,,,
POUND 18,self incompatible,BAR70A,,,,,,
POUND 19,self incompatible,BAR70A,,,,,,
POUND 2,self incompatible,BAR70A,,,,,,
POUND 20,self incompatible,BAR70A,,,,,,
POUND 21,self incompatible,BAR70A,,,,,,
POUND 24,self incompatible,BAR70A,,,,,,
POUND 25,self incompatible,BAR70A,,,,,,
POUND 26,self incompatible,BAR70A,,,,,,
POUND 27,self incompatible,BAR70A,,,,,,
POUND 28,self incompatible,BAR70A,,,,,,
POUND 29,self incompatible,BAR70A,,,,,,
POUND 3,self incompatible,BAR70A,,,,,,
POUND 30,self incompatible,BAR70A,,,,,,
POUND 31,self incompatible,BAR70A,,,,,,
POUND 32,self compatible,BAR70A,,,,,,
POUND 4,self incompatible,BAR70A,,,,,,
POUND 5,self incompatible,BAR70A,,,,,,
POUND 7,self incompatible,BAR70A,,,,,,
POUND 8,self incompatible,BAR70A,,,,,,
POUND 9,self compatible,BAR70A,,,,,,
REDAMEL 1 /22,self compatible,BAR70A,,,,,,
REDAMEL 1 /27,self compatible,BAR70A,,,,,,
REDAMEL 1 /31,self compatible,BAR70A,,,,,,
RUY,self compatible,BAR70A,,,,,,
SCA 10,self incompatible,BAR70A,,,,,,
SCA 11,self incompatible,BAR70A,,,,,,
SCA 12,self incompatible,BAR70A,,,,,,
SCA 17,self incompatible,BAR70A,,,,,,
SCA 19,self incompatible,BAR70A,,,,,,
SCA 23,self incompatible,BAR70A,,,,,,
SCA 24,self incompatible,BAR70A,,,,,,
SCA 27,self incompatible,BAR70A,,,,,,
SCA 3,self incompatible,BAR70A,,,,,,
SCA 5,self incompatible,BAR70A,,,,,,
SCA 6,self incompatible,BAR70A,,,,,,
SCA 7,self incompatible,BAR70A,,,,,,
SCA 8,self incompatible,BAR70A,,,,,,
SCA 9,self incompatible,BAR70A,,,,,,
SIC 28,self compatible,BAR70A,,,,,,
SPEC 138 /10,self compatible,BAR70A,,,,,,
SPEC 161 /3,self incompatible,BAR70A,,,,,,
SPEC 161 /7,self compatible,BAR70A,,,,,,
SPEC 194 /75,self compatible,BAR70A,,,,,,
SPEC 194 /80,self incompatible,BAR70A,,,,,,
SPEC 195 /7,self compatible,BAR70A,,,,,,
SPEC 41 /11,self compatible,BAR70A,,,,,,
SPEC 41 /2,self compatible,BAR70A,,,,,,
SPEC 41 /6,self compatible,BAR70A,,,,,,
SPEC 41 /9,self compatible,BAR70A,,,,,,
SPEC 54 /1,self compatible,BAR70A,,,,,,
SPEC 54 /2,self compatible,BAR70A,,,,,,
STAHEL,self incompatible,BAR70A,,,,,,
TSA 644,self incompatible,BAR70A,,,,,,
UF 11,self incompatible,BAR70A,,,,,,
UF 12,self incompatible,BAR70A,,,,,,
UF 29,self compatible,BAR70A,,,,,,
VEN B 56 [ICT],self compatible,BAR70A,,,,,,
VEN B 87 [ICT],self compatible,BAR70A,,,,,,
VEN B 93 [ICT],self compatible,BAR70A,,,,,,
VEN B 99 [ICT],self compatible,BAR70A,,,,,,
BE 2,self incompatible,MOR91A,,,,,,
BS 2,self incompatible,MOR91A,,,,,,
C SUL 3,self incompatible,MOR91A,,,,,,
C SUL 7,self incompatible,MOR91A,,,,,,
CAAG,self incompatible,MOR91A,,,,,,
CAS 1,self incompatible,MOR91A,,,,,,
CAS 3,self incompatible,MOR91A,,,,,,
CATIE 1000,self compatible,MOR91A,,,,,,
CATONGO,self compatible,MOR91A,,,,,,
CC 10,self compatible,MOR91A,,,,,,
CC 100,self incompatible,MOR91A,,,,,,
CC 103,self compatible,MOR91A,,,,,,
CC 106,self incompatible,MOR91A,,,,,,
CC 107,self compatible,MOR91A,,,,,,
CC 120,self incompatible,MOR91A,,,,,,
CC 121,self compatible,MOR91A,,,,,,
CC 124,self incompatible,MOR91A,,,,,,
CC 132,self compatible,MOR91A,,,,,,
CC 137,self compatible,MOR91A,,,,,,
CC 138,self incompatible,MOR91A,,,,,,
CC 139,self compatible,MOR91A,,,,,,
CC 143,self compatible,MOR91A,,,,,,
CC 144,self compatible,MOR91A,,,,,,
CC 152,self compatible,MOR91A,,,,,,
CC 158,self compatible,MOR91A,,,,,,
CC 169,self compatible,MOR91A,,,,,,
CC 17,self compatible,MOR91A,,,,,,
CC 173,self compatible,MOR91A,,,,,,
CC 18,self compatible,MOR91A,,,,,,
CC 182,self incompatible,MOR91A,,,,,,
CC 200,self compatible,MOR91A,,,,,,
CC 201,self incompatible,MOR91A,,,,,,
CC 210,self incompatible,MOR91A,,,,,,
CC 211,self incompatible,MOR91A,,,,,,
CC 212,self compatible,MOR91A,,,,,,
CC 213,self incompatible,MOR91A,,,,,,
CC 214,self incompatible,MOR91A,,,,,,
CC 215,self compatible,MOR91A,,,,,,
CC 220,self incompatible,MOR91A,,,,,,
CC 222,self compatible,MOR91A,,,,,,
CC 223,self compatible,MOR91A,,,,,,
CC 224,self incompatible,MOR91A,,,,,,
CC 225,self incompatible,MOR91A,,,,,,
CC 226,self incompatible,MOR91A,,,,,,
CC 228,self incompatible,MOR91A,,,,,,
CC 231,self incompatible,MOR91A,,,,,,
CC 232,self compatible,MOR91A,,,,,,
CC 235,self incompatible,MOR91A,,,,,,
CC 236,self incompatible,MOR91A,,,,,,
CC 240,self incompatible,MOR91A,,,,,,
CC 241,self compatible,MOR91A,,,,,,
CC 243,self incompatible,MOR91A,,,,,,
CC 244,self incompatible,MOR91A,,,,,,
CC 245,self incompatible,MOR91A,,,,,,
CC 249,self compatible,MOR91A,,,,,,
CC 250,self compatible,MOR91A,,,,,,
CC 251,self incompatible,MOR91A,,,,,,
CC 252,self incompatible,MOR91A,,,,,,
CC 253,self incompatible,MOR91A,,,,,,
CC 256,self compatible,MOR91A,,,,,,
CC 257,self compatible,MOR91A,,,,,,
CC 259,self compatible,MOR91A,,,,,,
CC 262,self compatible,MOR91A,,,,,,
CC 265,self compatible,MOR91A,,,,,,
CC 266,self incompatible,MOR91A,,,,,,
MATINA 1 /6,self incompatible,MOR91A,,,,,,
CC 27,self compatible,MOR91A,,,,,,
CC 33,self compatible,MOR91A,,,,,,
