Clone name,Self compatibility,Refcode,Ligule colour,Stamen colour,Sepal length,Ligule width,Ovule number,Style length
RIM 106 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,8.13,2.59,41.0,2.22
RIM 113 [MEX],,BEKAD1,slight anthocyanin,slight anthocyanin,7.85,2.69,42.0,2.23
RIM 117 [MEX],,BEKAD1,slight anthocyanin,anthocyanin absent,7.73,2.4,42.0,1.96
RIM 12 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,7.2,2.6,35.0,2.14
RIM 13 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,7.46,2.52,36.0,2.16
RIM 19 [MEX],,BEKAD1,anthocyanin absent,slight anthocyanin,8.52,2.66,42.0,2.16
RIM 2 [MEX],,BEKAD1,slight anthocyanin,anthocyanin absent,8.49,2.6,44.0,2.09
RIM 23 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,7.72,2.36,37.0,1.97
RIM 24 [MEX],,BEKAD1,slight anthocyanin,anthocyanin absent,8.16,2.44,43.0,2.06
RIM 39 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,8.54,2.49,40.0,2.32
RIM 41 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,7.66,2.51,38.0,2.14
RIM 52 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,7.46,2.46,38.0,1.96
RIM 6 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,8.57,2.43,42.0,2.18
RIM 71 [MEX],,BEKAD1,slight anthocyanin,anthocyanin absent,8.46,2.59,44.0,2.23
RIM 75 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,8.21,2.62,38.0,2.18
RIM 76 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,7.85,2.68,42.0,2.13
RIM 8 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,8.01,2.63,39.0,2.2
RIM 9 [MEX],,BEKAD1,anthocyanin absent,anthocyanin absent,8.18,2.54,37.0,2.28
SAN JUAN WSC,,BEKAD1,slight anthocyanin,anthocyanin absent,7.42,2.29,53.0,2.28
SAN MIGUEL 3161 /2 [CHA],,BEKAD1,anthocyanin absent,anthocyanin absent,9.04,2.18,35.0,2.5
SAN MIGUEL 3360 /2 [CHA],,BEKAD1,anthocyanin absent,slight anthocyanin,7.55,2.14,48.0,2.02
SAN MIGUEL 3360 /3 [CHA],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.56,1.82,46.0,2.06
SC 1 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,9.32,2.79,37.0,2.32
SC 10 [COL],,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.56,2.16,42.0,2.01
SC 11 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,8.85,2.4,41.0,2.26
SC 12 [COL],,BEKAD1,anthocyanin absent,anthocyanin absent,8.73,2.52,37.0,2.24
SC 13 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,7.85,2.14,41.0,2.37
SC 17 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,8.53,2.84,36.0,2.03
SC 19 [COL],,BEKAD1,anthocyanin absent,anthocyanin absent,8.31,2.56,37.0,2.27
SC 2 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,9.13,2.72,46.0,2.48
SC 20 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,8.45,2.87,41.0,2.41
SC 3 [COL],,BEKAD1,anthocyanin absent,anthocyanin absent,8.08,2.47,38.0,1.97
SC 4 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,8.16,2.52,39.0,1.93
SC 5 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,8.71,2.78,43.0,2.4
SC 6 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,7.91,2.51,42.0,2.08
SC 8 [COL],,BEKAD1,slight anthocyanin,slight anthocyanin,8.38,2.44,43.0,2.48
SCA 10,,BEKAD1,slight anthocyanin,slight anthocyanin,7.05,2.18,38.0,1.98
SCA 11,,BEKAD1,anthocyanin absent,anthocyanin absent,7.41,2.47,43.0,1.82
SCA 12,,BEKAD1,anthocyanin absent,anthocyanin absent,7.72,2.7,43.0,2.41
SCA 16,,BEKAD1,slight anthocyanin,intense anthocyanin,7.04,2.31,42.0,2.41
SCA 19,,BEKAD1,slight anthocyanin,slight anthocyanin,5.25,1.74,47.0,1.52
SCA 20,,BEKAD1,slight anthocyanin,moderate anthocyanin,6.33,2.2,47.0,2.27
SCA 23,,BEKAD1,slight anthocyanin,slight anthocyanin,6.95,2.23,45.0,2.48
SCA 24,,BEKAD1,slight anthocyanin,slight anthocyanin,8.0,3.12,60.0,2.22
SCA 3,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.98,2.47,36.0,2.7
SCA 5,,BEKAD1,anthocyanin absent,slight anthocyanin,7.31,2.68,43.0,2.41
SCA 6,,BEKAD1,anthocyanin absent,anthocyanin absent,7.9,2.27,42.0,2.03
SCA 7,,BEKAD1,anthocyanin absent,slight anthocyanin,7.28,2.24,35.0,2.82
SCA 9,,BEKAD1,slight anthocyanin,moderate anthocyanin,6.81,2.14,57.0,2.27
SD 1 /6,,BEKAD1,intense anthocyanin,moderate anthocyanin,6.64,1.66,54.0,1.78
SI 10 /1,,BEKAD1,slight anthocyanin,anthocyanin absent,7.1,2.6,45.0,2.57
SI 12 /4,,BEKAD1,slight anthocyanin,slight anthocyanin,6.97,2.4,46.0,2.44
SI 17 /1,,BEKAD1,slight anthocyanin,intense anthocyanin,7.96,2.14,54.0,2.42
SI 22 /3,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.05,2.21,50.0,2.51
SI 32 /1,,BEKAD1,anthocyanin absent,slight anthocyanin,6.47,2.34,55.0,2.24
SI 35 /3,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.23,2.22,51.0,2.73
SI 40 /6,,BEKAD1,anthocyanin absent,slight anthocyanin,8.06,2.82,41.0,2.51
SI 45 /2,,BEKAD1,slight anthocyanin,anthocyanin absent,6.83,2.75,45.0,2.09
SI 48 /3,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.47,2.37,40.0,2.39
SI 66 /1,,BEKAD1,anthocyanin absent,anthocyanin absent,7.71,2.33,35.0,2.88
SIAL 330,,BEKAD1,slight anthocyanin,slight anthocyanin,7.66,2.21,40.0,2.3
SIAL 339,,BEKAD1,slight anthocyanin,slight anthocyanin,7.45,2.39,52.0,2.56
SIAL 44,,BEKAD1,slight anthocyanin,slight anthocyanin,6.94,1.93,43.0,2.16
SIC 5,,BEKAD1,slight anthocyanin,intense anthocyanin,7.4,2.56,48.0,2.6
