Clone name,Female parent,Male parent,Station,Country,Year,Status
CRIN Tc-1,T65/7 [POS],N38 [T38],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current
CRIN Tc-2,T101/15 [POS],N38 [T38],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current
CRIN Tc-3,P7 [POU],PA 150,"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current
CRIN Tc-4,T65/7 [POS],T57/22 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current
CRIN Tc-5,T82/27 [POS],T12/11 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current
CRIN Tc-6,PA150,T60/887 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current
CRIN Tc-7,T82/27 [POS],T16/17 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current
CRIN Tc-8,T65/7 [POS],T9/15 [POS],"Nigeria, Cocoa Research Institute of Nigeria (CRIN)",Nigeria,2010,current
