Clone name,Seed index,Pod index
PBC 112,99.0,25.0
PBC 123,96.1,23.0
PBC 128,85.4,25.0
PBC 130,78.1,22.0
PBC 131,78.1,19.0
PBC 137,94.3,24.0
PBC 139,91.7,21.0
PBC 140,79.3,25.0
PBC 154,98.0,27.0
PBC 159,81.9,19.0
