Clone name,Fat
BR 25,45.0
KKM 22,57.0
KKM 25,52.0
PBC 123,53.0
PBC 130,57.0
PBC 131,57.0
PBC 139,57.0
PBC 140,57.0
PBC 159,60.0
QH 1003,53.0
QH 22,55.0
