Clone name,Colour,Shape,Number,Total wet weight,Cotyledon dry weight,Cotyledon length,Cotyledon width
LV 22 [POU],purple,ovate,38.0,52.3,0.93,21.6,12.0
LV 27 [POU],dark purple,oblong,42.0,59.7,0.92,21.1,11.3
LV 28 [POU],dark purple,ovate,39.0,57.5,1.03,21.6,13.2
LV 31 [POU],purple,ovate,33.0,50.3,0.95,21.5,12.0
LV 33 [POU],dark purple,oblong,36.0,48.2,0.91,20.9,11.9
LV 36 [POU],dark purple,elliptical,31.0,53.4,1.23,23.0,13.3
LV 37 [POU],dark purple,ovate,39.0,60.0,0.93,22.5,12.3
LV 6 [POU],dark purple,elliptical,38.0,56.3,0.91,21.7,12.2
LV 9 [POU],dark purple,elliptical,35.0,52.7,0.93,22.9,12.3
LX 16,purple,elliptical,40.0,60.2,0.96,21.5,12.8
LX 17,dark purple,elliptical,40.0,64.7,1.12,23.5,13.1
LX 2,purple,oblong,37.0,61.1,1.07,23.5,12.4
LX 24,dark purple,elliptical,38.0,65.7,1.13,20.8,13.6
LX 25,dark purple,oblong,37.0,67.3,1.14,24.2,12.1
LX 28,dark purple,elliptical,37.0,54.3,1.0,21.2,11.9
LX 31,purple,elliptical,42.0,62.5,0.9,21.3,12.2
LX 32,purple,elliptical,42.0,64.8,0.93,23.9,13.0
LX 38,purple,elliptical,37.0,53.3,0.96,20.3,11.3
LX 39,purple,ovate,35.0,60.8,1.11,22.2,12.2
LX 41,purple,elliptical,35.0,42.3,0.75,20.2,11.0
LX 43,purple,oblong,32.0,53.3,1.11,23.8,11.4
LX 44,dark purple,ovate,31.0,48.4,1.07,22.2,13.0
LX 45,purple,elliptical,36.0,49.0,0.78,20.2,11.9
LX 47,purple,elliptical,36.0,30.7,0.6,17.4,9.9
LX 48,dark purple,elliptical,34.0,60.0,1.09,23.4,12.4
LX 49,dark purple,elliptical,33.0,29.6,0.6,19.2,10.6
LX 50,purple,elliptical,38.0,53.8,0.92,20.5,11.6
LX 53,purple,elliptical,40.0,55.0,0.91,21.7,11.8
LX 6,purple,oblong,38.0,68.5,1.12,23.6,13.0
LZ 13,purple,elliptical,37.0,58.8,1.04,22.7,12.6
LZ 17,dark purple,ovate,41.0,75.0,1.24,23.3,14.7
LZ 19,dark purple,elliptical,36.0,59.4,0.96,22.0,13.0
LZ 2,purple,ovate,40.0,78.6,1.19,23.1,12.6
LZ 33,purple,ovate,36.0,58.0,1.01,22.6,12.7
LZ 5,dark purple,elliptical,38.0,51.9,0.87,20.3,12.4
LZ 7,purple,ovate,39.0,57.2,0.94,23.3,12.6
LZ 8,purple,ovate,40.0,50.9,0.82,21.2,11.6
LZ 9,dark purple,oblong,40.0,55.1,1.01,23.5,12.1
M 116 [ICT],dark purple,ovate,53.0,62.7,0.94,22.7,10.6
M 252 [ICT],dark purple,ovate,39.0,65.3,1.19,23.9,13.4
M 33 [ICT],purple,elliptical,36.0,50.0,0.81,21.4,11.8
M 8 [SUR],light purple,elliptical,33.0,33.0,0.56,19.4,12.1
MA 12 [BRA],dark purple,oblong,51.0,74.0,0.92,21.0,11.2
MAN 15 /2 [BRA],dark purple,oblong,41.0,53.2,0.91,21.5,11.0
MAN 15 /60 [BRA],purple,elliptical,45.0,42.6,0.64,21.3,10.2
MAR 1,dark purple,oblong,40.0,50.7,0.76,20.9,11.7
MAR 10,dark purple,elliptical,39.0,63.5,1.09,23.4,12.5
MAR 11,dark purple,oblong,42.0,71.5,1.12,23.8,13.0
MAR 12,dark purple,elliptical,36.0,51.8,0.98,22.5,12.9
MAR 13,purple,elliptical,40.0,56.8,0.9,22.3,11.1
MAR 14,dark purple,elliptical,39.0,56.2,0.95,22.3,11.9
MAR 19,purple,elliptical,39.0,54.8,0.87,21.7,12.8
MAR 20,dark purple,oblong,36.0,46.6,0.9,21.9,11.9
MAR 22,dark purple,elliptical,38.0,60.6,0.98,22.4,12.5
MAR 3,purple,elliptical,41.0,64.3,1.0,21.8,12.3
MAR 9,purple,elliptical,41.0,54.2,0.82,20.8,11.6
MARPER 18,dark purple,elliptical,42.0,78.5,1.34,25.4,12.1
MARPER 20,dark purple,oblong,42.0,71.5,1.23,24.3,13.2
MARPER 22,dark purple,oblong,37.0,65.2,1.19,23.5,13.5
MARPER 23,dark purple,elliptical,44.0,103.5,1.64,27.1,15.2
MARPER 25,dark purple,oblong,52.0,101.3,1.3,23.8,13.9
MARPER 27,dark purple,elliptical,37.0,48.0,0.88,21.1,12.1
MARPER 28,dark purple,elliptical,31.0,29.7,0.64,17.9,11.8
MARPER 29,dark purple,elliptical,48.0,54.8,0.82,20.5,12.6
MARPER 31,dark purple,elliptical,38.0,65.2,1.07,23.0,12.9
MARPER 33,dark purple,elliptical,39.0,54.4,0.81,22.0,11.2
MARPER 34,dark purple,oblong,37.0,59.9,1.05,24.8,11.8
MARPER 35,dark purple,oblong,50.0,56.8,0.8,20.6,10.6
MARPER 37,dark purple,elliptical,42.0,71.5,1.25,23.6,13.4
MARPER 42,dark purple,elliptical,41.0,56.3,0.95,20.0,12.8
MARPER 43,dark purple,elliptical,37.0,64.5,1.18,23.3,12.5
MARPER 45,dark purple,oblong,31.0,38.7,0.79,19.6,11.2
MARPER 47,dark purple,oblong,36.0,63.5,1.11,23.5,11.5
MARPER 48,dark purple,oblong,42.0,51.0,0.92,22.5,11.4
MARPER 49,purple,oblong,25.0,44.3,1.09,21.8,12.9
MARPER 50,dark purple,elliptical,51.0,70.6,0.93,20.1,12.9
MARPER 51,dark purple,elliptical,41.0,50.0,0.88,21.6,10.8
MARPER 52,dark purple,oblong,39.0,53.8,0.83,22.7,11.2
MARPER 53,purple,elliptical,43.0,77.6,1.1,23.5,14.7
MARPER 54,dark purple,ovate,45.0,55.5,0.83,22.3,11.6
MARPER 9,dark purple,elliptical,41.0,82.2,1.25,24.4,12.8
MATINA 1 /4,purple,elliptical,39.0,55.7,0.94,21.9,12.5
MATINA 1 /7,purple,ovate,36.0,78.5,1.46,26.5,14.7
MATINA 2 /8,purple,ovate,40.0,56.2,0.94,22.8,12.1
MO 109,purple,elliptical,36.0,52.4,0.86,22.8,13.1
MO 118,dark purple,elliptical,45.0,54.1,0.74,19.0,10.8
MO 121,dark purple,elliptical,39.0,40.8,0.65,17.6,10.6
MO 122,dark purple,elliptical,37.0,42.4,0.8,19.7,10.5
MO 125,purple,ovate,41.0,43.5,0.75,20.4,11.0
MO 129,dark purple,elliptical,40.0,55.3,0.91,20.6,11.6
MO 14,dark purple,elliptical,41.0,41.8,0.68,20.1,10.4
MO 17,purple,elliptical,46.0,48.7,0.77,19.4,12.5
MO 20,purple,elliptical,34.0,46.4,0.98,22.2,10.0
MO 3,dark purple,ovate,42.0,39.2,0.66,19.2,10.5
MO 4,purple,elliptical,38.0,56.1,1.03,19.8,12.7
MO 76,purple,elliptical,45.0,48.2,0.65,19.5,9.9
MO 80,dark purple,elliptical,48.0,56.8,0.79,19.9,11.5
MO 81,dark purple,ovate,39.0,37.7,0.68,20.0,10.3
MO 82,dark purple,elliptical,50.0,58.0,0.79,19.2,11.4
MO 83,dark purple,ovate,36.0,42.2,0.7,18.9,12.0
MO 87,dark purple,oblong,42.0,53.3,0.87,20.7,10.4
MO 9,purple,elliptical,40.0,52.8,0.93,20.0,11.1
MO 90,dark purple,ovate,42.0,43.5,0.65,18.9,10.2
MO 96,dark purple,elliptical,37.0,29.6,0.61,16.4,10.1
MO 99,dark purple,elliptical,42.0,48.2,0.8,19.4,10.7
MOCO 1 /12,purple,elliptical,35.0,49.8,0.82,23.3,12.2
MOQ 1 /16,dark purple,elliptical,37.0,48.0,0.9,21.3,12.2
MOQ 1 /2,dark purple,ovate,47.0,70.7,1.03,22.7,11.4
MOQ 1 /21,dark purple,elliptical,29.0,38.3,0.88,20.8,11.6
MOQ 1 /24,dark purple,elliptical,27.0,43.0,1.01,20.5,12.5
MOQ 1 /25,purple,ovate,34.0,56.3,0.95,23.9,12.6
MOQ 1 /6,dark purple,elliptical,41.0,46.6,0.86,19.8,12.4
MOQ 2 /1,dark purple,oblong,39.0,68.6,1.29,22.7,14.7
MOQ 2 /10,dark purple,elliptical,35.0,60.7,1.26,23.1,13.1
MOQ 2 /11,dark purple,oblong,35.0,57.2,1.09,24.1,12.3
MOQ 2 /16,dark purple,elliptical,31.0,44.2,0.93,22.5,12.1
MOQ 2 /17,dark purple,elliptical,38.0,65.1,1.06,21.2,12.9
MOQ 2 /18,purple,ovate,40.0,69.5,1.17,23.4,12.5
MOQ 2 /22,dark purple,elliptical,26.0,43.6,1.27,22.9,12.5
MOQ 2 /26,dark purple,elliptical,39.0,65.7,1.23,23.3,12.3
MOQ 2 /28,purple,oblong,38.0,75.1,1.27,23.5,13.4
MOQ 2 /29,dark purple,elliptical,43.0,97.4,1.38,24.0,14.8
MOQ 2 /30,purple,oblong,35.0,59.7,1.12,23.1,12.6
MOQ 2 /31,dark purple,elliptical,30.0,54.6,1.08,22.2,12.9
MOQ 2 /35,dark purple,elliptical,36.0,64.1,1.16,21.6,13.9
MOQ 2 /36,purple,elliptical,42.0,85.3,1.34,24.3,13.6
MOQ 2 /4,purple,elliptical,43.0,49.4,0.75,17.5,9.0
MOQ 2 /6,dark purple,oblong,44.0,65.1,1.03,22.5,11.9
MOQ 2 /8,dark purple,elliptical,37.0,59.1,1.05,21.3,12.7
MOQ 3 /11,dark purple,ovate,33.0,48.8,1.11,20.8,13.6
MOQ 3 /12,purple,elliptical,34.0,57.3,1.21,21.6,13.7
MOQ 3 /16,dark purple,elliptical,36.0,60.3,1.04,23.0,12.6
MOQ 3 /19,dark purple,elliptical,36.0,72.7,1.33,23.0,15.1
MOQ 3 /20,dark purple,elliptical,42.0,76.5,1.3,23.2,13.7
MOQ 3 /8,dark purple,elliptical,41.0,61.7,1.1,22.0,12.7
MOQ 4 /13,purple,elliptical,35.0,51.4,0.9,22.6,12.8
MOQ 4 /16,purple,elliptical,37.0,57.5,0.87,21.1,12.2
MOQ 4 /2,purple,oblong,38.0,78.0,1.28,23.8,13.7
MOQ 4 /21,dark purple,elliptical,38.0,67.3,1.15,22.7,13.5
MOQ 4 /23,purple,-,45.0,84.1,1.16,22.4,13.2
MOQ 4 /4,dark purple,elliptical,35.0,69.7,1.21,23.4,13.8
MOQ 4 /5,dark purple,elliptical,35.0,61.2,1.25,23.1,13.5
MOQ 5 /1,dark purple,ovate,43.0,64.0,1.06,23.7,12.5
MOQ 5 /12,purple,elliptical,40.0,63.3,1.01,22.1,12.2
MOQ 5 /21,dark purple,oblong,39.0,57.6,0.92,21.0,11.7
MOQ 5 /23,dark purple,elliptical,43.0,61.2,0.99,21.8,12.3
MOQ 5 /28,dark purple,ovate,36.0,55.5,1.07,23.2,12.6
MOQ 5 /29,purple,elliptical,37.0,52.9,0.8,20.2,12.1
MOQ 5 /34,light purple,elliptical,38.0,60.6,0.98,21.3,12.2
MOQ 5 /5,purple,elliptical,42.0,56.3,0.86,21.3,12.3
MOQ 6 /10,dark purple,oblong,41.0,67.9,1.12,24.2,12.5
MOQ 6 /102,purple,oblong,36.0,69.3,1.26,23.3,13.2
MOQ 6 /103,purple,ovate,44.0,59.0,0.81,23.2,12.5
MOQ 6 /104,dark purple,ovate,40.0,76.7,1.14,17.4,8.7
MOQ 6 /107,dark purple,elliptical,45.0,73.6,1.1,25.3,13.3
MOQ 6 /108,dark purple,elliptical,46.0,61.9,0.99,19.9,12.8
MOQ 6 /109,dark purple,elliptical,35.0,45.5,0.84,19.6,11.1
MOQ 6 /11,purple,oblong,38.0,72.2,1.24,24.9,13.3
MOQ 6 /113,purple,elliptical,36.0,71.0,1.15,22.5,13.4
MOQ 6 /19,dark purple,elliptical,46.0,80.2,1.27,23.4,13.8
MOQ 6 /28,dark purple,oblong,44.0,70.4,1.0,25.1,12.5
MOQ 6 /29,dark purple,oblong,39.0,54.3,0.79,19.5,10.9
MOQ 6 /30,dark purple,oblong,38.0,63.6,1.13,24.1,11.9
MOQ 6 /33,dark purple,elliptical,40.0,60.6,1.05,21.9,12.6
MOQ 6 /34,dark purple,elliptical,40.0,79.4,1.23,23.9,14.8
MOQ 6 /36,purple,elliptical,33.0,43.2,0.88,20.5,12.0
MOQ 6 /41,purple,oblong,42.0,65.8,0.98,21.4,11.6
MOQ 6 /44,purple,elliptical,38.0,47.6,0.77,19.5,11.9
MOQ 6 /46,light purple,ovate,41.0,63.1,1.05,23.7,12.4
MOQ 6 /5,dark purple,elliptical,39.0,48.8,0.85,21.3,10.9
MOQ 6 /52,dark purple,elliptical,39.0,62.7,1.2,21.7,14.5
MOQ 6 /54,dark purple,elliptical,38.0,56.7,0.98,22.0,12.7
MOQ 6 /55,purple,elliptical,37.0,52.9,0.96,22.2,12.7
MOQ 6 /6,dark purple,elliptical,29.0,49.0,1.13,22.0,11.8
MOQ 6 /67,purple,elliptical,38.0,53.0,0.94,20.6,12.6
MOQ 6 /68,dark purple,elliptical,39.0,66.0,1.08,22.3,12.3
MOQ 6 /70,dark purple,elliptical,40.0,59.7,1.06,23.8,12.3
MOQ 6 /73,purple,elliptical,26.0,45.6,1.0,22.5,13.5
MOQ 6 /77,dark purple,ovate,37.0,60.5,1.07,22.5,12.7
MOQ 6 /82,purple,oblong,41.0,47.7,0.78,21.7,10.9
MOQ 6 /85,purple,elliptical,33.0,53.3,1.12,20.6,12.4
MOQ 6 /87,dark purple,oblong,40.0,73.7,1.12,23.4,12.2
MOQ 6 /88,purple,elliptical,43.0,69.6,0.99,22.6,11.6
MOQ 6 /91,dark purple,elliptical,39.0,59.7,1.11,22.2,13.9
MOQ 6 /92,dark purple,elliptical,42.0,59.9,0.93,22.4,12.9
MOQ 6 /93,dark purple,ovate,39.0,58.0,1.02,21.9,12.8
MOQ 6 /95,dark purple,oblong,27.0,43.2,1.06,22.7,11.3
MOQ 6 /96,dark purple,elliptical,38.0,63.3,1.11,24.1,12.4
MOQ 6 /97,dark purple,oblong,37.0,38.0,0.64,18.9,10.6
MOQ 6 /99,purple,elliptical,44.0,69.8,1.06,22.0,12.1
MORALES 2 /2,dark purple,oblong,38.0,41.7,0.67,19.5,10.4
MX 14 /16 [TTO],dark purple,elliptical,42.0,51.4,0.88,21.2,10.9
MX 14 /20 [TTO],dark purple,elliptical,47.0,45.2,0.66,19.8,11.0
NA 1,purple,ovate,43.0,44.7,0.69,19.0,11.4
NA 104,purple,ovate,44.0,64.6,1.06,23.2,13.0
NA 106,dark purple,elliptical,29.0,41.9,1.03,19.5,14.3
NA 110,purple,elliptical,45.0,42.1,0.7,19.2,10.5
NA 111,dark purple,ovate,46.0,49.3,0.8,18.8,10.7
NA 112,dark purple,elliptical,31.0,41.4,0.92,19.9,12.6
NA 113,dark purple,elliptical,32.0,48.5,1.16,21.0,12.6
NA 114,purple,elliptical,41.0,60.0,0.93,20.3,12.0
NA 118,dark purple,elliptical,39.0,46.0,0.88,19.0,12.5
NA 119,dark purple,elliptical,40.0,50.3,0.87,21.3,11.4
NA 12,dark purple,elliptical,41.0,50.7,0.88,21.0,11.6
NA 120,dark purple,elliptical,38.0,43.6,0.76,20.0,11.6
NA 127,purple,elliptical,36.0,39.6,0.75,17.9,10.8
NA 129,dark purple,oblong,32.0,38.8,0.84,19.0,11.4
NA 13,dark purple,elliptical,40.0,45.6,0.76,21.1,12.7
NA 137,dark purple,oblong,53.0,62.1,0.83,22.6,12.2
NA 14,purple,elliptical,44.0,37.8,0.6,19.0,10.3
NA 141,dark purple,ovate,46.0,62.4,0.95,19.0,10.4
NA 142,dark purple,elliptical,38.0,66.3,1.13,21.6,12.6
NA 144,dark purple,elliptical,29.0,31.7,0.82,18.3,11.6
NA 145,dark purple,elliptical,39.0,47.8,0.88,19.9,12.0
NA 149,purple,elliptical,37.0,38.2,0.73,17.8,10.2
NA 151,dark purple,elliptical,39.0,47.8,0.77,20.9,11.5
NA 154,purple,elliptical,28.0,29.0,0.68,17.2,10.0
NA 155,dark purple,elliptical,42.0,48.0,0.77,20.0,11.5
NA 156,dark purple,elliptical,50.0,67.6,0.87,22.1,12.9
NA 157,dark purple,elliptical,48.0,65.5,0.88,22.6,11.7
NA 159,dark purple,elliptical,29.0,35.1,0.8,17.9,11.9
NA 16,purple,elliptical,46.0,66.1,0.9,20.3,11.5
NA 168,purple,elliptical,42.0,53.2,0.91,19.3,12.2
NA 170,dark purple,ovate,44.0,49.8,0.81,20.6,12.3
NA 176,dark purple,elliptical,43.0,58.8,0.91,20.5,10.1
NA 178,dark purple,elliptical,43.0,46.6,0.78,19.8,12.2
NA 181,dark purple,elliptical,42.0,38.5,0.71,19.5,11.1
NA 183,dark purple,elliptical,33.0,39.3,0.82,19.0,11.6
NA 184,dark purple,elliptical,36.0,46.0,0.95,19.4,12.9
NA 186,purple,elliptical,36.0,53.0,1.11,18.5,11.8
NA 187,dark purple,elliptical,46.0,52.0,0.78,19.7,10.7
NA 189,purple,elliptical,43.0,53.3,0.88,19.7,10.9
NA 19,dark purple,elliptical,40.0,52.4,1.0,20.6,13.2
NA 191,dark purple,elliptical,44.0,60.0,1.05,21.4,12.6
NA 194,purple,elliptical,33.0,38.3,0.89,18.9,12.7
NA 204,dark purple,elliptical,37.0,45.6,0.86,18.4,11.8
NA 206,dark purple,elliptical,43.0,56.9,0.91,20.6,12.0
NA 21,purple,ovate,37.0,74.6,1.31,13.7,13.7
NA 214,dark purple,ovate,41.0,63.1,1.02,24.3,11.5
NA 217,purple,elliptical,34.0,41.0,0.82,18.4,12.4
NA 226,dark purple,elliptical,44.0,64.8,1.05,22.7,12.3
NA 227,purple,elliptical,41.0,40.0,0.74,20.0,12.1
NA 228,dark purple,elliptical,36.0,40.9,0.82,18.7,11.6
NA 229,dark purple,elliptical,41.0,50.9,0.9,20.3,12.0
NA 230,dark purple,oblong,37.0,68.6,1.15,25.0,12.1
NA 232,dark purple,elliptical,39.0,61.5,1.11,22.0,12.3
NA 235,dark purple,elliptical,45.0,49.2,0.74,18.4,10.9
NA 236,dark purple,elliptical,41.0,48.7,0.78,20.4,11.3
NA 242,dark purple,elliptical,34.0,40.6,0.93,19.6,13.4
NA 244,purple,elliptical,41.0,57.9,0.97,21.0,12.8
NA 246,dark purple,elliptical,43.0,55.1,0.84,21.4,11.8
NA 251,dark purple,oblong,39.0,35.8,0.68,19.1,9.7
NA 254,dark purple,elliptical,38.0,35.3,0.6,18.2,11.0
NA 26,purple,elliptical,42.0,49.2,0.93,19.5,12.2
NA 266,dark purple,elliptical,35.0,40.6,0.79,18.4,11.5
NA 268,purple,elliptical,35.0,46.4,1.09,21.2,13.5
NA 271,dark purple,elliptical,39.0,86.9,1.43,24.3,14.9
NA 279,dark purple,elliptical,27.0,32.6,0.82,18.1,11.6
NA 283,purple,elliptical,33.0,40.1,0.87,18.3,11.1
NA 286,dark purple,elliptical,27.0,35.7,0.96,14.7,7.3
NA 289,dark purple,elliptical,32.0,31.6,0.72,16.8,11.7
NA 3,purple,elliptical,44.0,53.4,0.83,21.2,11.3
NA 300,purple,ovate,36.0,74.6,1.2,24.2,13.7
NA 311,purple,elliptical,44.0,47.0,0.74,19.3,11.3
NA 312,purple,ovate,37.0,44.3,0.93,20.9,12.0
NA 32,dark purple,elliptical,43.0,38.2,0.76,18.7,12.2
NA 320,purple,oblong,30.0,41.9,0.98,22.1,11.0
NA 326,dark purple,elliptical,36.0,40.6,0.84,18.5,12.5
NA 327,dark purple,ovate,43.0,55.7,0.87,20.5,11.9
NA 329,dark purple,elliptical,38.0,40.9,0.78,19.3,12.1
NA 33,purple,elliptical,37.0,40.7,0.68,19.1,10.5
NA 331,dark purple,elliptical,31.0,36.7,0.9,17.5,12.2
NA 335,dark purple,elliptical,37.0,40.9,0.84,20.7,10.9
NA 337,purple,elliptical,33.0,37.3,0.89,21.7,12.0
NA 339,dark purple,elliptical,39.0,80.3,1.29,23.3,13.9
NA 34,dark purple,elliptical,40.0,48.6,0.96,21.3,12.2
NA 342,dark purple,ovate,35.0,41.4,0.95,19.6,13.4
NA 358,purple,elliptical,48.0,49.3,0.63,17.6,9.1
NA 359,dark purple,elliptical,33.0,49.0,1.08,20.4,14.0
NA 370,dark purple,elliptical,38.0,49.8,0.93,19.9,12.8
NA 371,dark purple,elliptical,13.0,25.0,1.14,23.9,13.4
NA 372,dark purple,ovate,41.0,42.3,0.67,18.7,10.0
NA 387,purple,elliptical,44.0,51.8,0.8,20.3,11.4
NA 39,purple,elliptical,22.0,26.0,0.82,17.9,11.3
NA 395,purple,elliptical,45.0,72.3,1.07,22.4,14.5
NA 399,purple,elliptical,36.0,41.9,0.85,19.5,13.1
NA 40,purple,elliptical,43.0,59.1,0.92,20.5,12.6
NA 406,purple,elliptical,41.0,53.2,0.89,20.2,12.4
NA 409,dark purple,oblong,40.0,60.7,0.99,24.5,11.2
NA 423,purple,elliptical,42.0,52.0,0.79,19.8,11.8
NA 427,dark purple,ovate,34.0,41.9,0.91,19.6,12.6
NA 43,purple,elliptical,40.0,40.9,0.67,17.8,11.6
NA 432,dark purple,elliptical,35.0,48.8,1.0,21.6,12.3
NA 435,purple,elliptical,32.0,36.2,0.79,18.6,12.2
NA 444,dark purple,elliptical,36.0,60.0,1.23,22.9,12.9
NA 45,purple,elliptical,40.0,59.7,1.05,19.4,11.1
NA 46,dark purple,elliptical,35.0,40.3,0.82,18.8,11.1
NA 462,light purple,elliptical,35.0,67.9,1.1,23.9,13.3
NA 47,dark purple,oblong,42.0,36.0,0.57,18.5,8.9
NA 471,dark purple,elliptical,40.0,48.4,0.84,19.2,11.6
NA 475,dark purple,elliptical,43.0,53.3,0.82,19.6,12.2
NA 48,dark purple,elliptical,33.0,41.2,0.92,20.2,11.8
NA 49,dark purple,elliptical,45.0,38.4,0.6,16.9,11.5
NA 504,dark purple,elliptical,32.0,36.6,0.89,19.0,11.8
NA 507,dark purple,elliptical,36.0,45.9,0.97,19.6,13.8
NA 519,purple,elliptical,35.0,54.6,1.14,22.1,13.5
NA 528,purple,ovate,46.0,53.5,0.84,21.8,11.9
NA 534,dark purple,elliptical,39.0,47.8,0.85,20.5,11.0
NA 540,purple,oblong,32.0,45.9,0.89,20.8,11.5
NA 58,purple,elliptical,29.0,35.6,0.9,18.6,11.5
NA 61,dark purple,elliptical,38.0,36.2,0.79,19.5,12.1
NA 62,purple,ovate,50.0,58.4,0.85,23.9,12.0
NA 66,dark purple,elliptical,41.0,47.3,0.78,19.2,11.9
NA 669,purple,elliptical,41.0,36.4,0.64,17.0,10.8
NA 670,dark purple,ovate,43.0,51.6,0.83,21.9,11.9
NA 672,purple,elliptical,41.0,49.0,0.99,20.6,12.6
NA 674,dark purple,elliptical,36.0,47.8,0.91,19.8,12.7
NA 68,dark purple,ovate,48.0,54.2,0.74,19.5,10.8
NA 680,dark purple,elliptical,41.0,57.5,0.95,21.5,11.7
NA 681,dark purple,oblong,40.0,84.2,1.42,25.5,13.2
NA 685,purple,elliptical,32.0,37.3,0.84,19.2,11.6
NA 686,dark purple,ovate,34.0,46.8,0.97,19.9,12.0
NA 687,dark purple,elliptical,39.0,43.4,0.78,18.6,11.7
NA 689,dark purple,elliptical,37.0,56.6,1.06,21.0,13.1
NA 692,dark purple,elliptical,35.0,53.0,0.93,21.5,12.3
NA 694,dark purple,elliptical,54.0,45.5,0.56,18.2,9.9
NA 697,dark purple,elliptical,38.0,39.5,0.65,17.8,11.2
NA 70,dark purple,elliptical,47.0,56.6,0.86,21.4,12.5
NA 702,purple,elliptical,27.0,29.8,0.87,18.2,12.7
NA 705,dark purple,elliptical,33.0,47.0,1.04,20.4,12.9
NA 706,purple,elliptical,28.0,32.9,0.67,20.0,11.5
NA 708,purple,elliptical,27.0,31.1,0.83,19.2,11.7
NA 71,dark purple,elliptical,45.0,83.7,1.19,22.7,13.9
NA 710,dark purple,elliptical,34.0,41.6,0.89,19.0,11.9
NA 711,dark purple,oblong,41.0,36.4,0.6,17.7,9.4
NA 712,dark purple,elliptical,49.0,33.9,0.48,16.5,8.8
NA 713,purple,elliptical,29.0,47.2,1.02,22.9,13.3
NA 715,dark purple,elliptical,37.0,45.0,0.88,20.0,11.8
NA 717,dark purple,elliptical,41.0,47.2,0.88,17.7,10.5
NA 718,dark purple,elliptical,30.0,38.5,0.87,19.2,11.2
NA 719,dark purple,elliptical,33.0,45.7,0.95,20.0,12.8
NA 720,dark purple,ovate,37.0,42.7,0.81,20.4,11.7
NA 721,dark purple,elliptical,48.0,44.6,0.71,18.2,9.6
NA 725,dark purple,elliptical,31.0,28.4,0.61,17.3,11.4
NA 726,dark purple,oblong,41.0,43.1,0.72,20.1,10.2
NA 728,dark purple,elliptical,34.0,43.4,0.94,19.8,12.6
NA 730,dark purple,ovate,40.0,48.3,0.81,19.9,11.6
NA 732,dark purple,elliptical,28.0,34.1,0.92,18.6,12.4
NA 733,dark purple,elliptical,27.0,33.3,0.86,18.1,12.2
NA 734,dark purple,elliptical,31.0,31.9,0.77,18.1,12.2
NA 738,dark purple,elliptical,40.0,46.1,0.89,19.6,12.2
NA 739,dark purple,elliptical,49.0,39.7,0.57,17.8,9.7
NA 74,purple,elliptical,39.0,44.4,0.72,18.4,11.1
NA 746,dark purple,elliptical,44.0,61.7,1.08,21.9,12.7
NA 747,dark purple,ovate,40.0,36.1,0.59,19.4,9.3
NA 750,purple,oblong,41.0,52.8,0.74,20.9,11.6
NA 751,dark purple,oblong,33.0,58.0,1.22,23.9,13.0
NA 753,dark purple,elliptical,34.0,36.3,0.77,18.7,10.9
NA 756,dark purple,elliptical,31.0,40.8,1.01,19.0,13.7
NA 758,dark purple,ovate,50.0,58.3,0.77,20.6,12.1
NA 759,dark purple,elliptical,39.0,54.0,1.04,20.9,12.5
NA 763,dark purple,elliptical,39.0,51.6,0.96,20.5,12.4
NA 766,dark purple,elliptical,37.0,45.6,0.84,19.4,11.8
NA 770,dark purple,elliptical,37.0,41.5,0.78,19.2,11.2
NA 771,purple,elliptical,34.0,35.8,0.82,17.9,11.7
NA 773,dark purple,elliptical,33.0,37.4,0.78,18.1,12.0
NA 780,dark purple,ovate,44.0,70.9,1.04,23.0,11.7
NA 79,purple,elliptical,35.0,42.6,0.82,21.1,11.2
NA 794,dark purple,elliptical,34.0,44.9,0.88,20.9,12.0
NA 796,dark purple,ovate,36.0,39.7,0.82,20.1,12.1
NA 8,purple,elliptical,43.0,48.6,0.75,20.2,10.3
NA 802,purple,elliptical,35.0,67.2,1.41,25.2,13.8
NA 804,purple,elliptical,41.0,63.1,1.04,23.3,12.8
NA 807,dark purple,elliptical,41.0,48.0,0.86,20.4,10.6
NA 81,dark purple,elliptical,42.0,95.6,1.49,25.2,14.1
NA 824,purple,elliptical,39.0,44.2,0.87,20.7,12.4
NA 831,purple,elliptical,49.0,54.2,0.81,20.6,11.4
NA 833,dark purple,elliptical,49.0,47.3,0.67,19.7,10.1
NA 835,dark purple,elliptical,32.0,35.4,0.76,18.7,12.1
NA 84,dark purple,elliptical,31.0,31.8,0.7,17.3,11.2
NA 841,purple,elliptical,35.0,46.8,0.9,21.2,12.0
NA 847,dark purple,elliptical,42.0,64.5,1.02,21.7,12.6
NA 851,purple,elliptical,39.0,52.2,0.95,20.7,11.5
NA 86,purple,ovate,45.0,77.9,1.1,20.2,11.7
NA 860,purple,elliptical,35.0,40.5,0.78,18.3,11.9
NA 867,dark purple,elliptical,37.0,45.6,0.89,19.2,13.6
NA 87,dark purple,elliptical,48.0,44.4,0.76,19.2,12.0
NA 876,dark purple,elliptical,39.0,44.0,0.82,18.7,12.2
NA 877,dark purple,elliptical,37.0,35.1,0.6,17.5,11.1
NA 888,dark purple,elliptical,39.0,39.5,0.74,19.1,12.8
NA 90,dark purple,elliptical,38.0,42.8,0.82,18.2,10.5
NA 904,dark purple,elliptical,44.0,44.9,0.71,18.6,10.9
