Clone name,Yield ha
ALMEIDA,1274
APA 4,830
APA 5,1034
BE 10,1139
BE 3,962
BE 4,1212
BE 5 /S-1,1488
BE 6,558
BE 7,142
BE 8,649
BE 9,928
C SUL 5,628
C SUL 7,202
CA 1 [BRA],1698
CA 2 [BRA],1400
CA 3 [BRA],1265
CA 4 [BRA],433
CA 5 [BRA],772
CA 6 [BRA],1275
CAB 5003 /23,858
CAS 1,309
CAS 2,454
CAS 3,1419
CC 10,2046
CC 11,1075
CC 17,521
CC 18,626
CC 34,1584
CC 37,829
CC 38,826
CC 39,1109
P 10 [MEX],1504
P 21 [MEX],908
P 21 [MEX],1264
P 22 [MEX],1218
P 8 [MEX],1234
