Clone name,Yield ha
BR 25,2690
KKM 22,2420
KKM 25,2440
PBC 123,2550
PBC 130,1910
PBC 131,1440
PBC 139,2250
PBC 140,1680
PBC 159,1560
QH 1003,2030
QH 22,3510
