Clone name,Fat
PBC 113,55.6
PBC 123,54.5
PBC 130,56.6
PBC 140,57.6
PBC 159,60.0
PBC 179,55.2
PBC 207,56.3
PBC 208,56.5
PBC 211,56.7
PBC 221,57.4
PBC 223,57.0
PBC 230,56.5
PBC 236,56.7
PBC 247,56.9
