Clone name,Shape,Basal constriction,Apex form,Rugosity,Furrow desc,Length,Breadth,Colour,Hardness,Info
AC T 1 /1 [TTO],elliptical,strong,acute,intense,paired and intermediate separation,195.8,91.7,anthocyanin absent,-,-
AC T 3 /2 [TTO],elliptical,moderate,acute,intense,paired and intermediate separation,154.0,71.0,moderate anthocyanin,-,-
AC T 6 /1 [TTO],elliptical,slight,obtuse,slight,paired and wide separation,132.0,79.0,moderate anthocyanin,-,-
AC T 7 /2 [TTO],oblong,slight,obtuse,intense,paired and intermediate separation,180.0,86.0,anthocyanin absent,-,-
AC T 8 /1 [TTO],oblong,slight,obtuse,slight,paired and intermediate separation,149.0,76.0,slight anthocyanin,-,-
AC T 8 /2 [TTO],oblong,strong,acute,moderate,paired and intermediate separation,179.0,75.0,anthocyanin absent,-,-
AGU 2 [CHA],oblong,strong,attenuate,moderate,paired and intermediate separation,180.0,72.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AGU 3339 [CHA],elliptical,strong,indented,intense,paired and intermediate separation,187.0,96.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AGU 3339 /12 [CHA],elliptical,moderate,mammillate,moderate,paired and intermediate separation,174.0,82.0,intense anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AGU 3339 /8 [CHA],elliptical,moderate,indented,intense,paired and intermediate separation,195.0,105.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
ALMEIDA,obovate,slight,obtuse,slight,paired and intermediate separation,127.0,83.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
AM 1 /1 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,164.0,87.0,slight anthocyanin,soft,Hardness <= 1.6 Mpa
AM 1 /107 [POU],elliptical,moderate,obtuse,moderate,paired and slight separation,182.0,93.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /12 [POU],elliptical,strong,obtuse,moderate,paired and slight separation,185.0,98.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /13 [POU],elliptical,moderate,obtuse,intense,paired and intermediate separation,173.0,88.0,anthocyanin absent,-,-
AM 1 /19 [POU],obovate,slight,rounded,slight,paired and intermediate separation,145.0,93.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /28 [POU],elliptical,moderate,mammillate,intense,paired and wide separation,129.0,65.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /3 [POU],elliptical,strong,obtuse,moderate,paired and intermediate separation,180.0,79.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /33 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,163.0,83.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /37 [POU],obovate,slight,acute,slight,paired and intermediate separation,154.0,82.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
AM 1 /38 [POU],elliptical,slight,acute,intense,paired and intermediate separation,186.0,85.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /39 [POU],obovate,moderate,obtuse,moderate,paired and intermediate separation,184.0,99.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /4 [POU],elliptical,slight,acute,slight,paired and intermediate separation,137.0,81.0,moderate anthocyanin,-,-
AM 1 /42 [POU],elliptical,strong,indented,moderate,paired and slight separation,168.0,89.0,anthocyanin absent,-,-
AM 1 /48 [POU],elliptical,moderate,obtuse,slight,paired and intermediate separation,151.0,91.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
AM 1 /49 [POU],oblong,strong,mammillate,moderate,paired and slight separation,169.0,86.9,anthocyanin absent,-,-
AM 1 /5 [POU],elliptical,strong,obtuse,intense,paired and intermediate separation,186.0,101.0,anthocyanin absent,-,-
AM 1 /53 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,151.0,76.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
AM 1 /54 [POU],elliptical,strong,mammillate,intense,paired and intermediate separation,192.0,85.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /55 [POU],elliptical,strong,indented,slight,paired and intermediate separation,147.0,83.0,anthocyanin absent,-,-
AM 1 /56 [POU],elliptical,strong,acute,moderate,paired and wide separation,169.0,90.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /57 [POU],obovate,slight,indented,slight,paired and intermediate separation,151.0,88.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /60 [POU],elliptical,moderate,obtuse,intense,paired and intermediate separation,176.0,84.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
AM 1 /63 [POU],elliptical,strong,obtuse,moderate,paired and slight separation,202.0,102.0,anthocyanin absent,-,-
AM 1 /67 [POU],elliptical,moderate,indented,intense,paired and intermediate separation,177.0,99.0,anthocyanin absent,-,-
AM 1 /68 [POU],elliptical,strong,acute,moderate,paired and intermediate separation,199.0,81.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /7 [POU],elliptical,strong,acute,moderate,paired and intermediate separation,188.0,83.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
AM 1 /70 [POU],obovate,moderate,mammillate,intense,paired and intermediate separation,161.0,90.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /72 [POU],elliptical,moderate,indented,moderate,paired and wide separation,173.0,91.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /73 [POU],elliptical,moderate,acute,intense,paired and intermediate separation,170.0,82.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /75 [POU],obovate,moderate,indented,slight,paired and intermediate separation,166.0,91.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /85 [POU],elliptical,moderate,acute,moderate,paired and intermediate separation,169.0,81.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /87 [POU],obovate,strong,obtuse,slight,paired and intermediate separation,168.0,90.0,anthocyanin absent,-,-
AM 1 /88 [POU],elliptical,slight,indented,moderate,paired and intermediate separation,176.0,97.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /96 [POU],elliptical,slight,mammillate,moderate,paired and intermediate separation,168.0,80.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /97 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,199.0,93.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /1 [POU],oblong,strong,attenuate,intense,paired and intermediate separation,208.0,84.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /12 [POU],obovate,strong,mammillate,slight,paired and intermediate separation,165.0,90.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 2 /13 [POU],elliptical,moderate,obtuse,moderate,paired and intermediate separation,148.0,77.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 2 /14 [POU],elliptical,strong,mammillate,slight,paired and intermediate separation,174.0,81.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 2 /17 [POU],elliptical,strong,mammillate,moderate,paired and wide separation,135.0,81.0,anthocyanin absent,-,-
AM 2 /18 [POU],elliptical,moderate,mammillate,moderate,paired and intermediate separation,165.0,89.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
AM 2 /19 [POU],obovate,moderate,mammillate,moderate,paired and wide separation,154.0,81.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /21 [POU],obovate,slight,indented,moderate,paired and wide separation,186.0,94.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
AM 2 /28 [POU],elliptical,moderate,acute,moderate,paired and intermediate separation,151.0,76.0,moderate anthocyanin,hard,Hardness > 2.0 Mpa
AM 2 /31 [POU],elliptical,moderate,acute,moderate,paired and intermediate separation,176.0,85.0,intense anthocyanin,hard,Hardness > 2.0 Mpa
AM 2 /32 [POU],obovate,strong,indented,moderate,paired and intermediate separation,161.0,87.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /38 [POU],elliptical,moderate,acute,moderate,paired and intermediate separation,156.0,76.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 2 /39 [POU],elliptical,strong,obtuse,moderate,paired and slight separation,189.0,93.0,anthocyanin absent,-,-
AM 2 /4 [POU],elliptical,moderate,obtuse,slight,paired and wide separation,151.0,82.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /41 [POU],elliptical,moderate,mammillate,slight,paired and slight separation,128.0,80.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /43 [POU],elliptical,strong,mammillate,moderate,paired and wide separation,172.0,83.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 2 /45 [POU],elliptical,strong,attenuate,moderate,paired and wide separation,178.0,81.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /46 [POU],elliptical,strong,indented,slight,paired and intermediate separation,161.0,94.0,anthocyanin absent,-,-
AM 2 /53 [POU],elliptical,strong,attenuate,moderate,paired and intermediate separation,172.0,78.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /6 [POU],obovate,moderate,indented,moderate,paired and intermediate separation,158.0,84.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
AM 2 /60 [POU],elliptical,strong,obtuse,moderate,paired and intermediate separation,164.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 2 /61 [POU],elliptical,slight,indented,slight,paired and wide separation,163.0,83.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 2 /62 [POU],elliptical,moderate,obtuse,slight,paired and intermediate separation,138.0,74.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /64 [POU],obovate,slight,indented,slight,paired and wide separation,148.0,87.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
AM 2 /65 [POU],obovate,moderate,mammillate,slight,paired and intermediate separation,142.0,76.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /68 [POU],obovate,strong,rounded,slight,paired and intermediate separation,144.0,83.0,anthocyanin absent,-,-
AM 2 /70 [POU],obovate,strong,obtuse,slight,paired and intermediate separation,151.0,85.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /82 [POU],elliptical,moderate,acute,moderate,paired and intermediate separation,172.0,84.0,moderate anthocyanin,hard,Hardness > 2.0 Mpa
AM 2 /83 [POU],elliptical,moderate,acute,moderate,paired and intermediate separation,141.0,73.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /87 [POU],elliptical,moderate,obtuse,moderate,paired and intermediate separation,136.0,76.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /88 [POU],elliptical,slight,mammillate,slight,paired and wide separation,130.0,71.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /9 [POU],elliptical,strong,acute,slight,paired and intermediate separation,159.0,91.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 2 /91 [POU],obovate,moderate,acute,moderate,paired and intermediate separation,168.0,86.0,moderate anthocyanin,hard,Hardness > 2.0 Mpa
AM 2 /92 [POU],elliptical,strong,acute,moderate,paired and intermediate separation,160.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 2 /94 [POU],elliptical,strong,mammillate,slight,paired and intermediate separation,174.0,83.0,slight anthocyanin,-,-
AM 2 /96 [POU],elliptical,moderate,acute,intense,paired and intermediate separation,142.0,75.0,moderate anthocyanin,hard,Hardness > 2.0 Mpa
AMAZ 10 /1,elliptical,moderate,indented,slight,paired and intermediate separation,148.0,84.0,anthocyanin absent,-,-
AMAZ 12,elliptical,strong,attenuate,intense,paired and intermediate separation,183.0,86.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMAZ 12 /4,elliptical,moderate,obtuse,moderate,paired and intermediate separation,181.0,83.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMAZ 1 /5,oblong,moderate,attenuate,moderate,equidistant and intermediate separation,193.0,82.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMAZ 15 /15,elliptical,strong,indented,slight,paired and intermediate separation,158.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMAZ 16 /4,obovate,moderate,indented,slight,equidistant and intermediate separation,136.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMAZ 3 /2,obovate,strong,obtuse,slight,equidistant and intermediate separation,155.0,74.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMAZ 5 /2,elliptical,strong,mammillate,slight,paired and wide separation,141.0,81.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMAZ 6,elliptical,strong,acute,slight,paired and intermediate separation,157.0,88.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMAZ 6 /3,obovate,strong,obtuse,slight,equidistant and intermediate separation,178.0,82.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMELONADO [VAR],obovate,strong,mammillate,slight,paired and wide separation,135.0,78.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AMELONADO [VAR],elliptical,strong,obtuse,slight,paired and wide separation,139.6,81.8,anthocyanin absent,-,-
AMELONADO 2 /0-17 [MAY],elliptical,moderate,obtuse,slight,paired and wide separation,134.0,80.0,anthocyanin absent,-,-
AMELONADO 3 /4-06 [MAY],elliptical,strong,obtuse,slight,paired and intermediate separation,143.0,83.0,anthocyanin absent,-,-
AS 7 [ECU],elliptical,strong,indented,moderate,paired and intermediate separation,175.0,93.0,anthocyanin absent,-,-
AX 122 /79,oblong,strong,obtuse,moderate,paired and intermediate separation,208.0,84.0,anthocyanin absent,-,-
AX 139 /53,elliptical,strong,acute,intense,paired and wide separation,179.0,87.0,anthocyanin absent,-,-
B 97C /B-3 [BLZ],oblong,strong,attenuate,moderate,paired and wide separation,156.8,77.6,moderate anthocyanin,-,-
B 1 /2-24 [POU],obovate,absent,indented,moderate,paired and intermediate separation,155.0,100.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 1 /2-8 [POU],elliptical,moderate,obtuse,slight,paired and slight separation,142.0,83.0,anthocyanin absent,-,-
B 11 /3 [POU],orbicular,slight,indented,slight,paired and wide separation,131.0,86.0,anthocyanin absent,-,-
B 12 /1 [POU],elliptical,strong,acute,moderate,paired and intermediate separation,138.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 13 /1 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,164.0,86.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 13 /3 [POU],elliptical,slight,obtuse,slight,paired and intermediate separation,136.0,72.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
B 13 /5 [POU],elliptical,moderate,obtuse,moderate,paired and intermediate separation,169.0,79.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 13 /6 [POU],elliptical,slight,acute,slight,paired and intermediate separation,166.0,83.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 13 /7 [POU],obovate,strong,indented,slight,paired and wide separation,154.0,86.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 14 /11 [POU],elliptical,strong,obtuse,slight,paired and wide separation,153.0,85.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 14 /13 [POU],elliptical,slight,acute,slight,paired and intermediate separation,148.0,78.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 14 /14 [POU],elliptical,strong,obtuse,slight,paired and intermediate separation,157.0,88.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 14 /8 [POU],obovate,moderate,indented,slight,paired and intermediate separation,157.0,86.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 14 /9 [POU],elliptical,strong,acute,moderate,paired and intermediate separation,174.0,81.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 17 /1 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,147.0,91.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
B 17 /10 [POU],elliptical,moderate,mammillate,moderate,paired and wide separation,164.0,79.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 17 /15 [POU],elliptical,slight,acute,moderate,paired and slight separation,156.0,86.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 17 /17 [POU],obovate,moderate,obtuse,moderate,paired and wide separation,154.0,89.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 17 /20 [POU],obovate,moderate,indented,slight,paired and wide separation,151.0,97.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 17 /24 [POU],elliptical,strong,acute,intense,paired and slight separation,162.0,75.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 17 /33 [POU],elliptical,moderate,acute,moderate,paired and intermediate separation,150.0,74.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 17 /4 [POU],elliptical,slight,acute,intense,paired and intermediate separation,165.0,83.0,anthocyanin absent,-,-
B 17 /5 [POU],oblong,strong,indented,intense,paired and slight separation,197.0,80.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
B 18 /1 [POU],elliptical,strong,indented,moderate,paired and intermediate separation,169.0,84.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 18 /4 [POU],obovate,strong,indented,slight,paired and intermediate separation,158.0,90.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 18 /5 [POU],elliptical,slight,mammillate,moderate,paired and wide separation,142.0,77.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
B 18 /8 [POU],elliptical,slight,indented,slight,paired and intermediate separation,148.0,83.0,anthocyanin absent,-,-
B 18 /9 [POU],elliptical,moderate,attenuate,moderate,paired and intermediate separation,158.0,76.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 2 /8 [POU],elliptical,strong,obtuse,slight,paired and slight separation,153.0,80.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 20 /1 [POU],obovate,moderate,obtuse,moderate,paired and wide separation,135.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 20 /2 [POU],elliptical,wideshoulder,obtuse,slight,paired and intermediate separation,186.0,95.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 21 /6 [POU],oblong,strong,attenuate,intense,paired and wide separation,182.0,78.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 21 /7 [POU],elliptical,slight,mammillate,moderate,paired and intermediate separation,148.0,78.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 22 /15 [POU],oblong,strong,attenuate,slight,paired and intermediate separation,173.0,75.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 22 /16 [POU],elliptical,strong,obtuse,slight,paired and slight separation,138.0,69.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 22 /17 [POU],elliptical,strong,indented,slight,paired and slight separation,158.0,82.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 22 /3 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,143.0,89.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
B 22 /8 [POU],orbicular,slight,indented,moderate,paired and intermediate separation,134.0,83.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
B 23 /1 [POU],elliptical,strong,obtuse,moderate,paired and intermediate separation,152.0,78.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 23 /2 [POU],orbicular,strong,obtuse,slight,paired and wide separation,134.0,77.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 23 /4 [POU],elliptical,strong,indented,moderate,paired and slight separation,176.0,78.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 23 /6 [POU],obovate,moderate,indented,moderate,paired and intermediate separation,142.0,82.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 23 /9 [POU],elliptical,strong,indented,moderate,paired and intermediate separation,168.0,85.0,anthocyanin absent,-,-
B 4 /8 [POU],obovate,strong,obtuse,moderate,paired and intermediate separation,162.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 5 /10 [POU],obovate,slight,indented,moderate,paired and intermediate separation,144.0,92.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 5 /11 [POU],obovate,slight,indented,slight,paired and intermediate separation,141.0,87.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 5 /2 [POU],elliptical,moderate,obtuse,moderate,paired and intermediate separation,147.0,84.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 5 /3 [POU],elliptical,strong,obtuse,intense,paired and intermediate separation,167.0,81.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 5 /5 [POU],obovate,moderate,indented,moderate,paired and intermediate separation,149.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 5 /7 [POU],elliptical,moderate,obtuse,moderate,paired and slight separation,165.0,86.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 6 /2 [POU],elliptical,moderate,obtuse,moderate,paired and intermediate separation,181.0,85.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 6 /29 [POU],obovate,moderate,acute,moderate,paired and intermediate separation,177.0,96.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 6 /3 [POU],obovate,moderate,indented,intense,paired and intermediate separation,132.0,81.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 6 /5 [POU],elliptical,moderate,indented,slight,paired and intermediate separation,146.0,88.0,anthocyanin absent,-,-
B 6 /8 [POU],obovate,moderate,rounded,intense,paired and intermediate separation,177.0,92.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 7 /1 [POU],elliptical,strong,indented,moderate,paired and intermediate separation,186.0,105.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 7 /14 [POU],obovate,moderate,obtuse,moderate,paired and wide separation,153.0,85.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 7 /15 [POU],obovate,moderate,indented,moderate,paired and wide separation,175.0,91.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 7 /16 [POU],obovate,moderate,indented,moderate,paired and intermediate separation,199.0,101.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 7 /18 [POU],elliptical,moderate,indented,intense,paired and wide separation,191.0,99.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 7 /21 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,164.0,88.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 7 /3 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,174.0,93.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 7 /4 [POU],obovate,strong,rounded,moderate,paired and wide separation,171.0,90.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 8 /4 [POU],obovate,moderate,obtuse,moderate,equidistant and intermediate separation,146.0,77.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 8 /5 [POU],obovate,moderate,obtuse,moderate,paired and intermediate separation,160.0,87.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 8 /8 [POU],obovate,strong,rounded,moderate,paired and intermediate separation,132.0,73.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 8 /9 [POU],elliptical,strong,indented,moderate,paired and intermediate separation,167.0,83.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 9 /10-12 [POU],obovate,moderate,indented,moderate,paired and wide separation,155.0,84.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 9 /10-18 [POU],elliptical,moderate,indented,slight,paired and intermediate separation,147.0,79.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 9 /10-23 [POU],obovate,strong,obtuse,moderate,paired and intermediate separation,170.0,77.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 9 /10-25 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,186.0,90.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 9 /10-28 [POU],elliptical,moderate,mammillate,slight,paired and intermediate separation,137.0,73.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 9 /10-30 [POU],elliptical,moderate,acute,slight,paired and wide separation,166.0,81.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 9 /10-32 [POU],elliptical,strong,acute,slight,paired and wide separation,162.0,90.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 9 /10-33 [POU],obovate,slight,obtuse,slight,paired and wide separation,180.0,85.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
B 9 /10-34 [POU],obovate,moderate,obtuse,slight,paired and wide separation,162.0,87.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 9 /10-35 [POU],elliptical,strong,mammillate,moderate,paired and intermediate separation,175.0,78.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 9 /10-43 [POU],elliptical,strong,acute,slight,paired and intermediate separation,175.0,88.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
B 9 /10-46 [POU],obovate,strong,obtuse,slight,paired and intermediate separation,162.0,79.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
B 9 /10-8 [POU],obovate,moderate,indented,slight,paired and slight separation,142.0,87.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
BE 10,elliptical,strong,mammillate,slight,paired and wide separation,130.0,80.0,anthocyanin absent,-,-
BE 2,elliptical,moderate,obtuse,slight,paired and intermediate separation,130.0,83.0,anthocyanin absent,-,-
Belize 10 [BLZ],elliptical,slight,obtuse,moderate,paired and intermediate separation,109.0,64.0,slight anthocyanin,-,-
Belize 12 [BLZ],elliptical,moderate,obtuse,intense,paired and intermediate separation,117.0,67.0,anthocyanin absent,-,-
Belize 14 [BLZ],elliptical,strong,attenuate,intense,paired and intermediate separation,115.0,64.0,anthocyanin absent,-,-
Belize 15 [BLZ],elliptical,moderate,acute,moderate,paired and intermediate separation,103.0,59.0,anthocyanin absent,-,-
Belize 17 [BLZ],elliptical,slight,mammillate,moderate,paired and intermediate separation,123.0,69.0,slight anthocyanin,-,-
Belize 2 [BLZ],elliptical,strong,acute,slight,paired and intermediate separation,157.0,73.0,anthocyanin absent,-,-
Belize 20 [BLZ],elliptical,moderate,rounded,moderate,paired and intermediate separation,121.0,74.0,slight anthocyanin,-,-
Belize 28 [BLZ],elliptical,slight,acute,slight,paired and intermediate separation,155.0,77.0,anthocyanin absent,-,-
Belize 29 [BLZ],elliptical,moderate,acute,slight,paired and intermediate separation,178.0,87.0,anthocyanin absent,-,-
Belize 3 [BLZ],oblong,slight,obtuse,moderate,paired and intermediate separation,155.4,83.0,anthocyanin absent,-,-
B 97 61 /B-7 [BLZ],elliptical,slight,acute,slight,paired and wide separation,171.0,80.0,slight anthocyanin,-,-
B 97 AC 2/1 [BLZ],elliptical,slight,indented,moderate,paired and intermediate separation,148.0,80.0,anthocyanin absent,-,-
