Clone name,Shape,Basal constriction,Apex form,Rugosity,Furrow desc,Length,Breadth,Colour,Hardness,Info
MOQ 5 /12,elliptical,moderate,indented,slight,paired and intermediate separation,162.0,84.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 5 /21,obovate,moderate,indented,slight,paired and wide separation,186.0,103.0,anthocyanin absent,-,-
MOQ 5 /23,obovate,slight,acute,slight,paired and wide separation,135.0,77.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
MOQ 5 /28,obovate,moderate,obtuse,slight,paired and wide separation,144.0,87.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 5 /29,obovate,moderate,acute,slight,paired and wide separation,147.0,86.0,moderate anthocyanin,hard,Hardness > 2.0 Mpa
MOQ 5 /34,elliptical,moderate,acute,slight,paired and intermediate separation,159.0,73.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 5 /5,elliptical,strong,obtuse,intense,paired and intermediate separation,169.0,76.0,intense anthocyanin,hard,Hardness > 2.0 Mpa
MOQ 6 /10,elliptical,strong,obtuse,intense,paired and intermediate separation,183.0,85.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /102,elliptical,moderate,acute,moderate,paired and intermediate separation,175.0,85.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /103,elliptical,moderate,mammillate,moderate,paired and intermediate separation,133.0,82.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /104,elliptical,slight,indented,slight,paired and intermediate separation,190.0,92.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /107,elliptical,moderate,obtuse,slight,paired and wide separation,147.0,93.0,anthocyanin absent,-,-
MOQ 6 /108,oblong,moderate,indented,intense,paired and slight separation,193.0,83.0,moderate anthocyanin,-,-
MOQ 6 /109,elliptical,strong,acute,intense,paired and wide separation,175.0,76.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /11,obovate,slight,obtuse,slight,paired and wide separation,165.0,88.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /113,elliptical,moderate,indented,moderate,paired and slight separation,178.0,98.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /19,elliptical,strong,indented,intense,paired and intermediate separation,191.0,86.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /28,elliptical,strong,indented,slight,paired and wide separation,181.0,94.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /29,elliptical,strong,acute,intense,paired and intermediate separation,179.0,81.0,anthocyanin absent,-,-
MOQ 6 /30,elliptical,strong,acute,moderate,paired and slight separation,185.0,88.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /33,elliptical,strong,acute,intense,paired and intermediate separation,187.0,79.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /34,elliptical,moderate,acute,slight,paired and wide separation,167.0,86.0,anthocyanin absent,-,-
MOQ 6 /36,elliptical,slight,obtuse,moderate,paired and intermediate separation,161.0,76.0,intense anthocyanin,hard,Hardness > 2.0 Mpa
MOQ 6 /41,elliptical,moderate,acute,moderate,paired and intermediate separation,178.0,82.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /44,elliptical,strong,attenuate,moderate,paired and intermediate separation,166.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /46,elliptical,strong,obtuse,slight,paired and intermediate separation,163.0,75.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /5,oblong,strong,attenuate,intense,paired and slight separation,178.0,79.0,anthocyanin absent,-,-
MOQ 6 /52,elliptical,moderate,obtuse,moderate,paired and intermediate separation,171.0,83.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
MOQ 6 /54,obovate,slight,indented,moderate,paired and slight separation,143.0,83.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /55,elliptical,slight,indented,moderate,paired and slight separation,154.0,85.0,anthocyanin absent,-,-
MOQ 6 /6,elliptical,strong,indented,moderate,paired and intermediate separation,169.0,85.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /67,elliptical,slight,obtuse,moderate,paired and intermediate separation,159.0,81.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
MOQ 6 /68,obovate,wideshoulder,obtuse,slight,paired and wide separation,185.0,89.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /70,elliptical,wideshoulder,attenuate,intense,paired and intermediate separation,179.0,78.0,anthocyanin absent,-,-
MOQ 6 /73,elliptical,slight,acute,slight,paired and wide separation,146.0,74.0,moderate anthocyanin,hard,Hardness > 2.0 Mpa
MOQ 6 /77,elliptical,slight,obtuse,slight,paired and wide separation,154.0,77.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
MOQ 6 /82,elliptical,strong,indented,moderate,paired and intermediate separation,173.0,84.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /85,elliptical,strong,acute,slight,paired and intermediate separation,169.0,73.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /87,elliptical,moderate,acute,moderate,paired and intermediate separation,168.0,87.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /88,elliptical,moderate,obtuse,slight,paired and intermediate separation,166.0,81.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /91,elliptical,moderate,attenuate,intense,paired and intermediate separation,174.0,84.0,intense anthocyanin,-,-
MOQ 6 /92,elliptical,strong,obtuse,slight,paired and slight separation,167.0,83.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /93,elliptical,slight,mammillate,moderate,paired and intermediate separation,128.0,72.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /95,elliptical,moderate,obtuse,intense,paired and intermediate separation,179.0,82.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
MOQ 6 /96,elliptical,strong,acute,moderate,paired and slight separation,181.0,84.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
MOQ 6 /97,elliptical,strong,obtuse,moderate,paired and intermediate separation,140.0,75.0,moderate anthocyanin,-,-
MOQ 6 /99,obovate,moderate,indented,intense,paired and intermediate separation,190.0,100.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
MORALES 2 /2,elliptical,slight,mammillate,slight,paired and wide separation,136.0,76.0,anthocyanin absent,-,-
MX 14 /16 [TTO],elliptical,moderate,acute,slight,paired and intermediate separation,173.0,79.0,anthocyanin absent,-,-
MX 14 /20 [TTO],elliptical,moderate,attenuate,slight,paired and intermediate separation,151.0,70.0,anthocyanin absent,-,-
NA 1,elliptical,slight,indented,moderate,paired and wide separation,128.0,68.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 104,obovate,slight,obtuse,slight,paired and wide separation,165.0,87.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 106,elliptical,moderate,obtuse,moderate,paired and intermediate separation,138.0,75.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 110,obovate,slight,obtuse,moderate,paired and intermediate separation,149.0,78.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 111,elliptical,moderate,mammillate,moderate,paired and intermediate separation,158.0,75.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 112,elliptical,moderate,indented,slight,paired and intermediate separation,122.0,67.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 113,elliptical,moderate,indented,moderate,paired and intermediate separation,152.0,75.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 114,oblong,strong,attenuate,intense,paired and intermediate separation,192.0,76.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 118,elliptical,slight,indented,slight,paired and intermediate separation,148.0,76.0,anthocyanin absent,-,-
NA 119,elliptical,strong,indented,intense,paired and slight separation,178.0,83.0,anthocyanin absent,-,-
NA 12,elliptical,strong,obtuse,intense,paired and slight separation,156.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 120,elliptical,wideshoulder,attenuate,moderate,paired and intermediate separation,173.0,72.0,anthocyanin absent,-,-
NA 127,elliptical,slight,indented,moderate,paired and intermediate separation,138.0,70.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 129,elliptical,slight,indented,slight,paired and intermediate separation,134.0,70.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 13,obovate,slight,obtuse,slight,paired and intermediate separation,126.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 137,obovate,absent,acute,slight,paired and wide separation,150.0,85.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 14,elliptical,strong,obtuse,intense,paired and intermediate separation,153.0,66.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 141,elliptical,moderate,attenuate,moderate,paired and intermediate separation,177.0,74.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 142,elliptical,strong,acute,moderate,paired and intermediate separation,186.0,85.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 144,elliptical,slight,indented,slight,paired and wide separation,127.0,69.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 145,oblong,moderate,indented,slight,paired and intermediate separation,164.0,79.0,anthocyanin absent,-,-
NA 149,elliptical,moderate,acute,moderate,paired and intermediate separation,171.0,74.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 151,elliptical,moderate,mammillate,intense,paired and intermediate separation,168.0,82.0,anthocyanin absent,-,-
NA 154,oblong,moderate,acute,moderate,paired and intermediate separation,181.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
