Clone name,Pod index
C 99 [TRI],19.8
CAS 1,44.1
CATONGO,35.6
CBO 177 [VEN],28.0
CC 10,14.7
CC 17,22.8
CC 38,26.1
CC 39,25.1
CC 40,27.7
CC 41,28.0
CC 49,28.2
CC 57,26.0
CC 71,32.3
CC 9,20.0
CERRO AZUL 10,26.1
CL 10 /10,46.6
CL 10 /11,29.3
CL 10 /12,31.6
CL 10 /14,29.7
CL 10 /15,29.1
CL 10 /21,27.8
CL 10 /23,29.2
CL 10 /25,36.1
CL 10 /26,25.0
CL 10 /27,24.8
CL 10 /29,20.7
CL 10 /3,24.4
CL 10 /32,39.2
CL 10 /33,32.9
CL 10 /4,18.2
CL 10 /5,19.3
CL 10 /6,29.6
CL 10 /7,31.9
CL 13 /12,44.8
CL 13 /13,18.9
CL 13 /17,28.6
CL 13 /19-4,26.5
CL 13 /2,45.3
CL 13 /21,38.2
CL 13 /27,51.9
CL 13 /35,23.5
CL 13 /36,30.8
CL 13 /4,26.8
CL 13 /41,27.6
CL 13 /43,26.2
CL 13 /65,25.3
CL 15 /195,31.1
CL 15 /197,23.3
CL 19 /10,35.0
CL 19 /11,25.4
CL 19 /12,26.6
CL 19 /17,28.6
CL 19 /2,29.0
CL 19 /21,24.3
CL 19 /22,34.7
CL 19 /27,28.1
CL 19 /31,59.2
CL 19 /33,25.7
CL 19 /34,40.6
CL 19 /35,16.8
CL 19 /37,30.3
CL 19 /39,32.9
CL 19 /41,27.2
CL 19 /42,29.9
CL 19 /44,28.6
CL 19 /47,45.8
CL 19 /49,29.8
CL 19 /51,34.0
CL 19 /9,25.5
CL 27 /105,25.3
CL 27 /109,25.8
CL 27 /111,26.4
CL 27 /116,28.1
CL 27 /14,37.6
CL 27 /21,25.3
CL 27 /27,31.1
CL 27 /34,32.9
CL 27 /39,23.7
CL 27 /43,26.0
CL 27 /46,23.8
CL 27 /49,22.7
CL 27 /50,18.7
CL 27 /53,24.4
CL 27 /58,29.2
CL 27 /61,24.1
CL 27 /7,24.1
CL 27 /71,38.7
CL 27 /72,23.9
CL 27 /74,34.2
CL 27 /76,25.1
CL 27 /79,20.9
CL 27 /96,60.0
CL 78 /2,21.6
CL 78 /3,20.7
CL 78 /7,28.6
CL 9 /11,23.5
CL 9 /12,21.7
CL 9 /13,25.3
CL 9 /16,32.9
CL 9 /19,40.1
CL 9 /4,42.6
CL 9 /51,46.9
CL 9 /56,23.6
CL 9 /6,34.4
CL 9 /7,31.7
CL 91 /5,19.2
CL 91 /6,28.2
CL 91 /7,26.3
CLEM /S-62-1,20.7
CLM 100,25.3
CLM 101,18.7
CLM 107,19.5
CLM 11,34.7
CLM 111,28.3
CLM 114,18.9
CLM 116,34.4
CLM 122,19.4
CLM 19,38.8
CLM 3,38.6
CLM 35,36.3
CLM 41,27.0
CLM 43,21.6
CLM 49,27.2
CLM 56,33.7
CLM 59,16.7
CLM 6,23.8
CLM 60,25.3
CLM 64,25.1
CLM 70,23.4
CLM 78,29.9
CLM 83,24.9
CLM 86,24.9
CLM 88,23.4
CLM 90,28.9
CLM 91,42.0
CLM 96,35.7
CLM 97,21.6
CLM 99,31.9
COCA 3310 /3 [CHA],21.1
COCA 3343 /2 [CHA],31.8
COCA 3343 /7 [CHA],28.7
COCA 3348 /44 [CHA],22.2
COCA 3348 /52 [CHA],24.2
COCA 3370 /5 [CHA],25.7
CRIOLLO 54 [CRI],20.1
CRU C6 /23,23.5
CRU 100,33.0
CRU 101,48.4
CRU 102,23.9
CRU 103,30.5
CRU 104,17.6
CRU 105,17.1
CRU 106,20.5
CRU 107,25.1
CRU 11,20.0
CRU 111,17.4
CRU 112,17.7
CRU 113,24.7
CRU 116,15.1
CRU 119,28.6
CRU 12,28.0
CRU 120,32.5
CRU 122,15.5
CRU 123,22.7
CRU 124,27.5
CRU 126,17.1
CRU 127,35.0
CRU 128,23.1
CRU 129,18.7
CRU 13,24.0
CRU 131,49.3
CRU 132,25.3
CRU 133,19.0
CRU 135,22.0
CRU 136,21.0
CRU 137,19.7
CRU 138,15.8
CRU 142,21.0
CRU 147,15.2
CRU 153,15.2
CRU 154,16.2
CRU 19,29.6
CRU 21,20.7
CRU 263,29.8
CRU 27,31.7
CRU 271 (MIS_TTO005_ICS 55),29.5
CRU 28,20.0
CRU 34,15.5
CRU 35,16.3
CRU 37,23.9
CRU 38,16.2
CRU 40,23.5
CRU 47,22.0
CRU 4A /1,45.3
CRU 4A/11,15.8
CRU 4A/4,15.7
CRU 4A/8,20.5
CRU 4A/9,34.3
CRU 5,27.7
CRU 51,16.1
CRU 56,20.2
CRU 57,19.4
CRU 59,24.8
CRU 5A /1,18.9
CRU 5A /2,26.4
CRU 5A /3,27.2
CRU 5A /4,34.7
CRU 5A /5,40.3
CRU 5A /6,23.9
CRU 5B /10,17.3
CRU 5B /12,26.5
CRU 5B /14,38.1
CRU 5B /16,24.7
CRU 5B /17,35.9
CRU 5B /18,32.9
CRU 5B /19,19.8
CRU 5B /2,21.7
CRU 5B /21,22.3
CRU 5B /22,27.2
CRU 5B /23,15.9
CRU 5B /24,24.2
CRU 5B /25,16.2
CRU 5B /3,22.3
CRU 5B /4,24.6
CRU 5B /5,23.9
CRU 5B /7,21.0
CRU 5B /8,18.5
CRU 5B /9,27.5
CRU 63,23.6
CRU 64,28.1
CRU 69,31.7
CRU 6 /B-2,24.8
CRU 7,31.3
