Clone name,Pod index
LP 4 /45 [POU],35.4
LP 4 /48 [POU],19.2
LP 4 /5 [POU],41.5
LP 4 /52 [POU],43.5
LP 4 /7 [POU],20.2
LP 4 /8 [POU],25.3
LP 5 /1 [POU],27.8
LP 5 /14 [POU],35.7
LP 5 /19 [POU],21.1
LP 5 /2 [POU],24.7
LP 5 /23 [POU],23.0
LP 5 /3 [POU],30.2
LP 6 /14 [POU],37.3
LP 6 /16 [POU],29.1
LP 6 /19 [POU],34.7
LP 6 /21 [POU],26.7
LP 6 /24 [POU],23.7
LP 6 /6 [POU],26.5
LV 10 [POU],34.5
LV 14 [POU],23.3
LV 15 [POU],26.4
LV 17 [POU],29.5
LV 20 [POU],31.7
LV 22 [POU],28.3
LV 27 [POU],25.9
LV 28 [POU],24.9
LV 31 [POU],31.9
LV 33 [POU],30.5
LV 36 [POU],26.2
LV 37 [POU],27.6
LV 6 [POU],28.9
LV 9 [POU],30.7
LX 16,26.0
LX 17,22.3
LX 2,25.3
LX 24,23.3
LX 25,23.7
LX 28,27.0
LX 31,26.5
LX 32,25.6
LX 38,28.2
LX 39,25.7
LX 41,38.1
LX 43,28.2
LX 44,30.1
LX 45,35.6
LX 47,46.3
LX 48,27.0
LX 49,50.5
LX 50,28.6
LX 53,27.5
LX 6,23.5
LZ 13,26.0
LZ 17,19.7
LZ 19,28.9
LZ 2,21.0
LZ 33,27.5
LZ 5,30.2
LZ 7,27.3
LZ 8,30.5
LZ 9,24.8
M 116 [ICT],20.1
M 252 [ICT],21.5
M 33 [ICT],34.3
M 8 [SUR],54.1
MA 12 [BRA],21.3
MAN 15 /2 [BRA],26.8
MAN 15 /60 [BRA],34.7
MAR 1,32.9
MAR 10,23.5
MAR 11,21.3
MAR 12,28.3
MAR 13,27.8
MAR 14,27.0
MAR 19,29.5
MAR 20,30.9
MAR 22,26.9
MAR 3,24.4
MAR 9,29.7
MARPER 18,17.8
MARPER 20,19.4
MARPER 22,22.7
MARPER 23,13.9
MARPER 25,14.8
MARPER 27,30.7
MARPER 28,50.4
MARPER 29,25.4
MARPER 31,24.6
MARPER 33,31.7
MARPER 34,25.7
MARPER 35,25.0
MARPER 37,19.0
MARPER 42,25.7
MARPER 43,22.9
MARPER 45,40.8
MARPER 47,25.0
MARPER 48,25.9
MARPER 49,36.7
MARPER 50,21.1
MARPER 51,27.7
MARPER 52,30.9
MARPER 53,21.1
MARPER 54,26.8
MARPER 9,19.5
MATINA 1 /4,27.3
MATINA 1 /7,19.0
MATINA 2 /8,26.6
MO 109,32.3
MO 118,30.0
MO 121,39.4
MO 122,33.8
MO 125,32.5
MO 129,27.5
MO 14,35.9
MO 17,28.2
MO 20,30.0
MO 3,36.1
MO 4,25.5
MO 76,34.2
MO 80,26.4
MO 81,37.7
MO 82,25.3
MO 83,39.7
MO 87,27.4
MO 9,26.9
MO 90,36.6
MO 96,44.3
MO 99,29.8
MOCO 1 /12,34.8
MOQ 1 /16,30.0
MOQ 1 /2,20.7
MOQ 1 /21,39.2
MOQ 1 /24,36.7
MOQ 1 /25,31.0
MOQ 1 /6,28.4
MOQ 2 /1,19.9
MOQ 2 /10,22.7
MOQ 2 /11,26.2
MOQ 2 /16,34.7
MOQ 2 /17,24.8
MOQ 2 /18,21.4
MOQ 2 /22,30.3
MOQ 2 /26,20.8
MOQ 2 /28,20.7
MOQ 2 /29,16.9
MOQ 2 /30,25.5
MOQ 2 /31,30.9
MOQ 2 /35,23.9
MOQ 2 /36,17.8
MOQ 2 /4,31.0
MOQ 2 /6,22.1
MOQ 2 /8,25.7
MOQ 3 /11,27.3
MOQ 3 /12,24.3
MOQ 3 /16,26.7
MOQ 3 /19,20.9
MOQ 3 /20,18.3
MOQ 3 /8,22.2
MOQ 4 /13,31.7
MOQ 4 /16,31.1
MOQ 4 /2,20.6
MOQ 4 /21,22.9
MOQ 4 /23,19.2
MOQ 4 /4,23.6
MOQ 4 /5,22.9
MOQ 5 /1,21.9
MOQ 5 /12,24.8
MOQ 5 /21,27.9
MOQ 5 /23,23.5
MOQ 5 /28,26.0
MOQ 5 /29,33.8
MOQ 5 /34,26.9
MOQ 5 /5,27.7
MOQ 6 /10,21.8
MOQ 6 /102,22.0
MOQ 6 /103,28.1
MOQ 6 /104,21.9
MOQ 6 /107,20.2
MOQ 6 /108,22.0
MOQ 6 /109,34.0
MOQ 6 /11,21.2
MOQ 6 /113,24.2
MOQ 6 /19,17.1
MOQ 6 /28,22.7
MOQ 6 /29,32.5
MOQ 6 /30,23.3
MOQ 6 /33,23.8
MOQ 6 /34,20.3
MOQ 6 /36,34.4
MOQ 6 /41,24.3
MOQ 6 /44,34.2
MOQ 6 /46,23.2
MOQ 6 /5,30.2
MOQ 6 /52,21.4
MOQ 6 /54,26.9
MOQ 6 /55,28.2
MOQ 6 /6,30.5
MOQ 6 /67,28.0
MOQ 6 /68,23.7
MOQ 6 /70,23.6
MOQ 6 /73,38.5
MOQ 6 /77,25.3
MOQ 6 /82,31.3
MOQ 6 /85,27.1
MOQ 6 /87,22.3
MOQ 6 /88,23.5
MOQ 6 /91,23.1
MOQ 6 /92,25.6
MOQ 6 /93,25.1
MOQ 6 /95,34.9
MOQ 6 /96,23.7
MOQ 6 /97,42.2
MOQ 6 /99,21.4
MORALES 2 /2,39.3
MX 14 /16 [TTO],27.1
MX 14 /20 [TTO],32.2
NA 1,33.7
NA 104,21.4
NA 106,33.5
NA 110,31.7
NA 111,27.2
NA 112,35.1
NA 113,26.9
NA 114,26.2
NA 118,29.1
NA 119,28.7
NA 12,27.7
NA 120,34.6
NA 127,37.0
NA 129,37.2
NA 13,32.9
NA 137,22.7
NA 14,37.9
NA 141,22.9
NA 142,23.3
NA 144,42.1
NA 145,29.1
NA 149,37.0
NA 151,33.3
NA 154,52.5
NA 155,30.9
NA 156,23.0
NA 157,23.7
NA 159,43.1
NA 16,24.2
NA 168,26.2
NA 170,28.1
NA 176,25.6
NA 178,29.8
NA 181,33.5
NA 183,37.0
NA 184,29.2
NA 186,25.0
NA 187,27.9
NA 189,26.4
NA 19,25.0
NA 191,21.6
NA 194,34.0
NA 204,31.4
NA 206,25.6
NA 21,20.6
NA 214,23.9
NA 217,35.9
NA 226,21.6
NA 227,33.0
NA 228,33.9
NA 229,27.1
NA 230,23.5
NA 232,23.1
NA 235,30.0
NA 236,31.3
NA 242,31.6
NA 244,25.1
NA 246,27.7
NA 251,37.7
NA 254,43.9
NA 26,25.6
NA 266,36.2
NA 268,26.2
NA 271,17.9
NA 279,45.2
NA 283,34.8
NA 286,38.6
NA 289,43.4
NA 3,27.4
NA 300,23.1
NA 311,30.7
NA 312,29.1
NA 32,30.6
NA 320,34.0
NA 326,33.1
NA 327,26.7
NA 329,33.7
NA 33,39.7
NA 331,35.8
NA 335,32.2
NA 337,34.0
NA 339,19.9
NA 34,26.0
NA 342,30.1
NA 358,33.1
NA 359,28.1
NA 370,28.3
NA 371,67.5
NA 372,36.4
NA 387,28.4
NA 39,55.4
NA 395,20.8
NA 399,32.7
NA 40,25.3
NA 406,27.4
NA 409,25.3
NA 423,30.1
NA 427,32.3
NA 43,37.3
NA 432,28.6
NA 435,39.6
NA 444,22.6
NA 45,23.8
NA 46,34.8
NA 462,26.0
NA 47,41.8
NA 471,29.8
NA 475,28.4
NA 48,32.9
NA 49,37.0
NA 504,35.1
NA 507,28.6
NA 519,25.1
NA 528,25.9
NA 534,30.2
NA 540,35.1
NA 58,38.3
NA 61,33.3
NA 62,23.5
NA 66,31.3
NA 669,38.1
NA 670,28.0
NA 672,24.6
NA 674,30.5
NA 68,28.2
NA 680,25.7
NA 681,17.6
NA 685,37.2
NA 686,30.3
NA 687,32.9
NA 689,25.5
NA 692,30.7
NA 694,33.1
NA 697,40.5
NA 70,24.7
NA 702,42.6
NA 705,29.1
NA 706,53.3
NA 708,44.6
NA 71,18.7
NA 710,33.0
NA 711,40.7
NA 712,42.5
NA 713,33.8
NA 715,30.7
NA 717,27.7
NA 718,38.3
NA 719,31.9
NA 720,33.4
NA 721,29.3
NA 725,52.9
NA 726,33.9
NA 728,31.3
NA 730,30.9
NA 732,38.8
NA 733,43.1
NA 734,41.9
NA 738,28.1
NA 739,35.8
NA 74,35.6
NA 746,21.0
NA 747,42.4
NA 750,33.0
NA 751,24.8
NA 753,38.2
NA 756,31.9
NA 758,26.0
NA 759,24.7
NA 763,26.7
NA 766,32.2
NA 770,34.7
NA 771,35.9
NA 773,38.9
NA 780,21.9
NA 79,34.8
NA 794,33.4
NA 796,33.9
NA 8,31.0
NA 802,20.3
NA 804,23.5
NA 807,28.4
NA 81,16.0
NA 824,29.5
NA 831,25.2
NA 833,30.5
NA 835,41.1
NA 84,46.1
NA 841,31.7
NA 847,23.3
NA 851,27.0
NA 86,20.2
NA 860,36.6
NA 867,30.4
NA 87,27.4
NA 876,31.3
NA 877,45.0
NA 888,34.7
NA 90,32.1
NA 904,32.0
NA 916,27.0
NA 92,57.4
NA 929,40.2
NA 935,25.9
NA 961,16.0
NA 98,30.5
NAPO 3 [CHA],20.9
NG 3,25.3
OC 61 [VEN],23.3
PA 1 [PER],26.2
PA 105 [PER],30.3
PA 107 [PER],30.3
PA 109 [PER],28.6
PA 113 [PER],29.4
PA 114 [PER],52.1
PA 115 [PER],26.5
PA 118 [PER],31.3
PA 12 [PER],27.2
PA 120 [PER],34.8
PA 121 [PER],30.6
PA 123 [PER],38.7
PA 124 [PER],29.8
PA 125 [PER],30.1
PA 126 [PER],30.4
PA 128 [PER],28.8
PA 13 [PER],31.3
PA 132 [PER],28.7
PA 134 [PER],51.3
PA 135 [PER],30.0
PA 136 [PER],30.3
PA 137 [PER],28.1
PA 139 [PER],33.3
PA 140 [PER],42.6
PA 141 [PER],23.7
PA 143 [PER],29.5
PA 149 [PER],35.0
PA 15 [PER],30.9
PA 150 [PER],27.4
PA 151 [PER],33.3
PA 152 [PER],34.0
PA 156 [PER],32.5
PA 157 [PER],23.1
PA 16 [PER],29.1
PA 165 [PER],28.4
PA 167 [PER],25.0
PA 168 [PER],36.2
PA 169 [PER],29.1
PA 171 [PER],47.6
PA 173 [PER],27.5
PA 175 [PER],26.4
PA 176 [PER],26.0
PA 179 [PER],26.6
PA 18 [PER],27.1
PA 184 [PER],29.2
PA 185 [PER],40.4
PA 186 [PER],30.9
PA 187 [PER],22.5
PA 188 [PER],31.0
PA 189 [PER],35.1
PA 191 [PER],26.7
PA 194 [PER],24.6
PA 195 [PER],26.8
PA 196 [PER],27.3
PA 2 [PER],23.1
PA 2 /72 [PER],36.6
PA 20 [PER],23.3
PA 200 [PER],37.7
PA 202 [PER],32.2
PA 203 [PER],26.4
PA 205 [PER],16.5
PA 207 [PER],36.1
PA 211 [PER],31.9
PA 218 [PER],43.4
PA 24 [PER],27.6
PA 27 [PER],29.9
PA 271 [PER],29.8
PA 272 [PER],31.3
PA 279 [PER],31.9
PA 288 [PER],37.6
PA 289 [PER],32.7
PA 29 [PER],32.1
PA 291 [PER],35.1
PA 293 [PER],32.1
PA 294 [PER],39.7
PA 296 [PER],33.5
PA 297 [PER],35.7
PA 299 [PER],36.2
PA 3 [PER],24.1
PA 3 /10 [PER],20.4
PA 30 [PER],27.5
PA 300 [PER],21.4
PA 301 [PER],32.4
PA 303 [PER],31.3
PA 310 [PER],32.2
PA 312 [PER],38.6
PA 32 [PER],26.7
PA 34 [PER],30.1
PA 37 [PER],20.3
PA 39 [PER],26.4
PA 4 [PER],24.1
PA 41 [PER],34.2
PA 44 [PER],35.1
PA 45 [PER],28.8
PA 46 [PER],56.8
PA 48 [PER],33.6
PA 49 [PER],34.3
PA 5 [PER],23.9
PA 51 [PER],30.3
PA 52 [PER],27.5
PA 53 [PER],28.0
PA 56 [PER],32.1
PA 61 [PER],27.4
PA 63 [PER],21.9
PA 65 [PER],33.3
PA 66 [PER],29.9
PA 67 [PER],25.3
PA 68 [PER],30.9
PA 70 [PER],29.7
PA 71 [PER],19.5
PA 72 [PER],26.8
PA 73 [PER],24.2
PA 81 [PER],19.4
PA 82 [PER],30.5
PA 84 [PER],36.7
PA 88 [PER],35.7
PA 90 [PER],32.9
PA 95 [PER],30.2
PH 1 /2 [BLZ],40.1
PH 1 /3 [BLZ],30.2
PH 1 /4 [BLZ],32.1
PH 1 /5 [BLZ],35.9
PH 2 /1 [BLZ],30.9
PH 2 /2 [BLZ],24.8
PH 2 /3 [BLZ],26.6
PH 2 /4 [BLZ],27.4
PH 2 /5 [BLZ],31.9
PH 2 /8 [BLZ],27.7
PLAYA ALTA 2 [VEN],22.0
POR 1 [TTO],38.1
POR 3 [TTO],23.1
POUND 1 /B,33.1
POUND 10 /B,43.0
POUND 10 /C,40.7
POUND 12 /A,32.9
POUND 15 /A,34.4
POUND 16 /B,24.3
POUND 18,17.8
POUND 18 /A,21.2
POUND 19,28.0
POUND 19 /A,36.6
POUND 2 /A,42.7
POUND 2 /B,28.9
POUND 21 /B,31.7
POUND 25 /A,25.0
POUND 25 /C,32.2
POUND 26 /C,39.8
POUND 27 /C,30.0
POUND 31 /A,46.6
POUND 31 /C,36.2
POUND 32 /A,27.9
POUND 4 /A,26.8
POUND 5 /B,37.2
POUND 5 /C,25.8
POUND 7 /A,23.1
POUND 7 /B,19.0
POUND 7 /C,22.3
POUND 8 /C,37.2
POUND 9 /B,25.0
RB 29 [BRA],36.9
RB 33 /3 [BRA],33.0
RB 39 [BRA],34.5
RB 46 [BRA],36.5
RB 49 [BRA],37.0
REDAMEL 1 /27,43.3
REDAMEL 1 /30,23.9
REDAMEL 1 /31,29.7
RIM 101 [MEX],32.3
RIM 106 [MEX],28.9
RIM 113 [MEX],21.8
RIM 117 [MEX],18.7
RIM 12 [MEX],34.3
RIM 13 [MEX],28.9
RIM 19 [MEX],22.1
RIM 2 [MEX],39.7
RIM 23 [MEX],36.1
RIM 24 [MEX],24.1
RIM 39 [MEX],23.7
RIM 41 [MEX],25.5
RIM 52 [MEX],24.8
RIM 6 [MEX],23.5
RIM 71 [MEX],18.2
RIM 75 [MEX],19.8
RIM 76 [MEX],20.4
RIM 8 [MEX],22.8
RIM 9 [MEX],22.5
SAN JUAN WSC,15.5
SAN MIGUEL 3161 /2 [CHA],29.4
SAN MIGUEL 3360 /2 [CHA],19.6
SAN MIGUEL 3360 /3 [CHA],24.8
SC 1 [COL],22.1
SC 10 [COL],20.7
SC 11 [COL],23.7
SC 12 [COL],22.2
SC 13 [COL],26.5
SC 17 [COL],18.3
SC 19 [COL],19.7
SC 2 [COL],19.6
SC 20 [COL],22.8
SC 3 [COL],22.0
SC 4 [COL],24.3
SC 5 [COL],18.9
SC 6 [COL],23.3
SC 8 [COL],26.0
SCA 10,24.3
SCA 11,43.3
SCA 12,31.1
SCA 16,34.7
SCA 19,27.2
SCA 20,22.9
SCA 23,33.4
SCA 24,38.5
SCA 3,38.6
SCA 5,40.3
SCA 6,43.6
SCA 7,38.6
SCA 9,20.3
SD 1 /6,18.3
SI 10 /1,22.0
SI 12 /4,22.5
SI 17 /1,42.7
SI 22 /3,30.6
SI 32 /1,31.1
SI 35 /3,28.9
SI 40 /6,32.0
SI 45 /2,28.6
SI 46 /2,37.1
SI 48 /3,26.9
SI 48 /4,39.7
SI 66 /1,31.3
SIAL 330,21.2
SIAL 339,22.1
SIAL 44,29.7
SIC 5,30.2
SILECIA 8 [ECU],16.2
SJ 1 /1 [POU],20.5
SJ 1 /11 [POU],26.0
SJ 1 /18 [POU],21.5
SJ 1 /19 [POU],21.6
SJ 1 /26 [POU],26.0
SJ 1 /27 [POU],31.3
SJ 1 /28 [POU],25.9
SJ 1 /29 [POU],33.3
SJ 1 /3 [POU],25.8
SJ 1 /33 [POU],30.5
SJ 1 /34 [POU],22.3
SJ 1 /37 [POU],18.9
SJ 1 /39 [POU],23.0
SJ 1 /4 [POU],26.0
SJ 1 /40 [POU],24.4
SJ 1 /41 [POU],27.9
SJ 1 /5 [POU],27.1
SJ 1 /9 [POU],27.5
SJ 2 /10 [POU],27.7
SJ 2 /11 [POU],43.4
SJ 2 /12 [POU],28.1
SJ 2 /13 [POU],31.7
SJ 2 /15 [POU],23.1
SJ 2 /16 [POU],21.9
SJ 2 /17 [POU],30.9
SJ 2 /19 [POU],28.8
SJ 2 /2 [POU],41.3
SJ 2 /20 [POU],21.8
SJ 2 /22 [POU],19.4
SJ 2 /24 [POU],33.7
SJ 2 /25 [POU],32.1
SJ 2 /26 [POU],26.7
SJ 2 /28 [POU],33.8
SJ 2 /30 [POU],31.6
SJ 2 /6 [POU],21.9
SJ 2 /7 [POU],31.3
SLA 10,21.0
SLA 13,26.5
SLA 16,29.1
SLA 20,32.9
SLA 3,23.7
SLA 30,17.8
SLA 44,29.1
SLA 45,38.7
SLA 48,25.3
SLA 51,22.5
SLA 54,23.7
SLA 57,39.4
SLA 64,30.1
SLA 66,28.4
SLA 68,18.2
SLA 74,27.2
SLA 77,26.2
SLA 8,27.0
SLA 85,26.4
SLA 90,28.3
SLA 93,31.1
SLA 95,33.0
SLA 97,38.1
SLC 1,21.9
SLC 11,50.3
SLC 12,22.4
SLC 18,20.8
SLC 19,22.5
SLC 24,20.7
SLC 25,30.1
SLC 3,26.2
SLC 4,24.0
SLC 7,27.5
SLC 8,37.0
SM 18 [POU],50.0
SM 2 [POU],37.5
SM 5 [POU],28.6
SM 6 [POU],32.8
SM 9 [POU],23.1
SNK 12,20.5
SP 1 [VEN],26.9
SPA 10 [COL],35.0
SPA 11 [COL],27.0
SPA 12 [COL],19.3
SPA 16 [COL],23.5
SPA 18 [COL],23.9
SPA 20 [COL],22.9
SPA 4 [COL],35.7
SPA 5 [COL],37.0
SPA 7 [COL],26.9
SPA 8 [COL],28.0
SPA 9 [COL],29.3
SPEC 137 /6,32.4
SPEC 138 /10,30.2
SPEC 138 /11,26.2
SPEC 138 /13,29.4
SPEC 138 /15,25.6
SPEC 138 /16,27.8
SPEC 138 /17,26.0
SPEC 138 /21,32.1
SPEC 138 /3,31.7
SPEC 138 /8,41.4
SPEC 160 /9,27.5
SPEC 161 /7,27.1
SPEC 18 /5,28.0
SPEC 18 /6,30.5
SPEC 184 /15,22.3
SPEC 184 /2,25.6
SPEC 185 /4,41.1
SPEC 189 /14,29.1
SPEC 189 /8,21.7
SPEC 194 /103,21.8
SPEC 194 /107,25.3
SPEC 194 /109,29.7
SPEC 194 /15,27.9
SPEC 194 /44,40.4
SPEC 194 /48,25.0
SPEC 194 /62,24.1
SPEC 194 /75,41.4
SPEC 41 /11,26.1
SPEC 41 /6,25.7
SPEC 41 /6-17,29.1
SPEC 41 /6-18,38.6
SPEC 41 /6-25,36.6
SPEC 41 /6-29,63.0
SPEC 41 /6-37,26.0
SPEC 54 /1,31.3
SPEC 54 /2,26.5
STAHEL,30.5
TAP 10 [CHA],19.6
TAP 12 [CHA],38.8
TAP 7 [CHA],24.4
TRD 1,27.0
TRD 109,20.9
TRD 110,28.3
TRD 111,34.7
TRD 112,36.6
TRD 113,22.7
TRD 115,25.0
TRD 116,22.6
TRD 117,19.3
TRD 118,24.8
TRD 119,23.7
TRD 13,24.7
TRD 15,21.7
TRD 16,22.8
TRD 18,28.1
TRD 19,25.1
TRD 2,20.9
TRD 23,22.1
TRD 24,25.9
TRD 28,25.9
TRD 29,31.3
TRD 3,30.0
TRD 30,22.1
TRD 32,25.0
TRD 33,37.5
TRD 34,25.1
TRD 35,15.3
TRD 37,32.3
TRD 38,31.6
TRD 41,26.3
TRD 42,24.1
TRD 43,24.3
TRD 44,20.8
TRD 45,19.7
TRD 46,18.4
TRD 47,25.0
TRD 48,26.5
TRD 49,26.2
TRD 5,38.7
TRD 50,23.1
TRD 52,21.5
TRD 58,25.0
TRD 6,33.9
TRD 60,23.6
TRD 66,25.3
TRD 7,38.6
TRD 75,25.0
TRD 79,26.7
TRD 8,32.9
TRD 81,22.4
TRD 85,26.5
TRD 86,22.0
TRD 88,34.5
TRD 9,27.3
TRD 90,26.7
TRD 93,21.7
TRD 94,23.9
TRD 95,26.5
TRD 99,29.8
UF 11,13.9
UF 12,14.9
UF 122,30.2
UF 168,23.8
UF 191,21.8
UF 221,17.0
UF 29,19.3
UF 38,23.7
UF 4,23.7
UF 602,21.4
UF 613,27.0
UF 654,22.8
UF 667,28.1
UF 668,25.9
UF 676,17.2
UF 677,35.1
UF 700,28.6
UF 709,30.2
VEN A 58 [ICT],20.7
VEN B 47 [ICT],22.4
VEN B 56 [ICT],29.0
VEN B 66 [ICT],32.3
VENC 4 /4 [FRA],29.8
YAL 1 /S2,22.7
YAL 5/T,25.1
YAL 6 /S3,32.3
YAL 6 /S4,35.6
