Clone name,Colour dark purple,Colour light purple,Colour white,Number,Length,Width,Thickness,Cotyledon wet weight,Info
LCT EEN 252,+,-,+,34.0,26.1,13.8,9.5,2.16,
LCT EEN 254,+,+,-,37.0,24.6,15.1,8.5,2.05,
LCT EEN 257,+,-,+,48.0,28.6,14.3,9.3,2.35,
LCT EEN 258,-,+,+,46.0,24.9,15.1,8.5,2.12,
LCT EEN 26,+,-,-,40.0,27.6,12.9,7.7,1.84,expedition data
LCT EEN 269,-,+,+,32.0,25.2,12.5,8.9,2.00,
LCT EEN 27,+,-,-,30.0,20.6,11.2,7.7,1.00,expedition data
LCT EEN 271,-,-,+,30.0,21.9,13.3,9.4,1.76,expedition data
LCT EEN 28,-,+,-,20.0,22.7,13.4,9.1,1.93,expedition data
LCT EEN 280,+,+,+,36.0,23.4,13.0,9.0,2.00,
LCT EEN 281,+,+,-,24.0,23.1,13.6,9.6,1.92,
LCT EEN 283,-,-,+,27.0,24.1,14.0,9.8,2.29,expedition data
LCT EEN 29,+,+,-,21.0,25.2,15.0,8.3,1.93,expedition data
LCT EEN 295,-,-,+,40.0,21.2,11.6,8.8,1.34,expedition data
LCT EEN 296,-,-,+,38.0,24.3,13.0,8.7,1.75,expedition data
LCT EEN 300,-,-,+,24.0,26.0,14.3,11.1,2.67,expedition data
LCT EEN 302,-,-,+,38.0,23.7,15.0,9.5,2.09,expedition data
LCT EEN 306,-,-,+,-,24.8,13.5,8.0,1.70,expedition data
LCT EEN 31,-,+,+,37.0,26.8,14.9,11.3,2.82,
LCT EEN 313,-,-,+,12.0,32.1,14.2,11.2,3.25,expedition data
LCT EEN 320,-,-,+,15.0,27.1,14.1,10.8,2.40,expedition data
LCT EEN 321,+,+,+,30.0,22.9,14.0,9.2,1.91,expedition data
LCT EEN 322,+,-,-,34.0,23.1,12.4,9.0,1.73,expedition data
LCT EEN 323,-,+,+,38.0,27.4,14.1,8.8,2.14,expedition data
LCT EEN 324,+,-,+,29.0,21.1,11.4,8.0,1.25,expedition data
LCT EEN 325,-,-,+,27.0,22.2,13.7,11.3,2.13,expedition data
LCT EEN 326,+,-,+,40.0,21.5,12.7,9.1,1.53,expedition data
LCT EEN 328,-,-,+,26.0,26.1,14.6,10.1,2.48,expedition data
LCT EEN 329,-,-,+,13.0,26.8,13.0,10.3,2.36,expedition data
LCT EEN 330,-,-,+,9.0,27.3,15.5,12.5,3.28,expedition data
LCT EEN 331,-,-,+,18.0,22.2,14.9,9.9,1.86,expedition data
LCT EEN 332,-,-,+,35.0,26.9,15.9,10.2,2.80,expedition data
LCT EEN 335,-,-,+,39.0,23.8,13.7,9.2,1.86,expedition data
LCT EEN 336,-,+,+,-,21.3,12.6,8.5,1.33,expedition data
LCT EEN 336,-,-,+,37.0,24.4,13.8,7.2,1.54,expedition data
LCT EEN 337,-,-,+,38.0,24.2,14.6,9.7,2.40,expedition data
LCT EEN 338,-,-,+,43.0,23.7,14.1,7.5,1.85,expedition data
LCT EEN 339,-,+,-,40.0,24.5,14.0,9.3,2.18,expedition data
LCT EEN 340,-,-,+,27.0,25.5,13.2,8.0,1.90,expedition data
LCT EEN 341,-,-,+,34.0,22.1,13.2,8.1,1.65,expedition data
LCT EEN 342,-,-,+,21.0,25.1,13.8,11.7,2.50,expedition data
LCT EEN 343,-,-,+,41.0,21.2,12.9,7.1,1.30,expedition data
LCT EEN 344,-,-,+,23.0,24.8,14.2,10.7,2.32,expedition data
LCT EEN 345,-,-,+,16.0,25.7,13.6,10.6,2.43,expedition data
