Clone name,Seed index,Productivity,Notes
EET 95 [ECU],77.5,high,Accession TUR10273
EET 96 [ECU],-,very low - low,Accession TUR10274
G 8 [GET],81.3,very low - low,Accession TUR10291
GA 11 [HAI],84.0,medium,Accession TUR10293
GS 29,54.9,medium,Accession TUR10296
GS 29,-,low,Accession TUR10295
GS 36,59.8,medium,Accession TUR10297
GS 78,-,very low,Accession TUR10298
ICS 1,58.8,low - medium,Accession TUR10309
ICS 100,68.0,medium,Accession TUR10337
ICS 117,59.8,low - medium,Accession TUR10329
ICS 133,70.9,low,Accession TUR10338
ICS 137,60.6,low,Accession TUR10333
ICS 16,57.4,low - medium,Accession TUR10313
ICS 39,68.0,high,Accession TUR10315
ICS 40,101.0,high,Accession TUR10321
ICS 40,50.2,low,Accession TUR10316
ICS 43,93.4,low - medium,Accession TUR10317
ICS 44,64.1,medium,Accession TUR10318
ICS 45,-,low,Accession TUR10319
ICS 46,-,low,Accession TUR10320
ICS 53,80.0,low,Accession TUR10323
ICS 6,62.1,very low - low,Accession TUR10311
ICS 60,65.3,low,Accession TUR10325
ICS 8,-,very low,Accession TUR10312
ICS 89,65.3,medium - high,Accession TUR10326
ICS 91,-,very low,Accession TUR10328
ICS 95,144.9,medium - high,Accession TUR10335
IMC 60,105.2,low,Accession TUR10339
IMC 67,-,low,Accession TUR10340
IMC 67,108.6,medium,Accession TUR10341
JACA,123.4,very low - low,Accession TUR10343
LA ESMIDA AMARILLO,62.1,very low - low,Accession TUR10345
La Esmida Roja,88.4,very low,Accession TUR10346
LARANJA,140.8,high,Accession TUR10344
MA 12 [BRA],120.4,medium - high,Accession TUR10351
MA 13 [BRA],120.4,high,Accession TUR10352
MATINA,86.2,very low,Accession TUR10353
MOCORONGO,107.5,high,Accession TUR10368
NA 34,85.4,high,Accession TUR10372
OC 77 [VEN],46.9,low - medium,Accession TUR10374
P 10 [MEX],59.1,high,Accession TUR10376
P 19 [MEX],114.9,low,Accession TUR10382
P 43 [MEX],-,very low,Accession TUR10386
PA 121 [PER],106.3,high,Accession TUR10392
PA 121 [PER],100.0,medium,Accession TUR10391
PA 13 [PER],95.2,medium,Accession TUR10387
PA 16 [PER],123.4,medium - high,Accession TUR10389
PA 16 [PER],117.6,medium,Accession TUR10388
PA 169 [PER],93.4,medium,Accession TUR10393
PA 81 [PER],90.0,low,Accession TUR10390
PORCELANA 3,95.2,very low - low,Accession TUR10397
POUND 12,114.9,low,Accession TUR10400
POUND 12,95.2,high,Accession TUR10401
POUND 12,-,very low - low,Accession TUR10378
POUND 15,106.3,medium,Accession TUR10379
POUND 16,113.6,medium,Accession TUR10380
POUND 19,140.8,high,Accession TUR10381
POUND 20,93.4,medium,Accession TUR10383
POUND 23,107.5,high,Accession TUR10385
POUND 7,109.8,medium - high,Accession TUR10398
POUND 7,85.4,medium - high,Accession TUR10399
PV 4 [CRI],66.2,very low,Accession TUR10407
RB 29 [BRA],-,very low,Accession TUR10446
RB 37 [BRA],90.9,medium,Accession TUR10447
RB 39 [BRA],112.3,very low,Accession TUR10448
RB 41 [BRA],144.9,high,Accession TUR10450
RB 46 [BRA],107.5,medium - high,Accession TUR10452
RB 49 [BRA],-,very low,Accession TUR10454
RIM 10 [MEX],60.2,medium,Accession TUR10419
RIM 105 [MEX],68.9,low - medium,Accession TUR10441
RIM 106 [MEX],-,medium,Accession TUR10442
RIM 113 [MEX],60.9,low,Accession TUR10443
RIM 117 [MEX],58.4,medium,Accession TUR10444
RIM 13 [MEX],64.5,high,Accession TUR10420
RIM 15 [MEX],75.1,low - medium,Accession TUR10421
RIM 189 [MEX],68.0,medium,Accession TUR10585
RIM 19 [MEX],119.0,low,Accession TUR10422
RIM 2 [MEX],57.8,medium - high,Accession TUR10415
RIM 71 [MEX],68.9,low - medium,Accession TUR10435
RIM 75 [MEX],68.0,medium,Accession TUR10436
RIM 76 [MEX],46.9,low,Accession TUR10437
RIM 78 [MEX],77.5,low,Accession TUR10438
RIM 8 [MEX],54.9,medium,Accession TUR10417
RIM 9 [MEX],63.6,low,Accession TUR10418
SANTA CLARA 3 [ECU],142.8,medium,Accession TUR10456
SC 49 [COL],-,medium,Accession TUR10461
SC 5 [COL],72.9,high - very high,Accession TUR10457
SC 6 [COL],74.0,high,Accession TUR10458
SCA 12,169.4,low,Accession TUR10466
SCA 6,133.3,very low - low,Accession TUR10464
SCA 9,101.0,high,Accession TUR10465
SCR 4,46.2,high,Accession TUR10467
SCR 5,80.0,medium,Accession TUR10468
SGU 3,94.3,high,Accession TUR10471
SGU 4,76.3,low,Accession TUR10472
SGU 60,76.3,low,Accession TUR10469
