Clone name,Fat,Info
DRC 16,56.0,-
GC7 [IDN],55.0,-
ICCRI 03,55.1,-
ICCRI 04,55.07,-
ICCRI 07,45.67,-
ICCRI 09,48.55,-
ICCRI 02,56.0,-
ICS 13,52.0,-
ICS 60,54.0,-
MCC 01,49.67,-
MCC 02,49.2,-
RCC 70,57.0,-
SCA 6,53.9,Fat content: 49.6 - 58.17 %
Sulawesi 01,49.0,Fat content: 48 - 50 %
Sulawesi 02,55.07,-
Sulawesi 03,50.3,Fat content: 49.6 - 50.9 %
TSH 858,56.0,-
