Clone name,Yield ha
BR 25,1630
DR 1,1840
ICS 40,2200
K 9 [PHL],2440
P7 [PHL],1970
PBC 123,2240
S 5 [TAF],2410
UF 18,3110
UIT 1,1260
USM CH 1,2170
USM CH 2,2350
