Clone name,Colour dark purple,Colour purple,Colour light purple,Colour white,Shape,Size
ICS 1,+,+,+,-,plump,medium - large
ICS 104,-,-,-,+,-,-
ICS 12,-,-,-,+,-,-
ICS 2,-,-,-,-,-,very large
ICS 39,+,+,+,+,-,-
ICS 45,-,-,-,+,very plump,-
ICS 54,-,-,-,+,-,-
ICS 6,+,+,-,-,plump,-
ICS 60,-,+,+,+,plump,-
ICS 8,+,+,-,-,plump,medium - large
ICS 85,-,-,+,+,-,-
ICS 9,+,-,-,-,variable,-
ICS 95,+,-,-,-,flat,-
