Clone name,Yield ha
DR 1,1300
DR 2,2160
DR 38,1350
DRC 15,1250
DRC 16,1740
ICCRI 03,2300
ICCRI 04,2270
ICS 60,1510
KKM 22,2220
KW 162,3200
KW 165,1440
SCA 12,1060
SCA 6,1900
TSH 858,1760
