Clone name,Pest,Reaction
CHO 163 [VEN],Insects (general),resistant
LVL 2 [VEN],Insects (general),resistant
PORCELANA 10,Insects (general),resistant
PORCELANA 11,Insects (general),resistant
PORCELANA 12,Insects (general),resistant
PORCELANA 14,Insects (general),resistant
PORCELANA 16,Insects (general),resistant
PORCELANA 17,Insects (general),resistant
PORCELANA 2,Insects (general),resistant
PORCELANA 21,Insects (general),resistant
PORCELANA 3,Insects (general),resistant
