Clone name,Pathogen,Species,Reaction,Infection,Part,Notes
SNK 413,Phytophthora,P. palmivora,resistant,37.0,Pod,"Unripe, Attached and not wounded"
SNK 415,Phytophthora,P. palmivora,susceptible,96.0,Pod,"Unripe, Attached and not wounded"
SNK 416,Phytophthora,P. palmivora,resistant,56.0,Pod,"Unripe, Attached and not wounded"
SNK 42,Phytophthora,P. palmivora,susceptible,94.0,Pod,"Unripe, Attached and not wounded"
SNK 420,Phytophthora,P. palmivora,susceptible,92.0,Pod,"Unripe, Attached and not wounded"
SNK 422,Phytophthora,P. palmivora,moderate resistance,85.0,Pod,"Unripe, Attached and not wounded"
SNK 429,Phytophthora,P. palmivora,resistant,50.0,Pod,"Unripe, Attached and not wounded"
SNK 44,Phytophthora,P. palmivora,resistant,51.0,Pod,"Unripe, Attached and not wounded"
SNK 450,Phytophthora,P. palmivora,moderate resistance,72.0,Pod,"Unripe, Attached and not wounded"
SNK 452,Phytophthora,P. palmivora,moderate resistance,79.0,Pod,"Unripe, Attached and not wounded"
SNK 453,Phytophthora,P. palmivora,moderate resistance,78.0,Pod,"Unripe, Attached and not wounded"
SNK 456,Phytophthora,P. palmivora,moderate resistance,83.0,Pod,"Unripe, Attached and not wounded"
SNK 457,Phytophthora,P. palmivora,resistant,55.0,Pod,"Unripe, Attached and not wounded"
SNK 459,Phytophthora,P. palmivora,susceptible,95.0,Pod,"Unripe, Attached and not wounded"
SNK 46,Phytophthora,P. palmivora,susceptible,92.0,Pod,"Unripe, Attached and not wounded"
SNK 460,Phytophthora,P. palmivora,moderate resistance,88.0,Pod,"Unripe, Attached and not wounded"
SNK 461,Phytophthora,P. palmivora,resistant,61.0,Pod,"Unripe, Attached and not wounded"
SNK 462,Phytophthora,P. palmivora,resistant,65.0,Pod,"Unripe, Attached and not wounded"
SNK 467,Phytophthora,P. palmivora,susceptible,98.0,Pod,"Unripe, Attached and not wounded"
SNK 476,Phytophthora,P. palmivora,moderate resistance,85.0,Pod,"Unripe, Attached and not wounded"
SNK 478,Phytophthora,P. palmivora,resistant,32.0,Pod,"Unripe, Attached and not wounded"
SNK 48,Phytophthora,P. palmivora,moderate resistance,83.0,Pod,"Unripe, Attached and not wounded"
SNK 486,Phytophthora,P. palmivora,moderate resistance,75.0,Pod,"Unripe, Attached and not wounded"
SNK 488,Phytophthora,P. palmivora,susceptible,91.0,Pod,"Unripe, Attached and not wounded"
SNK 490,Phytophthora,P. palmivora,resistant,30.0,Pod,"Unripe, Attached and not wounded"
SNK 5,Phytophthora,P. palmivora,moderate resistance,81.0,Pod,"Unripe, Attached and not wounded"
SNK 52,Phytophthora,P. palmivora,susceptible,91.0,Pod,"Unripe, Attached and not wounded"
SNK 64,Phytophthora,P. palmivora,resistant,45.0,Pod,"Unripe, Attached and not wounded"
SNK 67,Phytophthora,P. palmivora,resistant,62.0,Pod,"Unripe, Attached and not wounded"
SNK 69,Phytophthora,P. palmivora,susceptible,97.0,Pod,"Unripe, Attached and not wounded"
SNK 7,Phytophthora,P. palmivora,moderate resistance,89.0,Pod,"Unripe, Attached and not wounded"
SNK 75,Phytophthora,P. palmivora,moderate resistance,86.0,Pod,"Unripe, Attached and not wounded"
SNK 8,Phytophthora,P. palmivora,susceptible,100.0,Pod,"Unripe, Attached and not wounded"
SNK 98,Phytophthora,P. palmivora,susceptible,92.0,Pod,"Unripe, Attached and not wounded"
T 12 /113 [POS],Phytophthora,P. palmivora,susceptible,94.0,Pod,"Unripe, Attached and not wounded"
T 12 /151 [POS],Phytophthora,P. palmivora,susceptible,93.0,Pod,"Unripe, Attached and not wounded"
T 60 /1174 [POS],Phytophthora,P. palmivora,moderate resistance,89.0,Pod,"Unripe, Attached and not wounded"
T 60 /887 [POS],Phytophthora,P. palmivora,resistant,67.0,Pod,"Unripe, Attached and not wounded"
T 63 /882 [POS],Phytophthora,P. palmivora,moderate resistance,84.0,Pod,"Unripe, Attached and not wounded"
T 63 /971 [POS],Phytophthora,P. palmivora,moderate resistance,81.0,Pod,"Unripe, Attached and not wounded"
T 63 /974 [POS],Phytophthora,P. palmivora,moderate resistance,84.0,Pod,"Unripe, Attached and not wounded"
T 79 /501 [POS],Phytophthora,P. palmivora,moderate resistance,87.0,Pod,"Unripe, Attached and not wounded"
UPA 134,Phytophthora,P. palmivora,susceptible,94.0,Pod,"Unripe, Attached and not wounded"
UPA 138,Phytophthora,P. palmivora,moderate resistance,89.0,Pod,"Unripe, Attached and not wounded"
UPA 143,Phytophthora,P. palmivora,moderate resistance,83.0,Pod,"Unripe, Attached and not wounded"
UPA 337,Phytophthora,P. palmivora,moderate resistance,83.0,Pod,"Unripe, Attached and not wounded"
UPA 74,Phytophthora,P. palmivora,moderate resistance,90.0,Pod,"Unripe, Attached and not wounded"
