Clone name,Testa
C 99 [TRI],4.6
CAS 1,5.8
CATONGO,6.7
CBO 177 [VEN],5.7
CC 10,3.5
CC 17,4.2
CC 38,5.5
CC 39,4.8
CC 40,6.5
CC 41,6.5
CC 49,5.5
CC 57,4.2
CC 71,5.3
CC 9,5.8
CERRO AZUL 10,5.4
CL 10 /10,6.6
CL 10 /11,6.3
CL 10 /12,6.8
CL 10 /14,4.5
CL 10 /15,5.5
CL 10 /21,6.5
CL 10 /23,5.1
CL 10 /25,5.1
CL 10 /26,5.0
CL 10 /27,5.3
CL 10 /29,5.5
CL 10 /3,5.2
CL 10 /32,6.4
CL 10 /33,6.7
CL 10 /4,4.6
CL 10 /5,5.4
CL 10 /6,4.7
CL 10 /7,8.0
CL 13 /12,5.6
CL 13 /13,5.0
CL 13 /17,6.2
CL 13 /19-4,4.7
CL 13 /2,6.7
CL 13 /21,6.3
CL 13 /27,5.5
CL 13 /35,5.4
CL 13 /36,5.2
CL 13 /4,7.6
CL 13 /41,4.7
CL 13 /43,5.2
CL 13 /65,5.8
CL 15 /195,4.5
CL 15 /197,6.0
CL 19 /10,7.4
CL 19 /11,4.2
CL 19 /12,5.1
CL 19 /17,5.1
CL 19 /2,5.1
CL 19 /21,5.6
CL 19 /22,8.1
CL 19 /27,4.9
CL 19 /31,8.6
CL 19 /33,5.5
CL 19 /34,5.6
CL 19 /35,4.1
CL 19 /37,5.6
CL 19 /39,6.4
CL 19 /41,6.4
CL 19 /42,5.5
CL 19 /44,6.1
CL 19 /47,7.7
CL 19 /49,5.4
CL 19 /51,6.1
CL 19 /9,5.1
CL 27 /105,4.5
CL 27 /109,6.0
CL 27 /111,5.4
CL 27 /116,5.1
CL 27 /14,7.0
CL 27 /21,4.7
CL 27 /27,6.9
CL 27 /34,4.2
CL 27 /39,4.1
CL 27 /43,4.9
CL 27 /46,5.0
CL 27 /49,5.8
CL 27 /50,4.7
CL 27 /53,5.2
CL 27 /58,5.1
CL 27 /61,5.7
CL 27 /7,5.9
CL 27 /71,6.8
CL 27 /72,4.9
CL 27 /74,5.0
CL 27 /76,5.6
CL 27 /79,5.7
CL 27 /96,7.3
CL 78 /2,6.0
CL 78 /3,5.3
CL 78 /7,5.6
CL 9 /11,5.8
CL 9 /12,6.1
CL 9 /13,4.6
CL 9 /16,5.1
CL 9 /19,7.2
CL 9 /4,8.3
CL 9 /51,7.5
CL 9 /56,6.0
CL 9 /6,4.8
CL 9 /7,6.5
CL 91 /5,4.3
CL 91 /6,6.3
CL 91 /7,4.9
CLEM /S-62-1,5.2
CLM 100,5.6
CLM 101,4.8
CLM 107,4.5
CLM 11,7.1
CLM 111,5.2
CLM 114,6.0
CLM 116,6.8
CLM 122,3.5
CLM 19,5.8
CLM 3,6.9
CLM 35,7.7
CLM 41,6.4
CLM 43,5.0
CLM 49,4.4
CLM 56,5.5
CLM 59,4.9
CLM 6,5.2
CLM 60,5.6
CLM 64,6.0
CLM 70,5.2
CLM 78,7.8
CLM 83,4.4
CLM 86,5.6
CLM 88,5.2
CLM 90,11.8
CLM 91,6.4
CLM 96,6.2
CLM 97,5.5
CLM 99,7.0
COCA 3310 /3 [CHA],5.7
COCA 3343 /2 [CHA],6.2
COCA 3343 /7 [CHA],6.5
COCA 3348 /44 [CHA],5.9
COCA 3348 /52 [CHA],5.0
COCA 3370 /5 [CHA],5.4
CRIOLLO 54 [CRI],3.2
CRU C6 /23,5.5
CRU 100,5.9
CRU 101,6.8
CRU 102,5.4
CRU 103,5.7
CRU 104,6.7
CRU 105,5.6
CRU 106,5.1
CRU 107,7.0
CRU 11,5.0
CRU 111,5.9
CRU 112,4.7
CRU 113,7.6
CRU 116,4.2
CRU 119,5.1
CRU 12,5.3
CRU 120,5.6
CRU 122,4.6
CRU 123,4.9
CRU 124,6.6
CRU 126,5.4
CRU 127,6.9
CRU 128,5.4
CRU 129,5.6
CRU 13,4.7
CRU 131,6.0
CRU 132,6.0
CRU 133,4.4
CRU 135,4.2
CRU 136,5.6
CRU 137,5.5
CRU 138,5.6
CRU 142,5.1
CRU 147,4.7
CRU 153,6.0
CRU 154,4.6
CRU 19,7.1
CRU 21,5.7
CRU 263,5.6
CRU 27,6.1
CRU 271 (MIS_TTO005_ICS 55),5.8
CRU 28,6.8
CRU 34,4.8
CRU 35,4.6
CRU 37,5.4
CRU 38,6.7
CRU 40,7.7
CRU 47,6.1
CRU 4A /1,5.4
CRU 4A/11,4.1
CRU 4A/4,4.4
CRU 4A/8,4.4
CRU 4A/9,6.5
CRU 5,6.3
CRU 51,5.4
CRU 56,5.2
CRU 57,4.6
CRU 59,6.4
CRU 5A /1,4.9
CRU 5A /2,7.3
CRU 5A /3,6.2
CRU 5A /4,6.2
CRU 5A /5,4.1
CRU 5A /6,4.7
CRU 5B /10,4.4
CRU 5B /12,5.4
CRU 5B /14,8.3
CRU 5B /16,4.9
CRU 5B /17,4.6
CRU 5B /18,6.1
CRU 5B /19,5.9
CRU 5B /2,6.3
CRU 5B /21,4.1
CRU 5B /22,4.6
CRU 5B /23,3.9
CRU 5B /24,5.3
CRU 5B /25,5.2
CRU 5B /3,5.5
CRU 5B /4,5.4
CRU 5B /5,5.1
CRU 5B /7,3.7
CRU 5B /8,5.2
CRU 5B /9,4.8
CRU 63,5.3
CRU 64,5.4
CRU 69,6.6
CRU 6 /B-2,6.6
CRU 7,5.2
CRU 70,4.5
CRU 72,6.3
CRU 73,5.6
CRU 74,6.1
CRU 77,7.1
CRU 78,5.2
CRU 80,9.5
CRU 81,6.4
CRU 83,5.7
CRU 86,6.1
CRU 87,9.0
CRU 89,4.2
CRU 90,5.4
CRU 91,6.1
CRU 95,6.3
CRU 96,5.7
CRU 97,14.5
CRU 98,5.3
CRU 99,5.4
CRU C11 /2,5.0
CRU C11 /3,5.2
CRU C12 /1,5.7
CRU C12 /2,5.0
CRU C12 /3,5.0
CRU C12 /4,5.3
CRU C12 /6,6.0
CRU C12 /7,5.2
CRU C3 /4,6.2
CRU C3 /5,5.4
CRU C4 /12,4.2
CRU C4 /13,6.5
CRU C4 /3,5.2
CRU C4 /4,4.8
CRU C4 /5,5.3
CRU C4 /6,6.1
CRU C4 /7,5.2
CRU C4 /8,5.5
CRU C5 /2,6.3
CRU C5 /4,6.5
CRU C5 /5,5.2
CRU C5 /7,5.8
CRU C5 /8,6.6
CRU C6 /14,5.3
CRU C6 /19,5.7
CRU C6 /22,5.8
CRU C6 /5,6.7
CRUZ 7 /11,6.6
CRUZ 7 /14,6.0
CRUZ 7 /8,5.0
DE 33 /B,5.1
DE 36 /A,4.2
DE 52 /B,8.8
DE 53 /B,7.5
DE 64 /A,6.7
DE 64 /B,5.1
DE 65 /A,4.9
DE 73 /A,6.3
DOM 1,5.3
DOM 10,6.7
DOM 11,6.3
DOM 13,5.3
DOM 14,5.8
DOM 15,6.0
DOM 16,6.1
DOM 18,5.6
DOM 2,5.6
DOM 20,5.8
DOM 23,5.9
DOM 24,7.5
DOM 25,7.6
DOM 27,5.7
DOM 3,3.9
DOM 30,5.7
DOM 31,5.7
DOM 33,5.4
DOM 35,5.7
DOM 4,5.9
DOM 7,6.0
DOM 8,6.1
DOM 9,5.2
DOPOL 2 /1-4,5.9
DOPOL 2 /1-5,5.8
DOPOL 3 /2-5,6.2
DOPOL 3 /2-6,6.5
DOPOL 4 /4-7,6.5
DOPOL 6 /15-10,6.0
DOPOL 6 /15-5,6.5
DOPOL 6 /15-9,5.5
DOPOL 7 /2-3,6.1
DOS HERMANOS,3.5
DOS HERMANOS 1,6.4
DOS HERMANOS 2,7.9
DR 2,5.3
E 34 [ECU],5.8
E 41 [ECU],5.6
E 575 [ICT],6.2
EBC 148 /S-301,7.8
ECNR,6.3
EEG 8,6.3
EET 162 [ECU],4.7
EET 19 [ECU],4.2
EET 272 [ECU],3.2
EET 28 [ECU],4.6
EET 338 [ECU],6.9
EET 338 /9577 [ECU],5.8
EET 397 [ECU],4.5
EET 399 [ECU],4.7
EET 400 [ECU],4.8
EET 48 [ECU],5.5
EET 58 [ECU],5.1
EET 59 [ECU],3.6
EET 95 [ECU],5.0
ELP 1 A,4.3
ELP 1 /S4,4.9
ELP 10 /S6,5.0
ELP 10 /T,5.0
ELP 11 /S1,4.9
ELP 11 /S3,4.6
ELP 13 /8,5.7
ELP 16 /S7,4.8
ELP 18 /S12,5.2
ELP 2 /S4,4.9
ELP 20 A,4.4
ELP 20 /S3,4.7
ELP 22 /S10,4.5
ELP 28 /S4,4.5
ELP 28 /S6,5.1
ELP 30 /S5,5.7
ELP 32 /S3,5.3
ELP 32 /S4,5.2
ELP 34 /S13,5.6
ELP 34 /S7,4.8
ELP 35 B,5.5
ELP 35 /S4,5.8
ELP 40 B,5.2
ELP 40 /S9,4.1
ELP 41 /S5,5.9
ELP 7 /S2,4.4
ELP 7 /S7,5.8
ELP 8 A,4.9
ELP 8 /S3,4.1
ELP 9 /S2,4.7
ELP 9 /S4,4.8
EQX /J [CHA],5.2
EQX /Z [CHA],5.6
EQX 3164 [CHA],5.5
EQX 69 [EQX],5.5
FSC 13,6.4
G 8 [GET],7.5
GA 11 [HAI],5.2
GC T 998 /2,5.7
GC T 998 /59,6.1
GC T 998 /60,5.7
GC T 998 /66,5.3
GC T 998 /76,5.2
GC T 998 /96,7.6
GC T 999 /59,5.8
GDL 1,4.7
GDL 11,5.2
GDL 2,5.3
GDL 3,6.4
GDL 7,5.2
GNV 22,5.1
GS 1,5.7
GS 10,4.7
GS 12,6.7
GS 13,6.5
GS 15,6.4
GS 16,6.0
GS 26,4.7
GS 29,12.0
GS 32,4.7
GS 36,5.4
GS 37,8.4
GS 39,6.4
GS 4,4.7
GS 45,6.3
GS 48,5.7
GS 50,4.2
GS 53,4.5
GS 55,5.5
GS 58,6.6
GS 59,6.1
GS 6,6.8
GS 60,5.9
GS 61,7.9
GS 62,6.6
GS 66,5.7
GS 67,5.7
GS 70,5.5
GS 74,5.5
GS 76,6.3
GS 77,4.4
GS 78,5.4
GS 79,5.4
GU 114 /P,5.4
GU 133 /C,4.3
GU 144 /C,4.5
GU 151 /F,6.3
GU 154 /C,4.6
GU 168 /H,5.1
GU 169,4.9
GU 175 /P,5.1
GU 192,4.6
GU 195 /P,5.2
GU 202 /A,4.2
GU 207 /H,4.7
GU 215 /A,4.9
GU 219 /F,7.4
GU 222,4.0
GU 241 /P,5.7
GU 243 /H,5.3
GU 255 /P,6.2
GU 255 /V,6.5
GU 259 /C,4.9
GU 261 /P,5.6
GU 265 /P,5.7
GU 271 /P,6.6
GU 277 /G,5.3
GU 286 /P,5.7
GU 300 /P,4.5
GU 305 /P,4.7
GU 307 /F,6.0
GU 310 /P,5.4
GU 322 /P,5.7
GU 335 /P,5.3
GU 339 /M,6.8
GU 341 /H,5.8
GU 351 /P,5.3
GU 353 /L,5.8
ICA 70 [COL],5.2
ICS 1,5.7
ICS 10,5.3
ICS 100,4.8
ICS 111,3.9
ICS 12,5.2
ICS 14,7.2
ICS 15,5.6
ICS 16,5.6
ICS 17,4.3
ICS 18,6.1
ICS 2,4.6
ICS 20,5.5
ICS 22,4.6
ICS 24,5.5
ICS 25,6.2
ICS 26,5.4
ICS 27,5.0
ICS 3,4.9
ICS 30,8.6
ICS 35,5.4
ICS 36,5.3
ICS 39,4.6
ICS 4,7.2
ICS 40,5.5
ICS 41,5.7
ICS 42,5.5
ICS 43,6.3
ICS 45,4.6
ICS 46,4.8
ICS 47,3.9
ICS 48,3.9
ICS 49,6.1
ICS 5,4.9
ICS 53,5.9
ICS 57,4.6
ICS 58,6.2
ICS 59,4.4
ICS 6,5.3
ICS 60,3.4
ICS 61,2.6
ICS 62,5.2
ICS 63,7.1
ICS 65,5.0
ICS 66,7.1
ICS 67,5.2
ICS 68,6.0
ICS 69,5.1
ICS 7,4.8
ICS 70,3.6
ICS 72,5.8
ICS 73,5.3
ICS 75,5.5
ICS 76,6.2
ICS 77,6.1
ICS 8,5.5
ICS 80,5.3
ICS 82,6.7
ICS 83,6.2
ICS 84,5.3
ICS 85,5.1
ICS 86,6.3
ICS 87,4.9
ICS 88,4.8
ICS 89,5.2
ICS 90,5.6
ICS 92,5.1
ICS 93,4.9
ICS 94,4.0
ICS 95,6.0
ICS 96,6.7
ICS 97,5.8
ICS 98,5.4
ICS 99,7.2
IMC 10,3.7
IMC 103,4.5
IMC 104,5.3
IMC 105,4.1
IMC 107,8.4
IMC 11,5.9
IMC 12,4.3
IMC 13,5.2
IMC 14,2.7
IMC 16,5.1
IMC 18,7.3
IMC 2,5.1
IMC 20,4.7
IMC 22,4.6
IMC 23,6.2
IMC 27,12.4
IMC 3,3.6
IMC 30,6.3
IMC 31,8.8
IMC 33,8.3
IMC 36,5.0
IMC 38,7.5
IMC 39,5.8
IMC 41,5.6
IMC 42,4.0
IMC 44,6.6
IMC 45,5.1
IMC 47,5.6
IMC 48,6.8
IMC 49,5.0
IMC 5,6.7
IMC 50,6.0
IMC 51,9.7
IMC 53,5.8
IMC 54,10.9
IMC 55,7.7
IMC 57,8.7
IMC 58,5.6
IMC 59,5.7
IMC 6,13.1
IMC 60,6.2
IMC 61,7.3
IMC 63,7.5
IMC 65,7.5
IMC 66,4.6
IMC 67,7.1
IMC 68,6.2
IMC 71,10.1
IMC 73,5.9
IMC 76,7.5
IMC 77,9.7
IMC 78,4.7
IMC 81,6.4
IMC 83,5.6
IMC 85,7.4
IMC 9,5.8
IMC 94,6.0
IMC 96,6.7
IMC 97,4.8
IMC 98,8.7
JA 1 /10 [POU],5.6
JA 1 /11 [POU],5.4
JA 1 /12 [POU],5.9
JA 1 /13 [POU],5.9
JA 1 /14 [POU],5.2
JA 1 /15 [POU],6.6
JA 1 /17 [POU],4.0
JA 1 /18 [POU],4.9
JA 1 /19 [POU],5.3
JA 1 /2 [POU],6.5
JA 1 /20 [POU],5.7
JA 1 /21 [POU],5.9
JA 1 /23 [POU],6.0
JA 1 /25 [POU],5.8
JA 1 /29 [POU],7.2
JA 1 /3 [POU],5.2
JA 1 /4 [POU],4.7
JA 1 /5 [POU],5.2
