Clone name,Testa
LP 4 /48 [POU],4.3
LP 4 /5 [POU],6.2
LP 4 /52 [POU],8.4
LP 4 /7 [POU],4.9
LP 4 /8 [POU],6.5
LP 5 /1 [POU],5.6
LP 5 /14 [POU],6.9
LP 5 /19 [POU],7.4
LP 5 /2 [POU],5.5
LP 5 /23 [POU],5.0
LP 5 /3 [POU],4.7
LP 6 /14 [POU],5.8
LP 6 /16 [POU],5.2
LP 6 /19 [POU],6.1
LP 6 /21 [POU],5.9
LP 6 /24 [POU],5.9
LP 6 /6 [POU],5.9
LV 10 [POU],7.8
LV 14 [POU],5.4
LV 15 [POU],5.0
LV 17 [POU],7.5
LV 20 [POU],8.0
LV 22 [POU],7.0
LV 27 [POU],5.9
LV 28 [POU],4.8
LV 31 [POU],6.8
LV 33 [POU],6.7
LV 36 [POU],5.3
LV 37 [POU],6.1
LV 6 [POU],6.9
LV 9 [POU],6.5
LX 16,6.1
LX 17,6.5
LX 2,5.9
LX 24,6.1
LX 25,6.5
LX 28,5.5
LX 31,5.8
LX 32,6.9
LX 38,7.0
LX 39,4.5
LX 41,6.6
LX 43,8.8
LX 44,5.2
LX 45,8.2
LX 47,8.2
LX 48,6.6
LX 49,6.1
LX 50,6.4
LX 53,5.1
LX 6,6.1
LZ 13,5.0
LZ 17,4.5
LZ 19,5.7
LZ 2,6.0
LZ 33,7.0
LZ 5,6.0
LZ 7,6.1
LZ 8,6.4
LZ 9,5.0
M 116 [ICT],5.6
M 252 [ICT],6.2
M 33 [ICT],6.3
M 8 [SUR],7.0
MA 12 [BRA],4.8
MAN 15 /2 [BRA],4.9
MAN 15 /60 [BRA],4.9
MAR 1,6.5
MAR 10,5.7
MAR 11,5.2
MAR 12,5.5
MAR 13,6.3
MAR 14,4.9
MAR 19,7.0
MAR 20,5.6
MAR 22,5.8
MAR 3,6.0
MAR 9,4.9
MARPER 18,4.4
MARPER 20,5.2
MARPER 22,5.3
MARPER 23,3.2
MARPER 25,4.4
MARPER 27,4.8
MARPER 28,5.3
MARPER 29,4.4
MARPER 31,5.7
MARPER 33,6.7
MARPER 34,6.0
MARPER 35,5.2
MARPER 37,4.9
MARPER 42,5.7
MARPER 43,4.2
MARPER 45,5.8
MARPER 47,6.3
MARPER 48,5.1
MARPER 49,5.0
MARPER 50,4.3
MARPER 51,5.9
MARPER 52,6.5
MARPER 53,5.2
MARPER 54,5.0
MARPER 9,5.2
MATINA 1 /4,5.6
MATINA 1 /7,4.7
MATINA 2 /8,6.0
MO 109,6.9
MO 118,5.5
MO 121,6.6
MO 122,5.9
MO 125,6.3
MO 129,5.8
MO 14,6.9
MO 17,5.3
MO 20,4.9
MO 3,8.0
MO 4,8.2
MO 76,7.8
MO 80,5.0
MO 81,6.3
MO 82,5.6
MO 83,8.0
MO 87,7.0
MO 9,7.3
MO 90,11.5
MO 96,5.6
MO 99,6.2
MOCO 1 /12,6.3
MOQ 1 /16,5.9
MOQ 1 /2,5.7
MOQ 1 /21,5.6
MOQ 1 /24,4.7
MOQ 1 /25,6.6
MOQ 1 /6,5.2
MOQ 2 /1,5.5
MOQ 2 /10,4.5
MOQ 2 /11,5.2
MOQ 2 /16,4.9
MOQ 2 /17,5.7
MOQ 2 /18,5.3
MOQ 2 /22,4.9
MOQ 2 /26,5.8
MOQ 2 /28,5.0
MOQ 2 /29,5.2
MOQ 2 /30,5.2
MOQ 2 /31,4.6
MOQ 2 /35,5.8
MOQ 2 /36,6.0
MOQ 2 /4,5.8
MOQ 2 /6,5.7
MOQ 2 /8,5.7
MOQ 3 /11,6.0
MOQ 3 /12,5.5
MOQ 3 /16,6.0
MOQ 3 /19,4.7
MOQ 3 /20,5.8
MOQ 3 /8,5.4
MOQ 4 /13,5.2
MOQ 4 /16,6.4
MOQ 4 /2,5.8
MOQ 4 /21,5.3
MOQ 4 /23,5.4
MOQ 4 /4,6.4
MOQ 4 /5,5.2
MOQ 5 /1,5.6
MOQ 5 /12,6.6
MOQ 5 /21,5.7
MOQ 5 /23,5.8
MOQ 5 /28,8.6
MOQ 5 /29,7.7
MOQ 5 /34,5.8
MOQ 5 /5,6.4
MOQ 6 /10,6.7
MOQ 6 /102,5.7
MOQ 6 /103,6.2
MOQ 6 /104,4.6
MOQ 6 /107,5.6
MOQ 6 /108,4.6
MOQ 6 /109,6.3
MOQ 6 /11,5.2
MOQ 6 /113,7.2
MOQ 6 /19,6.0
MOQ 6 /28,6.7
MOQ 6 /29,5.1
MOQ 6 /30,5.6
MOQ 6 /33,5.7
MOQ 6 /34,4.6
MOQ 6 /36,6.4
MOQ 6 /41,6.3
MOQ 6 /44,5.2
MOQ 6 /46,5.5
MOQ 6 /5,6.0
MOQ 6 /52,5.2
MOQ 6 /54,5.3
MOQ 6 /55,5.2
MOQ 6 /6,5.1
MOQ 6 /67,5.9
MOQ 6 /68,5.8
MOQ 6 /70,6.0
MOQ 6 /73,7.1
MOQ 6 /77,5.8
MOQ 6 /82,6.8
MOQ 6 /85,5.1
MOQ 6 /87,4.9
MOQ 6 /88,6.0
MOQ 6 /91,4.5
MOQ 6 /92,5.6
MOQ 6 /93,6.6
MOQ 6 /95,5.4
MOQ 6 /96,6.1
MOQ 6 /97,7.0
MOQ 6 /99,6.0
MORALES 2 /2,5.9
MX 14 /16 [TTO],4.5
MX 14 /20 [TTO],6.2
NA 1,6.0
NA 104,5.9
NA 106,5.8
NA 110,5.4
NA 111,7.2
NA 112,5.9
NA 113,4.2
NA 114,6.2
NA 118,4.9
NA 119,5.8
NA 12,5.3
NA 120,5.2
NA 127,4.9
NA 129,5.4
NA 13,5.1
NA 137,2.0
NA 14,6.4
NA 141,5.5
NA 142,5.6
NA 144,4.6
NA 145,4.1
NA 149,6.8
NA 151,5.9
NA 154,6.6
NA 155,5.3
NA 156,6.5
NA 157,6.8
NA 159,6.0
NA 16,6.0
NA 168,4.3
NA 170,5.5
NA 176,6.2
NA 178,5.1
NA 181,5.1
NA 183,4.6
NA 184,4.9
NA 186,9.7
NA 187,8.2
NA 189,6.4
NA 19,4.0
NA 191,4.8
NA 194,5.6
NA 204,4.7
NA 206,6.1
NA 21,6.1
NA 214,6.0
NA 217,4.9
NA 226,5.6
NA 227,5.4
NA 228,4.8
NA 229,5.7
NA 230,6.3
NA 232,4.9
NA 235,5.4
NA 236,5.6
NA 242,4.7
NA 244,5.3
NA 246,5.0
NA 251,7.1
NA 254,6.6
NA 26,6.4
NA 266,4.7
NA 268,4.2
NA 271,5.2
NA 279,6.4
NA 283,4.9
NA 286,5.5
NA 289,5.1
NA 3,5.9
NA 300,6.1
NA 311,5.4
NA 312,4.4
NA 32,3.4
NA 320,5.5
NA 326,5.0
NA 327,5.6
NA 329,5.2
NA 33,7.6
NA 331,4.1
NA 335,4.1
NA 337,3.3
NA 339,4.3
NA 34,7.3
NA 342,4.7
NA 358,10.5
NA 359,4.6
NA 370,4.6
NA 371,7.5
NA 372,5.8
NA 387,5.2
NA 39,5.2
NA 395,5.5
NA 399,4.2
NA 40,5.7
NA 406,6.6
NA 409,5.6
NA 423,6.3
NA 427,7.1
NA 43,6.7
NA 432,4.6
NA 435,5.0
NA 444,5.4
NA 45,4.3
NA 46,4.6
NA 462,5.2
NA 47,7.7
NA 471,7.7
NA 475,5.1
NA 48,4.0
NA 49,7.0
NA 504,5.7
NA 507,4.4
NA 519,5.0
NA 528,6.6
NA 534,6.0
NA 540,7.5
NA 58,4.5
NA 61,5.1
NA 62,7.0
NA 66,6.3
NA 669,4.7
NA 670,4.6
NA 672,4.9
NA 674,5.3
NA 68,8.3
NA 680,6.5
NA 681,4.8
NA 685,6.1
NA 686,5.1
NA 687,5.7
NA 689,5.3
NA 692,6.3
NA 694,9.4
NA 697,6.5
NA 70,4.9
NA 702,5.5
NA 705,4.8
NA 706,7.6
NA 708,5.9
NA 71,5.1
NA 710,4.9
NA 711,6.3
NA 712,7.8
NA 713,6.8
NA 715,5.8
NA 717,5.9
NA 718,5.3
NA 719,4.6
NA 720,5.7
NA 721,6.5
NA 725,5.6
NA 726,6.5
NA 728,4.7
NA 730,6.2
NA 732,4.6
NA 733,4.9
NA 734,4.9
NA 738,5.2
NA 739,7.5
NA 74,5.9
NA 746,4.8
NA 747,6.1
NA 750,6.8
NA 751,5.8
NA 753,4.6
NA 756,4.9
NA 758,6.4
NA 759,4.3
NA 763,4.4
NA 766,4.5
NA 770,5.8
NA 771,3.7
NA 773,4.6
NA 780,7.2
NA 79,5.9
NA 794,5.1
NA 796,5.7
NA 8,4.5
NA 802,4.7
NA 804,6.2
NA 807,4.9
NA 81,5.5
NA 824,5.4
NA 831,4.9
NA 833,6.1
NA 835,6.5
NA 84,4.6
NA 841,5.3
NA 847,5.6
NA 851,5.2
NA 86,5.8
NA 860,5.1
NA 867,4.4
NA 87,5.5
NA 876,4.7
NA 877,7.5
NA 888,4.4
NA 90,5.0
NA 904,5.7
NA 916,5.1
NA 92,4.9
NA 929,5.8
NA 935,6.0
NA 961,4.4
NA 98,5.7
NAPO 3 [CHA],6.1
NG 3,6.9
OC 61 [VEN],5.5
PA 1 [PER],5.0
PA 105 [PER],5.6
PA 107 [PER],4.7
PA 109 [PER],4.3
PA 113 [PER],5.0
PA 114 [PER],10.9
PA 115 [PER],5.4
PA 118 [PER],5.5
PA 12 [PER],6.8
PA 120 [PER],6.5
PA 121 [PER],5.0
PA 123 [PER],8.6
PA 124 [PER],5.1
PA 125 [PER],5.9
PA 126 [PER],5.8
PA 128 [PER],5.0
PA 13 [PER],4.1
PA 132 [PER],7.6
PA 134 [PER],7.5
PA 135 [PER],6.2
PA 136 [PER],5.6
PA 137 [PER],7.8
PA 139 [PER],4.7
PA 140 [PER],7.2
PA 141 [PER],5.7
PA 143 [PER],7.3
PA 149 [PER],6.8
PA 15 [PER],5.5
PA 150 [PER],5.3
PA 151 [PER],5.2
PA 152 [PER],5.5
PA 156 [PER],5.9
PA 157 [PER],2.0
PA 16 [PER],4.0
PA 165 [PER],6.8
PA 167 [PER],5.9
PA 168 [PER],7.8
PA 169 [PER],4.4
PA 171 [PER],4.4
PA 173 [PER],4.9
PA 175 [PER],6.7
PA 176 [PER],6.6
PA 179 [PER],5.6
PA 18 [PER],5.9
PA 184 [PER],5.5
PA 185 [PER],6.9
PA 186 [PER],5.2
PA 187 [PER],6.5
PA 188 [PER],5.2
PA 189 [PER],5.8
PA 191 [PER],5.7
PA 194 [PER],6.4
PA 195 [PER],4.5
PA 196 [PER],6.5
PA 2 [PER],5.1
PA 2 /72 [PER],5.8
PA 20 [PER],5.8
PA 200 [PER],2.4
PA 202 [PER],5.7
PA 203 [PER],6.7
PA 205 [PER],4.7
PA 207 [PER],5.6
PA 211 [PER],5.1
PA 218 [PER],6.4
PA 24 [PER],5.5
PA 27 [PER],4.6
PA 271 [PER],5.8
PA 272 [PER],5.4
PA 279 [PER],5.3
PA 288 [PER],4.6
PA 289 [PER],4.8
PA 29 [PER],5.8
PA 291 [PER],5.4
PA 293 [PER],6.2
PA 294 [PER],7.6
PA 296 [PER],5.2
PA 297 [PER],5.6
PA 299 [PER],5.6
PA 3 [PER],5.4
PA 3 /10 [PER],4.8
PA 30 [PER],4.3
PA 300 [PER],5.2
PA 301 [PER],9.7
PA 303 [PER],8.6
PA 310 [PER],5.0
PA 312 [PER],4.6
PA 32 [PER],6.3
PA 34 [PER],5.7
PA 37 [PER],5.9
PA 39 [PER],6.0
PA 4 [PER],4.7
PA 41 [PER],3.1
PA 44 [PER],4.6
PA 45 [PER],5.9
PA 46 [PER],5.9
PA 48 [PER],7.0
PA 49 [PER],6.9
PA 5 [PER],5.1
PA 51 [PER],6.2
PA 52 [PER],5.3
PA 53 [PER],8.7
PA 56 [PER],10.8
PA 61 [PER],3.8
PA 63 [PER],5.4
PA 65 [PER],6.0
PA 66 [PER],5.5
PA 67 [PER],5.7
PA 68 [PER],6.4
PA 70 [PER],5.6
PA 71 [PER],6.1
PA 72 [PER],6.1
PA 73 [PER],5.5
PA 81 [PER],5.3
PA 82 [PER],6.1
PA 84 [PER],5.0
PA 88 [PER],5.3
PA 90 [PER],6.0
PA 95 [PER],6.1
PH 1 /2 [BLZ],5.7
PH 1 /3 [BLZ],5.1
PH 1 /4 [BLZ],4.6
PH 1 /5 [BLZ],4.5
PH 2 /1 [BLZ],4.7
PH 2 /2 [BLZ],4.4
PH 2 /3 [BLZ],5.2
PH 2 /4 [BLZ],4.8
PH 2 /5 [BLZ],5.1
PH 2 /8 [BLZ],4.3
PLAYA ALTA 2 [VEN],6.5
POR 1 [TTO],10.0
POR 3 [TTO],5.3
POUND 1 /B,2.4
POUND 10 /B,6.5
POUND 10 /C,3.8
POUND 12 /A,2.7
POUND 15 /A,5.3
POUND 16 /B,5.9
POUND 18,5.2
POUND 18 /A,5.1
POUND 19,4.1
POUND 19 /A,4.3
POUND 2 /A,5.0
POUND 2 /B,4.9
POUND 21 /B,5.7
POUND 25 /A,4.3
POUND 25 /C,6.2
POUND 26 /C,5.1
POUND 27 /C,4.4
POUND 31 /A,6.9
POUND 31 /C,6.0
POUND 32 /A,4.4
POUND 4 /A,5.2
POUND 5 /B,4.8
POUND 5 /C,4.9
POUND 7 /A,6.4
POUND 7 /B,4.9
POUND 7 /C,4.4
POUND 8 /C,5.8
POUND 9 /B,3.7
RB 29 [BRA],4.4
RB 33 /3 [BRA],4.3
RB 39 [BRA],4.7
RB 46 [BRA],4.3
RB 49 [BRA],5.4
REDAMEL 1 /27,8.2
REDAMEL 1 /30,5.8
REDAMEL 1 /31,6.5
RIM 101 [MEX],5.4
RIM 106 [MEX],6.7
RIM 113 [MEX],5.3
RIM 117 [MEX],5.2
RIM 12 [MEX],6.1
RIM 13 [MEX],5.2
RIM 19 [MEX],4.5
RIM 2 [MEX],5.8
RIM 23 [MEX],4.7
RIM 24 [MEX],4.9
RIM 39 [MEX],4.5
RIM 41 [MEX],5.6
RIM 52 [MEX],4.6
RIM 6 [MEX],5.2
RIM 71 [MEX],4.6
RIM 75 [MEX],4.2
RIM 76 [MEX],5.1
RIM 8 [MEX],4.9
RIM 9 [MEX],4.1
SAN JUAN WSC,5.0
SAN MIGUEL 3161 /2 [CHA],5.1
SAN MIGUEL 3360 /2 [CHA],5.0
SAN MIGUEL 3360 /3 [CHA],5.3
SC 1 [COL],5.5
SC 10 [COL],5.4
SC 11 [COL],6.6
SC 12 [COL],5.0
SC 13 [COL],5.6
SC 17 [COL],4.2
SC 19 [COL],3.8
SC 2 [COL],5.0
SC 20 [COL],5.7
SC 3 [COL],4.0
SC 4 [COL],4.0
SC 5 [COL],4.5
SC 6 [COL],6.6
SC 8 [COL],5.1
SCA 10,5.0
SCA 11,5.9
SCA 12,9.4
SCA 16,6.2
SCA 19,6.1
SCA 20,4.8
SCA 23,7.9
SCA 24,6.0
SCA 3,8.0
SCA 5,6.2
SCA 6,5.6
SCA 7,5.9
SCA 9,4.0
SD 1 /6,6.4
SI 10 /1,5.5
SI 12 /4,4.6
SI 17 /1,5.8
SI 22 /3,6.0
SI 32 /1,6.3
SI 35 /3,4.1
SI 40 /6,5.7
SI 45 /2,5.2
SI 46 /2,5.1
SI 48 /3,5.6
SI 48 /4,6.2
SI 66 /1,5.1
SIAL 330,5.6
SIAL 339,6.1
SIAL 44,6.0
SIC 5,5.0
SILECIA 8 [ECU],5.3
SJ 1 /1 [POU],5.2
SJ 1 /11 [POU],5.4
SJ 1 /18 [POU],6.6
SJ 1 /19 [POU],6.0
SJ 1 /26 [POU],5.4
SJ 1 /27 [POU],6.9
SJ 1 /28 [POU],6.1
SJ 1 /29 [POU],7.0
SJ 1 /3 [POU],5.4
SJ 1 /33 [POU],5.8
SJ 1 /34 [POU],5.3
SJ 1 /37 [POU],5.8
SJ 1 /39 [POU],6.9
SJ 1 /4 [POU],6.8
SJ 1 /40 [POU],6.4
SJ 1 /41 [POU],4.9
SJ 1 /5 [POU],6.0
SJ 1 /9 [POU],5.2
SJ 2 /10 [POU],6.7
SJ 2 /11 [POU],7.4
SJ 2 /12 [POU],6.9
SJ 2 /13 [POU],6.4
SJ 2 /15 [POU],6.2
SJ 2 /16 [POU],4.5
SJ 2 /17 [POU],6.3
SJ 2 /19 [POU],7.5
SJ 2 /2 [POU],5.9
SJ 2 /20 [POU],5.7
SJ 2 /22 [POU],5.9
SJ 2 /24 [POU],7.5
SJ 2 /25 [POU],6.1
SJ 2 /26 [POU],6.7
SJ 2 /28 [POU],7.0
SJ 2 /30 [POU],6.0
SJ 2 /6 [POU],5.2
SJ 2 /7 [POU],8.4
SLA 10,5.5
SLA 13,5.7
SLA 16,7.3
SLA 20,5.8
SLA 3,5.1
SLA 30,5.1
SLA 44,5.9
SLA 45,5.2
SLA 48,5.3
SLA 51,4.5
SLA 54,6.0
SLA 57,6.5
SLA 64,5.8
SLA 66,5.1
SLA 68,5.0
SLA 74,5.9
SLA 77,5.3
SLA 8,5.6
SLA 85,5.9
SLA 90,6.6
SLA 93,8.2
SLA 95,5.9
SLA 97,6.8
SLC 1,6.1
SLC 11,6.1
SLC 12,6.2
SLC 18,4.3
SLC 19,6.1
SLC 24,6.1
SLC 25,5.1
SLC 3,8.0
SLC 4,5.3
SLC 7,6.0
SLC 8,6.3
SM 18 [POU],6.9
SM 2 [POU],5.3
SM 5 [POU],5.3
SM 6 [POU],5.5
SM 9 [POU],5.5
SNK 12,5.8
SP 1 [VEN],5.8
SPA 10 [COL],2.2
SPA 11 [COL],5.4
SPA 12 [COL],5.5
SPA 16 [COL],6.0
SPA 18 [COL],5.0
SPA 20 [COL],5.9
SPA 4 [COL],5.5
SPA 5 [COL],8.4
SPA 7 [COL],6.3
SPA 8 [COL],5.1
SPA 9 [COL],5.7
SPEC 137 /6,4.0
SPEC 138 /10,4.0
SPEC 138 /11,8.8
SPEC 138 /13,5.5
SPEC 138 /15,6.3
SPEC 138 /16,6.3
SPEC 138 /17,4.9
SPEC 138 /21,7.1
SPEC 138 /3,5.5
SPEC 138 /8,6.4
SPEC 160 /9,5.6
SPEC 161 /7,9.2
SPEC 18 /5,5.5
SPEC 18 /6,6.9
SPEC 184 /15,4.0
SPEC 184 /2,5.4
SPEC 185 /4,5.6
SPEC 189 /14,6.7
SPEC 189 /8,4.6
SPEC 194 /103,4.7
SPEC 194 /107,5.0
SPEC 194 /109,5.6
SPEC 194 /15,5.6
SPEC 194 /44,5.4
SPEC 194 /48,5.3
SPEC 194 /62,6.8
SPEC 194 /75,8.4
SPEC 41 /11,4.8
SPEC 41 /6,4.7
SPEC 41 /6-17,5.7
SPEC 41 /6-18,5.8
SPEC 41 /6-25,7.3
SPEC 41 /6-29,6.9
SPEC 41 /6-37,5.8
SPEC 54 /1,6.0
SPEC 54 /2,5.0
STAHEL,5.4
TAP 10 [CHA],5.8
TAP 12 [CHA],5.9
TAP 7 [CHA],5.0
TRD 1,5.9
TRD 109,6.3
TRD 110,4.8
TRD 111,6.7
TRD 112,8.1
TRD 113,6.5
TRD 115,5.5
TRD 116,7.4
TRD 117,5.6
TRD 118,6.1
TRD 119,5.4
TRD 13,6.0
TRD 15,5.3
TRD 16,5.2
TRD 18,5.6
TRD 19,4.5
TRD 2,6.3
TRD 23,6.1
TRD 24,6.0
TRD 28,4.7
TRD 29,5.2
TRD 3,7.0
TRD 30,6.6
TRD 32,5.8
TRD 33,6.2
TRD 34,5.6
TRD 35,3.8
TRD 37,5.5
TRD 38,7.8
TRD 41,3.4
TRD 42,4.5
TRD 43,4.2
TRD 44,5.4
TRD 45,5.5
TRD 46,5.3
TRD 47,4.7
TRD 48,6.3
TRD 49,7.0
TRD 5,12.8
TRD 50,5.2
TRD 52,5.2
TRD 58,4.9
TRD 6,7.3
TRD 60,5.9
TRD 66,5.7
TRD 7,7.5
TRD 75,6.0
TRD 79,6.4
TRD 8,6.0
TRD 81,4.7
TRD 85,5.1
TRD 86,5.5
TRD 88,6.1
TRD 9,6.9
TRD 90,5.2
TRD 93,5.7
TRD 94,5.1
TRD 95,6.9
TRD 99,8.0
UF 11,4.1
UF 12,2.2
UF 122,6.7
UF 168,4.8
UF 191,6.3
UF 221,3.7
UF 29,4.6
UF 38,5.1
UF 4,5.1
UF 602,5.2
UF 613,6.6
UF 654,4.9
UF 667,6.5
UF 668,5.3
UF 676,3.9
UF 677,5.0
UF 700,7.0
UF 709,7.8
VEN A 58 [ICT],5.7
VEN B 47 [ICT],4.7
VEN B 56 [ICT],6.6
VEN B 66 [ICT],6.9
VENC 4 /4 [FRA],5.3
YAL 1 /S2,4.9
YAL 5/T,4.6
YAL 6 /S3,4.7
YAL 6 /S4,6.4
