SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource
EET59,EET 59 [ECU],genomic,SRR14743679 NCBI ENA,SRX11078443,SAMN19549134,"AGROSAVIA, Colombia"
EET6,EET 6 [ECU],genomic,SRR14743678 NCBI ENA,SRX11078444,SAMN19549135,"AGROSAVIA, Colombia"
EET61,EET 61 [ECU],genomic,SRR14743677 NCBI ENA,SRX11078445,SAMN19549136,"AGROSAVIA, Colombia"
EET62,EET 62 [ECU],genomic,SRR14743676 NCBI ENA,SRX11078446,SAMN19549137,"AGROSAVIA, Colombia"
EET8,EET 8 [IMP],genomic,SRR14743675 NCBI ENA,SRX11078447,SAMN19549138,"AGROSAVIA, Colombia"
EET9,EET 9 [IMP],genomic,SRR14743674 NCBI ENA,SRX11078448,SAMN19549139,"AGROSAVIA, Colombia"
FCM1,FCM 1,genomic,SRR14743673 NCBI ENA,SRX11078449,SAMN19549140,"AGROSAVIA, Colombia"
FCM11,FCM 11,genomic,SRR14743672 NCBI ENA,SRX11078450,SAMN19549141,"AGROSAVIA, Colombia"
FCM12,FCM 12,genomic,SRR14743670 NCBI ENA,SRX11078452,SAMN19549142,"AGROSAVIA, Colombia"
FCM15,FCM 15,genomic,SRR14743669 NCBI ENA,SRX11078453,SAMN19549143,"AGROSAVIA, Colombia"
FCM17,FCM 17,genomic,SRR14743668 NCBI ENA,SRX11078454,SAMN19549144,"AGROSAVIA, Colombia"
FCM18,FCM 18,genomic,SRR14743667 NCBI ENA,SRX11078455,SAMN19549145,"AGROSAVIA, Colombia"
FCM19,FCM 19,genomic,SRR14743666 NCBI ENA,SRX11078456,SAMN19549146,"AGROSAVIA, Colombia"
FCM20,FCM 20,genomic,SRR14743665 NCBI ENA,SRX11078457,SAMN19549147,"AGROSAVIA, Colombia"
FCM22,FCM 22,genomic,SRR14743664 NCBI ENA,SRX11078458,SAMN19549148,"AGROSAVIA, Colombia"
FCM23,FCM 23,genomic,SRR14743663 NCBI ENA,SRX11078459,SAMN19549149,"AGROSAVIA, Colombia"
FCM26,FCM 26,genomic,SRR14743662 NCBI ENA,SRX11078460,SAMN19549150,"AGROSAVIA, Colombia"
FCM28,FCM 28,genomic,SRR14743661 NCBI ENA,SRX11078461,SAMN19549151,"AGROSAVIA, Colombia"
FCM29,FCM 29,genomic,SRR14743886 NCBI ENA,SRX11078236,SAMN19549152,"AGROSAVIA, Colombia"
FCM3,FCM 3,genomic,SRR14743885 NCBI ENA,SRX11078237,SAMN19549153,"AGROSAVIA, Colombia"
FCM30,FCM 30,genomic,SRR14743884 NCBI ENA,SRX11078238,SAMN19549154,"AGROSAVIA, Colombia"
FCM31,FCM 31,genomic,SRR14743883 NCBI ENA,SRX11078239,SAMN19549155,"AGROSAVIA, Colombia"
FCM33,FCM 33,genomic,SRR14743882 NCBI ENA,SRX11078240,SAMN19549156,"AGROSAVIA, Colombia"
FCM39,FCM 39,genomic,SRR14743881 NCBI ENA,SRX11078241,SAMN19549157,"AGROSAVIA, Colombia"
FCM40,FCM 40,genomic,SRR14743880 NCBI ENA,SRX11078242,SAMN19549158,"AGROSAVIA, Colombia"
FCM5,FCM 5,genomic,SRR14743879 NCBI ENA,SRX11078243,SAMN19549159,"AGROSAVIA, Colombia"
FCM8,FCM 8,genomic,SRR14743878 NCBI ENA,SRX11078244,SAMN19549160,"AGROSAVIA, Colombia"
FCM9,FCM 9,genomic,SRR14743877 NCBI ENA,SRX11078245,SAMN19549161,"AGROSAVIA, Colombia"
GS06,GS 6,genomic,SRR14743875 NCBI ENA,SRX11078247,SAMN19549162,"AGROSAVIA, Colombia"
GS10,GS 10,genomic,SRR14743874 NCBI ENA,SRX11078248,SAMN19549163,"AGROSAVIA, Colombia"
GS29,GS 29,genomic,SRR14743873 NCBI ENA,SRX11078249,SAMN19549164,"AGROSAVIA, Colombia"
ICA070,ICA 70 [COL],genomic,SRR14743872 NCBI ENA,SRX11078250,SAMN19549165,"AGROSAVIA, Colombia"
ICA1,ICA 1,genomic,SRR14743871 NCBI ENA,SRX11078251,SAMN19549166,"AGROSAVIA, Colombia"
ICA10,ICA 10,genomic,SRR14743870 NCBI ENA,SRX11078252,SAMN19549167,"AGROSAVIA, Colombia"
ICA13,ICA 13,genomic,SRR14743869 NCBI ENA,SRX11078253,SAMN19549168,"AGROSAVIA, Colombia"
ICA2,ICA 2,genomic,SRR14743868 NCBI ENA,SRX11078254,SAMN19549169,"AGROSAVIA, Colombia"
ICA212,ICA 212 [COL],genomic,SRR14743867 NCBI ENA,SRX11078255,SAMN19549170,"AGROSAVIA, Colombia"
