Clone name,Colour
ICS 1,purple
ICS 100,red
ICS 6,pink
IFC 1 [CIV],green
IFC 5 [CIV],green
IMC 67,green
NA 32,green
S 84 /E-10-4-90 [TAF],green
SCA 6,green
SILECIA 5 [ECU],green
SNK 10,green and red
SNK 12,red
SNK 48,pink
SNK 64,green
T 12 /5 [POS],green
T 60 /887 [POS],green
T 63 /967 [POS],green
T 79 /416 [POS],green
T 79 /467 [POS],green
T 79 /501 [POS],green
UF 667,red
UF 676,pink
UPA 134,green
UPA 402,green
UPA 409,green
