Clone name,Pathogen,Species,Reaction,Part,Notes
CATONGO,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
CATONGO,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 1,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and not wounded"
ICS 1,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 40,Phytophthora,,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 40,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Unattached and not wounded"
ICS 6,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 6,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
ICS 8,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 8,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and not wounded"
ICS 84,Phytophthora,,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 84,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and not wounded"
ICS 95,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 95,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
IMC 67,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
IMC 67,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
PA 30 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and not wounded"
PA 46 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and not wounded"
PA 46 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
SCA 12,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
SCA 12,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
SCA 6,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and not wounded"
SCA 6,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and 3mm stab inoculated"
