Clone name,Colour
B 97 61 /B-7 [BLZ],slight anthocyanin
B 97 61 /B-X [BLZ],slight anthocyanin
B 97 74 /6-1 [BLZ],intense anthocyanin
B 97 74 /6-5 [BLZ],anthocyanin absent
B 97 74 /6-6 [BLZ],slight anthocyanin
B 97 74 /7-2 [BLZ],anthocyanin absent
B 97 74 /7-4 [BLZ],slight anthocyanin
B 97 AC 2/1 [BLZ],moderate anthocyanin
B 97 AC 2 /3 [BLZ],slight anthocyanin
B 97 AC 2 /4 [BLZ],slight anthocyanin
B 97 AC 2 /5 [BLZ],anthocyanin absent
B 97 AC 2 /8 [BLZ],slight anthocyanin
B 97 C /2-1 [BLZ],anthocyanin absent
B 97 C /6-1 [BLZ],anthocyanin absent
B 97 C /6-2 [BLZ],moderate anthocyanin
B 97C /B-3 [BLZ],intense anthocyanin
B 97 C /C-1 [BLZ],anthocyanin absent
B 97 C /C-6 [BLZ],slight anthocyanin
B 97 C /D-1 [BLZ],slight anthocyanin
B 97 C /D-2 [BLZ],slight anthocyanin
B 97 C /D-6 [BLZ],anthocyanin absent
B 97Ex 1 /(a)-1 [BLZ],intense anthocyanin
B 97 Ex 1 /(a)-4 [BLZ],moderate anthocyanin
B 97 Ex 4 [BLZ],moderate anthocyanin
B 97 Ex 4(a) /1 [BLZ],slight anthocyanin
B 97 Ex 4(a) /2 [BLZ],slight anthocyanin
B 97 Ex 4 /B-1 [BLZ],slight anthocyanin
B 97 Ex 4 /B-3 [BLZ],anthocyanin absent
B 97 Ex 4 /B-5 [BLZ],moderate anthocyanin
B 97 ST 1 /5 [BLZ],slight anthocyanin
BC 3 /1,slight anthocyanin
BC 3 /3,intense anthocyanin
BC 3 /5,intense anthocyanin
BC 8 /2,anthocyanin absent
BE 10,moderate anthocyanin
BE 2,anthocyanin absent
Belize 1 [BLZ],moderate anthocyanin
Belize 11 [BLZ],moderate anthocyanin
Belize 12 [BLZ],moderate anthocyanin
Belize 13 [BLZ],moderate anthocyanin
Belize 14 [BLZ],intense anthocyanin
Belize 15 [BLZ],intense anthocyanin
Belize 16 [BLZ],moderate anthocyanin
Belize 17 [BLZ],moderate anthocyanin
Belize 18 [BLZ],moderate anthocyanin
Belize 19 [BLZ],moderate anthocyanin
Belize 2 [BLZ],moderate anthocyanin
Belize 20 [BLZ],moderate anthocyanin
Belize 22 [BLZ],moderate anthocyanin
Belize 25 [BLZ],moderate anthocyanin
Belize 26 [BLZ],slight anthocyanin
Belize 28 [BLZ],slight anthocyanin
Belize 29 [BLZ],intense anthocyanin
Belize 3 [BLZ],intense anthocyanin
Belize 31 [BLZ],slight anthocyanin
Belize 32 [BLZ],anthocyanin absent
Belize 33 [BLZ],slight anthocyanin
Belize 35 [BLZ],moderate anthocyanin
Belize 36 [BLZ],slight anthocyanin
Belize 4 [BLZ],intense anthocyanin
Belize 5 [BLZ],moderate anthocyanin
Belize 6 [BLZ],intense anthocyanin
Belize 7 [BLZ],moderate anthocyanin
Belize 8 [BLZ],moderate anthocyanin
BELIZE TWIN SEED,intense anthocyanin
BH,moderate anthocyanin
BOB 8 [CHA],slight anthocyanin
C 15 /61 [TRI],moderate anthocyanin
C 40 [TRI],intense anthocyanin
C 96 [TRI],moderate anthocyanin
