SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource
IMC 67 Iquitos,IMC 67,genomic,SRR25256511 NCBI ENA,SRX21002557,SAMN35802815,USDA
Pound 7 Nanay,POUND 7,genomic,SRR25256512 NCBI ENA,SRX21002556,SAMN35802834,USDA
SCA 6 Ucayalli Contamana,SCA 6,genomic,SRR25256510 NCBI ENA,SRX21002558,SAMN35707475,USDA
