Clone name,Fat
Aryadi 2,49.6
Geni J,50.1
ICCRI 04,55.0
M 1 [IDN],49.9
M 5 [IDN],48.9
M 6 [IDN],48.6
Panimbu Red,52.3
Patila Green,52.0
PBC 123,51.0
RB [IDN],50.6
SS Rewang,51.6
Terobok Green,50.8
TR 1 [IDN],52.7
YM,48.9
