Clone name,Pathogen,Species,Reaction,Part,Notes
AM 1 /53 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
AM 2 /82 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
AMAZ 12,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
B 23 /6 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
B 5 /10 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
B 6 /3 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
B 6 /8 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
CL 10 /5,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
CL 19 /10,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
CLM 96,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
ICS 41,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
ICS 69,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
IMC 20,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
IMC 31,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
IMC 36,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
IMC 41,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
IMC 47,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
IMC 50,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
IMC 76,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
IMC 94,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
JA 3 /4 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
JA 6 /4 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
LP 3 /4 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
LP 3 /5 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
LP 5 /14 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
LX 31,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
LX 32,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
MOQ 6 /82,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 104,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 168,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 184,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 217,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 227,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 235,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 312,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 327,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 399,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 534,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 670,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 699,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 7 /10,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 702,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 715,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
NA 719,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 120 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 124 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 125 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 136 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 150 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 157 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 218 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 27 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 279 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 30 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 46 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 70 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
PA 95 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
POUND 2 /A,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
POUND 4 /A,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old)"
