Clone name,Accession,Number,Length,Width,Thickness,Dry weight,Info
UF 712 x CC 137,tree number 5,39.0,24.0,8.0,13.0,1.4,tree number 5
UF 712 x CC 137,tree number 21,36.0,24.0,9.0,13.0,1.5,tree number 21
UF 712 x CC 137,tree number 27,34.0,22.0,9.0,12.0,1.5,tree number 27
UF 712 x CC 137,tree number 30,35.0,22.0,10.0,10.0,1.4,tree number 30
UF 712 x CC 124,tree number 23,36.0,25.0,10.0,14.0,1.5,tree number 23
UF 712 x CC 124,tree number 24,36.0,25.0,10.0,14.0,1.3,tree number 24
UF 712 x CC 124,tree number 30,34.0,25.0,10.0,13.0,1.3,tree number 30
UF 712 x CC 124,tree number 31,36.0,24.0,9.0,12.0,1.1,tree number 31
UF 712 x CATIE 1000,tree number 7,38.0,23.0,9.0,13.0,1.4,tree number 7
UF 712 x Tree81,tree number 22,39.0,27.0,8.0,14.0,1.9,tree number 22
UF 712 x Tree81,tree number 24,35.0,21.0,8.0,11.0,1.4,tree number 24
UF 712 x ARF 37,tree number 12,42.0,23.0,9.0,11.0,1.2,tree number 12
UF 712 x ARF 37,tree number 26,32.0,23.0,9.0,12.0,1.4,tree number 26
UF 712 x ARF 37,tree number 28,42.0,22.0,10.0,10.0,1.2,tree number 28
UF 712 x ARF 37,tree number 31,45.0,23.0,10.0,12.0,1.5,tree number 31
UF 712 x ARF 37,tree number 32,51.0,22.0,10.0,12.0,1.4,tree number 32
UF 712 x ICS 43,tree number 30,38.0,24.0,10.0,13.0,1.6,tree number 30
UF 712 x P 23 [MEX],tree number 15,31.0,20.0,8.0,11.0,1.1,tree number 15
