Clone name,Length,Width,L w ratio,Basal angle,Apical angle,Petiole length,Pulvinus length,Notes
ICS 49,255.0,94.0,2.7,111.0,73.5,22,17,Data collected on 21/11/1990
ICS 5,240.0,88.0,2.7,114.5,88.4,26,15,Data collected on 23/11/1990
ICS 6,272.0,94.0,2.9,104.2,77.6,25,18,Data collected on 12/11/1990
ICS 60,322.0,117.0,2.8,122.0,62.9,31,20,Data collected on 09/07/1990
ICS 63,263.0,106.0,2.5,90.6,71.6,25,17,Data collected on 31/01/1991
ICS 65,221.0,83.0,2.7,105.3,72.3,23,18,Data collected on 26/09/1990
ICS 68,345.0,113.0,3.0,115.6,85.6,26,15,Data collected on 28/11/1990
ICS 70,320.0,101.0,3.2,95.9,55.8,24,17,Data collected on 30/11/1990
ICS 75,258.0,108.0,2.4,137.0,67.4,22,17,Data collected on 30/12/1990
ICS 8,310.0,93.0,3.4,92.6,90.8,21,18,Data collected on 18/01/1991
ICS 83,252.0,90.0,2.8,95.3,73.8,11,17,Data collected on 03/05/1990
ICS 84,260.0,100.0,2.6,117.8,73.1,10,17,Data collected on 26/09/1990
ICS 85,323.0,112.0,2.7,98.4,85.7,22,15,Data collected on 21/11/1990
ICS 86,260.0,94.0,2.6,121.0,77.5,14,17,Data collected on 10/10/1990
ICS 90,283.0,102.0,2.8,121.4,82.7,18,15,Data collected on 25/07/1991
ICS 96,288.0,105.0,2.8,92.9,91.7,24,17,Data collected on 18/01/1991
ICS 98,196.0,79.0,2.5,97.7,82.0,11,14,Data collected on 26/09/1990
IMC 10,288.0,109.0,2.7,127.0,63.7,17,15,Data collected on 12/04/1991
IMC 103,330.0,110.0,3.0,151.9,54.8,17,15,Data collected on 18/03/1991
IMC 104,257.0,90.0,2.9,126.2,74.5,16,17,Data collected on 17/09/1991
IMC 105,296.0,102.0,2.9,125.7,78.1,20,15,Data collected on 10/10/1990
IMC 107,285.0,100.0,2.9,125.3,76.8,13,15,Data collected on 19/01/1990
IMC 12,275.0,99.0,2.8,141.3,57.3,14,12,Data collected on 19/03/1991
IMC 13,240.0,89.0,2.7,109.9,80.6,17,15,Data collected on 31/10/1991
IMC 14,277.0,99.0,2.8,133.2,75.8,19,14,Data collected on 16/01/1990
IMC 16,264.0,93.0,2.9,130.3,76.5,16,7,Data collected on 10/10/1990
IMC 2,270.0,105.0,2.6,143.2,59.9,21,18,Data collected on 08/02/1991
IMC 22,294.0,105.0,2.8,124.7,59.0,16,13,Data collected on 20/03/1991
IMC 23,244.0,87.0,2.8,132.5,74.3,7,16,Data collected on 16/02/1990
IMC 27,250.0,85.0,2.9,125.7,75.3,16,13,Data collected on 20/06/1990
IMC 3,286.0,97.0,3.0,122.9,72.3,12,13,Data collected on 06/02/1990
IMC 31,234.0,86.0,2.7,92.2,75.3,21,10,Data collected on 19/01/1990
IMC 33,282.0,97.0,2.9,104.2,56.0,22,2,Data collected on 13/02/1991
IMC 36,284.0,88.0,3.3,109.9,56.2,16,12,Data collected on 08/05/1991
IMC 38,262.0,85.0,3.1,104.2,75.1,17,11,Data collected on 18/01/1990
IMC 39,263.0,100.0,2.6,124.0,62.8,15,16,Data collected on 09/05/1991
IMC 42,280.0,106.0,2.7,146.4,77.5,20,11,Data collected on 28/08/1990
IMC 47,272.0,98.0,2.7,97.4,58.7,20,2,Data collected on 07/01/1991
IMC 49,289.0,101.0,2.9,106.5,58.9,21,16,Data collected on 20/03/1991
IMC 51,260.0,85.0,3.1,131.7,69.5,18,16,Data collected on 16/01/1990
IMC 53,292.0,102.0,2.8,143.3,58.7,17,15,Data collected on 02/04/1991
IMC 54,288.0,94.0,3.1,128.2,70.6,20,16,Data collected on 18/05/1990
IMC 55,292.0,100.0,2.9,130.9,70.0,21,16,Data collected on 18/05/1990
IMC 57,245.0,86.0,2.9,129.1,82.1,21,15,Data collected on 18/05/1990
IMC 58,319.0,112.0,2.9,154.8,56.6,17,15,Data collected on 28/02/1991
IMC 59,323.0,111.0,2.9,117.9,53.0,28,30,Data collected on 29/01/1991
IMC 6,288.0,94.0,3.1,122.5,68.0,19,15,Data collected on 16/03/1990
IMC 60,291.0,118.0,2.5,163.6,63.4,18,15,Data collected on 15/01/1991
IMC 61,305.0,107.0,2.9,133.1,75.6,22,17,Data collected on 29/08/1990
IMC 63,288.0,101.0,2.9,154.8,72.5,15,14,Data collected on 20/06/1990
IMC 65,263.0,86.0,3.1,114.1,75.8,19,17,Data collected on 18/01/1990
IMC 66,307.0,102.0,3.0,118.5,52.1,16,16,Data collected on 27/03/1991
IMC 67,300.0,91.0,3.3,129.1,65.9,16,15,Data collected on 20/06/1990
IMC 68,283.0,94.0,3.1,132.8,71.7,18,32,Data collected on 11/01/1990
IMC 71,322.0,121.0,2.7,135.4,80.3,20,19,Data collected on 20/09/1990
