Clone name,Pathogen,Species,Reaction,Info,Part,Notes
JA 5 /47 [POU],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
JA 6 /4 [POU],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
LP 3 /4 [POU],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
LP 3 /5 [POU],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
LP 4 /43 [POU],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
LP 5 /14 [POU],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
LV 20 [POU],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
LX 31,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
LX 32,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
MO 4,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
MO 83,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
MOQ 2 /18,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
MOQ 6 /19,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
MOQ 6 /82,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
MOQ 6 /95,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 104,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 168,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 184,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 217,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 227,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 235,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 3,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 312,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 326,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 399,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 534,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 699,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 7 /10,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 702,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 715,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
NA 719,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 120 [PER],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 124 [PER],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 125 [PER],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 136 [PER],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 150 [PER],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 157 [PER],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 218 [PER],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 27 [PER],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 279 [PER],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 289 [PER],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 293 [PER],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 30 [PER],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 46 [PER],Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 70 [PER],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 90 [PER],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
PA 95 [PER],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
POUND 2 /A,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
POUND 4 /A,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
POUND 7 /A,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
SCA 3,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
SCA 6,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
SJ 1 /40 [POU],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
SLC 4,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
SPEC 18 /6,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
SPEC 194 /75,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
TRD 13,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
TRD 32,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
TRD 85,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
TRD 88,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
