Clone name,Pest,Reaction
ICS 1,Thrips,susceptible
ICS 60,Thrips,tolerant
ICS 73,Thrips,tolerant
ICS 89,Thrips,tolerant
ICS 90,Thrips,tolerant
ICS 92,Thrips,tolerant
ICS 95,Thrips,tolerant
