Clone name,Shape,Basal constriction,Apex form,Rugosity,Furrow desc,Husk thickness,Length,Breadth,Weight,Pods per tree,Hardness,Length breadth ratio,Info,Notes
COCA 3310 [CHA],-,-,-,-,paired,-,225.0,100.0,841.0,1,-,2.25,expedition data,expedition code 69CH
COCA 3311 [CHA],-,-,-,-,-,1.4 mm (1.9 - 0.9),160.0,85.0,403.0,1,-,1.88,expedition data,expedition code 69CH
COCA 3312 [CHA],-,-,-,-,-,1.3 mm (1.7 - 0.9),145.0,80.0,447.0,1,-,1.81,expedition data,expedition code 69CH
COCA 3313 [CHA],-,-,-,-,-,1.8 mm (2.2 - 1.4),195.0,100.0,884.0,1,-,1.95,expedition data,expedition code 69CH
COCA 3315 [CHA],-,-,-,intense,paired,1.25 mm (1.8 - 0.7),158.0,88.0,530.0,3,-,1.79,expedition data,expedition code 69CH
COCA 3316 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
COCA 3317 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
COCA 3318 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
COCA 3319 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
COCA 3320 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
COCA 3328 [CHA],-,-,-,intense,paired,-,-,-,-,-,very hard,-,expedition data,expedition code 70CH
COCA 3335 [CHA],-,-,obtuse,slight,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
COCA 3343 [CHA],-,slight,-,moderate,paired,-,-,-,-,-,moderate,-,expedition data,expedition code 70CH
COCA 3348 [CHA],-,moderate,mammillate,intense,paired,-,-,-,-,-,hard,-,expedition data,expedition code 70CH
COCA 3351 [CHA],-,-,-,-,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
COCA 3352 [CHA],-,-,-,-,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
COCA 3353 [CHA],-,-,-,-,un-paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
COCA 3354 [CHA],-,-,-,-,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
COCA 3355 [CHA],-,-,-,-,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
COCA 3356 [CHA],-,-,-,moderate,paired,-,260.0,-,-,-,-,-,expedition data,expedition code 70CH
COCA 3357 [CHA],-,-,-,-,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
NAPO 13 [CHA],-,moderate,-,slight,paired,-,-,-,-,-,very hard,-,expedition data,expedition code 73CH
NAPO 15 [CHA],-,slight,mammillate,slight,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 17 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 19 [CHA],-,-,-,intense,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 20 [CHA],-,-,attenuate,slight,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 22 [CHA],-,slight,mammillate,intense,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 23 [CHA],-,-,mammillate,intense,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 29 [CHA],-,-,-,intense,-,-,-,-,-,-,very hard,-,expedition data,expedition code 73CH
NAPO 30 [CHA],-,moderate,-,intense,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 34 [CHA],-,slight,-,slight,-,-,-,-,-,-,soft,-,expedition data,expedition code 73CH
NAPO 37 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 40 [CHA],-,-,attenuate,-,-,-,-,-,-,-,hard,-,expedition data,expedition code 73CH
NAPO 41 [CHA],-,-,-,slight,-,-,-,-,-,-,hard,-,expedition data,expedition code 73CH
SAN MIGUEL 3358 [CHA],-,-,-,moderate,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
SAN MIGUEL 3359 [CHA],-,-,-,moderate,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
SAN MIGUEL 3360 [CHA],-,-,-,moderate,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
SAN MIGUEL 3361 [CHA],-,-,-,moderate,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
SAN MIGUEL 3362 [CHA],-,-,-,moderate,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
