Clone name,Pathogen,Reaction,Part
CHU 120 [VEN],Witches' Broom,resistant,Field Reaction
CHU 120 [VEN],Witches' Broom,resistant,Seedling
CJ 8 [BRA],Witches' Broom,resistant,Seedling
CJ 8 [BRA],Witches' Broom,susceptible,Field Reaction
EEG 13,Witches' Broom,susceptible,Field Reaction
EEG 13,Witches' Broom,resistant,Seedling
EEG 50,Witches' Broom,susceptible,Field Reaction
EEG 50,Witches' Broom,susceptible,Seedling
EEG 64,Witches' Broom,intermediate,Field Reaction
EEG 64,Witches' Broom,resistant,Seedling
EEG 8,Witches' Broom,susceptible,Seedling
EEG 8,Witches' Broom,susceptible,Field Reaction
EET 103 [ECU],Witches' Broom,susceptible,Field Reaction
EET 103 [ECU],Witches' Broom,intermediate,Seedling
EET 397 [ECU],Witches' Broom,resistant,Field Reaction
EET 397 [ECU],Witches' Broom,resistant,Seedling
EET 45 [ECU],Witches' Broom,resistant,Seedling
EET 45 [ECU],Witches' Broom,resistant,Field Reaction
EET 59 [ECU],Witches' Broom,resistant,Seedling
EET 59 [ECU],Witches' Broom,susceptible,Field Reaction
EET 62 [ECU],Witches' Broom,resistant,Field Reaction
EET 62 [ECU],Witches' Broom,resistant,Seedling
EET 94 [ECU],Witches' Broom,intermediate,Field Reaction
EET 94 [ECU],Witches' Broom,intermediate,Seedling
EET 96 [ECU],Witches' Broom,susceptible,Seedling
EET 96 [ECU],Witches' Broom,intermediate,Field Reaction
EQX 107 [EQX],Witches' Broom,susceptible,Seedling
EQX 107 [EQX],Witches' Broom,resistant,Field Reaction
IAC 1,Witches' Broom,intermediate,Seedling
IAC 1,Witches' Broom,resistant,Field Reaction
ICS 1,Witches' Broom,resistant,Field Reaction
ICS 1,Witches' Broom,resistant,Seedling
ICS 32,Witches' Broom,resistant,Field Reaction
ICS 32,Witches' Broom,intermediate,Seedling
ICS 55,Witches' Broom,resistant,Field Reaction
ICS 55,Witches' Broom,susceptible,Seedling
ICS 75,Witches' Broom,susceptible,Field Reaction
ICS 75,Witches' Broom,resistant,Seedling
ICS 9,Witches' Broom,susceptible,Seedling
ICS 9,Witches' Broom,intermediate,Field Reaction
IMC 27,Witches' Broom,resistant,Field Reaction
IMC 27,Witches' Broom,resistant,Seedling
MA 11 [BRA],Witches' Broom,resistant,Field Reaction
MA 11 [BRA],Witches' Broom,resistant,Seedling
MA 15 [BRA],Witches' Broom,resistant,Field Reaction
MA 15 [BRA],Witches' Broom,resistant,Seedling
NA 33,Witches' Broom,susceptible,Seedling
NA 33,Witches' Broom,resistant,Field Reaction
OC 66 [VEN],Witches' Broom,intermediate,Seedling
OC 66 [VEN],Witches' Broom,resistant,Field Reaction
OC 67 [VEN],Witches' Broom,resistant,Field Reaction
OC 67 [VEN],Witches' Broom,resistant,Seedling
PA 150 [PER],Witches' Broom,susceptible,Seedling
PA 150 [PER],Witches' Broom,susceptible,Field Reaction
PA 16 [PER],Witches' Broom,susceptible,Field Reaction
PA 16 [PER],Witches' Broom,intermediate,Seedling
PA 169 [PER],Witches' Broom,resistant,Field Reaction
PA 169 [PER],Witches' Broom,intermediate,Seedling
PA 195 [PER],Witches' Broom,resistant,Field Reaction
PA 195 [PER],Witches' Broom,susceptible,Seedling
PLAYA ALTA [VEN],Witches' Broom,resistant,Field Reaction
PLAYA ALTA [VEN],Witches' Broom,intermediate,Seedling
POUND 4 /B,Witches' Broom,susceptible,Seedling
POUND 4 /B,Witches' Broom,resistant,Field Reaction
POUND 7,Witches' Broom,intermediate,Seedling
POUND 7,Witches' Broom,intermediate,Field Reaction
PQTO 87 [VEN],Witches' Broom,susceptible,Seedling
PQTO 87 [VEN],Witches' Broom,intermediate,Field Reaction
RB 29 [BRA],Witches' Broom,susceptible,Field Reaction
RB 29 [BRA],Witches' Broom,susceptible,Seedling
RB 30 [BRA],Witches' Broom,susceptible,Seedling
RB 30 [BRA],Witches' Broom,resistant,Field Reaction
RB 31 [BRA],Witches' Broom,resistant,Field Reaction
RB 31 [BRA],Witches' Broom,resistant,Seedling
RB 32 [BRA],Witches' Broom,resistant,Seedling
RB 32 [BRA],Witches' Broom,intermediate,Field Reaction
RB 33 [BRA],Witches' Broom,intermediate,Seedling
RB 33 [BRA],Witches' Broom,intermediate,Field Reaction
RB 37 [BRA],Witches' Broom,resistant,Field Reaction
RB 37 [BRA],Witches' Broom,susceptible,Seedling
RB 39 [BRA],Witches' Broom,intermediate,Seedling
RB 39 [BRA],Witches' Broom,resistant,Field Reaction
RB 40 [BRA],Witches' Broom,susceptible,Seedling
RB 40 [BRA],Witches' Broom,resistant,Field Reaction
RB 45 [BRA],Witches' Broom,intermediate,Seedling
RB 45 [BRA],Witches' Broom,intermediate,Field Reaction
RB 48 [BRA],Witches' Broom,intermediate,Seedling
RB 48 [BRA],Witches' Broom,intermediate,Field Reaction
SC 5 [COL],Witches' Broom,resistant,Seedling
