Clone name,Basal constriction,Apex form,Rugosity,Ridge desc,Length,Breadth,Weight,Husk weight,Length breadth ratio
GU 347,slight,rounded,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,80.0,300.0,230.0,1.50
GU 348,moderate,rounded,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",85.0,65.0,80.0,70.0,1.31
GU 349,slight,rounded,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",110.0,85.0,240.0,180.0,1.29
GU 350,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,435.0,320.0,1.67
GU 351,slight,rounded,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",90.0,75.0,170.0,120.0,1.20
GU 352,slight,-,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",120.0,80.0,245.0,190.0,1.50
GU 353,slight,rounded,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",120.0,85.0,320.0,200.0,1.41
GU 354,slight,mammillate,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",140.0,90.0,350.0,280.0,1.56
GU 355,moderate,rounded,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",130.0,85.0,320.0,210.0,1.53
GU 358,slight,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",145.0,85.0,290.0,165.0,1.71
GU 359,slight,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",135.0,85.0,270.0,145.0,1.59
