Clone name,Self compatibility
PA 107 [PER],self incompatible
PA 120 [PER],self incompatible
PA 137 [PER],self incompatible
PA 294 [PER],self incompatible
PA 300 [PER],self incompatible
PA 303 [PER],self incompatible
PA 310 [PER],self incompatible
PA 4 [PER],self incompatible
PA 44 [PER],self incompatible
PA 51 [PER],self incompatible
PA 70 [PER],self incompatible
