Clone name,Pathogen,Species,Reaction,Part,Notes
ICS 84,Phytophthora,P. megakarya,resistant,Pod,(Note: Blaha 1976a [BLA76A] cites as showing resistance to Phytothphora palmivora.)
SNK 16,Phytophthora,P. megakarya,resistant,Pod,(Note: Cameroon - resistance to pod infection with P. megakarya observed by Blaha et al in the 1970's.)
SNK 32,Phytophthora,P. megakarya,resistant,Pod,(Note: Cameroon - resistance to pod infection with P. megakarya observed by Blaha et al in the 1970's.)
SNK 413,Phytophthora,P. megakarya,resistant,Pod,(Note: Cameroon - resistance to pod infection with P. megakarya observed by Blaha et al in the 1970's.)
SNK 64,Phytophthora,P. megakarya,resistant,Pod,(Note: Cameroon - resistance to pod infection with P. megakarya observed by Blaha et al in the 1970's.)
