Clone name,L w ratio
PBC 112,3.1
PBC 123,2.8
PBC 128,2.6
PBC 130,2.8
PBC 131,2.4
PBC 137,2.8
PBC 139,2.0
PBC 140,2.4
PBC 154,3.1
PBC 159,2.6
