Clone name,Female parent,Male parent,Station,Country,Year
ICCRI 06H,TSH858,KW 162 (Sulawesi 1),"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2010
ICCRI 08H,SUL 1,KEE 2,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,2017
