Clone name,Pest,Reaction
ICCRI 03,Cocoa Pod Borer,moderate resistance
ICCRI 04,Cocoa Pod Borer,moderately susceptible
ICCRI 07,Cocoa Pod Borer,moderate resistance
ICCRI 09,Cocoa Pod Borer,moderate resistance
ICCRI 01,Cocoa Pod Borer,moderate resistance
MCC 01,Cocoa Pod Borer,resistant
MCC 02,Cocoa Pod Borer,resistant
Sulawesi 01,Cocoa Pod Borer,susceptible
Sulawesi 02,Cocoa Pod Borer,susceptible
Sulawesi 03,Cocoa Pod Borer,resistant
