Clone name,Ligule colour,Stamen colour,Sepal width,Sepal length,Ligule width,Ovule number,Style length
CLM 11,moderate anthocyanin,intense anthocyanin,-,7.65,2.79,40,2.71
CLM 111,slight anthocyanin,intense anthocyanin,-,9.78,2.67,49,2.63
CLM 114,slight anthocyanin,moderate anthocyanin,-,8.73,2.81,44,2.8
CLM 116,slight anthocyanin,moderate anthocyanin,-,7.96,2.9,35,3.13
CLM 122,moderate anthocyanin,slight anthocyanin,-,8.42,2.3,40,2.17
CLM 19,moderate anthocyanin,moderate anthocyanin,-,8.9,2.75,41,3.17
CLM 3,slight anthocyanin,slight anthocyanin,-,8.36,2.37,46,2.22
CLM 35,slight anthocyanin,slight anthocyanin,-,7.86,2.65,51,2.56
CLM 41,moderate anthocyanin,intense anthocyanin,-,7.94,2.3,44,2.78
CLM 43,moderate anthocyanin,slight anthocyanin,-,7.79,2.51,40,2.21
CLM 49,slight anthocyanin,slight anthocyanin,-,7.32,2.33,49,2.14
CLM 56,slight anthocyanin,slight anthocyanin,-,7.13,2.75,40,2.62
CLM 59,slight anthocyanin,intense anthocyanin,-,7.13,2.21,39,2.16
CLM 6,moderate anthocyanin,intense anthocyanin,-,6.7,2.85,44,2.38
CLM 60,slight anthocyanin,slight anthocyanin,-,8.03,2.57,40,2.85
CLM 64,slight anthocyanin,anthocyanin absent,-,7.71,1.5,44,1.98
CLM 70,slight anthocyanin,intense anthocyanin,-,8.42,2.76,42,2.64
CLM 78,intense anthocyanin,intense anthocyanin,-,7.05,2.8,45,2.23
CLM 83,anthocyanin absent,anthocyanin absent,-,7.88,2.74,34,2.08
CLM 86,slight anthocyanin,intense anthocyanin,-,8.18,2.33,41,2.36
CLM 88,slight anthocyanin,slight anthocyanin,-,7.81,2.49,41,2.08
CLM 90,slight anthocyanin,slight anthocyanin,-,7.84,2.16,43,2.04
CLM 91,slight anthocyanin,slight anthocyanin,-,7.75,2.16,37,2.07
CLM 96,slight anthocyanin,moderate anthocyanin,-,8.81,2.65,42,2.83
CLM 97,slight anthocyanin,intense anthocyanin,-,8.26,2.63,45,3.38
CLM 99,intense anthocyanin,slight anthocyanin,-,8.47,2.22,44,1.8
COCA 3310 /3 [CHA],slight anthocyanin,slight anthocyanin,-,7.27,2.38,36,1.72
COCA 3343 /2 [CHA],moderate anthocyanin,moderate anthocyanin,-,8.41,3.18,55,2.57
COCA 3343 /7 [CHA],moderate anthocyanin,slight anthocyanin,-,6.51,2.31,45,2.15
COCA 3348 /44 [CHA],anthocyanin absent,anthocyanin absent,-,6.48,2.43,48,1.73
COCA 3348 /52 [CHA],moderate anthocyanin,anthocyanin absent,-,6.78,2.08,46,2.23
COCA 3370 /5 [CHA],anthocyanin absent,anthocyanin absent,-,9.66,2.34,36,2.52
CRIOLLO 54 [CRI],anthocyanin absent,anthocyanin absent,-,7.67,2.29,38,2.05
CRU 100,moderate anthocyanin,moderate anthocyanin,-,6.8,2.53,44,2.24
CRU 101,moderate anthocyanin,slight anthocyanin,-,7.74,2.55,46,2.41
CRU 102,slight anthocyanin,slight anthocyanin,-,7.81,2.26,43,2.32
CRU 103,slight anthocyanin,slight anthocyanin,-,6.12,2.46,48,2.13
CRU 104,slight anthocyanin,intense anthocyanin,-,6.9,2.59,42,2.23
CRU 105,moderate anthocyanin,moderate anthocyanin,-,8.24,2.24,39,2.17
CRU 106,slight anthocyanin,anthocyanin absent,-,7.48,1.79,40,1.83
CRU 107,slight anthocyanin,slight anthocyanin,-,7.71,2.1,45,1.99
CRU 11,moderate anthocyanin,moderate anthocyanin,-,7.03,2.13,52,1.98
CRU 111,slight anthocyanin,moderate anthocyanin,-,7.33,2.36,42,2.25
CRU 112,anthocyanin absent,anthocyanin absent,-,7.67,2.39,43,2.64
CRU 113,slight anthocyanin,slight anthocyanin,-,8.95,2.46,44,2.58
CRU 116,anthocyanin absent,anthocyanin absent,-,7.71,1.75,45,1.99
CRU 119,slight anthocyanin,moderate anthocyanin,-,7.68,2.29,43,2.6
CRU 12,slight anthocyanin,slight anthocyanin,-,7.68,2.11,40,2.61
CRU 120,slight anthocyanin,anthocyanin absent,-,9.31,2.81,43,2.36
CRU 122,intense anthocyanin,slight anthocyanin,-,8.66,2.14,42,2.06
CRU 123,moderate anthocyanin,anthocyanin absent,-,6.72,2.17,41,2.08
CRU 124,slight anthocyanin,slight anthocyanin,-,8.89,2.97,39,2.2
CRU 126,intense anthocyanin,slight anthocyanin,-,9.22,2.17,43,2.15
CRU 127,anthocyanin absent,moderate anthocyanin,-,7.19,2.13,53,2.3
CRU 128,intense anthocyanin,moderate anthocyanin,-,7.26,1.91,47,2.17
CRU 129,intense anthocyanin,slight anthocyanin,-,8.68,2.16,47,2.15
CRU 13,moderate anthocyanin,slight anthocyanin,-,7.64,2.34,58,2.41
CRU 131,anthocyanin absent,slight anthocyanin,-,8.57,3.05,41,2.67
CRU 132,moderate anthocyanin,moderate anthocyanin,-,7.56,2.66,50,2.36
CRU 133,slight anthocyanin,slight anthocyanin,-,7.61,2.39,53,2.43
CRU 135,moderate anthocyanin,slight anthocyanin,-,7.07,2.41,56,2.78
CRU 136,slight anthocyanin,slight anthocyanin,-,8.57,2.43,42,2.44
CRU 137,intense anthocyanin,slight anthocyanin,-,8.24,2.46,45,2.37
CRU 138,intense anthocyanin,slight anthocyanin,-,7.27,2.88,47,2.39
CRU 142,slight anthocyanin,intense anthocyanin,-,7.23,2.09,45,2.11
CRU 147,moderate anthocyanin,moderate anthocyanin,-,7.73,2.19,43,2.34
CRU 153,slight anthocyanin,moderate anthocyanin,-,7.4,2.29,45,2.19
CRU 154,slight anthocyanin,moderate anthocyanin,-,7.28,2.14,45,2.34
CRU 18,slight anthocyanin,moderate anthocyanin,2.30,7.08,2.27,49,2.56
CRU 19,moderate anthocyanin,slight anthocyanin,-,7.4,2.49,45,2.51
CRU 21,intense anthocyanin,intense anthocyanin,-,7.33,2.68,55,2.44
CRU 263,anthocyanin absent,anthocyanin absent,-,8.51,2.19,35,2.41
CRU 27,slight anthocyanin,intense anthocyanin,-,7.66,2.25,46,2.61
CRU 271 (MIS_TTO005_ICS 55),slight anthocyanin,slight anthocyanin,-,8.58,2.59,47,1.95
CRU 28,slight anthocyanin,slight anthocyanin,-,8.24,2.62,47,2.38
CRU 34,intense anthocyanin,slight anthocyanin,-,9.95,2.37,47,1.69
CRU 35,slight anthocyanin,slight anthocyanin,-,8.91,2.0,41,2.07
CRU 37,slight anthocyanin,slight anthocyanin,-,8.07,2.35,47,2.23
CRU 38,moderate anthocyanin,moderate anthocyanin,-,7.35,2.71,50,2.19
CRU 40,slight anthocyanin,slight anthocyanin,-,7.15,2.46,49,2.18
CRU 47,moderate anthocyanin,moderate anthocyanin,-,7.47,1.91,43,1.92
CRU 4A/11,intense anthocyanin,slight anthocyanin,-,9.64,2.3,44,2.33
CRU 4A/4,anthocyanin absent,slight anthocyanin,-,8.39,2.68,44,3.04
CRU 4A/8,anthocyanin absent,moderate anthocyanin,-,7.3,2.62,48,2.7
CRU 4A/9,intense anthocyanin,intense anthocyanin,-,7.48,2.98,41,2.44
CRU 5,slight anthocyanin,slight anthocyanin,-,6.84,2.19,42,1.9
CRU 51,slight anthocyanin,slight anthocyanin,-,8.0,2.37,41,2.38
CRU 56,moderate anthocyanin,slight anthocyanin,-,8.0,1.96,45,2.24
CRU 57,slight anthocyanin,moderate anthocyanin,-,8.35,2.83,52,2.74
CRU 59,slight anthocyanin,slight anthocyanin,-,7.8,2.2,53,2.12
CRU 5A /1,moderate anthocyanin,moderate anthocyanin,-,8.43,2.35,39,2.28
CRU 5A /2,anthocyanin absent,anthocyanin absent,-,7.84,2.24,38,2.29
CRU 5A /3,anthocyanin absent,slight anthocyanin,-,8.21,2.66,47,2.95
CRU 5A /4,slight anthocyanin,moderate anthocyanin,-,7.4,2.68,45,2.8
CRU 5A /5,intense anthocyanin,intense anthocyanin,-,5.71,2.37,46,1.97
CRU 5A /6,slight anthocyanin,intense anthocyanin,-,7.29,2.49,32,2.54
CRU 5B /10,moderate anthocyanin,moderate anthocyanin,-,9.05,2.44,48,2.7
CRU 5B /11,anthocyanin absent,moderate anthocyanin,2.08,7.56,1.98,34,2.64
CRU 5B /12,anthocyanin absent,intense anthocyanin,-,7.39,2.5,48,2.34
CRU 5B /14,slight anthocyanin,anthocyanin absent,-,7.85,2.28,35,2.04
CRU 5B /16,anthocyanin absent,intense anthocyanin,-,9.21,2.52,44,2.79
CRU 5B /17,slight anthocyanin,anthocyanin absent,-,8.56,2.51,42,2.92
CRU 5B /18,slight anthocyanin,intense anthocyanin,-,7.09,2.13,42,2.29
CRU 5B /19,slight anthocyanin,intense anthocyanin,-,8.13,2.46,43,2.84
CRU 5B /2,slight anthocyanin,slight anthocyanin,-,7.82,2.55,43,2.41
CRU 5B /21,slight anthocyanin,anthocyanin absent,-,8.18,3.08,57,2.66
CRU 5B /22,anthocyanin absent,slight anthocyanin,-,7.21,2.48,42,2.46
CRU 5B /23,slight anthocyanin,intense anthocyanin,-,8.7,2.52,42,2.46
CRU 5B /24,slight anthocyanin,intense anthocyanin,-,9.37,2.53,40,2.87
CRU 5B /25,anthocyanin absent,moderate anthocyanin,-,7.69,2.59,48,2.93
CRU 5B /3,slight anthocyanin,slight anthocyanin,-,8.63,2.74,47,3.04
CRU 5B /4,intense anthocyanin,slight anthocyanin,-,7.75,2.19,40,2.24
CRU 5B /5,slight anthocyanin,anthocyanin absent,-,6.99,2.48,41,2.39
CRU 5B /7,moderate anthocyanin,moderate anthocyanin,-,8.3,2.08,44,2.35
CRU 5B /8,anthocyanin absent,intense anthocyanin,-,7.73,2.29,38,2.53
CRU 5B /9,intense anthocyanin,intense anthocyanin,-,7.31,2.37,37,1.94
CRU 63,slight anthocyanin,anthocyanin absent,-,7.5,2.42,46,2.52
CRU 64,slight anthocyanin,anthocyanin absent,-,6.51,2.59,44,2.13
CRU 69,moderate anthocyanin,moderate anthocyanin,-,7.32,2.48,41,1.87
CRU 6 /B-2,slight anthocyanin,slight anthocyanin,-,6.99,1.7,44,1.59
CRU 7,moderate anthocyanin,slight anthocyanin,-,8.24,2.32,49,1.83
CRU 70,moderate anthocyanin,moderate anthocyanin,-,6.52,2.18,44,1.91
CRU 72,moderate anthocyanin,moderate anthocyanin,-,6.84,2.33,53,2.12
CRU 73,moderate anthocyanin,slight anthocyanin,-,6.79,2.54,52,2.02
CRU 74,intense anthocyanin,moderate anthocyanin,-,7.91,2.52,45,2.6
CRU 77,slight anthocyanin,slight anthocyanin,-,6.64,2.05,44,2.17
CRU 78,moderate anthocyanin,slight anthocyanin,-,6.23,2.14,49,1.88
CRU 80,moderate anthocyanin,moderate anthocyanin,-,6.53,2.2,46,2.12
CRU 81,slight anthocyanin,anthocyanin absent,-,7.4,1.94,40,1.96
CRU 83,slight anthocyanin,slight anthocyanin,-,7.02,2.39,53,2.26
CRU 86,moderate anthocyanin,slight anthocyanin,-,6.25,2.26,45,2.15
CRU 87,slight anthocyanin,moderate anthocyanin,-,7.73,2.19,49,1.72
CRU 89,slight anthocyanin,slight anthocyanin,-,8.63,2.52,46,2.59
CRU 90,moderate anthocyanin,slight anthocyanin,-,6.63,2.53,55,2.23
CRU 91,moderate anthocyanin,moderate anthocyanin,-,7.93,2.31,49,2.12
CRU 95,slight anthocyanin,moderate anthocyanin,-,7.53,2.26,45,2.07
CRU 96,moderate anthocyanin,slight anthocyanin,-,8.9,2.81,42,2.82
CRU 97,moderate anthocyanin,moderate anthocyanin,-,6.84,2.2,53,2.07
CRU 98,moderate anthocyanin,moderate anthocyanin,-,6.68,2.0,54,1.92
CRU 99,intense anthocyanin,moderate anthocyanin,-,6.36,2.29,44,2.01
CRU C11 /2,anthocyanin absent,anthocyanin absent,-,7.9,2.52,49,2.55
CRU C11 /3,anthocyanin absent,slight anthocyanin,-,6.75,2.15,51,2.09
CRU C12 /1,moderate anthocyanin,slight anthocyanin,-,6.54,2.0,50,2.0
CRU C12 /2,intense anthocyanin,slight anthocyanin,-,6.12,1.94,43,1.79
CRU C12 /3,moderate anthocyanin,slight anthocyanin,-,6.99,2.02,48,1.81
CRU C12 /4,moderate anthocyanin,slight anthocyanin,-,6.19,2.16,47,2.08
CRU C12 /6,slight anthocyanin,anthocyanin absent,-,7.01,1.75,39,1.85
CRU C12 /7,anthocyanin absent,anthocyanin absent,-,7.15,2.42,47,2.21
CRU C3 /5,anthocyanin absent,anthocyanin absent,-,7.67,3.36,46,2.34
CRU C4 /12,moderate anthocyanin,anthocyanin absent,-,6.81,2.04,46,2.07
CRU C4 /13,slight anthocyanin,anthocyanin absent,-,8.17,2.69,42,2.53
CRU C4 /3,slight anthocyanin,slight anthocyanin,-,7.35,2.55,53,2.19
CRU C4 /4,slight anthocyanin,slight anthocyanin,-,7.33,2.59,54,2.26
CRU C4 /5,slight anthocyanin,slight anthocyanin,-,7.52,2.12,54,2.05
CRU C4 /6,slight anthocyanin,slight anthocyanin,-,6.82,2.4,48,2.12
CRU C4 /7,slight anthocyanin,anthocyanin absent,-,7.03,2.3,41,1.98
CRU C4 /8,slight anthocyanin,slight anthocyanin,-,7.74,2.32,48,2.16
CRU C5 /2,anthocyanin absent,anthocyanin absent,-,7.78,2.32,33,1.99
CRU C5 /4,moderate anthocyanin,slight anthocyanin,-,7.27,2.06,46,1.93
CRU C5 /5,moderate anthocyanin,slight anthocyanin,-,7.11,2.32,43,2.29
CRU C5 /7,anthocyanin absent,anthocyanin absent,-,7.38,2.11,41,2.32
CRU C5 /8,moderate anthocyanin,anthocyanin absent,-,7.94,2.3,36,2.05
CRU C6 /14,anthocyanin absent,moderate anthocyanin,-,8.75,3.1,62,2.57
CRU C6 /19,anthocyanin absent,anthocyanin absent,-,7.43,2.76,42,2.36
CRU C6 /22,moderate anthocyanin,intense anthocyanin,-,8.1,2.19,38,1.97
CRUZ 7 /11,moderate anthocyanin,anthocyanin absent,-,7.82,2.29,44,1.97
CRUZ 7 /14,slight anthocyanin,anthocyanin absent,-,7.95,2.43,51,2.43
CRUZ 7 /8,slight anthocyanin,anthocyanin absent,-,7.11,2.34,49,2.56
DE 33 /B,intense anthocyanin,moderate anthocyanin,-,8.89,2.12,37,2.28
DE 36 /A,anthocyanin absent,anthocyanin absent,-,6.95,2.19,42,1.86
DE 52 /B,anthocyanin absent,anthocyanin absent,-,7.1,2.8,57,2.22
DE 53 /B,moderate anthocyanin,intense anthocyanin,-,7.47,2.13,41,1.96
DE 64 /A,slight anthocyanin,slight anthocyanin,-,6.71,2.28,43,1.75
DE 64 /B,slight anthocyanin,anthocyanin absent,-,7.92,3.07,51,2.77
DE 65 /A,anthocyanin absent,anthocyanin absent,-,6.06,2.07,31,1.45
DE 73 /A,anthocyanin absent,anthocyanin absent,-,7.48,2.28,49,1.87
DOM 1,slight anthocyanin,anthocyanin absent,-,8.38,2.46,44,2.31
DOM 10,slight anthocyanin,slight anthocyanin,-,8.65,2.64,41,2.2
DOM 11,anthocyanin absent,anthocyanin absent,-,7.55,2.16,38,2.17
DOM 13,anthocyanin absent,anthocyanin absent,-,9.06,2.58,42,2.35
DOM 14,anthocyanin absent,anthocyanin absent,-,7.79,2.98,47,2.48
DOM 15,anthocyanin absent,anthocyanin absent,-,9.07,2.63,47,2.59
DOM 16,slight anthocyanin,anthocyanin absent,-,8.65,2.81,38,2.37
DOM 18,anthocyanin absent,moderate anthocyanin,-,7.55,2.16,35,2.24
DOM 2,anthocyanin absent,anthocyanin absent,-,7.15,2.11,47,2.11
DOM 20,anthocyanin absent,slight anthocyanin,-,8.73,2.41,46,2.23
DOM 23,anthocyanin absent,anthocyanin absent,-,7.97,2.25,50,2.15
DOM 24,anthocyanin absent,slight anthocyanin,-,8.75,2.38,41,2.62
DOM 25,anthocyanin absent,anthocyanin absent,-,7.21,1.84,37,1.93
DOM 27,anthocyanin absent,anthocyanin absent,-,7.91,2.47,35,2.45
DOM 3,moderate anthocyanin,moderate anthocyanin,-,8.29,2.01,40,2.63
DOM 30,anthocyanin absent,anthocyanin absent,-,8.11,2.32,44,2.38
DOM 31,slight anthocyanin,moderate anthocyanin,-,8.43,2.47,44,2.27
DOM 33,anthocyanin absent,slight anthocyanin,-,7.42,2.3,49,2.29
DOM 35,anthocyanin absent,anthocyanin absent,-,8.11,2.2,45,2.24
DOM 4,slight anthocyanin,moderate anthocyanin,-,8.51,2.25,39,2.2
DOM 7,anthocyanin absent,anthocyanin absent,-,8.18,2.16,49,2.44
DOM 8,anthocyanin absent,anthocyanin absent,-,8.01,2.15,39,1.94
DOM 9,anthocyanin absent,slight anthocyanin,-,9.97,2.42,40,2.39
DOPOL 2 /1-4,slight anthocyanin,slight anthocyanin,-,8.17,2.78,46,2.72
DOPOL 2 /1-5,slight anthocyanin,anthocyanin absent,-,7.85,2.44,50,2.49
DOPOL 3 /2-5,slight anthocyanin,anthocyanin absent,-,7.25,2.46,40,2.02
DOPOL 3 /2-6,slight anthocyanin,slight anthocyanin,-,8.07,2.64,40,1.9
DOPOL 4 /4-7,anthocyanin absent,anthocyanin absent,-,5.74,2.0,37,1.85
DOPOL 6 /15-10,intense anthocyanin,slight anthocyanin,-,9.15,2.82,44,2.0
DOPOL 6 /15-5,intense anthocyanin,moderate anthocyanin,-,7.6,2.66,48,2.33
DOPOL 6 /15-9,intense anthocyanin,slight anthocyanin,-,6.66,2.35,44,1.86
DOPOL 7 /2-3,slight anthocyanin,slight anthocyanin,-,7.03,2.32,38,1.7
DOS HERMANOS,slight anthocyanin,slight anthocyanin,-,7.48,2.58,43,2.09
DOS HERMANOS 1,anthocyanin absent,anthocyanin absent,-,7.61,2.67,38,2.34
DOS HERMANOS 2,slight anthocyanin,anthocyanin absent,-,8.19,2.7,42,2.26
DR 2,anthocyanin absent,slight anthocyanin,-,7.61,3.16,40,2.21
E 34 [ECU],anthocyanin absent,anthocyanin absent,-,8.34,2.32,31,2.55
E 41 [ECU],slight anthocyanin,slight anthocyanin,-,8.24,2.8,42,2.69
E 575 [ICT],moderate anthocyanin,anthocyanin absent,-,6.98,2.1,38,1.86
EBC 148 /S-301,slight anthocyanin,anthocyanin absent,-,7.19,2.41,46,1.85
ECNR,slight anthocyanin,slight anthocyanin,-,6.82,2.68,42,2.15
EEG 8,slight anthocyanin,anthocyanin absent,-,7.78,2.48,42,2.28
EET 162 [ECU],slight anthocyanin,slight anthocyanin,-,9.14,2.91,38,2.1
EET 19 [ECU],anthocyanin absent,slight anthocyanin,-,6.75,2.52,41,2.68
EET 272 [ECU],moderate anthocyanin,slight anthocyanin,-,6.34,2.21,45,2.0
EET 28 [ECU],moderate anthocyanin,slight anthocyanin,-,9.42,2.33,46,3.13
EET 338 [ECU],anthocyanin absent,anthocyanin absent,-,9.23,3.02,37,3.05
EET 338 /9577 [ECU],slight anthocyanin,anthocyanin absent,-,8.56,2.99,44,2.93
EET 397 [ECU],anthocyanin absent,slight anthocyanin,-,7.35,2.84,39,2.93
EET 399 [ECU],slight anthocyanin,slight anthocyanin,-,8.57,2.47,42,2.08
EET 400 [ECU],moderate anthocyanin,slight anthocyanin,-,7.55,2.41,45,2.57
EET 48 [ECU],slight anthocyanin,anthocyanin absent,-,7.75,2.67,45,2.1
EET 58 [ECU],slight anthocyanin,moderate anthocyanin,-,8.99,3.12,38,2.64
EET 59 [ECU],slight anthocyanin,moderate anthocyanin,-,8.54,3.18,41,2.36
EET 95 [ECU],slight anthocyanin,intense anthocyanin,-,8.38,2.76,46,2.69
ELP 1 A,anthocyanin absent,anthocyanin absent,-,6.19,2.16,42,1.9
ELP 1 /S4,slight anthocyanin,anthocyanin absent,-,6.72,1.95,39,2.06
ELP 10 /S6,anthocyanin absent,anthocyanin absent,-,6.6,2.15,42,2.05
ELP 10 /T,moderate anthocyanin,anthocyanin absent,-,6.9,2.28,44,2.16
ELP 11 /S1,slight anthocyanin,anthocyanin absent,-,6.59,1.98,47,1.9
ELP 11 /S3,slight anthocyanin,anthocyanin absent,-,6.52,2.01,38,2.1
ELP 13 /8,anthocyanin absent,anthocyanin absent,-,6.77,1.89,42,1.95
ELP 16 /S7,slight anthocyanin,anthocyanin absent,-,5.85,1.94,44,1.78
ELP 18 /S12,anthocyanin absent,anthocyanin absent,-,6.54,2.33,43,2.12
ELP 2 /S4,slight anthocyanin,anthocyanin absent,-,6.3,1.89,40,1.95
ELP 20 A,anthocyanin absent,anthocyanin absent,-,6.58,2.06,43,1.92
ELP 20 /S3,slight anthocyanin,anthocyanin absent,-,5.89,2.18,45,1.71
ELP 22 /S10,slight anthocyanin,anthocyanin absent,-,7.07,2.03,41,2.0
ELP 28 /S4,moderate anthocyanin,moderate anthocyanin,-,7.16,2.35,33,2.52
ELP 28 /S6,slight anthocyanin,slight anthocyanin,-,6.75,2.14,39,2.27
ELP 30 /S5,moderate anthocyanin,intense anthocyanin,-,7.12,2.1,41,2.41
ELP 32 /S3,intense anthocyanin,moderate anthocyanin,-,7.01,2.47,42,2.43
ELP 32 /S4,intense anthocyanin,intense anthocyanin,-,6.8,1.99,40,2.49
ELP 34 /S13,intense anthocyanin,moderate anthocyanin,-,7.04,2.27,39,2.25
ELP 34 /S7,moderate anthocyanin,intense anthocyanin,-,6.64,2.14,36,2.77
ELP 35 B,moderate anthocyanin,intense anthocyanin,-,7.08,2.16,39,2.42
ELP 35 /S4,slight anthocyanin,slight anthocyanin,-,6.88,2.28,35,2.34
ELP 40 B,moderate anthocyanin,slight anthocyanin,-,6.71,2.38,35,2.22
ELP 40 /S9,moderate anthocyanin,moderate anthocyanin,-,6.85,2.39,38,1.96
ELP 41 /S5,slight anthocyanin,slight anthocyanin,-,6.92,2.13,41,1.98
ELP 7 /S2,slight anthocyanin,anthocyanin absent,-,6.07,2.1,47,1.98
ELP 7 /S7,slight anthocyanin,anthocyanin absent,-,7.03,2.38,47,2.08
ELP 8 A,anthocyanin absent,anthocyanin absent,-,6.42,2.13,48,1.79
ELP 8 /S3,slight anthocyanin,anthocyanin absent,-,6.29,2.1,46,1.93
ELP 9 /S2,slight anthocyanin,anthocyanin absent,-,6.61,2.0,45,1.8
ELP 9 /S4,slight anthocyanin,slight anthocyanin,-,6.88,2.17,41,2.58
EQX /J [CHA],anthocyanin absent,anthocyanin absent,-,6.57,2.14,43,2.29
EQX 3164 [CHA],anthocyanin absent,anthocyanin absent,-,8.76,3.52,41,2.5
EQX 69 [EQX],anthocyanin absent,anthocyanin absent,-,7.28,2.27,43,2.38
FSC 13,moderate anthocyanin,moderate anthocyanin,-,8.45,2.77,50,2.82
G 8 [GET],anthocyanin absent,anthocyanin absent,-,7.91,3.03,39,2.41
GA 11 [HAI],moderate anthocyanin,anthocyanin absent,-,8.26,2.08,48,1.92
GC T 998 /2,slight anthocyanin,anthocyanin absent,-,7.33,2.38,45,1.94
GC T 998 /59,intense anthocyanin,slight anthocyanin,-,7.23,2.39,50,2.17
GC T 998 /60,slight anthocyanin,moderate anthocyanin,-,6.85,2.91,57,2.31
GC T 998 /66,slight anthocyanin,slight anthocyanin,-,7.33,2.23,46,2.42
GC T 998 /76,anthocyanin absent,slight anthocyanin,-,8.32,2.44,48,2.3
GC T 998 /96,slight anthocyanin,anthocyanin absent,-,7.63,2.38,45,2.29
GC T 999 /59,slight anthocyanin,slight anthocyanin,-,8.14,2.59,53,2.45
GDL 1,anthocyanin absent,anthocyanin absent,-,8.08,2.27,47,2.03
GDL 11,anthocyanin absent,anthocyanin absent,-,7.62,2.41,41,2.47
GDL 2,slight anthocyanin,slight anthocyanin,-,7.41,2.09,42,2.12
GDL 3,slight anthocyanin,slight anthocyanin,-,7.44,2.16,43,2.06
GDL 7,slight anthocyanin,slight anthocyanin,-,8.46,2.17,42,2.14
GNV 22,anthocyanin absent,moderate anthocyanin,-,9.13,2.9,43,2.48
GS 1,slight anthocyanin,slight anthocyanin,-,8.01,2.34,48,2.14
GS 10,anthocyanin absent,anthocyanin absent,-,8.43,2.17,47,2.3
GS 12,anthocyanin absent,anthocyanin absent,-,7.9,2.72,43,2.55
GS 13,anthocyanin absent,anthocyanin absent,-,8.44,2.38,49,2.28
GS 15,slight anthocyanin,anthocyanin absent,-,8.26,2.62,42,2.17
GS 16,anthocyanin absent,slight anthocyanin,-,8.74,2.53,44,2.67
GS 26,anthocyanin absent,anthocyanin absent,-,6.8,2.93,39,2.07
GS 29,anthocyanin absent,anthocyanin absent,-,8.2,2.71,37,2.2
GS 32,slight anthocyanin,slight anthocyanin,-,8.11,2.93,43,1.91
GS 36,slight anthocyanin,anthocyanin absent,-,8.55,2.79,37,2.33
GS 37,anthocyanin absent,anthocyanin absent,-,7.11,2.43,41,2.08
GS 39,slight anthocyanin,slight anthocyanin,-,7.54,2.32,42,2.01
GS 4,moderate anthocyanin,slight anthocyanin,-,9.95,2.69,42,2.51
GS 45,anthocyanin absent,anthocyanin absent,-,7.35,2.14,49,2.21
GS 48,anthocyanin absent,anthocyanin absent,-,7.6,2.44,38,2.16
GS 50,anthocyanin absent,anthocyanin absent,-,7.19,2.45,42,2.24
GS 53,anthocyanin absent,anthocyanin absent,-,8.42,2.97,39,2.02
GS 55,slight anthocyanin,anthocyanin absent,-,7.38,2.27,43,2.1
GS 58,anthocyanin absent,anthocyanin absent,-,8.3,2.41,45,2.13
GS 59,anthocyanin absent,anthocyanin absent,-,7.77,2.38,44,2.06
GS 6,anthocyanin absent,slight anthocyanin,-,8.83,2.3,43,2.31
GS 60,moderate anthocyanin,slight anthocyanin,-,8.06,2.46,37,2.15
GS 61,anthocyanin absent,anthocyanin absent,-,8.72,2.39,49,2.07
GS 62,slight anthocyanin,anthocyanin absent,-,7.84,2.36,44,2.15
GS 66,anthocyanin absent,anthocyanin absent,-,9.08,2.42,50,2.57
GS 67,slight anthocyanin,slight anthocyanin,-,8.16,2.31,42,2.47
GS 70,anthocyanin absent,anthocyanin absent,-,8.45,2.23,39,2.42
GS 74,anthocyanin absent,anthocyanin absent,-,7.93,2.57,41,1.87
GS 76,anthocyanin absent,anthocyanin absent,-,8.44,2.51,47,2.16
GS 77,anthocyanin absent,anthocyanin absent,-,8.7,2.35,41,2.2
GS 78,anthocyanin absent,anthocyanin absent,-,7.22,2.37,44,2.43
GS 79,slight anthocyanin,slight anthocyanin,-,7.69,2.0,41,2.28
GU 114 /P,slight anthocyanin,anthocyanin absent,-,6.21,2.15,44,1.85
GU 133 /C,anthocyanin absent,anthocyanin absent,-,6.58,2.1,43,1.93
GU 144 /C,moderate anthocyanin,anthocyanin absent,-,6.83,2.2,43,1.95
GU 151 /F,anthocyanin absent,anthocyanin absent,-,6.72,2.54,43,2.32
GU 154 /C,slight anthocyanin,anthocyanin absent,-,6.03,2.05,44,1.71
GU 168 /H,moderate anthocyanin,anthocyanin absent,-,6.97,1.96,36,1.79
GU 169,slight anthocyanin,anthocyanin absent,-,6.47,2.24,41,2.34
GU 175 /P,moderate anthocyanin,anthocyanin absent,-,6.9,2.36,45,2.23
GU 192,slight anthocyanin,slight anthocyanin,-,6.37,2.25,42,1.9
GU 195 /P,slight anthocyanin,anthocyanin absent,-,6.28,1.89,47,2.07
GU 202 /A,moderate anthocyanin,intense anthocyanin,-,7.47,2.17,51,2.14
GU 207 /H,moderate anthocyanin,slight anthocyanin,-,6.39,1.58,43,1.8
GU 215 /A,slight anthocyanin,anthocyanin absent,-,6.86,2.07,44,2.19
GU 219 /F,slight anthocyanin,slight anthocyanin,-,7.21,2.04,50,1.98
GU 222,slight anthocyanin,anthocyanin absent,-,5.95,2.08,49,2.03
GU 241 /P,anthocyanin absent,anthocyanin absent,-,6.91,2.2,46,2.11
GU 243 /H,slight anthocyanin,slight anthocyanin,-,6.46,2.02,42,1.75
GU 255 /P,slight anthocyanin,anthocyanin absent,-,6.2,2.28,39,1.75
