Parent,Station,Country,Region,Producer
ICS60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",PT PP Jember Indonesia
ICS12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",PT PP Jember Indonesia
ICS13,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",PT PP Jember Indonesia
DR1,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",PT PP Jember Indonesia
SCA6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",PT PP Jember Indonesia
SCA12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",PT PP Jember Indonesia
GC 7,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,West Sumatera,PT Inang Sari
ICS60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,West Sumatera,PT Inang Sari
SCA6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,West Sumatera,PT Inang Sari
SCA12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,West Sumatera,PT Inang Sari
ICS60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,PT Perkebunan Nusantara XII
ICS13,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,PT Perkebunan Nusantara XII
GC7,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,PT Perkebunan Nusantara XII
SCA6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,PT Perkebunan Nusantara XII
SCA12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,PT Perkebunan Nusantara XII
ICS13,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Banyuwangi, East Java",PT Glenmore
ICS60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Banyuwangi, East Java",PT Glenmore
GC7,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Banyuwangi, East Java",PT Glenmore
DR 1,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Banyuwangi, East Java",PT Glenmore
SCA6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Banyuwangi, East Java",PT Glenmore
SCA12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Banyuwangi, East Java",PT Glenmore
