Clone name,Accession,Shape,Basal constriction,Apex form,Rugosity,Husk thickness,Length,Breadth,Colour,Weight,Hardness,Length breadth ratio,Info
UF 712 x CC 124,tree number 23,amelonado,slight,rounded,intense,19,179.0,101.0,green,715.0,hard,1.77,tree number 23
UF 712 x CC 124,tree number 24,amelonado,absent,obtuse,moderate,17,157.0,92.0,red,560.0,soft,1.7,tree number 24
UF 712 x CC 124,tree number 30,amelonado,slight,rounded,moderate,16,165.0,93.0,green,518.0,moderate,1.77,tree number 30
UF 712 x CC 124,tree number 31,amelonado,absent,obtuse,intense,18,166.0,92.0,red,527.0,soft,1.8,tree number 31
UF 712 x CATIE 1000,tree number 7,amelonado,absent,mammillate,moderate,17,160.0,101.0,green,608.0,soft,1.58,tree number 7
UF 712 x Tree81,tree number 22,amelonado,absent,obtuse,moderate,21,214.0,110.0,green,916.0,soft,1.94,tree number 22
UF 712 x Tree81,tree number 24,amelonado,absent,rounded,moderate,18,162.0,97.0,green,616.0,soft,1.67,tree number 24
UF 712 x ARF 37,tree number 12,amelonado,absent,rounded,moderate,16,168.0,98.0,green,586.0,soft,1.71,tree number 12
UF 712 x ARF 37,tree number 26,amelonado,absent,rounded,moderate,20,157.0,102.0,green,683.0,moderate,1.53,tree number 26
UF 712 x ARF 37,tree number 28,amelonado,absent,acute,smooth,20,188.0,96.0,green,694.0,soft,1.95,tree number 28
UF 712 x ARF 37,tree number 31,amelonado,absent,obtuse,smooth,21,191.0,108.0,green,871.0,hard,1.76,tree number 31
UF 712 x ARF 37,tree number 32,amelonado,slight,rounded,moderate,18,179.0,94.0,green,612.0,hard,1.9,tree number 32
UF 712 x ICS 43,tree number 30,amelonado,absent,sharp,smooth,21,195.0,102.0,red,827.0,soft,1.91,tree number 30
UF 712 x P 23 [MEX],tree number 15,amelonado,slight,acute,moderate,19,190.0,91.0,red,588.0,soft,2.08,tree number 15
