Clone name,Colour dark purple,Colour light purple,Colour white,Colour mottled,Number,Length,Width,Thickness,Wet weight,Cotyledon wet weight,Info,Notes
COCA 3353 [CHA],-,-,-,-,-,24.6,14.8,11.0,5.22,2.00,expedition data,expedition code 70CH
COCA 3354 [CHA],-,-,-,-,-,24.1,13.6,9.9,5.58,2.66,expedition data,expedition code 70CH
COCA 3356 [CHA],-,-,-,-,-,24.3,13.5,9.0,3.48,1.95,expedition data,expedition code 70CH
NAPO 13 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 14 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 15 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 17 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 19 [CHA],+,+,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 20 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 22 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 23 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 29 [CHA],-,-,-,+,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 30 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 34 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 37 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 40 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
NAPO 41 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
PAYAMINO /T [CHA],-,-,-,-,-,25.1,12.9,8.1,4.80,1.88,expedition data,expedition code 70CH
PAYAMINO /U [CHA],-,-,-,-,-,25.3,13.0,9.9,4.20,1.91,expedition data,expedition code 70CH
PAYAMINO /V [CHA],-,-,-,-,-,26.8,12.7,8.5,3.72,1.63,expedition data,expedition code 70CH
PAYAMINO /W [CHA],-,-,-,-,-,24.3,13.0,7.0,4.11,1.20,expedition data,expedition code 70CH
SAN MIGUEL 3073 [CHA],-,-,-,-,-,25.4,12.0,8.8,5.38,1.71,expedition data,expedition code 68CH
SAN MIGUEL 3082 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 68CH
SAN MIGUEL 3087 [CHA],-,-,-,-,-,24.1,11.3,8.1,3.53,1.50,expedition data,expedition code 68CH
SAN MIGUEL 3115 [CHA],-,-,-,-,-,25.6,11.4,6.2,-,-,expedition data,expedition code 68CH
SAN MIGUEL 3147 [CHA],-,-,-,-,-,20.7,11.8,8.8,4.59,1.50,expedition data,expedition code 68CH
SAN MIGUEL 3153 [CHA],-,-,-,-,-,29.0,14.1,8.7,7.16,2.25,expedition data,expedition code 68CH
SAN MIGUEL 3160 [CHA],-,-,-,-,-,26.3,12.8,7.6,5.46,1.64,expedition data,expedition code 68CH
SAN MIGUEL 3161 [CHA],-,-,-,-,-,24.1,10.8,9.0,4.54,1.31,expedition data,expedition code 68CH
SAN MIGUEL 3162 [CHA],-,-,-,-,-,23.9,10.9,7.7,3.42,1.16,expedition data,expedition code 68CH
SAN MIGUEL 3358 [CHA],-,-,-,-,-,27.9,13.6,10.5,5.12,2.68,expedition data,expedition code 70CH
SAN MIGUEL 3360 [CHA],-,-,-,-,-,25.6,10.6,7.1,4.29,1.41,expedition data,expedition code 70CH
SAN MIGUEL 3364 [CHA],-,-,-,-,-,25.0,13.7,5.8,4.27,1.58,expedition data,expedition code 70CH
TAP 1 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 10 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 11 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 12 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 13 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 14 [CHA],+,+,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 15 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 2 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 3 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 4 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 5 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 6 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 7 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 8 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 9 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
