Clone name,Shape,Basal constriction,Apex form,Rugosity,Ridge desc,Husk thickness,Length,Breadth,Colour,Weight,Hardness,Length breadth ratio
SC 56 [COL],elliptical,strong,acute,moderate,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",0.50 mm,191.8,79.2,yellow,413.0,moderate,2.42
SC 6 [COL],orbicular,moderate - slight,attenuate,very slight,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",0.58 mm,205.1,89.6,red - yellow,674.0,moderate,2.28
SC 8 [COL],orbicular,moderate - slight,attenuate,slight,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",0.58 mm,205.1,89.6,red - yellow,674.0,moderate,2.28
SC 9 [COL],orbicular,slight,acute,moderate,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",0.60 mm,192.6,97.2,red - yellow,683.0,moderate,1.98
SPA 10 [COL],oblong,moderate,rounded,smooth,"3 prominance of spacing 1 (ICA___DS, 3 and 1)",0.56 mm,155.0,80.9,orange - green,419.0,hard,1.91
SPA 11 [COL],orbicular,absent,rounded,smooth,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.62 mm,159.9,93.0,yellow,465.0,hard,1.71
SPA 12 [COL],orbicular,slight,rounded,slight,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.62 mm,159.0,93.0,yellow,465.0,hard,1.75
SPA 13 [COL],orbicular,slight,rounded,smooth,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.50 mm,162.0,88.1,orange,497.0,hard,1.81
SPA 14 [COL],orbicular,slight,rounded,slight,"5 prominance of spacing 5 (ICA___DS, 5 and 5)",0.58 mm,151.3,76.8,orange,315.0,hard,1.97
SPA 15 [COL],oblong,moderate,rounded,smooth,"0 prominance of spacing 1 (ICA___DS, 0 and 1)",0.53 mm,157.9,83.1,yellow,388.0,hard,1.90
SPA 16 [COL],oblong,slight,rounded,smooth,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",0.55 mm,161.6,87.3,yellow,514.0,hard,1.85
SPA 17 [COL],oblong,moderate,rounded,smooth,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",0.66 mm,159.2,81.6,yellow,513.0,hard,1.85
SPA 18 [COL],oblong,moderate,rounded,slight,"1 prominance of spacing 1 (ICA___DS, 1 and 1)",0.65 mm,161.9,82.4,orange,411.0,hard,1.96
SPA 19 [COL],orbicular,moderate - slight,attenuate,smooth,"0 prominance of spacing (ICA___DS, 0 and 0)",-,-,-,-,-,moderate,-
SPA 2 [COL],oblong,moderate,rounded,slight,"0 prominance of spacing (ICA___DS, 0 and 0)",0.53 mm,142.7,80.4,orange,350.0,hard,1.77
SPA 20 [COL],orbicular,moderate - slight,rounded,slight,"3 prominance of spacing 7 (ICA___DS, 3 and 7)",0.50 mm,155.2,77.7,yellow,378.0,moderate,1.99
SPA 22 [COL],orbicular,absent,rounded,slight,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",0.61 mm,143.6,80.3,yellow,375.0,hard,1.67
SPA 3 [COL],oblong,slight,rounded,slight,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.50 mm,147.2,79.0,orange,360.0,hard,1.86
SPA 3 [COL],orbicular,absent,rounded,slight,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",0.97 mm,160.4,85.4,orange,113.0,hard,1.87
SPA 4 [COL],oblong,moderate,rounded,smooth,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",-,-,-,yellow,-,hard,-
SPA 6 [COL],orbicular,absent,rounded,smooth,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.50 mm,176.8,90.8,yellow,599.0,hard,1.94
SPA 7 [COL],orbicular,absent,rounded,smooth,"3 prominance of spacing 1 (ICA___DS, 3 and 1)",0.50 mm,183.6,87.5,orange,661.0,soft,2.09
SPA 8 [COL],oblong,slight,acute,smooth,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.50 mm,151.9,79.5,yellow,386.0,hard,1.91
SPA 9 [COL],orbicular,absent,rounded,slight,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.65 mm,158.1,88.0,yellow,483.0,hard,1.79
