Clone name,Pathogen,Reaction,Part
SPA 7 [COL],Witches' Broom,susceptible,Field Reaction
SPA 9 [COL],Phytophthora,resistant,
SPA 9 [COL],Witches' Broom,resistant,Field Reaction
SPEC 160 /9,Witches' Broom,resistant,Field Reaction
SPEC 185 /4,Witches' Broom,resistant,Field Reaction
SPEC 194 /103,Phytophthora,resistant,
SPEC 194 /103,Witches' Broom,susceptible,Field Reaction
SPEC 194 /109,Phytophthora,resistant,
SPEC 194 /109,Witches' Broom,resistant,Field Reaction
SPEC 194 /16,Witches' Broom,resistant,Field Reaction
SPEC 194 /62,Phytophthora,resistant,
SPEC 194 /62,Witches' Broom,susceptible,Field Reaction
UF 12,Phytophthora,resistant,
UF 12,Witches' Broom,susceptible,Field Reaction
UF 29,Witches' Broom,susceptible,Field Reaction
UF 29,Ceratosystis,resistant,
UF 29,Vascular Streak Dieback,susceptible,
UF 667,Witches' Broom,resistant,Field Reaction
UF 667,Vascular Streak Dieback,resistant,
UF 668,Witches' Broom,resistant,Field Reaction
UF 705,Witches' Broom,resistant,Field Reaction
