SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource,Notes
TC41_CpG,CCN 10 x CCN 51,genomic,SRR20075024 NCBI ENA,SRX16112995,SAMN29628478,BRAALM,Zygotic Embryo
TC51_CpG,CCN 51,genomic,SRR20075023 NCBI ENA,SRX16112996,SAMN29628480,BRAALM,Normal Somatic Embryo
TC61_CpG,CCN 10,genomic,SRR20075022 NCBI ENA,SRX16112997,SAMN29628482,BRAALM,Abnormal Somatic Embryo
